"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229164",136.244184014179,-3.56161311348916,0.270186857321747,-13.1820368643908,1.1134351238069e-39,1.05375500117085e-35
"ENSG00000168028",475.3344928504,-2.11652668786654,0.162745327897968,-13.005145617412,1.14380827666911e-38,5.41250076519824e-35
"ENSG00000196199",61.6687803123784,-3.01644759251344,0.241894129421172,-12.4701149206535,1.08669219088466e-35,3.42815163151079e-32
"ENSG00000129824",114.054150425673,-9.66304436084405,0.792537273109022,-12.1925424692484,3.40625716159364e-34,6.44736355546444e-31
"ENSG00000211772",256.096091896026,-2.79472646848036,0.228984403384096,-12.2048769574604,2.92750716666241e-34,6.44736355546444e-31
"ENSG00000168421",15.3788170396829,-3.62695265081555,0.299321264560082,-12.1172568749706,8.55756468149927e-34,1.34981320242849e-30
"ENSG00000132424",127.8963249049,-3.085961767889,0.256103782094115,-12.0496532407903,1.94767555276047e-33,2.63325734733216e-30
"ENSG00000108848",244.32770002501,-2.41578423233471,0.200750512433082,-12.0337637152482,2.36144946363692e-33,2.79359471548247e-30
"ENSG00000145425",1072.39462932927,-2.07267042507178,0.173005910737408,-11.9803445803521,4.50447505747441e-33,4.73670577154865e-30
"ENSG00000116754",174.006792440124,-2.10826483593193,0.176293584358733,-11.9588290385083,5.83793281628366e-33,5.38392704239333e-30
"ENSG00000143947",1761.76054947075,-1.98291302686783,0.165891654896774,-11.953060737755,6.25773430540223e-33,5.38392704239333e-30
"ENSG00000148303",640.941407309628,-2.01808914155734,0.16902000281968,-11.9399426570259,7.32736929004414e-33,5.77885191341481e-30
"ENSG00000089009",428.673879609825,-2.11395965891034,0.177621820731893,-11.9014637402079,1.16289339803258e-32,8.46586393767715e-30
"ENSG00000142546",157.860778515941,-1.83480949787767,0.155147555966554,-11.826222375512,2.85713098498892e-32,1.93142054585251e-29
"ENSG00000251562",33.511435732346,-3.13033385821422,0.266931923275314,-11.7270868909358,9.25906535640496e-32,5.84185296886777e-29
"ENSG00000163682",1202.86141124994,-2.27759454667595,0.194656647251676,-11.7005742101949,1.26593956342532e-31,7.48803251766079e-29
"ENSG00000159140",174.641735980287,-2.15350800332159,0.18483703449322,-11.6508469702839,2.27189475201849e-31,1.26477717253547e-28
"ENSG00000142676",788.341709944109,-2.21739225194767,0.190958582676964,-11.6119014964556,3.58552213915571e-31,1.88518786249831e-28
"ENSG00000198692",59.9712008236163,-8.3764024196847,0.724996035893697,-11.5537216825733,7.06915287378695e-31,3.52118225250104e-28
"ENSG00000100941",86.8579284551447,-2.78572945731017,0.243168627523706,-11.4559574797065,2.19523901834724e-30,1.03878710348191e-27
"ENSG00000008988",799.611639325672,-1.61318606242254,0.140978503485658,-11.4427804419605,2.55561697402965e-30,1.1517313829627e-27
"ENSG00000177600",968.583143997492,-2.44988292710138,0.215118668806119,-11.3885184428572,4.77031642847288e-30,2.05210339450306e-27
"ENSG00000132485",91.6576563482696,-2.82001544524366,0.248411762363503,-11.3521816294556,7.23350029639245e-30,2.97642812195905e-27
"ENSG00000188846",756.561518827433,-2.02340977386172,0.180416586169629,-11.2152092932259,3.43373155936479e-29,1.35403481157618e-26
"ENSG00000147168",380.171243893914,-3.03079434452474,0.271356765610207,-11.1690391713997,5.7802745731181e-29,2.18818074239959e-26
"ENSG00000122406",869.198079598236,-2.07969581583714,0.18682904412221,-11.1315444855392,8.8095688841338e-29,3.08791703405342e-26
"ENSG00000137154",2246.46105743284,-2.11885199777428,0.190301653256937,-11.1341754604385,8.55328630133261e-29,3.08791703405342e-26
"ENSG00000063177",681.439794110256,-2.24178319277071,0.20169448226783,-11.1147472531938,1.06351356724212e-28,3.59467585727836e-26
"ENSG00000108298",1190.1007374738,-1.94636399410118,0.175526189353066,-11.0887383886978,1.4228018349457e-28,4.64324019514693e-26
"ENSG00000100316",3509.74166006636,-1.89450281583615,0.171437356033968,-11.0507001488099,2.17511820296806e-28,6.74145739796203e-26
"ENSG00000123349",741.083062125933,-1.31931873575268,0.119402443231097,-11.0493445531865,2.20821195410844e-28,6.74145739796203e-26
"ENSG00000147403",1852.84573003135,-1.60443894424755,0.145727715792291,-11.0098407535214,3.42608756686321e-28,1.0132653978998e-25
"ENSG00000142541",2099.7449890076,-1.84270979888553,0.167644735906849,-10.9917546108303,4.18706042966008e-28,1.20079817897888e-25
"ENSG00000115523",416.561462029703,-2.48722472584809,0.22704032724586,-10.9549909305526,6.2884667855054e-28,1.75041322523597e-25
"ENSG00000160654",37.149055034664,-4.39794934765789,0.402508630243114,-10.9263479518478,8.62501460784383e-28,2.23160646848999e-25
"ENSG00000174501",114.632064463322,-3.04423953843411,0.27861700827485,-10.9262516214768,8.63417240945525e-28,2.23160646848999e-25
"ENSG00000234741",182.045627574731,-2.1192154067182,0.193973093631539,-10.9253060156052,8.72458150191564e-28,2.23160646848999e-25
"ENSG00000119707",112.692436225328,-2.63708366658229,0.242292110518273,-10.8839023315347,1.37545662514471e-27,3.42561092114988e-25
"ENSG00000147394",1982.26833653795,1.44951051341341,0.133336406242811,10.8710783068039,1.58318523277878e-27,3.84186283154317e-25
"ENSG00000138326",462.231505446268,-2.36268610230562,0.219019860267941,-10.7875427343219,3.94188503988479e-27,9.3265000043674e-25
"ENSG00000105193",368.19405773403,-2.09365607065574,0.196420675670808,-10.6590411803929,1.58220155133525e-26,3.65218426386263e-24
"ENSG00000100650",130.393667777157,-1.9024731661432,0.17945417422142,-10.6014428162358,2.93418069228618e-26,6.61168715995152e-24
"ENSG00000071082",1195.40114759539,-2.15180520528256,0.205270824077393,-10.482762053273,1.03670953314911e-25,2.28172535388911e-23
"ENSG00000077420",67.9191492526462,-2.25784669050724,0.215740875415665,-10.4655489422534,1.24353645324277e-25,2.67473386215672e-23
"ENSG00000009790",199.603614541576,-2.54981040992735,0.245041667097538,-10.4056197467527,2.33730214040468e-25,4.91560610150886e-23
"ENSG00000114391",478.720949581575,-2.0583255613688,0.198194121761576,-10.3854016611296,2.88950472299662e-25,5.94484189096522e-23
"ENSG00000164587",1946.98620198757,-2.03870148036001,0.19680560454883,-10.3589604830293,3.81080979513418e-25,7.67351146832976e-23
"ENSG00000167286",79.9518727474822,-3.40040386557545,0.330324720134259,-10.2941247151996,7.48976197052644e-25,1.47673140185546e-22
"ENSG00000171863",481.210157288997,-1.96963613069903,0.191442826782371,-10.2883778086816,7.95044755526528e-25,1.53557215638838e-22
"ENSG00000109475",1401.26438918628,-2.19204427959943,0.213216177596724,-10.280853471379,8.59629700528097e-25,1.62710709715958e-22
"ENSG00000145649",55.9255908711309,-3.07704321003414,0.299491761996943,-10.2742165244116,9.20896136143343e-25,1.70889432009031e-22
"ENSG00000104660",33.7030416893653,-2.1365431082822,0.208497828093465,-10.2473158968564,1.21675458402871e-24,2.21449334293226e-22
"ENSG00000111796",87.4135461075926,-2.25360741585438,0.220087652871005,-10.2395903925389,1.31793146234963e-24,2.35337799239187e-22
"ENSG00000147604",2364.74347219362,-1.82519178727772,0.178515396790847,-10.2242821632699,1.54367367325424e-24,2.70543104512557e-22
"ENSG00000196126",167.114998490794,-3.03433896773042,0.297099811755898,-10.2131972073529,1.73066249079074e-24,2.97799814778975e-22
"ENSG00000198034",783.839951950403,-1.70436072628088,0.1672100713875,-10.1929310366187,2.13236385175314e-24,3.60369490946281e-22
"ENSG00000149273",1824.41103541153,-1.83592769531487,0.180181468847749,-10.1893258338693,2.21293456317834e-24,3.67424784314383e-22
"ENSG00000149806",294.8018434249,-1.35362815570402,0.133303502641304,-10.1544830322006,3.16482992217204e-24,5.16412937645452e-22
"ENSG00000125691",753.615152421434,-2.15612264221096,0.212729679438136,-10.1355045892315,3.84383867079509e-24,6.16577782718724e-22
"ENSG00000029534",189.489093741592,1.82369853378905,0.180153513708703,10.1230250592717,4.36705596417345e-24,6.66609962015122e-22
"ENSG00000071127",2052.9190035937,1.21954689184711,0.120459433711596,10.1241293792478,4.31804333916502e-24,6.66609962015122e-22
"ENSG00000156467",152.001096968273,-1.43056603444383,0.141311264063424,-10.1235102801271,4.34545308504456e-24,6.66609962015122e-22
"ENSG00000197958",944.159414760995,-1.80872787733455,0.178870186743287,-10.1119583440164,4.88969492035922e-24,7.34540836925074e-22
"ENSG00000145734",51.2303622241796,-2.23264385132063,0.220876702510742,-10.1081002475218,5.08609256359273e-24,7.52105937841276e-22
"ENSG00000115268",368.37663896766,-1.83281420472412,0.181614310126742,-10.0917939970979,6.00616485244502e-24,8.74497602515994e-22
"ENSG00000112306",1044.82482363078,-1.85207371591045,0.183694033823746,-10.0823836101694,6.61027491317888e-24,9.47873360277651e-22
"ENSG00000117616",53.0989299882278,-2.26776730682102,0.22538919299652,-10.0615618551686,8.16919037718881e-24,1.15392862283157e-21
"ENSG00000035403",6285.03918272319,1.6441442717773,0.16369824149007,10.0437503592672,9.78803795078681e-24,1.36226457597421e-21
"ENSG00000142937",509.007102312504,-1.9759381864728,0.196852527878877,-10.0376571627701,1.04117645295313e-23,1.42807158706499e-21
"ENSG00000166441",856.249407261997,-1.87824419423439,0.187414196507319,-10.0218885721447,1.22146264672441e-23,1.63034676248285e-21
"ENSG00000198625",47.5192933608233,-3.18122555438964,0.317431956009523,-10.0217558256618,1.22310460837154e-23,1.63034676248285e-21
"ENSG00000163479",97.6130891185557,-2.11708528270668,0.21157261154904,-10.0064241170269,1.42821783301231e-23,1.87731299605951e-21
"ENSG00000100813",31.9645602150228,-3.20324176255684,0.320262796606389,-10.0019165401022,1.49475744428412e-23,1.92235614005179e-21
"ENSG00000119862",159.881234236445,1.40164514985599,0.140145388074568,10.0013647906145,1.5031102532104e-23,1.92235614005179e-21
"ENSG00000143119",153.782043626286,-2.72239381527125,0.272495690933554,-9.99059400148489,1.67574526482679e-23,2.11456709150943e-21
"ENSG00000110700",780.527471213962,-1.96973012288979,0.197420057529537,-9.97735563214031,1.91502398658759e-23,2.38470881698224e-21
"ENSG00000196329",19.5562329253924,-3.11938661152478,0.313115932747744,-9.96240141519036,2.22619321684359e-23,2.7361938447023e-21
"ENSG00000247774",66.9351374909361,-2.37580366436869,0.238644278895069,-9.95541848046281,2.38815993234203e-23,2.89763405124167e-21
"ENSG00000122026",2773.20431800884,-1.63717516857056,0.164907741004387,-9.9278248467851,3.15052996979924e-23,3.77425514356708e-21
