"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211772",265.07641560956,-3.52117856879668,0.218854339072272,-16.089142137748,3.04020687917729e-58,2.90643777649349e-54
"ENSG00000229164",144.467840654504,-4.23845944965692,0.283997173511262,-14.9243015247433,2.29021134354383e-50,1.09472102221395e-46
"ENSG00000251562",34.150691777461,-4.0834316777921,0.275739251151944,-14.8090330293309,1.28069420208311e-49,4.08114552397152e-46
"ENSG00000108848",247.439470636854,-3.04922818611171,0.209158221003552,-14.5785720086992,3.84474935663992e-48,9.18895096236941e-45
"ENSG00000132424",132.356575319885,-3.72357817097892,0.256247972451371,-14.5311517408613,7.69162322887393e-48,1.4706383613607e-44
"ENSG00000115523",428.437549164567,-3.19027418483339,0.220214302444679,-14.4871343478466,1.46112547749954e-47,2.3280599274826e-44
"ENSG00000163492",17.7964232121287,-7.55346995499797,0.531104614874807,-14.2221885169996,6.6732853543435e-46,9.11380114107484e-43
"ENSG00000147168",397.078296878128,-3.91154309982298,0.278888371539991,-14.0254793637464,1.08873986327156e-44,1.30104413660952e-41
"ENSG00000159140",179.633784909284,-2.55151604437848,0.185662727428109,-13.7427478294827,5.62978314123822e-43,5.98008075891526e-40
"ENSG00000196912",57.2572485603048,-4.86147280008488,0.356209531143273,-13.6477897839559,2.08094770126733e-42,1.98938600241156e-39
"ENSG00000177600",1004.99858079992,-2.78186008222569,0.204355089266888,-13.6128740038012,3.35775249639079e-42,2.91819216959054e-39
"ENSG00000168421",16.1306147361871,-4.46559666419892,0.331936544482007,-13.4531636797255,2.9497657068549e-41,2.34998001312774e-38
"ENSG00000168028",496.781727188967,-2.27429016586896,0.170067836095804,-13.372841203129,8.71473217871559e-41,6.40867997142469e-38
"ENSG00000142541",2157.44420296084,-2.20559165784972,0.168336048430575,-13.1023133690783,3.19372528181901e-39,2.18085812101355e-36
"ENSG00000143119",160.946955606385,-3.43825173397193,0.26316570847816,-13.0649686612086,5.22061222827424e-39,3.32727019348678e-36
"ENSG00000196126",172.741205369419,-3.74784724988071,0.287970378230769,-13.0146971119277,1.00941742292559e-38,6.03126910198043e-36
"ENSG00000100941",90.4962021363135,-3.11591780330989,0.246213974077931,-12.6553247636694,1.04542366806363e-36,5.87897074511074e-34
"ENSG00000116754",176.326138978061,-2.60540947482647,0.206120716576285,-12.6402116104725,1.26712470116409e-36,6.72984007951594e-34
"ENSG00000008988",830.951008502789,-1.83409424877647,0.145475436688816,-12.6075871674457,1.91774666681743e-36,9.60392822206148e-34
"ENSG00000081237",865.158185986114,-3.43930480859972,0.272875917073698,-12.6039147957159,2.00919000461537e-36,9.60392822206148e-34
"ENSG00000119707",114.320035496574,-3.38025842830599,0.269283039074892,-12.5528085241413,3.83656736612124e-36,1.72765502004334e-33
"ENSG00000186854",11.8235853447294,-6.11406227069091,0.487176798351909,-12.5499865580102,3.97577515072736e-36,1.72765502004334e-33
"ENSG00000148303",662.88813470922,-2.30867431022925,0.185308042720251,-12.4585758736577,1.25593369416582e-35,5.22031570270663e-33
"ENSG00000152795",182.070753768806,-2.68679795450135,0.217313123894798,-12.3637169552725,4.10716954367882e-35,1.63602253489873e-32
"ENSG00000115268",381.595549160353,-2.10568232847427,0.170386159744332,-12.3582944273989,4.39380296471253e-35,1.64566839903674e-32
"ENSG00000132485",95.3050878562712,-3.23862134235298,0.262092469282895,-12.3567890035685,4.47684584267224e-35,1.64566839903674e-32
"ENSG00000174501",118.978534799171,-3.48377032509012,0.282000462526739,-12.3537752168041,4.64780823995731e-35,1.64566839903674e-32
"ENSG00000105193",382.914436337225,-2.4256305980434,0.197041127732042,-12.3102756564712,7.97503376249507e-35,2.72290438462332e-32
"ENSG00000117616",54.895253714732,-2.85691050202637,0.232624405139406,-12.2812157233215,1.14268124813306e-34,3.6413442440507e-32
"ENSG00000145425",1121.57725636887,-2.27724313390924,0.185410133764169,-12.2821934684852,1.12895283446483e-34,3.6413442440507e-32
"ENSG00000149806",301.487519864263,-1.68725927191962,0.137973517421141,-12.2288632156093,2.17967626115634e-34,6.72184034085633e-32
"ENSG00000171858",499.70748027622,-2.94259797835003,0.241707854249255,-12.1741926322161,4.26594355021616e-34,1.27445063562708e-31
"ENSG00000167286",84.1812596704629,-3.94175995109645,0.324579228324586,-12.1442150548051,6.15706380872546e-34,1.78368272761865e-31
"ENSG00000196199",64.9829197157115,-3.17345853763583,0.261551065947967,-12.1332273150328,7.04184641797135e-34,1.98000152222959e-31
"ENSG00000038219",77.216718569545,-3.32738821545872,0.274959499904139,-12.101375717583,1.03855953537876e-33,2.83675118806312e-31
"ENSG00000148843",19.3028755172268,-4.70218276963655,0.389144757198779,-12.083376899344,1.29298296217032e-33,3.43358808843008e-31
"ENSG00000160799",34.8044733930208,-2.70187888147251,0.223663371570615,-12.0801133529344,1.3453413872996e-33,3.47607126015788e-31
"ENSG00000100650",136.2860140633,-2.29137559133484,0.189811475531594,-12.0718496335247,1.48752781112266e-33,3.74230680903491e-31
"ENSG00000070961",52.6642061942362,-4.46915500863995,0.37162830694829,-12.0258735007013,2.59825633997306e-33,6.36905913080577e-31
"ENSG00000100316",3653.45471767145,-2.15619605646615,0.181606796068058,-11.8728819799128,1.63728448595007e-32,3.91310992142067e-30
"ENSG00000108107",469.165465952668,-2.42166982058057,0.204374738975398,-11.8491641027715,2.17347993034374e-32,5.06791905709419e-30
"ENSG00000135899",143.608427175249,-2.66943053270798,0.225626102010628,-11.8312132723998,2.69221952058874e-32,6.12800443257817e-30
"ENSG00000138326",483.786006436862,-2.55479845452503,0.216396543524886,-11.8060964048218,3.63027839270436e-32,8.0710375428497e-30
"ENSG00000143947",1862.44632505843,-2.09621128154245,0.1776562054246,-11.7992573157379,3.93771384630527e-32,8.55557826606326e-30
"ENSG00000142676",832.378651185476,-2.33676703736248,0.198078378713267,-11.7971837842287,4.0359334184509e-32,8.57411632897568e-30
"ENSG00000163682",1258.89467184638,-2.46100515738495,0.208983170176766,-11.776092569097,5.18410215497972e-32,1.07739166525231e-29
"ENSG00000122224",16.8211937596601,-5.67697610991954,0.486611238435861,-11.6663481266222,1.89379305079216e-31,3.85205565224959e-29
"ENSG00000158417",80.1074236501667,-2.82184067024,0.242397056923314,-11.6413982333652,2.53819982607893e-31,5.05524798694053e-29
"ENSG00000109475",1470.90900730842,-2.4192132854287,0.207844845680088,-11.639515415996,2.59485697131294e-31,5.06261890729626e-29
"ENSG00000137154",2349.81028686189,-2.34217645645122,0.201987081219168,-11.5956745466797,4.33437130981796e-31,8.28731794437193e-29
"ENSG00000063177",717.290347276914,-2.39279313572059,0.206383926342705,-11.5938928875076,4.42551201337361e-31,8.29566565644151e-29
"ENSG00000122986",31.3241339509085,-4.15087713213711,0.358530462735119,-11.577474060283,5.36022585809484e-31,9.85456907757436e-29
"ENSG00000167526",1430.46163399823,-2.24582895936035,0.194508225189786,-11.546190178688,7.71658449221949e-31,1.39189712727582e-28
