"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000103175",3.15901162525388,5.02106985720228,0.620215711795146,8.09568310139927,5.69438891554783e-16,2.50012145337128e-12
"ENSG00000115590",68.1763421073882,4.74877208325237,0.583208711685667,8.14249168111161,3.87225115032945e-16,2.50012145337128e-12
"ENSG00000198722",7.78070335675686,4.18115373178751,0.526729516050528,7.93795222097715,2.05546482118769e-15,6.01634553161638e-12
"ENSG00000103876",432.474941618469,1.28469459021176,0.167021803796783,7.69177772606779,1.45104547760468e-14,3.18540758471168e-11
"ENSG00000118520",7.48891955203967,4.88437090529023,0.639615503598838,7.63641731291378,2.2334958399826e-14,3.92246539417745e-11
"ENSG00000120903",23.3283451262236,1.98555485364787,0.262524003357288,7.56332688918196,3.92888582566638e-14,5.74992440586275e-11
"ENSG00000138722",247.169087195734,1.47512436720509,0.196676856852621,7.50024375420269,6.36992666995887e-14,7.99061801270126e-11
"ENSG00000175063",58.7996370778815,1.64475226201871,0.225519609694854,7.29316738461985,3.02751565043658e-13,3.32307686581046e-10
"ENSG00000186815",53.6037657504718,2.12989707296796,0.299111725270743,7.12074082365065,1.07348486802769e-12,1.04736340290568e-09
"ENSG00000066294",111.665893314393,1.1947851286876,0.171295361188954,6.97499990889796,3.05871014269218e-12,2.68585337629801e-09
"ENSG00000035403",5233.17661817024,1.35713455215951,0.195801771962798,6.93116583448167,4.17386407280862e-12,3.33188185666659e-09
"ENSG00000078018",16.0144873730247,2.84346096926941,0.415935043844638,6.83631016753547,8.12589114200046e-12,5.48872693214662e-09
"ENSG00000096060",119.916253190024,2.49564742823774,0.364628985957892,6.84434733481649,7.68253162806387e-12,5.48872693214662e-09
"ENSG00000205038",356.640849864558,1.26878653936287,0.186220781534563,6.81334558316942,9.53547037241236e-12,5.98078323858235e-09
"ENSG00000114982",157.826141706968,1.13870963862642,0.167675500777956,6.79115096327849,1.11242442878279e-11,6.51213260609448e-09
"ENSG00000133112",1159.47931347478,-0.911646915571728,0.134860913246299,-6.75990465752499,1.38082576454653e-11,7.57814439905193e-09
