"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000089009",416.078967421813,-2.34271569712494,0.174421233114086,-13.4313675880998,3.96029528546012e-41,3.83673407255377e-37
"ENSG00000168028",472.870350077811,-2.07937513192444,0.159189477740423,-13.0622649275544,5.40940891931052e-39,2.62031768051401e-35
"ENSG00000177600",935.779086245458,-2.61618595519466,0.20235575593035,-12.9286461023384,3.10233786178858e-38,1.00184830683359e-34
"ENSG00000163682",1161.58645286465,-2.50032829388151,0.19398437472907,-12.8893283150956,5.1692057789582e-38,1.25198163966368e-34
"ENSG00000008988",783.192823012244,-1.83806489888919,0.143058124483063,-12.8483782765292,8.78322702919061e-38,1.70183806917597e-34
"ENSG00000142676",767.148328185169,-2.40572986765261,0.187616922380282,-12.8225633228138,1.22579962898873e-37,1.97925780094046e-34
"ENSG00000071082",1145.84035820174,-2.54237191197808,0.200859895350598,-12.657439194322,1.01765009857769e-36,1.40842773643152e-33
"ENSG00000063177",660.191066589004,-2.4568315692757,0.197884605219357,-12.4154760121551,2.15401899432784e-35,2.60851700213101e-32
"ENSG00000109475",1341.24322761466,-2.58705294714694,0.209867047513633,-12.3271041251909,6.47314798125598e-35,6.96798418248977e-32
"ENSG00000166441",833.633062710916,-2.15438002229962,0.175373468384445,-12.2845265144491,1.09685321562867e-34,1.06263139530105e-31
"ENSG00000143947",1747.32356959339,-2.08302276647983,0.170199816106123,-12.238689877203,1.93124781681293e-34,1.70090262266215e-31
"ENSG00000213741",787.797391327798,-2.63064178741745,0.218269357314631,-12.0522725671722,1.88675188894858e-33,1.52323769167782e-30
"ENSG00000118181",588.182150468275,-2.46169532077637,0.20501552849914,-12.0073603145954,3.25055725252981e-33,2.42241528173144e-30
"ENSG00000171858",457.194354014775,-2.9497678618197,0.246002852207184,-11.9907872423179,3.97112966671036e-33,2.74802172936357e-30
"ENSG00000130255",503.264031065227,-2.62786618198752,0.219855714803064,-11.9526853524887,6.28607016508413e-33,3.80621548495844e-30
"ENSG00000164587",1885.9815983535,-2.3471425365097,0.196342396599655,-11.9543337412528,6.1625831708658e-33,3.80621548495844e-30
"ENSG00000115268",362.582460270917,-2.0026598342181,0.169047750065522,-11.8467109644576,2.23803526897778e-32,1.2754168050504e-29
"ENSG00000142534",992.998154870872,-1.79357900338896,0.151974083780682,-11.801874100964,3.8171424471591e-32,2.05447089044874e-29
"ENSG00000177954",3088.07787035863,-2.23835904642543,0.191215037483201,-11.7059781274895,1.1878153892738e-31,6.05660815330768e-29
"ENSG00000138326",447.114867249341,-2.54673411581049,0.21826308752078,-11.6681851463685,1.85334757857805e-31,8.97761567063208e-29
"ENSG00000145425",1066.95579507932,-2.13927647784792,0.183900464425253,-11.6327954066556,2.80750377080056e-31,1.29519507292933e-28
"ENSG00000144713",739.323451721407,-2.41999307508871,0.208525910006982,-11.6052392482434,3.87602047361482e-31,1.70685847038093e-28
"ENSG00000105372",1964.65655995909,-2.13939942620262,0.184416088611626,-11.6009370023465,4.07590898216247e-31,1.71684374866044e-28
"ENSG00000125691",723.690324910864,-2.5668139550409,0.221555835874647,-11.5854043966288,4.88654987437837e-31,1.97253729929073e-28
"ENSG00000112306",1019.76084709568,-2.12624500753027,0.183864931603885,-11.5641682673399,6.2594882745342e-31,2.33238163091105e-28
"ENSG00000148303",621.199557567938,-2.24021665708508,0.193683853166875,-11.5663573419048,6.10186622931162e-31,2.33238163091105e-28
"ENSG00000197756",475.910618453586,-2.4388236520833,0.211082431062219,-11.5538921918349,7.0551375168013e-31,2.53148786158411e-28
"ENSG00000145592",527.427363989264,-2.63967066151967,0.228595890978482,-11.5473233146091,7.61554142166819e-31,2.63497733189719e-28
"ENSG00000188846",747.660213791658,-2.16928010130404,0.188776883238909,-11.4912380376504,1.46004331147968e-30,4.87755158676385e-28
"ENSG00000198242",480.052277467729,-2.54901443917425,0.22235711164825,-11.4636065394057,2.00968240975802e-30,6.48993439524523e-28
"ENSG00000156482",202.294862583172,-2.51630768135979,0.220034134477532,-11.4359878176844,2.76373259619687e-30,8.6371101264372e-28
"ENSG00000116754",174.509347833701,-2.00488632636987,0.176338402892405,-11.3695388723305,5.93000371049194e-30,1.79530862335144e-27
"ENSG00000108107",443.450784472363,-2.24978784326,0.197966375496023,-11.3644947917188,6.28268927910454e-30,1.84444526472621e-27
"ENSG00000108298",1171.57421608617,-2.12283462466414,0.187276146027334,-11.3353177630765,8.77131641431828e-30,2.49930921829163e-27
"ENSG00000100316",3442.39533319798,-2.09934549093133,0.185892917927148,-11.2933053843077,1.41609104655737e-29,3.91974001687081e-27
"ENSG00000197958",918.101014373652,-2.06861000229323,0.183694209386373,-11.2611606495566,2.04053332564919e-29,5.49130190524705e-27
