"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229164",145.561302787688,-3.91287546588065,0.255023259659704,-15.3432101491522,3.93256959622042e-53,3.74498602648071e-49
"ENSG00000211772",271.195977053067,-3.08820048384881,0.212823661631407,-14.5106068572268,1.03798181538625e-47,4.94235041396164e-44
"ENSG00000168028",508.471924131356,-2.12133153170743,0.151635932791595,-13.9896361809106,1.80332069987897e-44,5.7243410083158e-41
"ENSG00000115523",429.55303003447,-3.18229986049038,0.234631902342757,-13.5629461668072,6.64139796887668e-42,1.58115082144032e-38
"ENSG00000163682",1276.21702236783,-2.39801953028826,0.178397738989754,-13.4419838719255,3.43112929739912e-41,6.53492885982637e-38
"ENSG00000116754",180.298806950831,-2.52367005048129,0.18876696552952,-13.3692356785098,9.14759745936446e-41,1.4518761767588e-37
"ENSG00000162894",22.8340302323642,-5.09144965486976,0.3819761936921,-13.3292329180437,1.56498511241379e-40,2.12905046078808e-37
"ENSG00000168421",16.2985847932514,-4.31949148839815,0.331636214511935,-13.0247883053276,8.84460372254457e-39,1.0528395156224e-35
"ENSG00000167286",84.9969508295002,-3.79409387846734,0.291620425631828,-13.0103845443851,1.06803277600101e-38,1.13009734731751e-35
"ENSG00000142541",2203.20433427311,-2.0104627788919,0.154986982365087,-12.9718170404535,1.76789105714173e-38,1.68356265371607e-35
"ENSG00000174501",119.970079970313,-3.76389801129415,0.291126863571987,-12.928721056906,3.09931519478525e-38,2.68316169090363e-35
"ENSG00000142676",839.995485467245,-2.27392232689542,0.178195864394098,-12.7608030333769,2.71388808767e-37,2.15369635490679e-34
"ENSG00000167526",1436.13499379629,-2.26897774865097,0.179596670546739,-12.633740601892,1.375792801595e-36,1.00782114227609e-33
"ENSG00000108848",258.968390588977,-2.58375393508139,0.205011515412018,-12.6029697887396,2.03341381604144e-36,1.29094665134418e-33
"ENSG00000251562",35.6292859545621,-3.43177685166716,0.272184125655494,-12.6082916974034,1.90068247075347e-36,1.29094665134418e-33
"ENSG00000196912",58.2420834226137,-4.65378074039336,0.370878836405977,-12.5479813986991,4.07772920660557e-36,2.42701345215655e-33
"ENSG00000177600",1028.99954288194,-2.59079368188189,0.206920409748035,-12.5207256501989,5.75069719688134e-36,3.22140525917065e-33
"ENSG00000143947",1889.88968924688,-1.94303049988979,0.155374110143002,-12.5054972035011,6.9662584865041e-36,3.68553775372103e-33
"ENSG00000142546",167.900736003161,-1.88242599198694,0.150643354299515,-12.4959112915412,7.85905400781483e-36,3.93904059560109e-33
"ENSG00000145425",1148.07211348015,-2.0543991451923,0.164678349098324,-12.4752231027388,1.01920334124845e-35,4.85293670935448e-33
"ENSG00000089009",460.626902112903,-2.0636553475964,0.165524342574161,-12.4673828362847,1.12459216652471e-35,5.09975771514993e-33
"ENSG00000122406",922.562224429388,-2.15678229793758,0.173351325614845,-12.4416833288576,1.551983044934e-35,6.71797024404841e-33
"ENSG00000137154",2380.50208859006,-2.22135077617104,0.179537985902637,-12.3725949414163,3.67745552905553e-35,1.52262647839982e-32
"ENSG00000148303",685.075407106296,-2.01611750121402,0.164750362871129,-12.2374085621351,1.96197275310204e-34,7.78494438657948e-32
"ENSG00000145649",59.0130126048976,-3.55752651939295,0.292654414548666,-12.1560664816193,5.32621512865192e-34,2.02886186680609e-31
"ENSG00000196199",66.3983955315999,-3.02318569664692,0.248867281521198,-12.1477828590715,5.89423982445277e-34,2.15887868647168e-31
"ENSG00000063177",729.507684135312,-2.24040030949075,0.186329307277572,-12.0238750533927,2.66188795610261e-33,9.05327107355897e-31
"ENSG00000100316",3738.60252220512,-1.91749497825388,0.159446351262615,-12.0259570888247,2.59562802331949e-33,9.05327107355897e-31
"ENSG00000163492",18.4099193024106,-6.69824517811687,0.560202461914334,-11.9568292421056,5.980205692706e-33,1.96377582109101e-30
"ENSG00000108298",1265.45732801098,-1.98633546127546,0.166393283006068,-11.9375940265752,7.53719701933844e-33,2.39255757383867e-30
"ENSG00000132485",98.7130343473189,-2.79547593171909,0.234426826270166,-11.9247271150506,8.79718106136419e-33,2.6410516781159e-30
"ENSG00000142937",533.288981087872,-2.1916644666017,0.183802842920424,-11.9239965594578,8.8746879869483e-33,2.6410516781159e-30
"ENSG00000132424",137.93676507103,-3.06180577142424,0.259712489217422,-11.7892126814934,4.43669140339598e-32,1.28032158286485e-29
"ENSG00000149273",1928.79098400389,-1.9210853671274,0.164189691350703,-11.7004018420623,1.26851369928701e-31,3.55295763479713e-29
"ENSG00000008988",853.795593497518,-1.59184391022288,0.13623341408109,-11.6846804505345,1.526525894457e-31,4.15345888368973e-29
"ENSG00000171863",509.697590023933,-2.05520992883541,0.177716853604565,-11.5645189927143,6.23396543695363e-31,1.64905702378082e-28
"ENSG00000197958",991.299013008541,-1.96500848945821,0.17012098113952,-11.5506534014559,7.3261326760777e-31,1.88558814795373e-28
"ENSG00000100941",93.8765513948352,-2.67996878547239,0.233748152538757,-11.4651977197041,1.97308442528843e-30,4.94465341632151e-28
"ENSG00000159140",186.5447002081,-2.17483170449202,0.190578631327249,-11.4117290555915,3.65392881290888e-30,8.92214463726444e-28
"ENSG00000105193",392.685192757433,-2.12228224882106,0.186902437656899,-11.355027122316,7.00181621732814e-30,1.6669573959404e-27
"ENSG00000198034",821.096106694409,-1.8694271641243,0.164799493273663,-11.3436463121884,7.97508252374968e-30,1.85235880179679e-27
"ENSG00000112306",1099.54384184564,-1.9923561545055,0.176011279713523,-11.3194799659901,1.05093479168967e-29,2.38286952887159e-27
"ENSG00000138326",494.999785809634,-2.37206705827961,0.212472953024814,-11.1640894735557,6.11141739106663e-29,1.3534657631425e-26
"ENSG00000147403",1989.80167265661,-1.53129818132834,0.137448570273145,-11.1408811185541,7.93305632943931e-29,1.71696580511933e-26
"ENSG00000140386",59.7596819368162,-3.58062580617061,0.321892032416511,-11.1236857255835,9.6213349879553e-29,2.03608829089552e-26
"ENSG00000133112",1229.87101475675,-1.1704327834191,0.105446211879183,-11.0998087324384,1.2571262700421e-28,2.60252466730672e-26
"ENSG00000122026",2915.12654513277,-1.74342244283037,0.15717858354179,-11.091984693747,1.37209287074338e-28,2.72217508501859e-26
"ENSG00000188846",812.78637335533,-1.96336195231302,0.176985464325245,-11.0933514218149,1.35128402771539e-28,2.72217508501859e-26
"ENSG00000110700",825.401766536482,-2.07160118021467,0.187874248771307,-11.0265307447023,2.84634226285355e-28,5.53177905492946e-26
"ENSG00000114391",508.731629814223,-2.12504631941657,0.193190629284352,-10.9997380685001,3.83243486484207e-28,7.29925544357821e-26
"ENSG00000160654",39.8958967827613,-4.79112873733054,0.437199799802588,-10.9586709314458,6.03795664592373e-28,1.12744041449278e-25
"ENSG00000109475",1503.70241492119,-2.159137791829,0.200708817160135,-10.7575632320445,5.45947023549542e-27,9.99817981781209e-25
"ENSG00000023697",524.699364324809,1.34656541400086,0.125645226226433,10.7172031476479,8.45205617880636e-27,1.5186590752976e-24
"ENSG00000123349",792.807122470437,-1.26237470753093,0.118030289588858,-10.6953453382876,1.07020239330739e-26,1.88732173916042e-24
"ENSG00000215788",4.75298764435867,-5.63094467278935,0.528107634230038,-10.6624943625348,1.52452858957632e-26,2.63965195609732e-24
"ENSG00000147604",2545.91600959722,-1.73472645521052,0.163549568709705,-10.6067320684264,2.77277958716214e-26,4.71521071581162e-24
"ENSG00000111796",91.8233418472644,-2.50970063418196,0.2369977090141,-10.5895565177495,3.33166510652558e-26,5.56621873849879e-24
"ENSG00000204219",10.620967308947,-6.11154631476596,0.577518582685989,-10.5824236621819,3.59535534066091e-26,5.90320153605412e-24
"ENSG00000147168",409.256306575595,-3.00624586062046,0.284134425686089,-10.5803647458818,3.67524678688561e-26,5.93209748330706e-24
"ENSG00000171858",513.147406388422,-2.62037431909857,0.248004516022957,-10.5658330788461,4.29141227400468e-26,6.81118651422443e-24
"ENSG00000071082",1290.79433871964,-2.04904284703625,0.195326657583546,-10.4903389654319,9.56845023208546e-26,1.49377625508442e-23
"ENSG00000009790",216.14422683487,-2.41864195330738,0.230943762527481,-10.4728611279102,1.15110261711051e-25,1.7523024747187e-23
"ENSG00000083845",354.381569628808,-1.80359734286659,0.172227267587242,-10.4721939106012,1.15924662298937e-25,1.7523024747187e-23
"ENSG00000035403",6977.91616472584,1.83949728398903,0.175737336825598,10.4673105739309,1.22061634679126e-25,1.81623897976455e-23
"ENSG00000144713",820.460184660363,-2.05347681760915,0.196424314150687,-10.4542903789081,1.40043161755147e-25,2.05174004522194e-23
"ENSG00000204628",1325.38192322801,-1.49097566441788,0.142884401639997,-10.4348385639354,1.71905708254299e-25,2.48039099955407e-23
"ENSG00000089157",930.191039308647,-1.67022435077459,0.160128483300564,-10.4305262645843,1.79889189093034e-25,2.55684290706412e-23
"ENSG00000134419",249.063701640317,-1.68351645510366,0.161628541309001,-10.415960210178,2.09670954100508e-25,2.93631837632226e-23
"ENSG00000215908",6.20865583072602,-5.30437356420122,0.50957541319473,-10.4093985440663,2.24636374501475e-25,3.10030752808341e-23
"ENSG00000198755",303.821678744496,-2.05602239041206,0.198361960275354,-10.3650033885429,3.57745782024026e-25,4.86687583173542e-23
"ENSG00000161016",458.238716426448,-1.6603066756467,0.160404812626863,-10.3507285626706,4.15313208222744e-25,5.57046152381013e-23
"ENSG00000108107",485.728723523725,-2.08120956534587,0.201158640078657,-10.3461107339564,4.35832697893524e-25,5.76449275283338e-23
"ENSG00000100650",137.513372702042,-2.03763110140241,0.197117733165578,-10.3371273029546,4.78671617865998e-25,6.24436961224369e-23
"ENSG00000186854",11.9769964690186,-5.28336884292353,0.513172631569585,-10.2955000284483,7.38349602383983e-25,9.5017611668955e-23
"ENSG00000114942",405.458695120459,-1.6846225825338,0.163656145035655,-10.2936714180013,7.52511771444344e-25,9.55489279928598e-23
"ENSG00000234741",195.670887775849,-2.06721689489779,0.201142090504571,-10.2773958931823,8.91025348881172e-25,1.11647821018361e-22
"ENSG00000104529",362.396578345259,-1.70090108588952,0.165614424195973,-10.2702472574299,9.59584037264512e-25,1.18676867361947e-22
"ENSG00000166313",9.18772811514365,-5.00172638767582,0.489703784364203,-10.2137793241065,1.720307207866e-24,2.10031865903948e-22
"ENSG00000115268",391.94328464839,-1.85823568122862,0.181974098676657,-10.2115394154552,1.7604925319488e-24,2.10654113180875e-22
"ENSG00000137818",1549.06687956156,-1.43250345679182,0.140289722603658,-10.2110363482497,1.76964497054185e-24,2.10654113180875e-22
"ENSG00000082293",9.26135187994348,-6.1881899097025,0.606214760156441,-10.2079169238729,1.82745918289424e-24,2.14850540724714e-22
"ENSG00000164587",2097.34729522287,-1.95513311337322,0.191615241341409,-10.2034321470789,1.91387145400359e-24,2.22265827518002e-22
"ENSG00000132704",6.18882151932345,-5.93426809930035,0.582167657327379,-10.193400517204,2.12208787092744e-24,2.43477624034241e-22
"ENSG00000165272",4.64044201120154,-5.70782130937592,0.56257436400291,-10.1458965687004,3.45590310986045e-24,3.91792444228584e-22
"ENSG00000231500",2278.64301083558,-1.90656019002163,0.188353078008615,-10.1222672343821,4.40100864666597e-24,4.9306829814353e-22
"ENSG00000054267",173.786018928933,-1.53935746411633,0.152723828858629,-10.0793535338958,6.81731689469569e-24,7.54898939397524e-22
"ENSG00000107742",7.16816906957985,-6.22990975734677,0.619580438517147,-10.0550459150339,8.72807388595862e-24,9.55372961103264e-22
"ENSG00000185101",5.82350134073345,-6.00848610633823,0.597881638213326,-10.0496247456163,9.22179072193481e-24,9.97944466420286e-22
"ENSG00000163479",104.735636107998,-2.07510501134501,0.20655786242005,-10.0461197024064,9.55562235737291e-24,1.0224515922389e-21
