"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865","cancer_type"
"3-Breast-Her2-ampl",-0.713148339938234,0.0368226334435304,-0.65075725752469,0.337914281767225,-0.730252093486341,-0.679407972878328,0.187863244141088,2.82995199396224,-0.727287604892115,-0.710168945107317,-0.635539947782906,-0.690936611956738,-0.688892808663344,1.21181029365475,-0.612372087405145,0.0798525133570689,-0.632968215615814,0.189615839859914,-0.704645171319968,-0.691278181918619,-0.714723848537074,-0.623729790328492,-0.64886731912719,-0.769396932838048,-0.714338065378673,-0.758975999512551,-0.647695690186944,-0.633044305764664,-0.730082362524685,-0.659599220917581,-0.661677328966655,-0.713251455550199,-0.670859042680468,-0.731076396079994,-0.844972238678285,-0.70012022119934,-0.626619994427187,-0.505948321826484,-0.713423004479052,-0.664681304059018,-0.682635697448259,-0.655878876491829,-0.751339474917678,-0.622793491334502,-0.79925921770021,-0.638158669651134,-0.642423476961573,-0.791065392512473,-0.686433173928284,-0.602727290872584,-0.734928731980913,-0.167844554807231,-0.629347009572923,-0.64660539510351,-0.597085831035362,-0.271857484925391,-0.676850951130468,1.07171121035385,-0.68161930982505,-0.685787310920837,-0.639452283525324,0.362567864308079,-0.686660167999911,-0.72432017257179,-0.638686244281691,-0.588179281324547,-0.659561252280346,-0.668729853755201,-0.686420208555886,-0.683453934354817,-0.679560331815713,-0.848178899532866,-0.664412140905033,-0.74939316809855,-0.648027428988903,-0.713571329098452,-0.631024601669072,-0.667274744646962,-0.715781793439154,-0.781105004176163,-0.0299424592989607,-0.630751846996653,-0.655303922907389,-0.676571084027846,-0.751674312776761,-0.757301361703293,-0.634103522813996,0.481227720638177,-0.696317934898251,-0.681812978333044,-0.686934886399334,-0.621365561012294,-0.686748453646629,-0.746487956372521,-0.759710523433081,-0.648424079085831,-0.673423194517649,-0.716393536578379,-0.642454302645285,0.181462205297927,-0.618187489693604,-0.718543917811874,-0.668050659708603,-0.581053738792724,-0.754500399259847,-0.698459982696674,1.24830298643131,-0.715868354496665,-0.667947871780121,-0.741668625111895,-0.629161341634504,-0.740175595939361,-0.629934287733349,-0.785683815190211,-0.676590723992504,-0.614962359035399,-0.978538701535445,0.479274172104517,-0.628176262044575,-0.632805001331356,-0.670912446771361,-0.785012255028048,-0.666188381640364,-0.688611817789502,-0.757697012237744,0.703701267655963,-0.647363175261774,-0.684999693442892,-0.693955915123417,1.14487554817404,-0.671560412208918,-0.670493292185406,-0.696158394041061,-0.616658984599947,0.696314643042032,"Breast"
"8-Breast-WT",-0.701888581438167,-0.770627668336935,-0.63947676339892,-0.698013989812703,-0.718266994313634,-0.66912658183064,-0.770261585845868,3.71959274001681,-0.713906027511772,-0.700018519946441,-0.622964383193373,-0.671200612399466,-0.677442740237413,1.01235376538183,-0.602557568655571,-0.771651333083958,-0.622937045771969,2.35494193597722,-0.693303880204239,-0.680133081300375,-0.705610864108224,-0.6132327098793,-0.637795081801724,-0.748161945631619,-0.704033516781363,-0.742021223324103,0.623814428756803,-0.622036065020434,-0.715962973903557,-0.648512935942071,-0.650028067135128,0.960925671880113,1.23858165443305,-0.719890437363627,-0.820591272291347,-0.671293455312109,-0.611973810182815,-0.491242814887074,-0.700137417265829,-0.651364144089532,-0.670269328549505,-0.645564761946368,-0.732854768872884,-0.608337888086706,-0.780192065654136,-0.629066920417686,-0.63319055193067,-0.775554642876677,-0.675554487066429,-0.594677115912453,-0.724033848567858,-0.824108354845098,-0.61230831627484,-0.63539230004124,-0.585730817017152,0.531152287915336,-0.664789233306147,0.412310201088328,-0.668480554880846,-0.67285519170777,-0.631021159885922,-0.637184956788227,-0.673602480478878,-0.714161606524975,-0.626294467545731,-0.573376660565161,-0.649061578605474,0.0406875729822848,-0.675268739408602,-0.673036666973116,-0.66767880122792,-0.823602720324725,-0.654312193574779,-0.730239165803986,-0.0377761985968059,-0.701517257718231,-0.622969382388847,-0.656500391975733,-0.702509149191529,-0.765211277204599,-0.720420105050337,-0.614362521173479,-0.644963554237967,-0.668195275415361,1.22153029407467,-0.745127941247694,-0.624392382750729,0.619311641451391,-0.68626648897948,-0.669479405948005,-0.674566866604204,-0.609345176216147,-0.676312598848462,-0.731040042710123,-0.744872278826837,-0.637367993724414,-0.660584173423275,-0.703969467097429,-0.631795406765633,-0.723909661385901,-0.607067237330733,-0.70711695135254,-0.654270456971347,-0.56272642774313,-0.742696468561119,0.938045350703808,-0.697854289807522,-0.703982685867669,-0.659756035119187,-0.732290565919551,-0.618361621400923,-0.725513226317267,-0.617873300333033,-0.769455431611655,-0.666825498140407,-0.596765127782298,-0.941931750757085,-0.64475675787114,-0.617769740188692,-0.61951639369748,-0.658511228577047,-0.000621396192291898,-0.654065186485981,-0.680364679062641,-0.745466121833228,-0.675033627211415,-0.638243832058831,-0.672374640174187,-0.682879890114893,-0.120292279288487,-0.659078721622472,-0.661863011550945,-0.683550519674649,-0.605517411755957,-0.661398906698493,"Breast"
"10-Breast-Her2-ampl",-0.697500008079094,1.06722541502764,-0.635095309432596,-0.693809399313143,-0.71360296491445,-0.665114342586922,-0.76459229182479,-0.559028762579132,-0.0298836256412853,-0.696051838244688,-0.618099633461008,-0.663700009987934,-0.672985048685405,1.70219361821964,-0.598733430153776,-0.764278404943723,-0.619027795438117,1.13463426017292,-0.688888410181225,-0.675790195746865,-0.702040803006217,-0.609147728208085,-0.633491387936531,-0.740096090830313,-0.700003386995806,-0.735510790548431,-0.629736130971397,-0.617757428366538,1.59940421158129,-0.644200830253664,-0.645506513807442,-0.691495799681966,-0.653402153086867,-0.715529692141212,-0.811411851331103,-0.660650998966579,-0.606344054701517,-0.485666768416999,-0.694993190994987,-0.64621688668563,-0.66547181524763,-0.641543286183656,-0.725791266577176,1.04547551690494,-0.772893398837798,-0.625512934264002,-0.62958104380553,0.636073370386554,-0.671314462900649,-0.591524712307234,-0.719780495990783,0.395195915860751,-0.605800093674281,-0.631036472369048,-0.58133038841573,-0.750595465722614,-0.660102817183429,-0.563053340916554,-0.663398341221629,-0.667847434703182,-0.627718714171613,-0.630317488571326,-0.66854902013681,-0.710188630212903,-0.621499432143322,-0.567700935244875,-0.644972138077729,-0.651938477740147,-0.670928482820634,-0.668974719935893,-0.66306307741272,-0.814332264503612,-0.650371192327144,-0.722926359255171,-0.633237841210597,-0.696824799089455,-0.619811957541122,-0.652303108561628,-0.697363670400681,-0.759081713758574,-0.712149004192597,-0.608094975787388,-0.640934308573959,-0.66491137989419,-0.723318570939602,-0.74039019171747,-0.620605547634716,-0.69261875262556,-0.682338621900429,-0.664691920321441,-0.669771131824972,-0.604692232147233,-0.672241243066681,-0.725082752385375,-0.739139839817041,-0.633069458505245,-0.655604480755154,-0.69914299056698,-0.627647729886749,-0.719346953273134,-0.60274569723532,-0.702666162911969,-0.648949925761031,-0.555799181338236,-0.738097594689352,-0.684953226711904,-0.693800575279775,-0.699360610008343,-0.656542611163915,-0.728614982359732,-0.614164016516796,-0.719849129631447,-0.613202974323956,-0.763203929263569,-0.663008460356221,-0.589847723679281,-0.928527303747147,-0.639823399748724,-0.613715196472424,-0.614383607919091,-0.653702685292237,-0.76884384319025,-0.649361932814369,-0.67712765717487,0.0617561869122421,-0.670718430134065,-0.634678991254449,-0.667470998303189,-0.678563063030813,-0.749243409692647,-0.65424055999334,-0.658480102605496,-0.678652095268485,-0.601184794622881,-0.653773880687879,"Breast"
"Breast-100",-0.23727752919584,1.7425683319582,-0.260493939247658,-0.298947034359035,3.14216026168485,-0.277333539170908,-0.444725540020059,-0.174742295832041,-0.404956269489956,-0.312162387463113,-0.175130188851936,-0.438950369160112,-0.228944199229312,-0.499848020749371,-0.161320026053469,-0.500090111482395,-0.266143165744237,-0.454573241864947,-0.364045419389482,-0.229004572516056,-0.257802729496245,-0.167330549775817,-0.197718708305947,-0.487636736039558,-0.182124580825676,-0.489412914868045,-0.222076676875397,-0.233180489556833,-0.448927971284497,-0.29185145447459,-0.350024541246027,-0.38968991907422,-0.255977307337909,-0.364401057090936,-0.578549039653158,-0.365230932870235,-0.224313099415631,-0.280847280116878,-0.400986144858127,-0.278691018063307,-0.22361052723828,-0.237030037357481,-0.483993548446034,-0.305441558146894,-0.517701003183776,-0.232854552062699,-0.178623268426571,-0.494710605015937,-0.245001376976945,-0.195696982949719,-0.32794828100209,-0.603527198110171,-0.313687649745535,-0.273669516426698,-0.128476633205122,-0.475207235335801,-0.20184052261537,-0.318964446387796,-0.367932644757224,-0.342054431892958,1.87749495043546,-0.314139257221528,-0.357238339032608,-0.258399817488086,-0.248939868152973,-0.258274077521486,-0.233876468508392,-0.280712887263855,-0.279323212110892,-0.293601986531677,-0.299054554551227,-0.575964991525286,-0.266955995147402,-0.444329248776229,-0.272516092859956,-0.159307566400294,-0.218238104804033,-0.210886044247292,-0.282816085253897,-0.492895816175194,0.0886675191972632,-0.198681408623802,-0.305483364604792,1.15803893314833,-0.456994635792473,-0.418213254193663,-0.191204396943724,-0.216736769562071,-0.265654202496928,-0.261862673226731,-0.375106195193963,-0.21180107443244,-0.305663570330475,-0.412738943303369,-0.460231961409628,-0.26883346419673,-0.105479206467394,-0.345982932048535,-0.156013815212941,-0.397350509280102,-0.108788802123721,-0.361618443676299,-0.30056682909379,-0.238615128351748,-0.408437582937986,-0.281203925939756,-0.328867906794061,-0.38851854484629,-0.258826020760896,-0.333903882973736,-0.152664927743499,-0.407141719586191,-0.298344310386276,2.34670297146512,-0.204599175673897,-0.251547238003851,0.323658027886809,-0.186294421502573,-0.0983201562842805,-0.0697957213722884,-0.274296292558178,-0.325268140951533,-0.293298963653488,-0.245110311718464,-0.320274419527961,-0.302641916206295,-0.166445531416755,-0.11144254600444,-0.245191002851611,-0.406106359492954,-0.271384787274655,-0.179617823386421,-0.142418134984196,-0.158660564398578,-0.420363664896242,"Breast"
"15-Breast-Her2-ampl",-0.667957381318212,-0.714467706797752,-0.605814351519277,-0.665441789887589,-0.682306944614383,-0.638033464156355,-0.72695552945819,-0.522068618297889,-0.674256877593713,-0.669198098073695,-0.583404186688707,2.10724419945726,-0.643049756800749,-0.700407821534046,-0.572866326241048,-0.716518527685171,-0.592718158707108,-0.660627659371172,-0.659231841037056,-0.646570146978167,-0.67774342269565,-0.581739502530278,-0.604687178496288,2.12583421644198,-0.672677247094511,-0.692997151938646,-0.596595596989572,-0.589123045731547,-0.674413742431498,-0.615297256748438,-0.615333212077941,-0.651907983805143,-0.620984094640819,-0.686159147795044,-0.753631724176477,1.94370523591748,-0.569522747664889,2.85980440922621,-0.660831057751612,-0.6121636391595,-0.633490422574593,-0.614451187612702,-0.680104759444899,-0.566323454935776,-0.725527306377462,-0.601438766642961,-0.605126649684665,-0.72998031093847,-0.642772256494179,-0.570089851108389,-0.691047282827247,1.49822155580479,-0.56376764496019,-0.601918145768823,-0.547989694214617,-0.712250409755608,-0.628764416818324,0.228195501866337,-0.629721955373217,-0.634591165408012,-0.605250862783375,-0.586098069679488,-0.63502539385593,-0.683247899493036,-0.58970383989681,-0.530768264984769,-0.617483700676848,-0.620673378130849,-0.64179679286537,-0.641604872141866,-0.632204233872186,-0.755797689300648,-0.623777371556472,-0.675716705408793,-0.605415258056974,-0.652858110536254,-0.598298003119432,-0.624078413317146,-0.663111403590526,-0.718706301751155,-0.660060236763583,-0.567200923159843,-0.613823556562607,-0.642523162125244,-0.673260462690589,-0.708592050619751,-0.59508704298623,-0.658436771384254,-0.65575018090269,-0.632739507040411,-0.637830465069037,-0.573816776590822,-0.644777532798999,-0.685849526944302,-0.701246032460216,-0.604282730692826,-0.578460550180385,-0.666874349339438,-0.597173386918191,-0.688689773983621,-0.53578944791176,-0.672744872650444,-0.613831187174433,-0.511934205237568,-0.707162261727041,-0.659198516166422,-0.666403022297268,-0.668390764091451,0.246035751201094,-0.703574991006067,-0.582431885883751,0.597589673961333,-0.582191517449642,-0.722114714172315,-0.637156167861697,-0.545593730066719,0.0523692677776305,-0.607050217545321,-0.539535903579646,-0.569326112907408,-0.621680853102603,-0.738196332112456,-0.618006094920891,-0.655006558469258,-0.70874215401208,-0.641739893740058,-0.609914156562297,-0.585474756322543,-0.64950582561066,-0.71454833743467,-0.622043282728967,-0.63542907534852,-0.618281125807036,-0.572167399697176,-0.605536133019785,"Breast"
"16-Breast-WT",-0.68248670266363,-0.737954869974145,-0.620169213868547,-0.679406961148579,0.0223535747628717,-0.651367547713795,-0.745353680218318,3.98723069191676,1.36131951314848,-0.68243773153506,-0.601608166874664,-0.638793808650291,-0.657756496581052,-0.719420704024311,-0.585655909180303,-0.739616139566793,-0.605656140954368,-0.682159300409958,-0.673802971140213,-0.660937509648295,-0.689750602872202,-0.595199522993662,-0.618817460543241,-0.713325826418224,-0.686158689927463,-0.713630140934792,-0.612773466076997,-0.603169592742208,-0.692029613488736,-0.629485687684644,-0.630116091689932,-0.671147607979122,-0.636842226565142,-0.700607304358234,-0.781233220016985,-0.626416954637915,-0.587403903719041,-0.467194552027719,-0.677533098990921,-0.628784529976464,-0.649151927433475,-0.627779735298303,-0.702185300025364,3.08026721429443,-0.748453023543318,-0.613311032687978,-0.617187246624982,-0.749290008137467,-0.656809459992488,-0.58067802639757,-0.70520036312276,-0.792063374299221,0.174266362555004,-0.616195213898784,-0.566380872878772,-0.730960912741294,-0.644131903434611,-0.540306958129609,-0.646170382129295,1.97054628422428,-0.616352075991043,-0.607425032070778,1.60522285729587,-0.69653993495988,-0.605238198104157,-0.548662886748391,-0.630994087164302,-0.635980702176211,-0.656105690485766,-0.655071310236607,-0.647335350759672,-0.783795193752483,-0.636870289596252,-0.698513768483694,-0.619082898718624,-0.680796103785406,-0.608934997487361,-0.637953025419516,-0.679874644333559,-0.738375897446105,-0.68494783301409,-0.587135148700195,-0.627154167511826,-0.653595180964154,-0.69735375583568,-0.724210531683436,-0.607643027599387,-0.675173314259822,0.139440263703554,-0.64839498047074,-0.653466266752045,-0.588906298268058,-0.658296674047016,-0.70496082896337,-0.719735435708238,-0.61840821928613,-0.638670462840644,-0.682696998507525,-0.613486488913814,-0.703755086539557,-0.588014818560272,-0.687451959523597,-0.630954510804875,-0.532937528233215,-0.72237182294004,-0.67190627457958,-0.679901018563739,0.829425102665213,-0.645462238730828,-0.7159544157926,-0.599852546467983,-0.700678130620351,-0.597351730836778,-0.742113526538852,-0.649904449593508,-0.566876133511408,0.468050093456413,-0.623075017764699,-0.59985129783528,-0.594430827144732,-0.637355188858354,-0.753289033967902,-0.63336201412284,-0.665957794652693,-0.724443456925543,-0.655976835321979,-0.622439494693047,-0.650767391553908,0.15911959324986,1.60581654307667,-0.637798835830971,-0.646826138633854,-0.661959934345231,-0.58640570784648,-0.628626231905663,"Breast"
"21-Breast-WT",-0.697462535240199,-0.763033554954629,-0.635057933619263,-0.693773486848411,-0.713563157251122,-0.665080071178882,-0.764543973819911,-0.558980659789351,-0.708677543857258,-0.69601794262018,-0.618058181848904,-0.663636409134821,-0.67294699780491,-0.739377752255494,-0.598700779632082,-0.764215778967493,-0.618994416513903,-0.705059101170703,-0.688850719224716,-0.675753115460255,-0.702010275307381,-0.60911286284719,-0.633454668042721,-0.740027705940317,-0.699968941678769,-0.735455428943567,-0.629693471420167,-0.61772092266874,-0.710460101796844,-0.64416403144406,-0.645467950359877,-0.691444389145017,-0.653360593757164,-0.715492454567902,-0.811334205945666,-0.660561450531412,-0.60629616946099,-0.48561951446358,-0.69494934611531,-0.646173037953085,-0.665430903873777,-0.641508944379802,-0.725731281793249,3.54525147984921,-0.772831387797552,-0.625482562724993,-0.629550197022625,-0.769512713066585,-0.671278258544476,-0.591497759189762,-0.719744160949203,-0.816674821336522,-0.605744832575727,-0.630999313786864,-0.581292874539218,-0.750546061256,-0.660062836370527,5.23364684102129,-0.663355037315625,3.86125588760989,-0.627690476100123,-0.630259202077798,-0.668505954918696,-0.710154673355147,-0.621458571132172,-0.567652692421559,-0.644937226328014,-0.651898464743673,-0.670891437098603,-0.668940031835512,-0.663023701158979,-0.81425381092864,-0.650337530450254,-0.722864272804142,-0.633202469342912,-0.696784745232981,-0.619784954129697,-0.652267274140692,-0.697319800232585,-0.759029528542808,-0.712079036161663,-0.608041740794576,-0.64089990623955,-0.664883292875921,-0.723252311550383,-0.740349753736626,-0.620573208437506,-0.692575013101718,0.0289433855786388,-0.664651088011964,-0.669730241087572,-0.604652578134479,-0.672206469460594,-0.72503203482986,-0.73909101210353,-0.633032779871295,-0.655562018858846,1.36055014155237,-0.627612330050923,-0.719308003548626,-0.6027088271738,-0.702628165797456,3.97473453440612,-0.555740528635287,-0.738058330297161,-0.684920769072584,-0.693765943541331,1.44576987352078,-0.656515122896955,0.535331553518032,-0.614128202201091,-0.719800885120893,-0.613163168358878,-0.763150722311879,-0.662975841387035,-0.58978906562875,1.40526466319833,-0.639781349423944,-0.613680579510126,-0.614339890954594,-0.653661685689881,-0.76880507046352,-0.649321824954521,-0.677099962448562,0.0620644780258528,-0.670681595800351,-0.634648526779269,-0.667429168460401,-0.678526203163929,-0.749199081529193,-0.654199311613792,-0.658451170616036,-0.678610306366063,-0.601147823717493,-0.653709331930142,"Breast"
"33-Breast-Her2-ampl",-0.687775568755939,-0.746706388381788,-0.625416389285811,-0.684483890312584,-0.703282258750172,1.05848936385229,-0.752103974642146,-0.546662948927907,2.39476638199699,-0.687241446472567,-0.607391495064023,2.85870520293477,-0.663117463773374,1.37645877249113,-0.590261982178981,-0.748208101291118,-0.61036636414387,-0.690161610819439,-0.679113803860607,-0.666169022819772,-0.694093760666038,-0.600108522972886,-0.623978199424885,-0.722616390546294,-0.691045962309992,-0.721270891788711,-0.618719925851922,-0.608299945405112,-0.698505919053348,-0.634663139473592,-0.635524234469078,-0.678259784583089,-0.642655409521168,-0.70586492369552,-0.791659086859711,-0.138847335757167,-0.594020880571159,-0.4735995606911,-0.683659936698784,-0.634894964467912,-0.654884956658051,-0.632629400563804,-0.710405649360884,-0.590589736911866,-0.756972255200667,-0.617617185206835,-0.621561332226618,-0.756393753711593,-0.661919240134082,-0.584510050978339,-0.710341806733413,-0.800662996309315,-0.59163135950948,-0.621413010282026,-0.571629067642665,-0.737841864070125,-0.649747379638306,5.18545869953646,-0.652211939667386,2.3673487909176,-0.62036844605053,-0.615386457375454,-0.657420701592984,-0.701358124446177,-0.610941887919889,-0.555304193608342,-0.635916175835494,-0.641585684981119,2.32032162743269,-0.659970516020721,-0.652864968109993,-0.794354504030822,-0.64162965899936,-0.707010320620875,-0.624065609930154,-0.686438395510427,-0.612780010513563,-0.64300670192832,-0.686015866468031,-0.745624603584545,0.126080095696805,-0.594436058155957,-0.632007949790486,-0.657596102633896,-0.706370701571777,-0.729905401760243,-0.612210810763902,-0.681301134538061,-0.673614753108767,-0.654121903476183,-0.659192529140512,-0.594444416917794,-0.663211946337573,-0.71200473965866,-0.726535516542635,-0.623565373952906,-0.644618191997366,-0.688479186985004,-0.618470293661238,-0.709244807365251,-0.593194861149181,-0.692809536991495,-0.637258118806135,-0.540849421275912,-0.0589849533397928,-0.676512239509651,-0.684803132768141,-0.68913903002659,-0.649381013768125,-0.720429701403163,-0.604885677748299,-0.707396020339681,-0.602913830427603,-0.749492227283447,-0.654528772754372,-0.574849986984593,0.376029499424796,-0.628952702886431,-0.604734035216777,-0.603100595797135,-0.64309621013971,-0.758773389360894,-0.638982786622959,-0.669909649622509,0.140933239667808,-0.661166383836342,-0.626758976018274,-0.656639096782739,-0.668997905638116,-0.737767817323138,-0.643571823122188,-0.650945857876216,-0.667828748233136,-0.591604442380928,0.112611896360767,"Breast"
"42-Breast-Her2-ampl",-0.684022188327176,-0.740484156732572,-0.621691380289047,-0.680881279980939,-0.699303835793131,-0.652774977835528,-0.747310473627884,-0.541951814039841,-0.692906343605268,-0.683833232241215,-0.603284302752305,-0.641289831748712,-0.659312499372181,0.989158235230517,-0.586993067315542,-0.742100134642912,-0.607023597157596,1.62524618642639,-0.675344455180755,-0.662456257275206,0.222321307797907,-0.596624205664336,-0.620314795869596,1.5421143515302,-0.68757870306886,-0.715841075730578,-0.614496650954416,-0.604658100418294,-0.693906245793777,1.82649495929584,-0.631684702629855,-0.673206306686186,-0.638527665233181,-0.70213380864263,-0.784238150241999,1.76862219505386,-0.589318900400318,1.34657835841561,-0.679309227056267,-0.630555162399707,-0.65081457899235,-0.629187827762893,-0.704561472955115,-0.58593638591197,-0.750916488266336,-0.61456207011487,-0.618458042530005,0.779878014406178,0.153429872417586,-0.58179178136146,0.0661497173106144,-0.794550005849579,-0.586252596937087,0.102548862144667,-0.567902534830186,-0.732954676722688,-0.645761018478609,-0.542573788627025,-0.647921361178147,-0.652579015645077,-0.617519483033119,-0.609725185453958,-0.653150480650891,-0.6979398929157,2.12702879895806,-0.55058384201961,-0.632422858197983,-0.637606127365933,-0.657619927969284,-0.656493818395652,-0.648939522851502,-0.786839561930735,-0.638252416299281,-0.700969260150305,-0.620529082100452,-0.682433718262572,-0.610052784863264,-0.639420056799102,0.122264764501513,1.29020729477141,-0.687656828235859,-0.589245730148769,-0.62856326557754,-0.654758365267673,-0.699957510072853,1.24388803418842,-0.608969317872366,-0.676950391869334,-0.670240135585622,0.650426662043389,-0.65512679922142,-0.590511614384175,-0.659724020425536,-0.707000944532972,-0.721705743284344,-0.619904614217571,-0.64039525861811,-0.684374449026128,-0.614932863277138,-0.705348560745157,-0.589517669354895,1.27058373468683,-0.632780652707998,-0.53521924985015,-0.723979706800374,-0.673244592244065,-0.681324846256427,-0.685201080682667,-0.646601678262279,-0.717255405327918,-0.601312842456027,1.95422954608019,-0.598964112287236,-0.162765072657146,-0.651247900450347,1.32121529410019,0.930595335415743,-0.624778971919707,-0.601268734263539,-0.597209642646284,-0.63901997193695,-0.754881803561504,-0.63499212868224,-0.66710701307303,-0.726104853779967,-0.657483088975457,-0.623694411704412,-0.652470680870097,0.147874008208979,-0.733353269392409,-0.639472764351699,-0.648023789250768,0.295585846985961,-0.587914165232861,-0.631135205996532,"Breast"
"Breast-454",-0.20466373731294,2.16520200569829,-0.226444830977779,-0.269573947535515,-0.32879104934636,-0.249039231682566,-0.413019824641042,-0.136669221413777,-0.370140157990765,1.93132017082012,-0.139718240290133,-0.409657469789218,-0.199969483854559,-0.468885136756259,-0.132075045864443,-0.47059397112065,-0.240167938152805,-0.422881788706491,-0.336430538995393,-0.199744320607907,-0.221482168600863,-0.139078542540903,-0.161025945202113,-0.460362654367749,-0.150068282408606,-0.460641676451202,-0.188394637140065,-0.20683388753018,-0.422597463975252,-0.265232162858651,-0.313745901499187,-0.364499640973934,-0.225330347529952,-0.332567091286821,-0.566819839195527,-0.345273776861157,-0.189817764353105,-0.268351949873236,-0.373328540587773,-0.250760336929157,-0.18816895078699,-0.209460069394803,-0.456899893481639,-0.267880439656111,-0.487829286701687,-0.205122548014352,-0.150200336586419,-0.462666330688506,-0.215177989131384,-0.16927789716656,-0.297649974149286,-0.579120298147723,2.2894056922861,-0.244917286363234,-0.0989865577323152,-0.445613903198789,-0.173446467633292,-0.302536127688191,-0.335392291471265,-0.306584106435654,-0.188120979636466,-0.281988381484708,-0.329478812427674,-0.227233684828194,-0.217069691687185,-0.22418247091939,-0.199943928840016,-0.246844400851631,-0.245830988174233,-0.261017569651421,-0.272009524836805,-0.558007430549578,-0.239181129001496,-0.414987828664219,-0.245787875593295,-0.128063213734496,-0.190497687955424,-0.180899705438904,-0.252000976354694,-0.461319912219699,-0.464946255897163,-0.168412066931182,-0.278936748783446,-0.146518104007205,-0.428950128280745,-0.387410430488599,-0.157226922630849,-0.186188265199509,-0.23609574602083,-0.234274828937404,-0.348574238911681,-0.181976383045412,-0.277458929913603,-0.381153332800658,-0.431042675510088,-0.241769653400351,-0.0755369926801921,-0.317984055561032,-0.121993649356089,-0.368772840935719,-0.0817574090393991,0.731734850051734,-0.264906132524207,0.517278424262899,-0.378996882929965,-0.25154981603625,-0.299760348609265,-0.361072008773201,-0.229611912512093,-0.302241420100102,-0.116843466799661,-0.377285844923103,-0.261526355311584,-0.478600657449743,-0.175096693986027,-0.219975218557844,-0.618612086689188,-0.157068008297996,-0.0703888722972767,-0.0371245620718533,-0.246572911538797,-0.289149969372255,-0.26708048711136,-0.214652686939314,-0.282977484232937,-0.272136917647738,-0.132935506460784,-0.0814338068183431,-0.21598548688147,-0.374430572090814,-0.242522905288571,-0.149593966005096,-0.112293497735754,-0.131376740304256,1.04095801962364,"Breast"
