"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU280-GBM",-0.531086941991458,-0.579207759455052,-0.597077557188391,-0.591511624664076,0.617717797900304,-0.591962981377504,-0.514863338065323,-0.547336351664868,-0.568319080977251,-0.440898891988603,0.459809130837856,-0.517535465499268,0.558080330546352,-0.578101156809064,-0.476082669998753,-0.43023640706834,-0.477588412163681,"GBM"
"VU284-GBM-vIII",-0.696662452220312,2.28313663247941,-0.689459360770471,0.124316723559108,-0.691343382438585,-0.68721473904143,-0.692275229194386,-0.649647833133539,-0.684617012600958,-0.542917193864964,2.34664409985967,-0.610864523064197,0.743735268955802,0.709190744096611,-0.559513297135119,-0.652443181665525,-0.679309893325848,"GBM"
"VU306-GBM-vIII",-0.706399232214253,-0.691015681270612,-0.704561594876561,-0.716546922507703,-0.703591027305936,-0.700853276733446,-0.701468114176128,-0.664783651068841,-0.69670910481163,-0.554625119359445,-0.682753950837774,-0.624748264278887,-0.442162216999962,2.95816891322225,-0.569368350578649,-0.664410575205696,-0.689315172404498,"GBM"
"VU360-GBM-WT",0.0778163376873366,0.0735431639068475,-0.0106626806225625,0.0162419190578667,0.153936577684854,0.0919063136060806,0.168836154368702,0.0949308056385167,0.151764452272275,-0.00841236155609734,0.0474023431354135,-0.15358382816396,-0.0271556478987337,0.0660507231422463,0.0214758870616052,0.202029168426781,0.12657933645981,"GBM"
"VU372-GBM-vIII",-0.594799368541765,-0.607201931826745,-0.625583629553802,-0.622201850373895,-0.606305169044227,-0.619113957009159,-0.586402045685953,-0.575253578206324,-0.617787215979276,-0.486152000690477,-0.600223715614319,-0.555617444584385,-0.332885272580827,-0.606666827813102,-0.519368131464666,-0.496393340991013,-0.540805337729508,"GBM"
"VU378-GBM",-0.735541281004734,0.711977032817656,-0.751932375690635,3.29008091327288,-0.741022925333511,1.0264496285134,-0.728889274445084,-0.712451144094631,-0.733662250748666,1.57839134421698,-0.728844313837286,-0.668745250896938,-0.476186726412339,-0.0756963552595147,-0.599233666763198,-0.699675343443128,-0.719355268615324,"GBM"
"VU383Platelet-hiseq",-0.726946739521435,-0.722430629895467,-0.73760144489096,3.08393080412312,-0.729858285014975,-0.730385024280177,-0.720817005752429,-0.698000035436615,-0.722641039132682,-0.58020967151327,-0.714914852970814,-0.655356139790234,-0.465834216844231,-0.724856889185477,-0.590368486796655,-0.689167584447502,-0.71048096476121,"GBM"
"VU393-GBM-vIII",-0.201771665607528,2.81616162970077,-0.301514956785998,-0.282793431056116,-0.162075180620694,-0.224142103746045,-0.145095766057428,-0.209247269689725,-0.178873801758719,-0.2069956990598,-0.259338171307864,-0.320698236928764,-0.154239114016667,-0.248360358874116,-0.206986346815928,-0.0882860190657112,-0.150834269493991,"GBM"
"VU394Platelet-hiseq",-0.716626578691965,3.38936093640943,-0.720800184034217,-0.735619197687068,-0.716592187351654,-0.71542109262061,-0.711107579832608,-0.681091408979508,-0.709544626023077,-0.567204459090429,-0.698568212421499,-0.639748909283037,-0.45376367428524,-0.708283486438999,-0.579786630286977,-0.67667024802317,-0.699841426482705,"GBM"
"VU398-GBM",0.31142840371996,0.335784208663585,0.23236134166774,0.266103376393855,0.417982813139735,0.355983179830219,0.431144564100416,0.349089309515064,0.428031977070655,0.15751558673632,0.303701914184722,-0.0139500032670055,0.0790299921449266,0.328759500299371,0.212369394070456,0.44460442184081,0.35837456682983,"GBM"
