"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865","cancer_type"
"292-Liver-KRAS",-0.680819057068399,-0.757285423400814,-0.751234741625568,2.34891565283399,-0.717411180685118,-0.683219781344946,-0.803977421803742,-0.619519348902712,-0.733362491059042,-0.670991945404299,-0.686286307538624,-0.700849986331262,-0.762676533151494,0.563983220878987,2.13161498910113,-0.779834518500842,-0.613231474296488,1.97258740527581,-0.723741583390177,-0.642638308743928,-0.634019367194356,-0.768649679263513,-0.510800252142963,-0.676816624336747,-0.667503787518158,-0.619911912430062,-0.618149640365313,1.07903362623054,-0.787898058925608,-0.650357854623043,-0.760579140102989,-0.695553860655696,1.18288383430984,-0.665714762720691,-0.755017323617794,2.09957295066735,-0.669004742269714,-0.75314146702396,-0.643520817574255,-0.703634894937325,-0.700969430072082,-0.742308329563154,-0.660859220345831,-0.717175733914199,-0.680832767408079,-0.748156400527206,-0.660924130959983,-0.610579005950778,-0.766236367048378,-0.782864124311039,-0.744519445473179,-0.665368651354593,-0.742301879686051,-0.66342807859318,-0.67247595414,-0.708503441976163,-0.667963085091794,-0.725606964026653,-0.633974432817651,-0.678482237245404,-0.694447938398954,-0.792640513801686,-0.777702944580773,-0.641422851086309,-0.651172503198362,-0.691197124094539,-0.685763156405454,-0.678450015900722,-0.674321383528885,-0.749444714523292,-0.663523665861505,0.571491524581817,-0.752890825105598,0.077033333481525,-0.671723494582815,-0.664970119477573,-0.779996159562022,-0.656283370358299,-0.643259055033352,-0.648099024319361,-0.585993657823397,-0.703512057373854,-0.752833349200079,-0.711673713761837,-0.721478469413717,-0.723557907901842,-0.759334260320353,-0.758438562591964,-0.732518255436925,-0.783256705524397,-0.645497947762345,-0.697898461775386,0.584741594031547,-0.67251486998519,-0.630553805418995,0.461583560792414,-0.643191745835843,-0.767497927063209,-0.646735465171246,-0.756213333933907,-0.667488929758352,0.915831367213952,-0.774641187519362,1.87138353438228,0.157840471722548,-0.691307623673577,-0.724716096633434,-0.696963362374928,-0.113041042223874,"Hepatobiliary"
"316-Liver-KRAS",-0.704194627147381,-0.790155916893757,-0.0886149246078515,-0.778107438237911,-0.741498390042605,-0.70835887440363,-0.834970008943121,-0.644586039079774,-0.762162995680832,-0.693793733355135,-0.712027073139335,-0.725063908194278,0.23535653454885,-0.0623810563001692,2.51814312070794,-0.811847593743702,-0.639531197950632,-0.687451082141329,-0.751849198361635,-0.665850494195448,-0.659148896435748,-0.795278937298499,-0.537360787668041,-0.698881817399945,0.0348674815678956,-0.64581265295883,-0.644746078412455,-0.779943699985555,-0.821889727007473,-0.670694704800305,-0.782137600713455,-0.724293486775672,-0.760236979184299,-0.689270931186744,-0.779890507378728,2.80485670381327,-0.691703161295295,-0.778347032481443,-0.666108678742389,-0.728293075998466,-0.0816923852751146,-0.770506261394909,-0.687127033633742,-0.740201598791051,-0.707468659917917,-0.77670628242156,-0.684401320292857,-0.640184951447974,-0.793354617549671,-0.816917479919421,-0.773571360271517,-0.69000371823641,-0.778931359058954,-0.689487386278451,-0.694306531475585,-0.733378296530962,-0.691418541957714,-0.750534987036172,-0.65823869151234,0.450393211598759,-0.721854385658559,-0.82451445714541,-0.819937302561403,-0.675284474061245,-0.673610894264195,-0.714318546213092,-0.707121489803286,-0.70029147157561,-0.701241063824237,-0.776168046771141,-0.68855889435855,-0.866272970788727,-0.781792834824369,-0.756508020373209,-0.697674508801278,-0.686978901752598,-0.804988635100926,-0.687753232553428,-0.666701929427733,-0.671304057191999,-0.613774087728087,-0.729351577138145,2.44246431307269,-0.73638894254965,-0.204884611966961,-0.746578659234813,-0.78592016829571,-0.784282844626583,-0.755634465891809,-0.807287394387663,-0.672530640459837,-0.720459587840803,-0.702376014567815,-0.696389023415766,-0.651715191350713,-0.807464053754265,-0.668062666598157,-0.792747412159856,-0.671517850793263,-0.783776892877828,-0.690844278429647,3.37333751811404,-0.795130836573945,-0.717046920569119,-0.788765462827925,-0.714382424783438,-0.741975415326588,-0.723511608173515,-0.532339551704567,"Hepatobiliary"
"341-Liver-WT",-0.671858498995617,-0.744964697289269,-0.740450641525187,-0.731248103122306,-0.708175607178808,-0.673638900646482,-0.792236963450036,-0.610021362707378,-0.722455982339788,-0.662245488646855,-0.676489079081908,-0.691580221587811,-0.747913875999329,-0.690549966555678,2.50481889219144,-0.767773910108811,-0.602413061883758,-0.656854957503554,1.05785396432509,-0.63377242476098,-0.624482243521072,-0.758466845591302,1.75567514141141,-0.668337793285434,-0.656116565039336,-0.610116067450463,-0.608118796635893,-0.739708294431456,-0.775150303150576,-0.642522488502802,-0.75223003998538,-0.684699640792846,-0.722602258857598,-0.656705476768686,-0.745473852704745,-0.657970730234796,-0.660301619721847,-0.743482372002394,-0.634868555353407,-0.694205023858754,-0.69109543705148,-0.731594511210335,-0.650907007128129,-0.708320014210305,-0.670731886544002,-0.737314604021942,-0.651946781151443,-0.599507096464798,-0.755885865546591,-0.770111110525912,-0.733506002785379,-0.655976857726231,-0.72869416043061,-0.653538345006037,-0.664077581093294,-0.698994204224351,-0.658985762586775,-0.716071119846681,-0.624740260603359,-0.668792455983425,-0.68406506283078,-0.780603951939258,-0.76222400966048,-0.628875809404735,-0.642581627423731,-0.682323674281554,-0.677534615902859,-0.670047287193097,-0.664111638362486,0.0529935039075549,-0.654002213954378,-0.821489594990955,-0.741934897567049,-0.719139331035823,-0.661867337153563,-0.656518107015185,-0.77039461205438,-0.644524536327034,-0.634309374719542,-0.63923341353109,-0.575577104655131,-0.693658524132216,1.71979387641866,-0.702221561432329,-0.710009417934598,-0.714703727496198,0.037425935301975,-0.74855137070123,-0.723624230886532,-0.773992648661965,-0.63528010192185,-0.689224390690087,-0.66636860282466,-0.663389720797918,-0.62243880080698,-0.759482259836535,-0.633733391010246,-0.757814771249778,-0.637308486498914,-0.745717577252866,-0.658555236757308,-0.614947747739628,-0.766682231885672,1.63646811836087,-0.750460016773187,-0.682450797814696,-0.717968474177049,-0.686868962780542,-0.493408767557345,"Hepatobiliary"
"376-Liver-WT",-0.700446602733128,-0.784810779431909,-0.775023735805868,-0.772556628240051,-0.737636756323025,-0.704313515196609,-0.829963631870804,-0.640537835261571,-0.75750986392808,-0.690139219902014,-0.707881513626424,-0.721178251229045,-0.796341496486556,-0.724581110730496,1.5198227019589,0.455903781024281,-0.635274568253888,-0.683909536770854,-0.162827931940099,-0.662120331078187,-0.655094683455657,-0.791002603235291,-0.533017269749049,-0.69534915476472,-0.692902729182771,-0.64162497084883,-0.640438366845888,-0.775232049344188,-0.816364161810077,-0.667444062283524,-0.778702631879546,-0.719642531165715,-0.755844534834678,-0.685488614790124,-0.775904521394747,1.4083969594809,-0.688064230158291,0.89076877444195,-0.662485359510441,0.113726639546407,-0.722724818940145,-0.765959964772818,-0.68288455284567,-0.736517116866577,-0.703169117808984,-0.772101752445949,-0.680631240006577,-0.635364812576479,-0.788994747687711,-0.811376896516692,-0.768880839256437,-0.686040301413079,-0.772941959706579,-0.685283058219731,-0.690813975831603,-0.72938303106721,-0.687654113696184,-0.746532762210052,-0.654330718412709,-0.699835756333488,-0.717427775323436,-0.819355637650587,-0.812971300035033,-0.669739226178254,-0.670010372237065,-0.710613902802867,-0.703707459797708,-0.696797189646649,-0.69689614983229,-0.771871065697236,-0.684525004364914,-0.861015729553889,-0.777126177898888,-0.752152491816944,-0.693489517804058,-0.683453967067486,-0.800986677868503,-0.682626618356107,-0.662933578083858,-0.667575662210289,-0.609258669994542,-0.725195027468392,-0.778487565697842,-0.732420318780967,-0.747012697153874,-0.742895074841391,-0.781647784681395,-0.780133701543164,-0.751936402451912,-0.803447710343709,-0.668158275640764,-0.716848728578533,-0.698169231866653,-0.692554124259368,2.80252151173406,-0.801787107000166,-0.664055223221581,-0.788699870522114,-0.667525243897684,-0.779338863423284,-0.68709450043195,1.9810587182547,-0.791872132314737,1.92525365843135,-0.784303659129749,0.0856062332149515,-0.739241397266158,-0.719233309089936,3.83311627874553,"Hepatobiliary"
"379-Liver-WT",-0.511753353038371,-0.673886996703078,-0.66880913451155,-0.657919136178927,-0.606161705206525,1.01135334593037,-0.723272731090165,-0.508659112527994,0.738672566129346,-0.499553276756364,1.06511141542225,-0.583686761237639,-0.665869139960882,-0.60680120297541,0.315194684214426,-0.697594961569365,-0.496707597723066,-0.490319433625238,-0.650522120629839,-0.513148857064152,-0.508183065343807,-0.690021666762664,2.01821197844556,-0.543787159839119,-0.559792280533373,-0.493669474260548,-0.510814778483194,-0.674709830400164,-0.701546980859171,-0.497371602070013,-0.55654985209425,-0.620514944884066,-0.661245765669675,-0.528693057348835,-0.662897000830081,-0.467213233834911,-0.530728534235242,-0.675964380244748,-0.447689656472174,-0.580667341935559,-0.62545321954561,-0.668347710592584,-0.58740611313749,-0.574753829063738,-0.60927347769165,-0.672115859785336,-0.522542306653586,-0.520557725451683,-0.689510417523223,-0.696638782848544,-0.667821160368124,-0.545065811085257,-0.651410042105659,-0.576230182348205,-0.470500680673025,-0.611556906229198,-0.515547341549885,-0.658049918395487,-0.498586180238039,-0.577952792887509,0.943803525770238,0.119754491970315,-0.67614407792939,-0.55226721051909,-0.545173047059636,-0.542718715602617,-0.54457635574478,-0.512160705236468,-0.55530971392871,-0.678577925146666,-0.587697539472957,-0.749597319138987,-0.677508369591421,-0.625032589220985,-0.585401256119885,-0.517715838492599,-0.703837798527736,-0.57077200525623,-0.509973420186555,-0.530917187380263,-0.496647501457422,-0.588711254821067,1.14168791408015,-0.62643377551946,-0.643417856434168,-0.61041029739034,-0.688658037799422,-0.689453675733654,-0.624063088117184,-0.634809536995477,-0.52879085337246,0.513172149665883,-0.577968354883994,-0.556191268562414,-0.499547913154172,-0.684144683519217,-0.509216111481945,-0.69968069931617,-0.527685446842285,-0.68350765650839,-0.548292231444028,2.94392135113728,-0.586863153667081,-0.589911786425753,-0.673639932742775,-0.541655175654686,-0.675966357842079,-0.602407724798498,-0.422081756437382,"Hepatobiliary"
"Chol-410",-0.6902183480344,0.680534165020132,-0.762597634855504,2.29742817005116,0.639002801644177,-0.693302441872823,-0.171929725847476,-0.629547384402834,-0.108284798553525,-0.680163200366726,-0.696604307024704,-0.710580722778339,0.44612668428505,-0.712326449557438,1.40336499432142,-0.204953911274868,-0.623736332536099,1.86848403124038,-0.734985557735961,-0.651957147366929,-0.644079769314354,-0.0113924394904984,1.19652121475629,-0.685698380500875,0.103381263451397,-0.630265186109825,-0.628767795947997,-0.762439774754351,0.181000806031409,-0.65855335573639,-0.769286464202197,-0.0312141163624136,-0.743898993875528,-0.675177229445259,0.0271147940599479,-0.673170256718017,-0.678132693689144,-0.76327508484415,-0.652600512963661,-0.713539610265464,-0.71136547772541,-0.753602503102425,-0.671367283554148,-0.726447714933977,-0.691492306178979,-0.759588901490967,-0.670354080804154,-0.622354776739398,-0.777119860140987,0.408590334398675,-0.756144141212385,-0.67525060395274,-0.756827077244657,-0.673860540680737,-0.681267763133179,0.570180459291906,-0.6773881283919,0.493981333121485,-0.643700173840149,-0.688685600170347,-0.705411112689635,-0.805372312135752,-0.794347821775643,-0.654835548662038,-0.660190093565009,-0.700498912661011,-0.694370110453913,-0.687246249714292,-0.685095194557886,-0.760168672750333,-0.673555438618508,-0.846760184832757,-0.764455042205525,-0.740299271764513,-0.682115964029146,-0.67382684011238,-0.790055143723706,-0.668795430226857,-0.65266852627378,-0.657416099794977,-0.597056361541871,0.606264632862934,1.97646160284343,-0.721601472372086,-0.733633715907701,-0.732827990015693,-0.0493432308686152,0.461538108680097,-0.741828197173035,0.13656368788445,-0.656300795156571,-0.706981979672323,-0.686734254114397,-0.682102388789938,2.77915981778322,-0.786453508172335,-0.653157547374774,-0.0256357617018301,-0.65666681733151,-0.767264011159725,-0.676871260603079,0.839493633862599,-0.782927527483895,0.0752737476663623,-0.772157262138647,-0.700591237679967,-0.0255467116577538,-0.707600297636442,3.63487737904211,"Hepatobiliary"
"Chol-442",-0.595818406933613,-0.704737523338264,-0.704681243217919,2.46261568303688,-0.677252570857947,-0.641781750277062,-0.753456755338708,-0.578267176900047,0.61179387170741,-0.582855559204792,-0.643962174442623,-0.660598946876392,-0.219451208860763,-0.65554793473658,-0.649772554656047,-0.72817686867031,-0.557975912074049,2.37807096046737,-0.677909349810209,-0.589688064284764,-0.583569221124826,-0.72447601892773,0.864991998875034,-0.625876640273434,-0.615555968826227,-0.565054612864742,0.239057566715783,-0.703165595955925,-0.733505855860591,-0.578531236823191,-0.654203641958143,-0.64897472646745,-0.688187683982463,-0.608459856307191,-0.713493321062327,-0.55587257725483,0.366762448254562,-0.711159939359794,-0.528909341716389,0.434995002855707,1.21275711079383,-0.696091306058609,-0.618036069665508,0.392684657953043,-0.637333928209808,-0.701409599269246,-0.601830252772332,-0.555361133171277,1.4891123809923,-0.728509586365749,1.60016607247022,-0.622840883753736,-0.684706250791824,0.409203957454944,-0.556789847496713,-0.667263739342812,-0.596715917992983,-0.68422594626786,-0.574642190552475,-0.636612736120558,-0.649773293517136,0.540717153754426,1.11254120094914,1.12936671265471,-0.613865961570136,-0.626928952667971,-0.628913511141889,-0.596674856690128,0.278733352443243,-0.705287486147378,-0.622416516805215,-0.781010961424993,-0.705720172271113,0.26491411504911,0.234424806040365,-0.599437620268997,-0.738170552759462,-0.606287268427538,-0.586615411014082,-0.60721201377121,-0.530244851142744,-0.660874010047634,0.608470574242174,0.862333011032654,-0.672405784170571,-0.684949828040742,0.175765481479173,0.170819917229256,-0.693723889791691,-0.730623937786576,0.261529814231156,-0.641029662925937,-0.633516921831417,-0.632948101798226,-0.586400658683318,0.68888120989467,-0.58494786031198,-0.725383030860248,-0.602722244329155,-0.710848518251944,-0.625736519164372,-0.526795372465748,-0.686329018694409,0.987778620675497,0.368387798822008,-0.62598190914318,-0.694850854584542,-0.653393142202914,-0.459913634269761,"Hepatobiliary"
"Chol-460",-0.670188122913715,-0.742684054578789,0.0756847376528131,-0.728887776710726,-0.706453808064437,-0.671856179308946,-0.790056530960472,-0.608257349111362,-0.720430665134715,-0.660614673312273,-0.674666875501051,-0.689852914871147,-0.745200623065739,-0.688582330496987,1.77138731434492,-0.765537873001442,-0.599819605603275,-0.654801212301176,-0.711114002679995,-0.63212160511823,-0.622710078305841,-0.756570071239708,-0.499115230375911,-0.666755965448954,-0.654007677379173,-0.608297814466371,-0.606258559135165,-0.73765430888573,-0.77279023373045,-0.641059460486666,-0.750668460750138,-0.682685781956476,-0.720673623040321,-0.655027237041468,-0.743694249630126,-0.65655849570254,-0.658679095662571,-0.741681916814923,-0.633256043177919,-0.692448486395657,-0.689258663926907,-0.729602903055995,-0.649058666432785,-0.706667405996665,-0.668855377429718,-0.735299552153256,-0.650274595030147,-0.597459333948906,-0.753959016598032,0.767578778527853,-0.731460169325657,-0.654229155017827,-0.726182383388,-0.651700661827767,-0.662510194645428,-0.697223076222078,-0.657313089290458,-0.714294646039947,-0.623022867107544,-0.666990087444156,-0.682136772548094,-0.778370737365215,-0.759378460743323,-0.626561810657506,-0.640980772199965,-0.680668907641379,-0.675998192414636,-0.668479068994494,-0.662214861351545,-0.73734883615949,-0.652231716782733,-0.819209804823131,-0.739899745789064,-0.71722141144011,-0.660035415935253,-0.654941597545221,-0.768603431514495,-0.642350245985679,-0.632643211794401,-0.637582491910722,-0.573648987563311,-0.691824738388036,1.73306677698973,-0.700460824853827,0.361481732834003,-0.713051372002347,-0.747288551164475,-0.74670938323594,-0.721964248873706,-0.772262510072467,-0.633383867474441,-0.687605857620849,-0.664525627024977,-0.661690233444681,-0.620925847121,-0.757061988763675,-0.631974699326632,-0.756009391147406,-0.635555483992662,-0.743765127976873,-0.656890999569436,-0.61361909276691,-0.765192160816754,0.787096217713759,-0.748492538297093,-0.680799055211911,-0.716702532642197,-0.684992084093584,0.961788422862999,"Hepatobiliary"
"Chol-611",-0.725338961257228,0.441167572108448,-0.195180114315905,-0.234108943953912,-0.763280890986063,-0.731289953186188,-0.330151037655041,-0.667642087919617,-0.788682127514665,-0.714399409740156,-0.735551288640423,-0.747009101526913,-0.478333368153034,-0.754797113672719,0.862840594993537,-0.841553913689058,-0.663842830500077,1.45259990427586,-0.77771141812794,-0.686956037331713,-0.682206716035278,-0.819454246062727,0.430758010979505,-0.718773204304796,-0.726084462024624,-0.669699106236562,-0.669375736177661,-0.806778259685689,-0.853646713020921,-0.688959368487739,-0.80135948085695,0.215429011788367,-0.785175874866236,-0.710648399874246,-0.159304140618474,3.94148412218036,-0.712228592451166,-0.801159921429855,-0.68656074979914,-0.750673986767337,-0.750582913841038,-0.79634351980438,-0.124035982095544,-0.760933371787416,0.573919516390539,-0.802885418369211,-0.70571288454411,-0.667935355306028,-0.818039160613684,-0.84880181448584,-0.800277534670711,-0.712463518856815,-0.813629888690878,-0.713400297314478,-0.713952924692043,-0.755969137205924,-0.712682022637405,-0.773154041503429,-0.680415389219775,-0.727185903360339,-0.747070818205058,-0.85398709049295,-0.860804396699724,-0.707471312956177,-0.693944198898814,-0.735199170488637,-0.726305190762706,-0.719947798510271,-0.72596779317207,-0.206243689177604,-0.711464819717993,-0.896287767595569,1.07149708656593,-0.149392503512134,-0.14192945688358,-0.706836097653908,-0.827528056216723,0.325547897239245,-0.688031770868275,-0.692395237914995,-0.639710151498064,-0.752901251514879,1.08144499569836,-0.758821918760844,-0.292246226428625,-0.767305136502646,-0.810095926563115,-0.224567536664729,-0.776436693086728,-0.828852085281878,-0.697483743307036,-0.740782466674355,-0.726281532907784,-0.71807533319701,2.93671399998618,-0.246515724577219,-0.690817136035151,0.258194555520637,-0.694184144287849,-0.249787327857041,-0.712035884830305,3.49448078986375,-0.813324168436842,2.39562544793113,-0.814050035812395,-0.735216693811488,-0.7571618239477,-0.747809643862662,3.8588960501913,"Hepatobiliary"
"Chol-ALK-28",-0.454230603231127,-0.652111474733568,-0.612128754800743,2.51252489669519,-0.548321494067357,-0.53562445564383,-0.701747893149465,-0.459725869823879,-0.638477639278184,-0.442552464532721,-0.536602603294266,0.510437105658363,0.680109560468328,-0.553742009654125,-0.596232341073141,1.04574287903934,-0.433129084619177,3.38530242173481,-0.630991418180136,-0.460775778556611,-0.447290842813386,-0.630822240900539,-0.377287486379673,-0.487616225235144,0.505830100207959,-0.444823143025175,-0.463191288983637,-0.654406383991361,1.52826800036171,-0.441836928052301,-0.489728809796824,-0.576778317619724,-0.622382942954386,-0.474111451713698,-0.603082293601562,-0.406546773833902,-0.475288639972625,-0.617267686311567,-0.392113892022558,-0.516745843934296,-0.572353593246231,0.989358582671503,-0.543467063246997,-0.514980483317036,-0.563902726940096,-0.636191812587378,-0.468288363118328,0.598698061399329,-0.65627312082984,-0.674158128155088,0.386017603184355,0.486715065203033,0.221308044325464,-0.513334446572212,-0.411456048875584,-0.555826758774394,-0.4600065490493,-0.602345187728939,-0.446543736321849,-0.5250837357001,-0.596221821926755,0.186006708997096,0.965305432704193,-0.52692848818337,-0.492761430309945,-0.485096622075431,-0.486867416481978,-0.454330653818215,-0.502632214789127,-0.625018398264875,-0.537487614442356,0.652800510006567,-0.657378475423373,-0.568281876918821,-0.53274249888174,-0.461796507104516,1.21923816444357,-0.545531757200183,-0.457530010483946,-0.478711330050498,-0.457503215455207,-0.533048194027895,2.0444277699696,-0.570887186107578,-0.622886538409335,0.536071560785798,-0.643397001967257,-0.648933766525143,0.531062012735661,-0.569247123730297,-0.478827801239328,-0.497499532936894,-0.525812518090215,-0.502171750206707,-0.438348570642904,0.303135534167004,-0.457395548256653,-0.643996522359654,-0.476340414296978,0.934224767846938,-0.490584785448167,-0.39241465597948,-0.518802172281688,0.514416546179394,0.581840003412737,-0.483953367736204,0.42337483219883,1.07561766697658,-0.395313445652631,"Hepatobiliary"
