"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865","cancer_type"
"3-Breast-Her2-ampl",-0.720642604426949,0.0396153571230104,-0.65503600620358,0.341379149838754,-0.732932489035112,-0.684199632561694,0.192995859326098,2.83893693883673,-0.731247945278422,-0.714277692917544,-0.639481509570641,-0.691192728552183,-0.692171809172472,1.21432504082335,-0.617694355672281,0.0823038958340503,-0.636487690420197,0.191572614066853,-0.708250988045496,-0.694607484428719,-0.719516332305403,-0.631655526638112,-0.654162845514635,-0.768977231232309,-0.717370705813461,-0.760214236062677,-0.652413934307127,-0.638887652737744,-0.733531206088816,-0.665602883215253,-0.666065451767699,-0.716696716350867,-0.676116992634343,-0.737494249340233,-0.838639300324848,-0.651490720139968,-0.632124370637,-0.492791086342664,-0.716468929407039,-0.66843240259546,-0.687402231235255,-0.660346130583713,-0.751765083941256,-0.626857918294362,-0.800114407849492,-0.647220372505613,-0.651380090544294,-0.793632335504375,-0.695545755844732,-0.607644357696891,-0.739295526657497,-0.165836595444555,-0.632077083692321,-0.651661871517412,-0.601838966438297,-0.269638429489156,-0.680278104394284,1.07443854451165,-0.684890017046889,-0.690003477729561,-0.644670799098717,0.365580163687549,-0.69086158902686,-0.72934920363117,-0.64306015957364,-0.591399681946383,-0.664984934470913,-0.672556928595318,-0.691223948677262,-0.689033821331146,-0.682206460890563,-0.845636014695205,-0.669555010505614,-0.750386284366544,-0.654512715603735,-0.721877638789617,-0.635534239448985,-0.671883126389201,-0.720910666611609,-0.783422953024935,0.119898246831204,-0.633601451951372,-0.66087406074753,-0.681167782347034,-0.751673162012425,-0.761273469398407,-0.639184608814002,0.485267219812644,-0.700814605812452,-0.684691494130327,-0.691621232740472,-0.625677098159931,-0.690008921153209,-0.749222629594915,-0.762327553081317,-0.653803128252615,-0.6782555016586,-0.720033350209548,-0.648210290637963,0.185366601223343,-0.623116785298534,-0.72201974894014,-0.671955114543984,-0.620415687484457,-0.758387855923156,-0.702253418179221,1.24929040392412,-0.719137700767542,-0.672422330211099,-0.748945445852438,-0.634488576900698,-0.743465031771046,-0.634021744118416,-0.787455886586021,-0.680745873276824,-0.615723028300233,-0.958803069622783,0.48521055286953,-0.631984579710961,-0.63485394400263,-0.675765282580148,-0.789369743182367,-0.669725394142471,-0.693203464488671,-0.761808370878738,0.71083189079929,-0.652625549212646,-0.687542189581668,-0.696350697262136,1.14900759459698,-0.674462169015462,-0.676377237918321,-0.69809248058435,-0.634491974371425,0.695972377629036,"Breast"
"8-Breast-WT",-0.709114191546324,-0.771189927739529,-0.64353549337228,-0.701107749507909,-0.72078246990274,-0.673706701701056,-0.773921960303751,3.70212496097568,-0.717686878532772,-0.703932367244211,-0.626686819009725,-0.671658709952709,-0.680525937794387,1.01556462285999,-0.607651169185594,-0.772569227387638,-0.626270560341601,2.34446038310799,-0.696731470583948,-0.683268494405442,-0.710190660079645,-0.62087767800019,-0.642834212480245,-0.748057201017575,-0.70688653723039,-0.743300091015392,0.631335450294492,-0.627655786313129,-0.719311993000921,-0.654292614552347,-0.654205799839444,0.970309702742927,1.24979152389905,-0.726080210334859,-0.815341510500695,-0.626915933948181,-0.617248011473311,-0.478696294805581,-0.703052735652995,-0.654939087029476,-0.674800161843077,-0.649820395344725,-0.733435409440266,-0.612223739666728,-0.781169990432199,-0.637867643152081,-0.641884369137455,-0.778039632619654,-0.684393012933933,-0.599390605862377,-0.728200080814437,-0.823600229022099,-0.614973744070774,-0.64024072279664,-0.590248942414517,0.536161971576488,-0.668020017077384,0.413954110776542,-0.671588031700584,-0.676866441892801,-0.636033895365427,-0.639290960649211,-0.677635063385756,-0.718972519973758,-0.630445854083021,-0.576446998878116,-0.654249559068599,0.0444583543992588,-0.679847352866813,-0.678391768527125,-0.670161635012975,-0.821846191292897,-0.659241007466544,-0.731339780408995,-0.0311361446300274,-0.709544231274852,-0.627284872698054,-0.660888903757355,-0.707419304856669,-0.767474838327757,-0.812691752913491,-0.617082992813102,-0.650318725383446,-0.672586972622467,1.22288731991642,-0.748926463084234,-0.629239146914637,0.623369275361803,-0.690558531051888,-0.67218675940748,-0.679077913371651,-0.61343886189503,-0.679390852924545,-0.733671510973168,-0.747402074646385,-0.642543771173535,-0.665178539461462,-0.707432435978779,-0.637294773218579,-0.72757445892912,-0.611773090873159,-0.710413102564764,-0.657972013967754,-0.600947374034366,-0.74640260201287,0.942048269360245,-0.700500001196643,-0.707092554408998,-0.664036993744,-0.739334543357731,-0.623434733438208,-0.728678474583161,-0.621745298655698,-0.771235343294514,-0.670775342069595,-0.597514835300286,-0.925473929786383,-0.648789833512346,-0.621367963692691,-0.621398283771113,-0.663150628177773,0.00246323016363786,-0.657425707246978,-0.684758859442642,-0.749350865226862,-0.678870090927535,-0.643281587232586,-0.674734370983507,-0.685099584289324,-0.117461158139296,-0.66181678209013,-0.667531144537317,-0.68531854854388,-0.621824569232854,-0.659436367367924,"Breast"
"10-Breast-Her2-ampl",-0.704622876326224,1.06965713727135,-0.639070552257182,-0.696830383798882,-0.716055971882834,-0.669613622403402,-0.768199219263018,-0.566552259353006,-0.0267734372303941,-0.699891117640883,-0.621739445015991,-0.664231205719293,-0.675993889392336,1.70232719191241,-0.603739802400989,-0.765244502482044,-0.622290535666596,1.1332864496172,-0.692248289223341,-0.678851878417513,-0.706538774935979,-0.616685500793134,-0.638432982195319,-0.740105543621564,-0.702787588157737,-0.736804648104979,-0.634131486697787,-0.623292145796647,1.60800695931298,-0.649895259741979,-0.64960439597196,-0.694836024007998,-0.658339540149228,-0.721632311562982,-0.806550461453036,-0.617790001645836,-0.611531663253711,-0.473346047777367,-0.697859391166725,-0.649725641992405,-0.669913349241486,-0.64571819827856,-0.7264287099869,1.04913061526948,-0.77391643797843,-0.634213265926892,-0.638173713655353,0.640191837981747,-0.680048031477815,-0.596159881077486,-0.723870112568196,0.397051659887108,-0.608441183643245,-0.635805968172009,-0.585759651232452,-0.753187436077129,-0.663259319623579,-0.563529817090467,-0.666444320983926,-0.671781251302225,-0.632652233814696,-0.632413741570571,-0.672517959654864,-0.714915881457159,-0.62556683502115,-0.570715249766671,-0.65007021213215,-0.655473653219156,-0.675421411348249,-0.674243950405702,-0.665484233782227,-0.812857215216091,-0.65521816708412,-0.724066153754912,-0.639407901055306,-0.704745032996681,-0.624052658293804,-0.656607862716694,-0.702191064621662,-0.761324883888795,-0.802973353318463,-0.610767480059672,-0.64620747442937,-0.669224093718938,-0.723628161150439,-0.744122790850065,-0.625362785264482,-0.696023451534219,-0.68655229802831,-0.667334702344417,-0.67421590337286,-0.608703696679881,-0.675250040194052,-0.727675563774148,-0.741636934015918,-0.638168001703742,-0.660108821768812,-0.702539020757325,-0.633049284370461,-0.722946333699643,-0.607366677348588,-0.705894029412692,-0.652575187412272,-0.593588238716936,-0.741734766885598,-0.688479881164419,-0.696379160477356,-0.70241005299995,-0.660748949319395,-0.73556912890535,-0.619140454201756,-0.722967723695131,-0.616993486422382,-0.764986774970288,-0.666879668928307,-0.590593715067921,-0.9132019810708,-0.643776339392208,-0.617233418949454,-0.616203103302069,-0.65826134812542,-0.772907716553611,-0.652655803679192,-0.681445603365914,0.0645138257746421,-0.674479904346259,-0.63963056166339,-0.669761728674971,-0.680716260747015,-0.752590039142012,-0.656916989323323,-0.664065007048674,-0.680357541423035,-0.616920653915554,-0.651987447619751,"Breast"
"Breast-100",-0.235339014708834,1.74405888605822,-0.25719197084438,-0.296618791103639,3.13279682078019,-0.275328205937702,-0.443255804810696,-0.16514966759103,-0.401819592675706,-0.31010396904014,-0.172131347893136,-0.438132765045337,-0.227077535746631,-0.497513784436092,-0.158126689904169,-0.499118397934406,-0.263730398991748,-0.452833490172924,-0.361732933852251,-0.22704980689097,-0.255141215467654,-0.164284624812958,-0.194149470707088,-0.488155844926638,-0.180491735664679,-0.488179263830964,-0.218867025057662,-0.230998025602244,-0.448297770308743,-0.290050789499175,-0.346058507410275,-0.389009044973394,-0.253481557701237,-0.363268188014798,-0.580570701380878,-0.353132527258832,-0.219490418081105,-0.275019447263891,-0.399053789838204,-0.27643049742307,-0.220806599548768,-0.234783242819968,-0.483659850433286,-0.30055111882065,-0.516628961446303,-0.230776230894582,-0.176521107807157,-0.492383033017218,-0.243569484985344,-0.193409440900745,-0.3260679824505,-0.604279973105412,-0.310255586957335,-0.271649840215696,-0.125323655366338,-0.473654405920805,-0.199837614372898,-0.319677203518792,-0.364827348638351,-0.337921081090374,1.89280762075817,-0.311147399590965,-0.355737759159535,-0.256490693826416,-0.245514436081022,-0.253740367601695,-0.23123879024674,-0.277009321714155,-0.276545338464772,-0.29152844324018,-0.296794198025585,-0.579215919750823,-0.265130512729486,-0.443501674855879,-0.270678712950542,-0.15763262545362,-0.216300634259887,-0.208496638133753,-0.280995841282098,-0.49078928483498,0.250785110551236,-0.196259663275626,-0.303530619115918,1.16717884088671,-0.456599539841075,-0.416368018967606,-0.187918849513569,-0.214850907855564,-0.264004067117073,-0.259886184401944,-0.373915497466728,-0.208899076508284,-0.30343237026028,-0.410597255750607,-0.458442354010472,-0.267058164126577,-0.10369066881172,-0.34395114658544,-0.153121140798077,-0.395508759773217,-0.10701085076917,-0.359248074161139,-0.295921016716054,-0.247388151888808,-0.40627117332516,-0.279154909344987,-0.326317649618988,-0.386331858365715,-0.25681595684546,-0.332940059066946,-0.149318176275135,-0.405453299232576,-0.293918843950721,2.34261106999767,-0.20277299855247,-0.249352573254978,0.30855020119767,-0.184077041842248,-0.0966561781020006,-0.0685983572238023,-0.272083908252831,-0.323121422850571,-0.291216907419557,-0.243145900127684,-0.316661069850032,-0.300187178934349,-0.163977609540869,-0.110192481612867,-0.243197178591955,-0.404033915768314,-0.269191824122236,-0.178018756349352,-0.141307096750297,-0.14629897235385,-0.420877346749146,"Breast"
"15-Breast-Her2-ampl",-0.674416485560173,-0.715531506222893,-0.609259089598863,-0.667996188352507,-0.684364663572962,-0.642011503081046,-0.730226851975507,-0.528947622863224,-0.677541780525929,-0.672555510296362,-0.585879580281263,2.10475128089622,-0.645585584192389,-0.702354616100939,-0.576653589126469,-0.717770410526373,-0.595528544056245,-0.661216881424543,-0.662160415461434,-0.649161504275018,-0.681706418317729,-0.588242232475116,-0.608406333134461,2.12087962690541,-0.67501568004698,-0.694380525322498,-0.600435425664227,-0.594115444243942,-0.677490319924034,-0.620446336173878,-0.61892332389267,-0.655069127601966,-0.625365501138044,-0.691699686791721,-0.750987192641075,2.65061407222078,-0.574168538189791,2.75141852584522,-0.663390661762439,-0.615259986226617,-0.63736626454395,-0.618107678546399,-0.681078181624617,-0.569724811026115,-0.726818606344836,-0.609482457124128,-0.613056958231729,-0.732243331195437,-0.650825512306471,-0.57421287856334,-0.694643351145138,1.49860271081124,-0.566255457578598,-0.606186282119836,-0.551145833123347,-0.714656425606716,-0.63145215929456,0.229771788467539,-0.632382650156579,-0.638036876691173,-0.609665715662928,-0.588130171073668,-0.638595094183178,-0.687431586704957,-0.593243261135799,-0.533437391657548,-0.622004256810497,-0.623703034628273,-0.64574184624523,-0.646320757430199,-0.634237361020403,-0.755920801961071,-0.628096098617616,-0.677085302438051,-0.611026871490471,-0.658109895954344,-0.602048348857842,-0.627846706644652,-0.667415628951014,-0.720822594213813,-0.741917022428874,-0.569007891787417,-0.618569737443344,-0.646292834585005,-0.674052147099155,-0.71190501826206,-0.599267318474454,-0.66136520802852,-0.659456368564896,-0.634977039475665,-0.641856988279503,-0.577311337746274,-0.647340982662457,-0.688202726765248,-0.703540121319847,-0.608888998692368,-0.579221837325375,-0.669847158133458,-0.601289815049383,-0.691871801806005,-0.537050268924378,-0.675537563605649,-0.61698023265659,-0.546977897452725,-0.710359201707435,-0.662246112494244,-0.668550621497081,-0.671057413699498,0.250410046749206,-0.709938064172978,-0.586038186717018,0.603977958041761,-0.585467602086985,-0.723915294458997,-0.640518083544013,-0.546320892199906,0.0398245932657649,-0.610500075730397,-0.53915254814776,-0.570251599742003,-0.625729536815374,-0.741738062071004,-0.62088056850762,-0.658822362077249,-0.711990955670781,-0.645023039240685,-0.613778065083071,-0.584612180385636,-0.65123608934447,-0.717503656492574,-0.624334425696118,-0.640466920797432,-0.616907520716384,-0.567403619355535,-0.60476316246968,"Breast"
"16-Breast-WT",-0.689266267372423,-0.738820354703133,-0.623868144977931,-0.682185809897117,0.0249706995665902,-0.655596992484655,-0.74878497532946,3.9419478923112,1.36567439496326,-0.686027781342543,-0.604976569973587,-0.639553611806853,-0.66051905999642,-0.721421387407299,-0.590371751948818,-0.74073547590149,-0.608683832731916,-0.682688506012764,-0.676938430221765,-0.663754594711661,-0.693973241052432,-0.602379812200737,-0.623435260966007,-0.713693531642841,-0.688712533886928,-0.714971885649643,-0.616878112176295,-0.608422342889786,-0.695217971478311,-0.634896895237863,-0.63394959959754,-0.674393963805102,-0.641489383111418,-0.706418998711508,-0.77757731125864,-0.588241111994107,-0.592307606570192,-0.455600594444266,-0.680238434738483,-0.632076746468607,-0.653298449731413,-0.631685821314397,-0.703003036843842,3.07913088154013,-0.749619735787262,-0.62167351592955,-0.625439290867901,-0.751643800295147,-0.665191673670151,-0.585049631998276,-0.709034375802585,-0.792053315943637,0.177003085862223,-0.620703551530355,-0.570517255926263,-0.733455244636453,-0.64704352684947,-0.541148912572233,-0.649014522040606,1.97023894339897,-0.621018823719681,-0.609488428102416,1.61661120980372,-0.700986689728598,-0.609029396588396,-0.551495173823923,-0.635792725095988,-0.639251826952415,-0.660314001091799,-0.660054021139571,-0.649553542892386,-0.78319139979148,-0.641443930744034,-0.699777042774956,-0.624963342122731,-0.68836000049673,-0.612923629072342,-0.641979282691859,-0.684428986306827,-0.740552449863401,-0.771055389924229,-0.589652691668421,-0.632154157187382,-0.657641642403903,-0.697923715575027,-0.727724729760859,-0.61210151970367,-0.678328771992584,0.142808115086333,-0.650825577335711,-0.657692596971972,-0.592647351146444,-0.661074368457793,-0.707427583998435,-0.722125795756278,-0.623250707243898,-0.642877892678183,-0.685872136647649,-0.618562564323708,-0.707137457375195,-0.592354548130726,-0.690453433524035,-0.634329917531623,-0.569298250038205,-0.725780140137669,-0.675185469692476,-0.682256073156002,0.833770453525956,-0.649416746082441,-0.722605197906074,-0.604508043693123,-0.703644074304887,-0.600873590880137,-0.743905844422975,-0.65351248876566,-0.567611369239365,0.449059659345338,-0.626764612599775,-0.603103680927824,-0.595649830384011,-0.641647593397058,-0.757082379763152,-0.636436555781421,-0.670018116733659,-0.727956158825853,-0.659489563317272,-0.627101982862564,-0.652831250218422,0.161130012682053,1.60790238916313,-0.64027321166405,-0.652130132032717,-0.663460065201552,-0.60028174175192,-0.627389305483711,"Breast"
"21-Breast-WT",-0.704584530905184,-0.763669198655965,-0.639032468950237,-0.69679385384591,-0.716015635118123,-0.669578664579043,-0.768150449106156,-0.566503342794498,-0.712389968348327,-0.699856588657012,-0.621697294451801,-0.664168216183347,-0.675955208267275,-0.741437817351954,-0.603706411592345,-0.765182281190907,-0.622256556489707,-0.705521152125373,-0.692210024268989,-0.678814172959639,-0.706507551165134,-0.616649725444487,-0.63839543516655,-0.740038114360223,-0.70275255809212,-0.736749412509976,-0.634088078891905,-0.62325491938785,-0.713771248765683,-0.649857737881612,-0.649565155798906,-0.694784371152991,-0.65829723578028,-0.721594333969192,-0.806476056992391,-0.617713092409239,-0.611483045882736,-0.473300694242338,-0.69781513107251,-0.649681233891325,-0.669871681443507,-0.645683171425036,-0.726369201887553,3.54586764974868,-0.773854805851939,-0.634182040370268,-0.638142006284759,-0.771966698132312,-0.680010935355132,-0.596132261679178,-0.723833127053154,-0.816286464999344,-0.608385716679583,-0.635768140782514,-0.585721385043735,-0.753137779271542,-0.663218709891783,5.22329159016374,-0.666400496960124,3.86788516658386,-0.632623321737609,-0.632355372147194,-0.672474356082455,-0.71488121348772,-0.625525263368801,-0.570666534273625,-0.650034537376725,-0.655432962052126,-0.675383638893609,-0.674208533238857,-0.665444335541821,-0.81278110922769,-0.655183810214694,-0.724004395583276,-0.639371790919329,-0.704704072804279,-0.624025018416619,-0.656571317739252,-0.70214649363928,-0.761272526423579,-0.802891166548526,-0.610713840923447,-0.64617237611757,-0.669195334515689,-0.723562595171819,-0.744081794091181,-0.625329685941826,-0.695979070609484,0.0317636315661294,-0.667293323737742,-0.674174451557407,-0.608663346935399,-0.675214677252312,-0.727624519785889,-0.741587830097064,-0.638130668314209,-0.660065597595337,1.36365785254966,-0.633013054609682,-0.722906829314723,-0.607329087838197,-0.705855453393315,3.97682275260136,-0.593525927587069,-0.74169491772611,-0.688446795532851,-0.696343959067137,1.44801698320291,-0.660720825833013,0.544245614779168,-0.61910382005632,-0.722919084901311,-0.616952990548494,-0.764933592762673,-0.666846381847411,-0.590535026505611,1.38462610366955,-0.643733611099601,-0.617198123387776,-0.61615885993695,-0.658219664918625,-0.772868255081226,-0.652615131763031,-0.681417259481677,0.0648232853255979,-0.674442434193965,-0.63959936456323,-0.66971931496356,-0.680678837254633,-0.752545185593803,-0.656875219809362,-0.664035366549489,-0.680315223223812,-0.616878859983734,-0.65192437045581,"Breast"
"33-Breast-Her2-ampl",-0.694674642043149,-0.747493821726294,-0.629211042412565,-0.687346841859553,-0.705600368448919,1.06567277960127,-0.755595900528905,-0.553979140350186,2.39020240782771,-0.690918262987662,-0.610853566202677,2.85877546302222,-0.665965372426744,1.37842564579049,-0.595078794515729,-0.749275438518414,-0.613475622912823,-0.690667734420689,-0.682327063653268,-0.669070939838693,-0.698412580354808,-0.607413135783864,-0.628708343769224,-0.722863329383314,-0.693680058051128,-0.722596351043646,-0.622924939572794,-0.61365049214968,-0.701736725629956,-0.640172656424956,-0.639449348721459,-0.681538493750684,-0.647402943845877,-0.711777841713294,-0.78759881940864,-0.202704461331035,-0.599022489732301,-0.461757199133429,-0.686420707549683,-0.638261762513836,-0.65913358653561,-0.636628906834786,-0.711162250223699,-0.594264835625424,-0.758090170790225,-0.626097701866015,-0.629932420532448,-0.758782125818629,-0.670423882577481,-0.588973729789094,-0.714264723666669,-0.800523893106396,-0.594220074714112,-0.626011811293657,-0.57586670024168,-0.74036981806396,-0.652743663577424,5.16877533735463,-0.655125711327665,2.36206780946884,-0.625128423169475,-0.617461352447626,-0.661252749517615,-0.705902685069893,-0.614828469956442,-0.558198967157862,-0.640818876950845,-0.64494810008582,2.32234032755978,-0.665052893400019,-0.655153266310388,-0.793458946512433,-0.646298426417665,-0.708231886300372,-0.630046681230024,-0.694126283470186,-0.616856768250521,-0.64712966311233,-0.690664656615221,-0.74782409129636,0.320324926420388,-0.597006644615753,-0.637102888065916,-0.661735656998734,-0.706852800083466,-0.733495299061581,-0.616773225483534,-0.68454264904393,-0.677657540754167,-0.656625738729529,-0.663494380204348,-0.598278853006758,-0.66606991323362,-0.714514844389892,-0.728962598002955,-0.6284966461547,-0.648928298954747,-0.691730735225109,-0.623659433664767,-0.712702444948961,-0.597632085446112,-0.695889507145504,-0.640719626481797,-0.577705020325681,-0.0553656835839281,-0.67987766261302,-0.687235860548529,-0.692057937268458,-0.653423622248166,-0.72718665237205,-0.609652530271602,-0.710414547534994,-0.606528580524523,-0.751281311824438,-0.658228491659833,-0.57558869560071,0.35807111401868,-0.63273320238259,-0.608078694856845,-0.604787013958921,-0.647480692048066,-0.76266080338829,-0.642133091430712,-0.674060160657567,0.14396102716319,-0.664765381030026,-0.631522287190463,-0.658781280353181,-0.671007184422911,-0.740980647979148,-0.646115859548944,-0.656348132423277,-0.669399680369698,-0.606119321008096,0.113871401667146,"Breast"
"42-Breast-Her2-ampl",-0.690836290487282,-0.741327318462015,-0.62541792326903,-0.68368441270738,-0.701571154171367,-0.657031546990168,-0.75075923563446,-0.549190002586196,-0.696418014810242,-0.687448357399178,-0.606679686635249,-0.642027689740428,-0.662099684001659,0.992505064182401,-0.591738071011811,-0.743204588977317,-0.610074832709589,1.62085626400006,-0.678502362574007,-0.665297822973795,0.227587563655487,-0.603840410699157,-0.6249650218742,1.54206160278575,-0.690155745182552,-0.717178156315698,-0.618630212231893,-0.609939073938536,-0.697106827585675,1.83973763401204,-0.635544637648264,-0.676461978556888,-0.643203759033223,-0.707974750523584,-0.780466981723296,1.72703191392878,-0.594250798737063,1.29760616470843,-0.682030521975737,-0.633868845896815,-0.65499054512002,-0.633120893539788,-0.705361716906864,-0.589557726968157,-0.752069230455473,-0.622958711502005,-0.626744541821694,0.783884663590936,0.163383905329816,-0.586190031023172,0.06999605294608,-0.794502975160093,-0.5888216317521,0.111395464335836,-0.572068101193905,-0.735458685882324,-0.648697043739328,-0.543380996364748,-0.650785555643629,-0.656283182813032,-0.62221321334511,-0.611791912701427,-0.656931168797773,-0.702414930402114,2.12873678465765,-0.553434093264069,-0.637251550386517,-0.640903565537821,-0.661856752392552,-0.661505323940648,-0.651177914853955,-0.78615266007648,-0.642853545471677,-0.702220618716194,-0.626438585577267,-0.690033442151538,-0.61406692583071,-0.643474233706484,0.127038929193559,1.29227247196934,-0.774230979054482,-0.591778506462956,-0.633590678624193,-0.658831774660874,-0.700502375205482,1.24993290984835,-0.613457834429687,-0.680130641931625,-0.674217977009977,0.653593029241447,-0.659374897875534,-0.59427957266354,-0.662524893110226,-0.709480170207588,-0.724106668912848,-0.624772721823501,-0.644632286828752,-0.687571616056593,-0.620041587301006,-0.708752652715381,-0.593885528957618,1.27399450348634,-0.636180847052685,-0.571722755365523,-0.72741093631462,-0.676548715503868,-0.683702331844359,-0.68807081667006,-0.650581694218538,-0.723936932073549,-0.606000480061865,1.95569806265043,-0.602512748084729,-0.159903097103958,-0.65488244138275,1.3161538805922,0.908415654136628,-0.628494753724803,-0.604547754888221,-0.598462293006535,-0.64333891977556,-0.758702322392924,-0.638088501129914,-0.671193455039364,-0.729646169942268,-0.661020712551752,-0.628386057742928,-0.654557102654195,0.149879303896684,-0.736515796844369,-0.641967197601088,-0.653356239622553,0.296499388006197,-0.601973879587871,-0.629845563815765,"Breast"
"Breast-454",-0.20233510155763,2.16264442051451,-0.223018803870994,-0.267244168223273,-0.326300907720745,-0.246887963787934,-0.411390912909314,-0.127080021428359,-0.366943947897417,1.93368268369348,-0.136670151260311,-0.408731995225443,-0.198095274649947,-0.466500999404093,-0.128530336500662,-0.469550841517109,-0.237660835917819,-0.421123323408374,-0.334055631260054,-0.197741634990422,-0.218652764941818,-0.135530011847831,-0.157221479941973,-0.460754360645257,-0.14839015955626,-0.459298890198455,-0.1850337506407,-0.20426513335972,-0.421684605643758,-0.263068354304864,-0.309732953121764,-0.363565285711076,-0.222567902270094,-0.331031934544937,-0.569058132821349,-0.337687128688375,-0.184953663427556,-0.262988339564314,-0.371237391033215,-0.248291286507991,-0.185176760704249,-0.207073468714032,-0.456438004774364,-0.263035071819687,-0.486687594917394,-0.202392622810636,-0.147558374620093,-0.460284539815022,-0.213113530233183,-0.166821384462796,-0.295647263761414,-0.579779405306035,2.28554580211015,-0.242421511943522,-0.0955724460795354,-0.443951857891258,-0.171352096551177,-0.303165357357378,-0.332189824782104,-0.302458343563323,-0.18605859184249,-0.278977919810251,-0.327631327993082,-0.225161531765101,-0.213516879328907,-0.21965884997437,-0.196959600750622,-0.243089294934725,-0.242821155934653,-0.258563818952112,-0.269748298301782,-0.562239847329292,-0.23718233271561,-0.41405121547818,-0.243483089644893,-0.125949774474072,-0.18845569323389,-0.178347116662237,-0.249982594454982,-0.459162201541629,-0.539533310499605,-0.165870327410741,-0.276667661233186,-0.143616973733416,-0.428444799950054,-0.385410181993369,-0.153682685319938,-0.184214285876748,-0.234355622497308,-0.232260560218421,-0.346990459910745,-0.178944911736845,-0.2752217458046,-0.378917583463394,-0.429133094012052,-0.239577143354994,-0.0735870376656259,-0.315886907474255,-0.118911938406517,-0.36686512222436,-0.0797870873660609,0.736140668040264,-0.260296511825926,0.589762138893507,-0.376727008559265,-0.249445080103415,-0.297232599282273,-0.358833206774225,-0.227509153975696,-0.300996139254301,-0.113226601248573,-0.37544398194897,-0.257051306493559,-0.477561524322297,-0.17318793925751,-0.21784395463735,-0.621198614701133,-0.154690415428628,-0.0686438239402801,-0.03596095233668,-0.244142486935337,-0.286904341630593,-0.264901396671703,-0.2125939743392,-0.279408641330143,-0.269530995681171,-0.130289885710678,-0.0801592123637998,-0.214028506339693,-0.372265249025719,-0.240252562764849,-0.147778531683149,-0.111199081368803,-0.119640827091015,1.04147954361296,"Breast"
