"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU280-GBM",-0.529342063953509,-0.579430752499331,-0.596959903186248,-0.51162765461702,0.623394701438104,-0.590954406138717,-0.516764184155323,-0.547515257511867,-0.564332642884108,-0.441525339668502,0.460961539423583,-0.51752198332889,0.578660860824548,-0.578643719324066,-0.422428667431347,-0.428257320896396,-0.47460166670371,"GBM"
"VU284-GBM-vIII",-0.701133736745983,2.28135977484383,-0.691570024747682,0.0504133527439319,-0.69575116697875,-0.69020290498898,-0.700355234816967,-0.652065584663236,-0.688944584475752,-0.547992653259876,2.34549491287981,-0.6130885534244,0.769226197279941,0.711295932176969,-0.559616824277548,-0.655336460341977,-0.68201800362091,"GBM"
"VU306-GBM-vIII",-0.711318487013786,-0.694213051041821,-0.707072218242341,-0.618061728073094,-0.708501515794811,-0.704316598283583,-0.710038114592039,-0.66762893925815,-0.701539832208029,-0.560101345008823,-0.686199267512871,-0.62724914081777,-0.448828102877487,2.95838029902303,-0.571643185374199,-0.668573267520561,-0.69245698945081,"GBM"
"VU360-GBM-WT",0.0810374066275183,0.0761697227611809,-0.00837531701802822,-0.0182904931670849,0.1578111874654,0.0947305747064153,0.178750491257705,0.0973293084186198,0.155078462588787,-0.00650509774913348,0.0497053911453812,-0.15196199994931,-0.0211894645104989,0.0683193647566101,-0.0337915077555625,0.206183308630379,0.129200622378987,"GBM"
"VU372-GBM-vIII",-0.593208951331291,-0.607737223469486,-0.625717905417863,-0.540493412471777,-0.604475806456694,-0.619757863783084,-0.589539170184791,-0.575705476489098,-0.619526616268347,-0.487043562572154,-0.601129384301223,-0.555772251258279,-0.335839564257926,-0.607515598163739,-0.463093609330856,-0.494641840997146,-0.537780352511382,"GBM"
"VU378-GBM",-0.741887565564905,0.714831861595789,-0.75583739391022,2.41558870805717,-0.747594667432661,1.03015821854007,-0.739002671969356,-0.716795326499518,-0.740154958946726,1.58974693563094,-0.733794402303218,-0.672222464205461,-0.484144816641271,-0.0749479956229469,-0.609169518397732,-0.705415609219979,-0.723891223929502,"GBM"
"VU383Platelet-hiseq",-0.732858449051509,-0.726693827896138,-0.741061411433853,2.26827561203462,-0.735914329835703,-0.734952833362995,-0.730463098375467,-0.701864487242125,-0.728617949516741,-0.586621568738738,-0.719386228225935,-0.658519566161066,-0.473386863606671,-0.729316671148266,-0.597848313880984,-0.694418419225691,-0.714590415488236,"GBM"
"VU393-GBM-vIII",-0.1992284141149,2.81561610790926,-0.297779050046245,-0.24481440348942,-0.159050724313559,-0.220113015534871,-0.140606565685017,-0.205308198412576,-0.175251035116358,-0.206251830752839,-0.255342355344996,-0.31981490737906,-0.151980928804596,-0.24461083466928,-0.212240682043565,-0.085130590864622,-0.148045176787255,"GBM"
"VU394Platelet-hiseq",-0.722031724498042,3.38543735407633,-0.723764341984852,-0.634219682655038,-0.722057990493407,-0.719416063528201,-0.720206003850005,-0.684422852751023,-0.714931041346051,-0.573130215737852,-0.70250456536153,-0.642565256738366,-0.460862303024399,-0.712195782229385,-0.584540750377111,-0.681360563511899,-0.703455845339612,"GBM"
"VU398-GBM",0.315215828628365,0.337005940224928,0.233438363088166,0.170983431581325,0.422567775678759,0.357800737684125,0.445591918626839,0.350200577559722,0.431088003488259,0.160394935264974,0.304590555946436,-0.0117111163915849,0.0880944240437253,0.329790778230596,0.115313174119035,0.449593044109181,0.360855640401279,"GBM"
"VU402-2-GBM",-0.715936090901929,-0.70105647342023,-0.714216929151763,-0.62496273916509,-0.714326124529334,1.55619229003929,-0.714422874310469,-0.674812670818923,-0.707293485861079,-0.0111720388580945,-0.693180001096789,-0.633795760419996,-0.453979587598945,-0.702737865392876,-0.577170340616637,-0.674068818194765,-0.697195399243294,"GBM"
"VU406-2-GBM",-0.727939458095283,-0.719148454198494,-0.733147502507862,0.286332607474544,-0.72959901001678,2.03158250925847,-0.725805240852761,-0.693879511927198,-0.722379924265769,-0.580450080266905,-0.711664319447577,-0.651208943781956,-0.467647521043988,-0.721485701982341,-0.591767012027561,-0.68846860116437,-0.709529148769938,"GBM"
"VU408-GBM",0.259323656972395,-0.661393390498074,-0.672920513150789,0.520120896730046,-0.677894394264862,-0.673111570940673,-0.687349823392864,-0.633385385906383,-0.673104013202477,-0.533414156177824,-0.65280197907491,-0.596126023289033,-0.397611686858196,-0.661773673552385,-0.54487218085927,-0.632227867821527,-0.668722089336002,"GBM"
