"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865","cancer_type"
"292-Liver-KRAS",-0.684261171975929,-0.758777007007537,-0.7540703843931,2.34352648572189,-0.720688548263763,-0.688499800170625,-0.806619664303974,-0.622994401429498,-0.736031035477845,-0.673508618296427,-0.690564783217112,-0.703259502716972,-0.763204150039769,0.569027328519427,2.12823045044,-0.782576631159452,-0.616579579914852,1.9792707621187,-0.726229989192624,-0.645588248476725,-0.637892678491382,-0.772516029237372,-0.515687483998494,-0.680412704973913,-0.669124376293566,-0.622190712936433,-0.620979964344209,1.08266533805575,-0.790042071895728,-0.653878516468648,-0.763805061537342,-0.699740885511353,1.18712264781978,-0.669446371609381,-0.758401933039123,2.15686220924048,-0.671702556567199,-0.756029293050795,-0.647976230913907,-0.710428824397948,-0.704463895219485,-0.74606108582604,-0.664328358823427,-0.721814656773359,-0.684620486400493,-0.751589938816139,-0.664479892576279,-0.613032775001491,-0.770369133345182,-0.784407688911577,-0.747267171913674,-0.667813900893664,-0.743922432981783,-0.666711278031582,-0.680978780135547,-0.711522513543668,-0.671260536907102,-0.728798928408649,-0.63948368645702,-0.681073765611447,-0.697306700001563,-0.794868800431345,-0.778647686840823,-0.642912453492825,-0.654345037391857,-0.694367398128983,-0.689412307340808,-0.682336691874521,-0.675887394241642,-0.752774711932813,-0.666718483656041,0.575629134872548,-0.756172382300148,0.0820014794050763,-0.676676676197139,-0.670216427247269,-0.783093245581455,-0.659027808004915,-0.646817221997331,-0.651625521613713,-0.589680280660788,-0.707041578151384,-0.755180940820684,-0.714714650241717,-0.723661741104731,-0.727853272545454,-0.762780726894983,-0.761864045874266,-0.735294909980876,-0.78805761983204,-0.647353512252977,-0.700656934273902,0.590277108516343,-0.676181278224132,-0.63657452275284,0.466129112226599,-0.645825125443335,-0.770653917732997,-0.649263474199935,-0.759389314568794,-0.671836191029937,0.923943679820389,-0.77827513089186,1.8861927539226,0.162104981405207,-0.694720172677451,-0.726048598294376,-0.699917314785901,-0.110070920143417,"Hepatobiliary"
"316-Liver-KRAS",-0.708388877132092,-0.792107920572246,-0.0845031350586659,-0.781327440614817,-0.745518956366806,-0.714464103250342,-0.83827245448187,-0.64879425983927,-0.765495159778952,-0.697015281111599,-0.717090984543947,-0.728184115281954,0.236920202000467,-0.0586326512643824,2.51936711909972,-0.815175824122956,-0.643683321110691,-0.692956869956513,-0.754978771424736,-0.66951538576152,-0.663821591047306,-0.799922744612176,-0.542869863748671,-0.703207340236036,0.0396048202575521,-0.648781129478534,-0.648268552294921,-0.783292974103666,-0.824542650058122,-0.674925691352418,-0.786088038236014,-0.72923012079353,-0.763877932919713,-0.693752128289117,-0.784024801305957,2.8578415184741,-0.695107369195316,-0.78197032745051,-0.671334136027478,-0.735980806291553,-0.0775774002041013,-0.775009967466025,-0.691344145213539,-0.745617313823007,-0.712000663600818,-0.780894671588814,-0.688699256813067,-0.643361574329618,-0.798296270324959,-0.818890028228672,-0.777058269579647,-0.693148097467723,-0.781000164771037,-0.693558948214086,-0.703679763195438,-0.737136742742846,-0.695447628277785,-0.754450990480409,-0.664569712557291,0.45667756724625,-0.725435276043931,-0.827368190305869,-0.820854541665033,-0.677301842387277,-0.677491408247366,-0.718223469342422,-0.711500339341014,-0.704917530861456,-0.703506835069065,-0.780237461060678,-0.692453605871342,-0.869822644458981,-0.785767435454156,-0.760936819539126,-0.703416738046189,-0.693006064312667,-0.808837617340249,-0.691163534427685,-0.671003410192319,-0.675564795285891,-0.618245513093365,-0.733644504703293,2.4396163385803,-0.740153554834057,-0.20132840144416,-0.751632942336432,-0.790113627797781,-0.788443923795291,-0.759131637075678,-0.812896347946429,-0.675068994992659,-0.723943295412639,-0.7055009846238,-0.700801515088262,-0.658552649441319,-0.809244567225552,-0.671416383237684,-0.796648265355496,-0.674750535807428,-0.787667668120696,-0.695959714170245,3.36249129408797,-0.799473897501174,-0.724971352847023,-0.792396716676026,-0.71852950050222,-0.743610433648063,-0.727185142779277,-0.534638669197764,"Hepatobiliary"
"341-Liver-WT",-0.675027010400604,-0.746297099176464,-0.74302199217481,-0.73364057085551,-0.711182785873241,-0.678620993497507,-0.794645351948198,-0.613235290623892,-0.724889310483985,-0.664506075589151,-0.680485099413807,-0.693732744485689,-0.748515221240973,-0.692960670556906,2.49416221847089,-0.770310192139862,-0.604556990741064,-0.660730733239181,1.06088541693724,-0.636464342853716,-0.628069170656116,-0.762051922775151,1.77360871609337,-0.671667322065319,-0.657493525458588,-0.612150906013561,-0.610705007830086,-0.742141668586602,-0.777117424002691,-0.645782152794766,-0.755187529490711,-0.688620647304131,-0.725279294592186,-0.660165470869975,-0.748585718240812,-0.673541361245963,-0.662742818219739,-0.746103593930423,-0.639043508109568,-0.700673138109845,-0.694329714095535,-0.735078634430222,-0.654109592256775,-0.712674195928624,-0.674253973315871,-0.740478465354956,-0.655233821407504,-0.601709237202249,-0.759726334408297,-0.771506643844065,-0.735990924148144,-0.658171088690346,-0.730161620072437,-0.656539620038984,-0.67225894557737,-0.701746218245335,-0.66201805360742,-0.719001215619422,-0.629953106362789,-0.671128573742189,-0.686666965271219,-0.782612275624339,-0.763178621482391,-0.630185672083457,-0.645497347145765,-0.685226424527725,-0.680915886502704,-0.673663047977886,-0.665429777566368,0.0569839822940076,-0.656946370294484,-0.824220877120766,-0.744969914360882,-0.722526084918127,-0.666537297725782,-0.66147846036621,-0.773217857177844,-0.647037287383428,-0.637599062004194,-0.642494457157104,-0.578987679486535,-0.696913222414205,1.71810855747367,-0.705000847752017,-0.711990206411246,-0.718721139644981,0.0423779583993173,-0.751710722204758,-0.726137544802345,-0.778496239554042,-0.636894860117096,-0.691718061039792,-0.668539034253238,-0.666786181560315,-0.628160598917993,-0.760456992866549,-0.636109071153098,-0.760700327943461,-0.639584522565273,-0.748637336468562,-0.66262377633863,-0.618951374041327,-0.7700519154465,1.65246702079772,-0.753011287335521,-0.685595732639578,-0.719186313840645,-0.689565535234622,-0.495337009929417,"Hepatobiliary"
"376-Liver-WT",-0.704516455263503,-0.786684253468518,-0.778475481585659,-0.775672248714989,-0.741534355093444,-0.710281609405856,-0.833155103464807,-0.644623228648827,-0.760730524439576,-0.693244107860104,-0.712814599083455,-0.724180500938975,-0.796689356685045,-0.727829856903441,1.52195482971,0.461180627885072,-0.639291741573181,-0.689287137603711,-0.159552927049495,-0.665666408884494,-0.659633931543681,-0.795517388850211,-0.538420956692278,-0.699554358373256,-0.695103766952788,-0.644477447042207,-0.643844200430307,-0.778467816486391,-0.818930549335959,-0.671558271921901,-0.782534559406129,-0.724453285600327,-0.759366822706658,-0.689845537802136,-0.779914827819103,1.45808896651279,-0.691351514831451,0.895580388211469,-0.66758354329885,0.122148819459588,-0.72682314540835,-0.770338187267804,-0.686976397186285,-0.741804936647491,-0.707576577822762,-0.776163912772683,-0.684806076381128,-0.63841866373501,-0.793802060678326,-0.813276189113318,-0.772243786153367,-0.689068140458944,-0.774933737130023,-0.689222872927702,-0.700044523574126,-0.733018663576795,-0.69156192344356,-0.750328591208977,-0.66052509872911,-0.703021413807264,-0.720887591951852,-0.822103787927241,-0.813893105936805,-0.671665767102165,-0.673773587658855,-0.71439739951019,-0.70796628415615,-0.70130148924886,-0.699044339430539,-0.775817439453907,-0.688302853642199,-0.864463534932649,-0.780984578061007,-0.756453559433169,-0.699100155815926,-0.68935248472588,-0.804711390951939,-0.685923773342501,-0.667111586104506,-0.671714503933252,-0.613597613361645,-0.729360890267307,-0.781366442984731,-0.736064795120507,-0.749676737933163,-0.74782434208747,-0.785717048457758,-0.78417270751204,-0.755314745901678,-0.808923930705352,-0.670581587393681,-0.720212761376024,-0.701176452312981,-0.69684281135796,2.79457224019212,-0.803465428565792,-0.667288600821251,-0.792477382412683,-0.670640172801592,-0.783110349958199,-0.692082678212423,1.98510011847789,-0.796099604821589,1.93966449448835,-0.787802553304126,0.0906149604667603,-0.740827608263953,-0.722786606364225,3.82451690369582,"Hepatobiliary"
"379-Liver-WT",-0.508788224130174,-0.674430872738567,-0.665103610904557,-0.659241675064559,-0.602575331911493,1.02644979812289,-0.72447402973795,-0.506450703633486,0.743419435461319,-0.496172041278917,1.07519576512345,-0.57970996223498,-0.666825963456628,-0.603267302492557,0.319832830220641,-0.699082730682844,-0.491784967031561,-0.488715801923518,-0.651607225348129,-0.50980657341524,-0.504998948685619,-0.687247720523945,2.02663491767787,-0.540867329095038,-0.554220447261393,-0.490071395265979,-0.508085000819301,-0.675901586060704,-0.702628485802737,-0.49420629504044,-0.553555881969772,-0.622278738244506,-0.662591554596026,-0.526140461031969,-0.659506359947967,-0.475707776437075,-0.527031802248188,-0.671950578186548,-0.445918915441129,-0.58107223767345,-0.62281760279115,-0.670420828005364,-0.588345460335075,-0.572929607487678,-0.610579851235586,-0.673115291942385,-0.519875655316664,-0.520772134189412,-0.691029747910559,-0.697302928971009,-0.668169183861738,-0.541312692647154,-0.652133220515078,-0.570703647230648,-0.472158177500406,-0.607805435296141,-0.512843461715371,-0.654539562729399,-0.498022887368435,-0.57413764121072,0.947826295489411,0.124166979048601,-0.677148808712772,-0.552089425131038,-0.54173047139159,-0.539503900801467,-0.541656725151884,-0.509768706387192,-0.550641441240289,-0.678179386860245,-0.584850656746,-0.751230376253113,-0.679260617236453,-0.622453623358377,-0.584790666777138,-0.516518325787276,-0.700099352759669,-0.571420063369799,-0.507095147602006,-0.528065234849665,-0.497873981386824,-0.585873417893356,1.14369515392548,-0.622658713668767,-0.644375186442706,-0.608242324617349,-0.690400552801571,-0.691188126181323,-0.619848974913268,-0.632964722932502,-0.524528817328164,0.517752100320049,-0.573951459760043,-0.553488349329016,-0.49992928323877,-0.684099211103562,-0.505539912262409,-0.699584795899646,-0.524160129714426,-0.6850775335251,-0.546766551092391,2.93780464552743,-0.584413373302989,-0.591106419885304,-0.6681971090171,-0.538979307686257,-0.676515819509463,-0.598979902551126,-0.42220767837045,"Hepatobiliary"
"Chol-410",-0.693956151102989,0.684473700209829,-0.76572179576921,2.29246700088698,0.644029111537304,-0.698905765177071,-0.168420476196481,-0.633307970130476,-0.10442919207454,-0.682956838600288,-0.701189979187891,-0.713268910480167,0.447430082490445,-0.715262383927543,1.40619285896237,-0.201667397789264,-0.627397126483892,1.87612867150579,-0.737723187119715,-0.655187175436031,-0.648265215305623,-0.00672318162925073,1.20768830914403,-0.689581795651693,0.10832355343813,-0.632811784799534,-0.631866505904531,-0.765375872452814,0.185402769578089,-0.662354499514461,-0.772799519193189,-0.0251350897380439,-0.747106927195681,-0.679203011822164,0.0313435440989218,-0.689995153918071,-0.68110805282814,-0.766451599699687,-0.657358809103367,-0.72068520530018,-0.715143179023142,-0.757648277815155,-0.675127792629334,-0.731393036237492,-0.69557014400865,-0.763316816333689,-0.674201009811356,-0.625087206277343,-0.781569672455888,0.412735777807528,-0.759179522585016,-0.677969126177388,-0.758618934253081,-0.677451327731033,-0.690115018531441,0.576482841764049,-0.680972740066578,0.499757800244998,-0.649531249042041,-0.691555578871178,-0.70855094452833,-0.807842809441327,-0.795281795238389,-0.65652660352274,-0.663640605550395,-0.703958136632277,-0.698307282651855,-0.69142452299503,-0.686933105540955,-0.763788071951925,-0.6770235029721,-0.849939670550468,-0.768006349980218,-0.74426123080168,-0.687377481416656,-0.67938101154444,-0.793447978365608,-0.671796481109421,-0.656517991053122,-0.661230459312586,-0.601046916456689,0.613382797864321,1.97261931835806,-0.724926139023593,-0.736040595604262,-0.737422591871914,-0.0448078847501877,0.467061891612345,-0.744888700542957,0.141967708491448,-0.658421137736146,-0.710026038189944,-0.689429855469333,-0.686061402932463,2.77384121198552,-0.78786517845457,-0.656072035867862,-0.0207616410385189,-0.659469765235837,-0.770719162537473,-0.681520161620793,0.847703643064781,-0.786843212461738,0.0835099100500836,-0.775304715831918,-0.704292751106081,-0.0214589879300248,-0.710835028731512,3.62804002079536,"Hepatobiliary"
"Chol-442",-0.592916359823506,-0.705597605496223,-0.706439959507076,2.4560943946483,-0.679412368378376,-0.645836085492631,-0.755152543042512,-0.57850135984112,0.616885236844399,-0.579527702447496,-0.647082760925743,-0.661950709409555,-0.218100538870877,-0.657192735900664,-0.65210795927107,-0.73009144021344,-0.559268773009801,2.37997367927966,-0.679476627105743,-0.586461283478709,-0.585380230791798,-0.72718357487233,0.875727708673149,-0.623111340191355,-0.615442065011108,-0.561571323190009,0.246096171925059,-0.704866661403561,-0.734944638643154,-0.575442225095475,-0.651272056794078,-0.652082894855717,-0.690083130395498,-0.606178252634279,-0.71574905521725,-0.568057092083929,0.371296553098265,-0.712947876019355,-0.527555143963053,0.446491096394563,1.21751711212845,-0.698747675259019,-0.620420955545416,0.399050305665956,-0.640039630751971,-0.703743867963212,-0.599416656042012,-0.555992594101744,1.49032506586498,-0.729466675645559,1.60138726905284,-0.619050271503492,-0.685725098790143,0.414309754672991,-0.559773651616027,-0.669184414882387,-0.594244531957437,-0.686339461214667,-0.575005698976037,-0.638161523638394,-0.651588965280826,0.545374635754141,1.11366862833298,1.13181315566305,-0.615978242620543,-0.623807059849012,-0.626254748658866,-0.594579644918444,0.284922775494073,-0.707524518001146,-0.624587508830902,-0.783093211595023,-0.708000144591207,0.270454925093345,0.243065749311199,-0.598831623666201,-0.740133300353501,-0.608107411476994,-0.583936699319144,-0.604607133623407,-0.53197230361809,-0.663276264015339,0.61251089070484,0.866486140059373,-0.673777896831207,-0.688087861804856,0.181145900156047,0.175570681269902,-0.695406402477037,-0.729129797709705,0.266975147490488,-0.636932390178608,-0.634917174679857,-0.632672403112574,-0.589989482044129,0.692751638913149,-0.58131284031485,-0.727421737474892,-0.599331856277432,-0.712977155339811,-0.628046463461553,-0.524818983249301,-0.684162061662192,1.00349953188114,0.372684230048247,-0.623525043647219,-0.6956911772238,-0.655297154552168,-0.461564923233456,"Hepatobiliary"
"Chol-460",-0.673306514126938,-0.743987760933533,0.0804677924244411,-0.731241678879741,-0.70941150088393,-0.676783821160223,-0.792422439371719,-0.611423762070684,-0.72282125728694,-0.662828371088111,-0.678611339330703,-0.691958452356042,-0.745815187254452,-0.69094745968686,1.77155365200091,-0.768036863093606,-0.601911994428508,-0.658388132440237,-0.713333707976629,-0.634766377912455,-0.626244796833938,-0.760103710638732,-0.503745450893369,-0.670036593565256,-0.655340617485116,-0.610288361766505,-0.608800489108715,-0.740044084367748,-0.774725408993964,-0.644271158225572,-0.75357648577418,-0.686558432185343,-0.723304403670275,-0.658437536051417,-0.746756149469322,-0.671423264341398,-0.661073307630679,-0.744254355689909,-0.633202067583968,-0.69885686661012,-0.692445474205245,-0.733038074365209,-0.652212738784613,-0.710969295658366,-0.672329094849852,-0.738414293226345,-0.653512482306123,-0.599616019436104,-0.757746050030415,0.77088517097858,-0.733897297614077,-0.656377596810891,-0.727622347383774,-0.654650571885173,-0.670226386355431,-0.699926280182056,-0.660296864852485,-0.717176858237746,-0.62818155492047,-0.669279652285935,-0.684691955192544,-0.780339195472028,-0.760334867782019,-0.627839425191631,-0.643849488776044,-0.68352263537268,-0.679330245664096,-0.672045085511284,-0.663487984230994,-0.740363885258433,-0.65513018111923,-0.821902324238184,-0.742889915305237,-0.720557896810609,-0.664653707441779,-0.659849450717596,-0.771376493843085,-0.644821144022504,-0.635883827886031,-0.640795002617141,-0.576259726152943,-0.695029259545819,1.73127293770923,-0.703192273271398,0.367025994801756,-0.717017753076564,-0.750416376982693,-0.749820065762356,-0.724429249824826,-0.776711431588478,-0.634954950200211,-0.690050963172675,-0.666650374008395,-0.665037326996817,-0.62659277403149,-0.757999452561446,-0.634303425348017,-0.758845438342908,-0.637785616901722,-0.746638168393034,-0.660908520492541,-0.617575471780403,-0.768513055380084,0.802138156954084,-0.750991708986754,-0.683894942602173,-0.717899085737803,-0.687641760747294,0.96816078864871,"Hepatobiliary"
"Chol-611",-0.730262947282494,0.44568824231085,-0.191746796099213,-0.231993920542327,-0.76802321861123,-0.738205095762377,-0.327601484322568,-0.672583558708491,-0.792682682285636,-0.718305801428075,-0.741390164075437,-0.75082444117783,-0.476896724508678,-0.758872718877775,0.868106511680005,-0.845480836195554,-0.668802577755966,1.46307234240344,-0.781486261644297,-0.691322369373659,-0.687672206020464,-0.824858481314338,0.439499850789832,-0.723802056192886,-0.729124709000949,-0.673363651058744,-0.673600165288401,-0.810807246783062,-0.856827230287787,-0.69386997524948,-0.805995022965758,0.223989257788483,-0.789522890138034,-0.715861013836992,-0.156118350216467,3.90860181468346,-0.716319354387881,-0.805500326358233,-0.692532229073457,-0.759227210306928,-0.755518636480334,-0.801593826291101,-0.118593704064847,-0.767094966026545,0.584497924523294,-0.807825530722343,-0.710735739508911,-0.671858844363604,-0.823773468790609,-0.851223576557956,-0.804505471445633,-0.716298707829194,-0.816175362594097,-0.71825565635267,-0.724153772966596,-0.760452205587687,-0.717424641775675,-0.77777842500439,-0.687554047090214,-0.731198047225333,-0.751375288069266,-0.857477807767033,-0.861694965340825,-0.710051701902315,-0.698514457603454,-0.739815762901101,-0.731383043807614,-0.725284057912786,-0.728937978134994,-0.203594841468462,-0.716054021668682,-0.90045030550125,1.07832653253278,-0.145841601816657,-0.137006354201779,-0.713614199975228,-0.832105330828333,0.330216869293072,-0.693061850037746,-0.697374727764268,-0.64498092503478,-0.757946000165267,1.08410618886408,-0.763294830492077,-0.289299620201877,-0.773088987462346,-0.815023184939109,-0.221681184833022,-0.780628265476132,-0.835232759237299,-0.700714014541284,-0.74496602814987,-0.730108315437819,-0.723217380159973,2.90744554368682,-0.24304984114513,-0.694886325506,0.264478551528744,-0.698117197933961,-0.247014547583189,-0.717899586186294,3.4821037101652,-0.818332467891743,2.40429697466407,-0.818465344213095,-0.740074849414717,-0.759074037269454,-0.752198365918598,3.84985923791324,"Hepatobiliary"
"Chol-ALK-28",-0.451222309674579,-0.652454528210611,-0.608399828812406,2.50540981888413,-0.544750735232516,-0.534413986524189,-0.70262682796283,-0.457148982187559,-0.636350703181623,-0.439134703880749,-0.534462572149754,0.514978100766738,0.681325805336299,-0.550208211146117,-0.596942129878495,1.04953327020492,-0.428153575632135,3.35712885530922,-0.631761856610399,-0.457354460388288,-0.443859664737153,-0.627926442507042,-0.377731582539527,-0.4845906546123,0.510720332163007,-0.441146517749883,-0.46024637142236,-0.651006565630137,1.52870217977576,-0.438619414840059,-0.486692151845385,-0.575373009480025,-0.618966145841376,-0.471373424693648,-0.599666258484258,-0.412516398656642,-0.47161718374743,-0.613257650746021,-0.390058125125983,-0.516415205396171,-0.56959553195112,0.995112690140848,-0.540815143249067,-0.512918074814449,-0.561825970686051,-0.632792151976677,-0.46544855544417,0.602888405848306,-0.651933173551911,-0.67463641424973,0.391201845273908,0.490925149156799,0.224674496679953,-0.507918517372928,-0.412206000427198,-0.552035888676256,-0.457143581912638,-0.598801524366997,-0.445346266033224,-0.521235554040951,-0.595859037139836,0.190451816535766,0.967014372653645,-0.526583643522096,-0.48929403694168,-0.481818224040994,-0.483769283047294,-0.451735574045067,-0.497941610621426,-0.62147792597162,-0.53452061328524,0.656566208279217,-0.658784740823459,-0.565568653628175,-0.531660225094752,-0.460194240804214,1.22240999095423,-0.545929365373705,-0.454515185424924,-0.475690314607291,-0.451163855146949,-0.53006582186131,2.03987083976287,-0.567134215560738,-0.623576971053637,0.542322372205958,-0.640162315282662,-0.645505097022266,0.534913407153552,-0.56716235583358,-0.474569814227286,-0.493493972195122,-0.521808198157882,-0.499305495652485,-0.437724168107469,0.307349684903336,-0.453691171548403,-0.640289438165366,-0.472722769963825,0.938241680161358,-0.488591663597432,-0.389917984403727,-0.516158865892114,0.52676904160441,0.585643411943915,-0.481127644104255,0.428691207713093,1.07900454273327,-0.395243374304925,"Hepatobiliary"
