"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865","cancer_type"
"3-Breast-Her2-ampl",-0.48890423916929,0.16691349436715,-0.426826303144838,0.660528658097723,-0.576767324449038,-0.496333281572163,0.380978750780441,2.5834856988847,-0.4962068074344,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,1.07142054664787,-0.360851680452495,0.194795984563809,-0.426933598499897,0.322884860420853,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,0.0642811690068964,-0.399742185565874,-0.431316024754211,-0.362679017433882,0.0592042060323083,-0.479056344113486,1.14753316699639,-0.475134784924745,-0.418662415221837,-0.41860461610893,0.389673112118855,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,0.106897174762137,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,0.611794544931387,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,0.509625225652824,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,1.33058134021515,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,-0.727427570015896,0.645207363023817,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,0.874132691711072,-0.378805225170187,-0.4415574070052,-0.515063346170301,1.05754925501282,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,0.688393417067181,"Breast"
"8-Breast-WT",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,4.08631950541731,-0.4962068074344,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,0.930847168818926,-0.360851680452495,-0.595984802725956,-0.426933598499897,2.3634418468095,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,0.680280653440265,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,0.919850582247324,1.14431256730482,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,-0.399742185565874,-0.431316024754211,-0.362679017433882,0.615722632391922,-0.479056344113486,0.551426475561612,-0.475134784924745,-0.418662415221837,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,0.363451443413955,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,0.394873181920897,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,0.935921141992413,-0.574102447874227,-0.380097280237237,0.699882129989789,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,1.14871628301365,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,-0.727427570015896,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,0.38310571845032,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,0.215426198468654,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"10-Breast-Her2-ampl",-0.48890423916929,0.851531238305649,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,-0.30894826497753,0.270239883005424,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,1.47540470230123,-0.360851680452495,-0.595984802725956,-0.426933598499897,0.914245055387887,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,1.52984714528816,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,0.83863889397805,-0.576572214733825,-0.440541378229963,-0.402533183609445,0.657797299201165,-0.489762017679794,-0.387307081211322,-0.547118697472078,0.474468648687103,-0.399742185565874,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,-0.45134232314802,-0.475134784924745,-0.418662415221837,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,-0.727427570015896,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,0.397632756659331,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"Breast-100",-0.48890423916929,1.4987850560804,-0.426826303144838,-0.522485954063701,2.82970725916488,-0.496333281572163,-0.59898475105536,-0.30894826497753,-0.4962068074344,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,-0.534784213007543,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,-0.399742185565874,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,-0.45134232314802,-0.475134784924745,-0.418662415221837,2.14726054587458,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,0.213401087105975,-0.386113061980449,-0.473681323635638,1.49885042687391,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,2.26206199436862,-0.470162975824597,-0.36267611125512,0.175212050785733,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"15-Breast-Her2-ampl",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,-0.30894826497753,-0.4962068074344,-0.535610024965259,-0.37374619066668,1.93932567998775,-0.488231505910481,-0.534784213007543,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,2.06378284000347,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,2.30292902760547,-0.35930709802318,2.94071923028878,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,1.42520724634025,-0.399742185565874,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,0.405220194470271,-0.475134784924745,-0.418662415221837,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,-0.536184215625011,0.767329947191149,-0.54014031075834,-0.348012594615688,0.662771249783958,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,-0.0406929695558077,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"16-Breast-WT",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,0.367089173713145,-0.496333281572163,-0.59898475105536,4.60996911572221,1.16644543099422,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,-0.534784213007543,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,3.35214044521333,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,0.297841101309032,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,-0.45134232314802,-0.475134784924745,1.63003206268589,-0.41860461610893,-0.418061932705296,1.48926468942264,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,0.554677408470923,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,0.992193506877259,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,0.27271329404354,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,0.510097061747208,1.39196237629329,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"21-Breast-WT",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,-0.30894826497753,-0.4962068074344,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,-0.534784213007543,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,4.00372030952277,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,-0.399742185565874,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,4.26583801793635,-0.475134784924745,5.47781129902401,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,0.467605378683612,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,1.29967744414306,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,5.27909216093543,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,1.44176043456226,-0.454012438369352,0.898605352878165,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,1.31101944123111,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,0.397834823167658,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,-0.517073080426622,"Breast"
"33-Breast-Her2-ampl",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,-0.576767324449038,1.2038626078303,-0.59898475105536,-0.30894826497753,2.0373415540695,-0.535610024965259,-0.37374619066668,3.43534644045892,-0.488231505910481,1.20732683789318,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,0.0115489281447623,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,-0.399742185565874,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,4.36977454283323,-0.475134784924745,2.00978740934067,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,1.9623277416257,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,0.233263653271485,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,-0.547906206208839,-0.409275757422549,-0.373311414180252,0.312222973942934,-0.493774442525283,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,0.196150271175805,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,0.449410814975682,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,0.241988715463803,"Breast"
"42-Breast-Her2-ampl",-0.48890423916929,-0.586215119077698,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,-0.30894826497753,-0.4962068074344,-0.535610024965259,-0.37374619066668,-0.456582564225339,-0.488231505910481,0.921165510758,-0.360851680452495,-0.595984802725956,-0.426933598499897,1.29346082686997,-0.539639362203021,-0.509834593686688,0.654413816046211,-0.385688978818287,-0.369748131623501,1.21781480799606,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,1.75671556369507,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,1.61933150294901,-0.35930709802318,1.77991180161069,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,0.756323522602789,0.514656300253584,-0.387307081211322,0.462187241559565,-0.66485279461615,-0.399742185565874,0.460738030427364,-0.362679017433882,-0.58561422963665,-0.479056344113486,-0.45134232314802,-0.475134784924745,-0.418662415221837,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,1.82981918227342,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,0.404829038759308,1.09786801133752,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,1.22505698044225,-0.380097280237237,-0.5172495169783,-0.508188220721156,0.789807602535425,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,1.30842009978572,-0.409275757422549,-0.373311414180252,-0.605470675712057,-0.493774442525283,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,1.67037291275862,-0.397015836191417,0.101749416790756,-0.470162975824597,1.00537190669893,0.720534020391046,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,0.501618956886575,-0.57495768547726,-0.469105723372057,-0.439839628366183,0.552269763046705,-0.44199061330541,-0.517073080426622,"Breast"
"Breast-454",-0.48890423916929,2.01388663004444,-0.426826303144838,-0.522485954063701,-0.576767324449038,-0.496333281572163,-0.59898475105536,-0.30894826497753,-0.4962068074344,1.92953975422405,-0.37374619066668,-0.456582564225339,-0.488231505910481,-0.534784213007543,-0.360851680452495,-0.595984802725956,-0.426933598499897,-0.471052694196196,-0.539639362203021,-0.509834593686688,-0.438920929796987,-0.385688978818287,-0.369748131623501,-0.5788686763702,-0.504285072894152,-0.562957230770745,-0.414746941360835,-0.434300838733454,-0.540567603666167,-0.466144010964225,-0.425759747227508,-0.562590846796274,-0.432574999677614,-0.520629707447202,-0.679446889947827,-0.44125439689856,-0.35930709802318,-0.437712676596644,-0.533567109530621,-0.484040831398496,-0.398865002825905,-0.465143172530748,-0.567261476243607,-0.38775527449904,-0.576572214733825,-0.440541378229963,-0.402533183609445,-0.573459558501059,-0.489762017679794,-0.387307081211322,-0.547118697472078,-0.66485279461615,1.91990616038412,-0.431316024754211,-0.362679017433882,-0.58561422963665,-0.479056344113486,-0.45134232314802,-0.475134784924745,-0.418662415221837,-0.41860461610893,-0.418061932705296,-0.504422349447173,-0.503403406144394,-0.404224308112485,-0.355680972937383,-0.425815376297918,-0.428793168929356,-0.46394092675132,-0.454835737556508,-0.504264567488092,-0.678763136531919,-0.466420488188493,-0.560247015280783,-0.444342313433097,-0.477484896843217,-0.414103129446259,-0.430006242724633,-0.492795853392916,-0.564977564817595,-0.62932511642679,-0.386113061980449,-0.473681323635638,-0.38771130767954,-0.537180452458325,-0.574102447874227,-0.380097280237237,-0.5172495169783,-0.508188220721156,-0.521797354989891,-0.495321488156123,-0.39227976071015,-0.485587644096756,-0.526808294185066,-0.58085281442101,-0.456254980394965,-0.440910591769359,-0.569250998910552,-0.383738096264021,-0.57115856820483,-0.367234402889407,1.03430525518132,-0.409275757422549,0.701653472117149,-0.605470675712057,-0.493774442525283,-0.507604517730074,-0.536184215625011,-0.454012438369352,-0.54014031075834,-0.348012594615688,-0.556792365310014,-0.397015836191417,-0.625188682306962,-0.470162975824597,-0.36267611125512,-0.727427570015896,-0.435634476517598,-0.406446019023005,-0.343928852432267,-0.49462801749647,-0.535893138749296,-0.487717714134205,-0.469118571037996,-0.490195282468813,-0.471976920408536,-0.378805225170187,-0.4415574070052,-0.515063346170301,-0.57495768547726,-0.469105723372057,-0.439839628366183,-0.464944890754637,-0.44199061330541,1.08278144742395,"Breast"
