"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU280-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,0.71236199403967,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.495662450859111,-0.534409221752732,0.985570727404211,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU284-GBM-vIII",-0.504092867637063,2.0752781082097,-0.50884989360878,0.221993663573043,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,2.36606478484936,-0.534409221752732,1.14123419444722,0.618396522698112,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU306-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,3.52267074088972,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU360-GBM-WT",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU372-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU378-GBM",-0.504092867637063,0.630561868163548,-0.50884989360878,3.84485901012734,-0.443851632888024,0.866810946546539,-0.450589165201014,-0.439765002258775,-0.454763048708803,1.79361084685906,-0.445044818954859,-0.534409221752732,-0.321813678624422,0.159458914053778,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU383Platelet-hiseq",-0.504092867637063,-0.449675359086114,-0.50884989360878,3.5318113138241,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU393-GBM-vIII",-0.504092867637063,3.50453243778684,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU394Platelet-hiseq",-0.504092867637063,4.31441048930853,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU398-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU402-2-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,1.24904747481281,-0.450589165201014,-0.439765002258775,-0.454763048708803,0.258024276980959,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU406-2-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,0.380743868388737,-0.443851632888024,1.67880507047664,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU408-GBM",0.617943615239945,-0.449675359086114,-0.50884989360878,0.556659408778413,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU417-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU418-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU419-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,3.02033903557543,-0.443851632888024,2.19240853797001,-0.450589165201014,-0.439765002258775,-0.454763048708803,4.07658861543934,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU421-GBM",-0.504092867637063,3.21259147173326,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,1.32319137318172,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU422-GBM",-0.504092867637063,1.11346825878956,-0.50884989360878,-0.458221166086452,-0.443851632888024,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU425-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,0.192295175776073,0.794799439599491,-0.455326700619484,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.268956192126858,-0.534409221752732,1.51963467812099,-0.449673180451552,1.22057444610929,-0.427419269955464,-0.504866704114067,"GBM"
"VU429-1-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,1.05673432709941,-0.443851632888024,1.89998245097002,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,-0.46119392711915,-0.427419269955464,-0.504866704114067,"GBM"
"VU430-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,0.0529183498538144,-0.443851632888024,0.779761513316195,-0.450589165201014,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.347400779024418,-0.534409221752732,0.780584388745981,-0.449673180451552,0.13434954489835,-0.427419269955464,-0.504866704114067,"GBM"
"VU431-1-GBM-vIII",-0.504092867637063,0.865036130146596,1.07986279541557,0.483354398745932,-0.443851632888024,1.33896633167322,-0.450589165201014,-0.439765002258775,0.801696328595247,0.29578861801655,-0.445044818954859,0.893770481619853,-0.321813678624422,-0.449673180451552,0.635863067223364,-0.427419269955464,-0.504866704114067,"GBM"
"VU436-1-GBM-vIII",-0.504092867637063,1.1316831526292,-0.50884989360878,0.926035596689802,-0.443851632888024,3.17760543893542,-0.450589165201014,-0.439765002258775,-0.454763048708803,3.17874108767802,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.449673180451552,1.15164376779273,-0.427419269955464,-0.504866704114067,"GBM"
