"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865","cancer_type"
"292-Liver-KRAS",-0.599027876135645,-0.69935443912296,-0.746625775520368,2.18208456100609,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.737201443592304,0.668469736619656,1.94316786792178,-0.707936113404362,-0.4853560477784,1.73930220209084,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,-0.440315783383506,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,1.06868044051602,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,1.18520222011167,-0.575089272159243,-0.68435061234576,1.98489927741305,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,0.647819440886405,-0.655798656810433,0.319943398569779,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,-0.642057782805016,-0.622692536525376,-0.677212756877205,-0.622614723900954,-0.69644552031929,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,0.730829703121957,-0.569477092064395,-0.474075700762416,0.43275231616192,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,1.2297608187207,-0.617444725523575,1.80904011423754,0.373186798062155,-0.581962642462704,-0.729580303776237,-0.631800465692163,0.16704412114328,"Hepatobiliary"
"316-Liver-KRAS",-0.599027876135645,-0.69935443912296,0.156766364230865,-0.62841881739622,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,0.264516172215327,0.199580925190301,3.44907251836241,-0.707936113404362,-0.4853560477784,-0.500581314321619,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,-0.440315783383506,-0.569410015233094,0.188186768763583,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,2.48350768035202,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,0.24224978574666,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,0.642015404759612,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,3.48822457403882,-0.622692536525376,0.0513973704819806,-0.622614723900954,-0.69644552031929,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,-0.474075700762416,-0.743304751941196,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,3.09266197022781,-0.617444725523575,-0.571557973858656,-0.649593150238072,-0.581962642462704,-0.729580303776237,-0.631800465692163,-0.458582497606535,"Hepatobiliary"
"341-Liver-WT",-0.599027876135645,-0.69935443912296,-0.746625775520368,-0.62841881739622,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.737201443592304,-0.655560826341142,2.72477272739153,-0.707936113404362,-0.4853560477784,-0.500581314321619,1.11282161949778,-0.531115785296589,-0.492104380278951,-0.717080282300579,3.53381812442065,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,-0.525910339718234,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,0.328475828317248,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,1.56370846292071,-0.622692536525376,-0.677212756877205,-0.622614723900954,0.329443967078611,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,-0.474075700762416,-0.743304751941196,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,-0.471217638685035,-0.617444725523575,1.63449266442087,-0.649593150238072,-0.581962642462704,-0.729580303776237,-0.631800465692163,-0.458582497606535,"Hepatobiliary"
"376-Liver-WT",-0.599027876135645,-0.69935443912296,-0.746625775520368,-0.62841881739622,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.737201443592304,-0.655560826341142,1.34910482141372,0.561048432103302,-0.4853560477784,-0.500581314321619,0.156564975507659,-0.531115785296589,-0.492104380278951,-0.717080282300579,-0.440315783383506,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,1.49303664495407,-0.563658894283379,0.986494387734838,-0.559576022407824,0.410570095841802,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,-0.642057782805016,-0.622692536525376,-0.677212756877205,-0.622614723900954,-0.69644552031929,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,2.61684122860962,-0.743304751941196,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,2.00084132675101,-0.617444725523575,1.8395094169892,-0.649593150238072,0.44418703175566,-0.729580303776237,-0.631800465692163,3.52706775175621,"Hepatobiliary"
"379-Liver-WT",-0.599027876135645,-0.69935443912296,-0.746625775520368,-0.62841881739622,-0.631022510908347,1.10779828268914,-0.774092399265135,-0.524754076725241,0.851757465575433,-0.572812604407854,1.10362570685075,-0.604754958260663,-0.737201443592304,-0.655560826341142,0.493085750153576,-0.707936113404362,-0.4853560477784,-0.500581314321619,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,2.12871208573883,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,-0.525910339718234,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,0.974956462748959,0.28223065658714,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,1.10030042422311,-0.622692536525376,-0.677212756877205,-0.622614723900954,-0.69644552031929,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,0.801469068954478,-0.616665972782836,-0.569477092064395,-0.474075700762416,-0.743304751941196,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,2.80895942728733,-0.617444725523575,-0.571557973858656,-0.649593150238072,-0.581962642462704,-0.729580303776237,-0.631800465692163,-0.458582497606535,"Hepatobiliary"
"Chol-410",-0.599027876135645,0.718055695734098,-0.746625775520368,2.0878038685037,0.828786826010237,-0.597564889875577,0.077981418714736,-0.524754076725241,0.178871550306307,-0.572812604407854,-0.588621096814266,-0.604754958260663,0.444585615765613,-0.655560826341142,1.25902826788116,0.0592845969289995,-0.4853560477784,1.66062583471095,-0.630363331627117,-0.531115785296589,-0.492104380278951,0.282965138984301,1.32186145452551,-0.569410015233094,0.235914908242459,-0.559932667671966,-0.546620929697981,-0.695507763466511,0.308839847280755,-0.532961333382706,-0.615425193537843,0.21745465306388,-0.661078272958372,-0.575089272159243,0.356347402812709,-0.525910339718234,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,0.491416512690974,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,0.758562865474417,-0.57229566977719,0.722342118957271,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,0.739123168583802,1.80468542873626,-0.622692536525376,-0.677212756877205,-0.622614723900954,0.260455585877856,0.676945150349201,-0.619502378921564,0.467700696536493,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,2.58416938813978,-0.743304751941196,-0.572087499204824,0.322708770202659,-0.565255963026033,-0.690719955321954,-0.539298669136497,1.16940336480526,-0.617444725523575,0.46637971957455,-0.649593150238072,-0.581962642462704,0.245334814480201,-0.631800465692163,3.36167907854368,"Hepatobiliary"
"Chol-442",-0.599027876135645,-0.69935443912296,-0.746625775520368,2.45696612736147,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,0.743191789923732,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.102288805392228,-0.655560826341142,-0.561427548787127,-0.707936113404362,-0.4853560477784,2.06152992717833,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,1.04949615847322,-0.569410015233094,-0.624720102089868,-0.559932667671966,0.462830398824529,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,-0.525910339718234,0.674382692983519,-0.676153732663181,-0.559576022407824,0.645352877345899,1.2527115239685,-0.707063186444864,-0.557291999581936,0.695622554436209,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,1.32842713792091,-0.724388883861691,1.41486724836809,-0.596777378705672,-0.678599227539326,0.57652906966127,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,0.609245284288486,0.902153833935568,0.906140353906311,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,0.465125125899434,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,0.469269369496461,0.493144393126383,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,0.683647848285163,1.00950756408856,-0.677212756877205,-0.622614723900954,0.441458433400632,0.464342866652504,-0.619502378921564,-0.695789199995114,0.450805036103045,-0.590833654504417,-0.616665972782836,-0.569477092064395,-0.474075700762416,0.604164191437513,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,-0.471217638685035,-0.617444725523575,1.16761723576255,0.523268015755015,-0.581962642462704,-0.729580303776237,-0.631800465692163,-0.458582497606535,"Hepatobiliary"
"Chol-460",-0.599027876135645,-0.69935443912296,0.285009232929777,-0.62841881739622,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.737201443592304,-0.655560826341142,1.57999734034509,-0.707936113404362,-0.4853560477784,-0.500581314321619,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,-0.440315783383506,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,-0.525910339718234,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,0.784215405498457,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,-0.780199077179326,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,-0.688352177065146,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,1.57669990964723,-0.622692536525376,0.495941034233316,-0.622614723900954,-0.69644552031929,-0.677541725620362,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,-0.474075700762416,-0.743304751941196,-0.572087499204824,-0.677753253799223,-0.565255963026033,-0.690719955321954,-0.539298669136497,-0.471217638685035,-0.617444725523575,1.00697193187276,-0.649593150238072,-0.581962642462704,-0.729580303776237,-0.631800465692163,1.23332220673812,"Hepatobiliary"
"Chol-611",-0.599027876135645,0.520694254974892,0.0750060772844298,0.0152085788459573,-0.631022510908347,-0.597564889875577,-0.0421111333205282,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,-0.604754958260663,-0.278533733181271,-0.655560826341142,0.843629024799423,-0.707936113404362,-0.4853560477784,1.35969743987117,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,0.639617383515726,-0.569410015233094,-0.624720102089868,-0.559932667671966,-0.546620929697981,-0.695507763466511,-0.721975975822256,-0.532961333382706,-0.615425193537843,0.396399962204523,-0.661078272958372,-0.575089272159243,0.20966987570042,3.43319014823637,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,-0.707063186444864,0.187194350646411,-0.609421637209618,0.701811293521148,-0.646268536175569,-0.576413171779489,-0.483576383219333,-0.61604218438189,-0.724388883861691,-0.672715373811616,-0.596777378705672,-0.678599227539326,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,-0.783373676101347,-0.729238813344761,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,0.12393310422956,-0.561553336941307,-0.780199077179326,1.06945942286999,0.145334078589234,0.196779590121744,-0.557656002280678,-0.688352177065146,0.395032607799628,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,1.00717344245389,-0.622692536525376,-0.0145445062110911,-0.622614723900954,-0.69644552031929,0.147367970580056,-0.619502378921564,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,2.89890595127357,-0.0524775066759047,-0.572087499204824,0.535374060373653,-0.565255963026033,0.0871692998669492,-0.539298669136497,3.17963366096612,-0.617444725523575,2.2014124954261,-0.649593150238072,-0.581962642462704,-0.729580303776237,-0.631800465692163,3.53436998191692,"Hepatobiliary"
"Chol-ALK-28",-0.599027876135645,-0.69935443912296,-0.746625775520368,2.58481304794737,-0.631022510908347,-0.597564889875577,-0.774092399265135,-0.524754076725241,-0.656407844113818,-0.572812604407854,-0.588621096814266,0.760392384210181,0.684558045248073,-0.655560826341142,-0.561427548787127,1.06932269609206,-0.4853560477784,3.01995102606773,-0.630363331627117,-0.531115785296589,-0.492104380278951,-0.717080282300579,-0.440315783383506,-0.569410015233094,0.537007989335912,-0.559932667671966,-0.546620929697981,-0.695507763466511,1.44414969303289,-0.532961333382706,-0.615425193537843,-0.624375182094188,-0.661078272958372,-0.575089272159243,-0.68435061234576,-0.525910339718234,-0.563658894283379,-0.676153732663181,-0.559576022407824,-0.570246576846908,-0.625168965512607,1.03575466366214,-0.557291999581936,-0.609421637209618,-0.584536237774548,-0.646268536175569,-0.576413171779489,0.609612254144814,-0.61604218438189,-0.724388883861691,0.524939601275922,0.716380430702033,0.259538740450103,-0.520418146182316,-0.534799798688657,-0.633760815886055,-0.57229566977719,-0.628620024851605,-0.550516684225564,-0.613819407657538,-0.560196330117488,0.338504586825651,0.788731963528689,-0.540538366589668,-0.545664369019617,-0.599485302475332,-0.571786245831671,-0.578507585186475,-0.650455045731933,-0.700872335765113,-0.561553336941307,0.738850251655915,-0.655798656810433,-0.697689661529918,-0.574493474844183,-0.557656002280678,1.28517047677758,-0.52487451003134,-0.55184193783665,-0.554044984986892,-0.438772313353018,-0.654379205632673,1.91583794710937,-0.622692536525376,-0.677212756877205,0.822576397585826,-0.69644552031929,-0.677541725620362,0.819760196510503,-0.695789199995114,-0.613609795012994,-0.590833654504417,-0.616665972782836,-0.569477092064395,-0.474075700762416,0.342201162126366,-0.572087499204824,-0.677753253799223,-0.565255963026033,1.02983053408495,-0.539298669136497,-0.471217638685035,-0.617444725523575,0.82950212843189,0.681760823986349,-0.581962642462704,0.586408781070372,1.13136207780195,-0.458582497606535,"Hepatobiliary"
