"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865","cancer_type"
"3-Breast-Her2-ampl",-0.489483674713921,0.170547161074741,-0.427166054873635,0.662968651200413,-0.57729235363827,-0.496697729346053,0.384005838809259,2.59635123984877,-0.497006264132812,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,1.07674704605191,-0.361091310062088,0.198494129969394,-0.427209662751993,0.327990985040428,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,0.0671923767638675,-0.400497512029309,-0.431584442518366,-0.362836635108256,0.0612771830105546,-0.479183249951239,1.16222838278355,-0.475498315316322,-0.419839307586847,-0.418816240327903,0.395390485500505,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,0.111787423960426,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,0.614593701373528,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,0.512194620144139,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,1.33310468093939,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,-0.73145250418656,0.649040809038358,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,0.877724438509674,-0.379161949641383,-0.441748500440315,-0.515370748508433,1.06123146704253,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,0.69766652129424,"Breast"
"8-Breast-WT",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,4.08227363382654,-0.497006264132812,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,0.936044481202363,-0.361091310062088,-0.597562997079172,-0.427209662751993,2.3700856320375,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,0.685077388718536,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,0.924381214828433,1.15022594195723,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,-0.400497512029309,-0.431584442518366,-0.362836635108256,0.619502789217736,-0.479183249951239,0.561536372590386,-0.475498315316322,-0.419839307586847,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,0.36681573958797,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,0.397416770548504,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,0.943932594833084,-0.574547412051676,-0.380430093207073,0.702838174559302,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,1.15133876526989,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,-0.73145250418656,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,0.385411128605996,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,0.217588125674922,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"10-Breast-Her2-ampl",-0.489483674713921,0.857698161683579,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,-0.309529644846314,0.273208668414603,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,1.48041322416271,-0.361091310062088,-0.597562997079172,-0.427209662751993,0.922852012201205,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,1.53297805928414,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,0.8453902759241,-0.578418903939853,-0.440845057560506,-0.402800957411009,0.662315403694805,-0.490191614502914,-0.387458469999575,-0.547342081550196,0.478579828333215,-0.400497512029309,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,-0.453520463080941,-0.475498315316322,-0.419839307586847,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,-0.73145250418656,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,0.401320220749758,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"Breast-100",-0.489483674713921,1.50436223393088,-0.427166054873635,-0.522805082503363,2.82512500173597,-0.496697729346053,-0.59994073973799,-0.309529644846314,-0.497006264132812,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,-0.535578881140264,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,-0.400497512029309,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,-0.453520463080941,-0.475498315316322,-0.419839307586847,2.14964645743631,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,0.219091646487535,-0.386808567195655,-0.473937637058681,1.50400237474642,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,2.25944630402644,-0.470465254505972,-0.363912718313512,0.186216434703543,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"15-Breast-Her2-ampl",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,-0.309529644846314,-0.497006264132812,-0.535926408238852,-0.374389587264773,1.94582786650134,-0.488378971130679,-0.535578881140264,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,2.0661196566133,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,2.3253347055626,-0.360394763248112,2.95166890216951,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,1.42766057411723,-0.400497512029309,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,0.413800447138164,-0.475498315316322,-0.419839307586847,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,-0.536494698185429,0.769676042672667,-0.540641423031425,-0.348425147702436,0.666677248441838,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,-0.032484700150699,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"16-Breast-WT",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,0.369304798400088,-0.496697729346053,-0.59994073973799,4.5947771282621,1.17197644995704,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,-0.535578881140264,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,3.34844815276029,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,0.302602725275757,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,-0.453520463080941,-0.475498315316322,1.63954255168263,-0.418816240327903,-0.419171849570317,1.49289655955654,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,0.556899575782369,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,0.99533431685912,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,0.2847262396439,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,0.512286128432563,1.39548347691208,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"21-Breast-WT",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,-0.309529644846314,-0.497006264132812,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,-0.535578881140264,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,3.9883051710481,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,-0.400497512029309,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,4.23472699332187,-0.475498315316322,5.43366930193251,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,0.46967367254063,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,1.30278691441304,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,5.24073774628998,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,1.44452513813778,-0.454210725594474,0.901272760947482,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,1.32100199940598,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,0.401523345921586,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,-0.518950740640203,"Breast"
"33-Breast-Her2-ampl",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,-0.57729235363827,1.20708146030397,-0.59994073973799,-0.309529644846314,2.0416440196028,-0.535926408238852,-0.374389587264773,3.41786296987815,-0.488378971130679,1.21266573308701,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,0.0169279094736906,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,-0.400497512029309,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,4.33484919036881,-0.475498315316322,2.01929370503003,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,1.96573047019679,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,0.239095325801439,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,-0.548246753341323,-0.410458854850929,-0.376085254966847,0.31407968098413,-0.494007793907488,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,0.207385523227058,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,0.453366774609636,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,0.247902900625961,"Breast"
"42-Breast-Her2-ampl",-0.489483674713921,-0.587392633752342,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,-0.309529644846314,-0.497006264132812,-0.535926408238852,-0.374389587264773,-0.457301332060047,-0.488378971130679,0.926349795016954,-0.361091310062088,-0.597562997079172,-0.427209662751993,1.30323076785395,-0.539991255188735,-0.510050775686776,0.657382168082376,-0.386236372075434,-0.370292957722169,1.22481892672762,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,1.76008404985269,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,1.64433727133698,-0.360394763248112,1.79795781358408,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,0.761094628234648,0.517220380668304,-0.387458469999575,0.464069138055461,-0.66549608966086,-0.400497512029309,0.463774123035829,-0.362836635108256,-0.58636397201414,-0.479183249951239,-0.453520463080941,-0.475498315316322,-0.419839307586847,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,1.83672848934617,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,0.408025812486026,1.10326468396959,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,1.22796066280511,-0.380430093207073,-0.517699977761507,-0.508516510850491,0.792398589959682,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,1.31114258106021,-0.410458854850929,-0.376085254966847,-0.605815007708669,-0.494007793907488,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,1.67392152110934,-0.397363968993432,0.104131239171702,-0.470465254505972,1.01736792160851,0.734739034974663,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,0.503793388210557,-0.575643008354943,-0.46950194156598,-0.440109756196063,0.554648366388377,-0.442246094950301,-0.518950740640203,"Breast"
"Breast-454",-0.489483674713921,2.01623562560693,-0.427166054873635,-0.522805082503363,-0.57729235363827,-0.496697729346053,-0.59994073973799,-0.309529644846314,-0.497006264132812,1.93088046283284,-0.374389587264773,-0.457301332060047,-0.488378971130679,-0.535578881140264,-0.361091310062088,-0.597562997079172,-0.427209662751993,-0.472497315307328,-0.539991255188735,-0.510050775686776,-0.439395440768505,-0.386236372075434,-0.370292957722169,-0.580182792717566,-0.504580611844278,-0.563564816816346,-0.415332247460931,-0.434538970011261,-0.540935274554197,-0.466481924852692,-0.42618686188652,-0.563237817945086,-0.433250890230484,-0.521167552986871,-0.680795110743151,-0.445041103063912,-0.360394763248112,-0.440422043770802,-0.533884030225674,-0.484444351416916,-0.399898634726296,-0.465400568692601,-0.567826653865324,-0.388287405092906,-0.578418903939853,-0.440845057560506,-0.402800957411009,-0.574567391161672,-0.490191614502914,-0.387458469999575,-0.547342081550196,-0.66549608966086,1.92944495675663,-0.431584442518366,-0.362836635108256,-0.58636397201414,-0.479183249951239,-0.453520463080941,-0.475498315316322,-0.419839307586847,-0.418816240327903,-0.419171849570317,-0.504768109875833,-0.503708930529297,-0.404812961836128,-0.356127764920938,-0.426152405790388,-0.429499750025505,-0.464375891526999,-0.455236351660987,-0.504623527225731,-0.680117437351813,-0.466764426657629,-0.561253030076281,-0.444598034495984,-0.477833002749308,-0.414352476826801,-0.430499440370047,-0.493593930889384,-0.566010699037032,-0.63129034137311,-0.386808567195655,-0.473937637058681,-0.388200013230897,-0.538722496195877,-0.574547412051676,-0.380430093207073,-0.517699977761507,-0.508516510850491,-0.521979735973987,-0.495614760728454,-0.392786433490695,-0.485816253127067,-0.527848653802147,-0.581450107692442,-0.456566211138298,-0.441282341989839,-0.569755773406841,-0.384272493327475,-0.571646636129868,-0.367490929903791,1.03716847199241,-0.410458854850929,0.715460440411038,-0.605815007708669,-0.494007793907488,-0.507817813873977,-0.536494698185429,-0.454210725594474,-0.540641423031425,-0.348425147702436,-0.557501763870755,-0.397363968993432,-0.625888537038413,-0.470465254505972,-0.363912718313512,-0.73145250418656,-0.436105875668738,-0.406700539566019,-0.344789866784545,-0.495183843341153,-0.536600271805562,-0.48805352537329,-0.469274127030998,-0.491698944574237,-0.472351838475484,-0.379161949641383,-0.441748500440315,-0.515370748508433,-0.575643008354943,-0.46950194156598,-0.440109756196063,-0.465167799440612,-0.442246094950301,1.09371238258409,"Breast"
