"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU280-GBM",-0.504199158802513,-0.449923050943037,-0.509007746483544,-0.458621758446677,0.713633740767569,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,0.497084348193553,-0.534776723349047,0.989406083248274,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU284-GBM-vIII",-0.504199158802513,2.07708673291292,-0.509007746483544,0.223297470869209,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,2.36720894332195,-0.534776723349047,1.14545049368982,0.61999523919934,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU306-GBM-vIII",-0.504199158802513,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,3.51980980636352,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU360-GBM-WT",-0.504199158802513,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU372-GBM-vIII",-0.504199158802513,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU378-GBM",-0.504199158802513,0.632136421730935,-0.509007746483544,3.84040060812253,-0.444045139577054,0.86858320816265,-0.450672281864098,-0.440006424941422,-0.454939538219349,1.79675551793261,-0.445254053804432,-0.534776723349047,-0.322196680607796,0.160357579778702,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU383Platelet-hiseq",-0.504199158802513,-0.449923050943037,-0.509007746483544,3.52932578364962,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU393-GBM-vIII",-0.504199158802513,3.50207088927543,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU394Platelet-hiseq",-0.504199158802513,4.30710919458455,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
"VU398-GBM",-0.504199158802513,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.444045139577054,-0.455608707943101,-0.450672281864098,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.449906669511745,-0.46163066697826,-0.42753600107755,-0.504940112708961,"GBM"
