"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865","cancer_type"
"292-Liver-KRAS",-0.599251178133689,-0.699494144212378,-0.746835364858665,2.18254389742104,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.738148045680352,0.669573245358082,1.9438245669659,-0.708227037180188,-0.485567305025136,1.74043100125978,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,-0.441050407532605,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,1.06964625277022,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,1.18602135833534,-0.575226539692363,-0.684480349209926,1.98574153533474,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,0.648865969329242,-0.655981157786827,0.320669345978797,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,-0.642334222761832,-0.622832406223372,-0.677373057440321,-0.62275420409556,-0.69660197699692,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,0.731848493213191,-0.569645165097012,-0.474184375687449,0.434144194981801,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,1.23081433235999,-0.617481848268723,1.80962418697373,0.374105682468441,-0.582062336097263,-0.729725508919924,-0.631990203391972,0.168847910957555,"Hepatobiliary"
"316-Liver-KRAS",-0.599251178133689,-0.699494144212378,0.157392477026112,-0.628978734548667,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,0.266664509118755,0.200361612607121,3.44294342803718,-0.708227037180188,-0.485567305025136,-0.5007512686629,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,-0.441050407532605,-0.569549926462473,0.189102855328521,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,2.48375040459089,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,0.242996478137841,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,0.642966366004867,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,3.47999945703209,-0.622832406223372,0.0521845998994283,-0.62275420409556,-0.69660197699692,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,-0.474184375687449,-0.743997723406437,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,3.09126242963244,-0.617481848268723,-0.571719382085467,-0.649971679946658,-0.582062336097263,-0.729725508919924,-0.631990203391972,-0.459019994100324,"Hepatobiliary"
"341-Liver-WT",-0.599251178133689,-0.699494144212378,-0.746835364858665,-0.628978734548667,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.738148045680352,-0.655825529722437,2.7228102884793,-0.708227037180188,-0.485567305025136,-0.5007512686629,1.11380952402141,-0.531236572301347,-0.492318864259825,-0.717273113286087,3.53346215176661,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,-0.526097126251962,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,0.329230373617055,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,1.56454044178862,-0.622832406223372,-0.677373057440321,-0.62275420409556,0.330154670124313,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,-0.474184375687449,-0.743997723406437,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,-0.471310754535524,-0.617481848268723,1.63525995718619,-0.649971679946658,-0.582062336097263,-0.729725508919924,-0.631990203391972,-0.459019994100324,"Hepatobiliary"
"376-Liver-WT",-0.599251178133689,-0.699494144212378,-0.746835364858665,-0.628978734548667,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.738148045680352,-0.655825529722437,1.35059243385494,0.562287644949249,-0.485567305025136,-0.5007512686629,0.157365423558807,-0.531236572301347,-0.492318864259825,-0.717273113286087,-0.441050407532605,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,1.49412344735962,-0.563726513516909,0.987098026315992,-0.559734683621832,0.411514113217567,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,-0.642334222761832,-0.622832406223372,-0.677373057440321,-0.62275420409556,-0.69660197699692,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,2.61648249432249,-0.743997723406437,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,2.00154395690521,-0.617481848268723,1.84005588748766,-0.649971679946658,0.444873442700537,-0.729725508919924,-0.631990203391972,3.52064840554332,"Hepatobiliary"
"379-Liver-WT",-0.599251178133689,-0.699494144212378,-0.746835364858665,-0.628978734548667,-0.631180666907278,1.10887856997746,-0.774350614853602,-0.524873140057354,0.852917092097353,-0.572874071961279,1.10479702999084,-0.604832602392119,-0.738148045680352,-0.655825529722437,0.494386259370571,-0.708227037180188,-0.485567305025136,-0.5007512686629,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,2.13354548315018,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,-0.526097126251962,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,0.976424100926876,0.283154802561866,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,1.10162553954545,-0.622832406223372,-0.677373057440321,-0.62275420409556,-0.69660197699692,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,0.802261801168472,-0.616827988698112,-0.569645165097012,-0.474184375687449,-0.743997723406437,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,2.80831477231674,-0.617481848268723,-0.571719382085467,-0.649971679946658,-0.582062336097263,-0.729725508919924,-0.631990203391972,-0.459019994100324,"Hepatobiliary"
"Chol-410",-0.599251178133689,0.719248313178151,-0.746835364858665,2.08855735029489,0.829644916530686,-0.597745008913701,0.0786857818531819,-0.524873140057354,0.179703380542663,-0.572874071961279,-0.588817529670898,-0.604832602392119,0.447051088519485,-0.655825529722437,1.26056552491809,0.0601199141757206,-0.485567305025136,1.66180156002372,-0.630487584257628,-0.531236572301347,-0.492318864259825,0.283614147796313,1.32654591110628,-0.569549926462473,0.236893462452465,-0.560068250822135,-0.546756813119431,-0.695731022131432,0.310031484453511,-0.533081177489364,-0.615494553577173,0.218378897501117,-0.661235965743337,-0.575226539692363,0.356971892520611,-0.526097126251962,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,0.492705644742479,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,0.759467181745489,-0.572399461462552,0.723187161253737,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,0.740019557299054,1.80503222662637,-0.622832406223372,-0.677373057440321,-0.62275420409556,0.261129779580723,0.677748961026014,-0.619590157957274,0.46826811366547,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,2.58389178702917,-0.743997723406437,-0.572284323605301,0.323331002670992,-0.565364879911888,-0.690887569182606,-0.539427296252486,1.17045301481397,-0.617481848268723,0.467199998367561,-0.649971679946658,-0.582062336097263,0.245954540692018,-0.631990203391972,3.356796974613,"Hepatobiliary"
"Chol-442",-0.599251178133689,-0.699494144212378,-0.746835364858665,2.45639153166159,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,0.744346858454592,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.101073007063664,-0.655825529722437,-0.561662914916179,-0.708227037180188,-0.485567305025136,2.06236033907642,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,1.05370419156758,-0.569549926462473,-0.625109669251301,-0.560068250822135,0.463946896006687,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,-0.526097126251962,0.675167905667565,-0.676227293075763,-0.559734683621832,0.64649859042326,1.25357489798297,-0.707366058323952,-0.557425999600439,0.696486543230778,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,1.32976458785448,-0.72464884139114,1.4158618213926,-0.596890862909072,-0.679103033008691,0.577885238731577,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,0.610311399274845,0.904530090229612,0.90845973228307,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,0.46595787717192,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,0.470073725150659,0.494226771534688,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,0.684988496696122,1.01039782716879,-0.677373057440321,-0.62275420409556,0.442218001748083,0.465099048761249,-0.619590157957274,-0.695936477675214,0.451763249510428,-0.59094894399928,-0.616827988698112,-0.569645165097012,-0.474184375687449,0.605724833994548,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,-0.471310754535524,-0.617481848268723,1.16862639495186,0.524316790757615,-0.582062336097263,-0.729725508919924,-0.631990203391972,-0.459019994100324,"Hepatobiliary"
"Chol-460",-0.599251178133689,-0.699494144212378,0.285711263187686,-0.628978734548667,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.738148045680352,-0.655825529722437,1.5812697474023,-0.708227037180188,-0.485567305025136,-0.5007512686629,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,-0.441050407532605,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,-0.526097126251962,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,0.785521472513477,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,-0.780465414515827,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,-0.688452389388203,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,1.57750992630909,-0.622832406223372,0.497053798623565,-0.62275420409556,-0.69660197699692,-0.677674762600863,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,-0.474184375687449,-0.743997723406437,-0.572284323605301,-0.677856256478937,-0.565364879911888,-0.690887569182606,-0.539427296252486,-0.471310754535524,-0.617481848268723,1.00798977844303,-0.649971679946658,-0.582062336097263,-0.729725508919924,-0.631990203391972,1.23726483277908,"Hepatobiliary"
"Chol-611",-0.599251178133689,0.521885579816551,0.0755759466315535,0.0160915481720751,-0.631180666907278,-0.597745008913701,-0.041513094592098,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,-0.604832602392119,-0.277870769331747,-0.655825529722437,0.845171064655649,-0.708227037180188,-0.485567305025136,1.36096659516796,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,0.642784400016026,-0.569549926462473,-0.625109669251301,-0.560068250822135,-0.546756813119431,-0.695731022131432,-0.7223179009669,-0.533081177489364,-0.615494553577173,0.39750415138892,-0.661235965743337,-0.575226539692363,0.210223887616364,3.43112531347914,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,-0.707366058323952,0.188006058341161,-0.609618335222362,0.702978205417118,-0.646585929734701,-0.576538099754553,-0.483922611200834,-0.616381661009994,-0.72464884139114,-0.673033262549762,-0.596890862909072,-0.679103033008691,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,-0.783705854751242,-0.729958858639745,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,0.124547368903452,-0.561655093347595,-0.780465414515827,1.0704916381171,0.145941471863753,0.197587301598136,-0.55779530346844,-0.688452389388203,0.396604315659903,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,1.00853422845904,-0.622832406223372,-0.0138273867718762,-0.62275420409556,-0.69660197699692,0.147962384505672,-0.619590157957274,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,2.89774793578883,-0.0517987592848671,-0.572284323605301,0.536063622062015,-0.565364879911888,0.0877931639444766,-0.539427296252486,3.17797090620855,-0.617481848268723,2.20137681291579,-0.649971679946658,-0.582062336097263,-0.729725508919924,-0.631990203391972,3.52788001850066,"Hepatobiliary"
"Chol-ALK-28",-0.599251178133689,-0.699494144212378,-0.746835364858665,2.58366622742969,-0.631180666907278,-0.597745008913701,-0.774350614853602,-0.524873140057354,-0.656619653642729,-0.572874071961279,-0.588817529670898,0.761161315090089,0.687269482232001,-0.655825529722437,-0.561662914916179,1.07048862072805,-0.485567305025136,3.01874114136837,-0.630487584257628,-0.531236572301347,-0.492318864259825,-0.717273113286087,-0.441050407532605,-0.569549926462473,0.538320046364843,-0.560068250822135,-0.546756813119431,-0.695731022131432,1.44490543010287,-0.533081177489364,-0.615494553577173,-0.624641427721426,-0.661235965743337,-0.575226539692363,-0.684480349209926,-0.526097126251962,-0.563726513516909,-0.676227293075763,-0.559734683621832,-0.570527082431558,-0.625315953327537,1.03681484006081,-0.557425999600439,-0.609618335222362,-0.584694412275753,-0.646585929734701,-0.576538099754553,0.611487966365136,-0.616381661009994,-0.72464884139114,0.526030643267585,0.717285133482025,0.260932145113322,-0.520711195303629,-0.535004264779438,-0.633923497767942,-0.572399461462552,-0.628725279724224,-0.550697894535392,-0.613968776011592,-0.560416035583382,0.339464835253237,0.791127152982819,-0.540919742121272,-0.545751858396159,-0.59958551999832,-0.571866763518588,-0.578613752185103,-0.650610808687409,-0.701084700464474,-0.561655093347595,0.739886115347966,-0.655981157786827,-0.697908070153705,-0.574687220026503,-0.55779530346844,1.28559555412008,-0.525232786224304,-0.552018713479433,-0.554168772959392,-0.43901060420982,-0.654559397143779,1.91590382636391,-0.622832406223372,-0.677373057440321,0.823384544915252,-0.69660197699692,-0.677674762600863,0.820467902436652,-0.695936477675214,-0.613778629168208,-0.59094894399928,-0.616827988698112,-0.569645165097012,-0.474184375687449,0.343484380371244,-0.572284323605301,-0.677856256478937,-0.565364879911888,1.0306704518778,-0.539427296252486,-0.471310754535524,-0.617481848268723,0.830490928867265,0.682920180627938,-0.582062336097263,0.587131844496821,1.13236161757142,-0.459019994100324,"Hepatobiliary"
