"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.529342063953509,-0.579430752499331,-0.596959903186248,-0.51162765461702,-0.570489540858474,-0.595769061471026,0.623394701438104,-0.671434744649375,-0.506346723873738,-0.590954406138717,-0.516764184155323,-0.58817120240313,-0.547515257511867,-0.564332642884108,-0.441525339668502,0.460961539423583,-0.51752198332889,0.578660860824548,-0.502638299904119,-0.548556085593899,-0.578643719324066,-0.61772311936562,2.94252098245695,-0.703338651442061,-0.516715999757671,-0.422428667431347,1.17013648221621,-0.584556153473236,-0.428257320896396,-0.600834069729627,-0.47460166670371,-0.647153749660693,-0.564654348529137,"GBM"
"VU284-GBM-vIII",-0.701133736745983,2.28135977484383,-0.691570024747682,0.0504133527439319,-0.0266605135261025,-0.715753532932914,-0.69575116697875,-0.771592451812405,-0.660818693407929,-0.69020290498898,-0.700355234816967,1.46352145940177,-0.652065584663236,-0.688944584475752,-0.547992653259876,2.34549491287981,-0.6130885534244,0.769226197279941,-0.676998764796058,-0.702305161880681,0.711295932176969,-0.712481914841658,-0.755992316439382,-0.793123127513291,-0.671814153824806,-0.559616824277548,-0.815976067173029,-0.675789025076482,-0.655336460341977,0.767557549789591,-0.68201800362091,-0.744198638126164,-0.706852535547949,"GBM"
"VU306-GBM-vIII",-0.711318487013786,-0.694213051041821,-0.707072218242341,-0.618061728073094,-0.675992350613235,-0.728063900482204,-0.708501515794811,1.88329447495465,-0.673660307172782,-0.704316598283583,-0.710038114592039,-0.706625085839583,-0.66762893925815,-0.701539832208029,-0.560101345008823,-0.686199267512871,-0.62724914081777,-0.448828102877487,-0.689564594095113,-0.71331173494128,2.95838029902303,3.0057377090134,-0.769987693620337,-0.810125046791747,-0.684828526393078,-0.571643185374199,-0.838876619629018,-0.694001160265087,-0.668573267520561,-0.751584641574118,-0.69245698945081,-0.759775521654166,-0.720036399291022,"GBM"
"VU360-GBM-WT",0.0810374066275183,0.0761697227611809,-0.00837531701802822,-0.0182904931670849,-0.0828791754147364,0.0977594844947822,0.1578111874654,1.44265103768176,0.0955515709108122,0.0947305747064153,0.178750491257705,-0.0334275236554515,0.0973293084186198,0.155078462588787,-0.00650509774913348,0.0497053911453812,-0.15196199994931,-0.0211894645104989,0.0641872276291569,0.0924045802028439,0.0683193647566101,0.161815406507598,0.017459538804639,-0.189229441680051,0.0367815806895074,-0.0337915077555625,-0.40740950752334,-0.233740823823283,0.206183308630379,0.0493634198440475,0.129200622378987,-0.0565803613698682,0.0349667790493274,"GBM"
"VU372-GBM-vIII",-0.593208951331291,-0.607737223469486,-0.625717905417863,-0.540493412471777,1.79870935462055,-0.652996006502897,-0.604475806456694,0.763687492277701,-0.569326185763709,-0.619757863783084,-0.589539170184791,2.42539663478618,-0.575705476489098,-0.619526616268347,-0.487043562572154,-0.601129384301223,-0.555772251258279,-0.335839564257926,-0.561947932476411,-0.615622827889586,-0.607515598163739,-0.644607394077943,-0.693372881352412,-0.726714791919416,-0.574631066266462,-0.463093609330856,-0.732450120267881,-0.6076072159868,-0.494641840997146,1.70736889270691,-0.537780352511382,-0.681717137182566,-0.627395539657244,"GBM"
"VU378-GBM",-0.741887565564905,0.714831861595789,-0.75583739391022,2.41558870805717,0.112666453395674,-0.765616895766231,-0.747594667432661,1.20865957114533,-0.713294590159209,1.03015821854007,-0.739002671969356,-0.762326604370935,-0.716795326499518,-0.740154958946726,1.58974693563094,-0.733794402303218,-0.672222464205461,-0.484144816641271,-0.728131395234547,-0.0821027388326115,-0.0749479956229469,1.24162731735684,-0.813051575591227,-0.863709763606674,-0.724992905742854,-0.609169518397732,-0.916522074257668,-0.753936285365841,-0.705415609219979,3.76492175279715,-0.723891223929502,-0.808468382950994,-0.76058633342607,"GBM"
"VU383Platelet-hiseq",-0.732858449051509,-0.726693827896138,-0.741061411433853,2.26827561203462,-0.706119087886661,-0.754427327599281,-0.735914329835703,2.87767457436549,-0.701409673027047,-0.734952833362995,-0.730463098375467,-0.745295279634166,-0.701864487242125,-0.728617949516741,-0.586621568738738,-0.719386228225935,-0.658519566161066,-0.473386863606671,-0.716601568942676,-0.736717140712295,-0.729316671148266,4.14265169150774,-0.800159166586005,-0.847453249597835,-0.71294918348975,-0.597848313880984,-0.891968900089878,-0.735305325001386,-0.694418419225691,-0.77192235299325,-0.714590415488236,-0.793763807908999,-0.748449344201864,"GBM"
"VU393-GBM-vIII",-0.1992284141149,2.81561610790926,-0.297779050046245,-0.24481440348942,-0.30677353271268,-0.220685608290491,-0.159050724313559,-0.501274919681048,-0.180819977808979,-0.220113015534871,-0.140606565685017,-0.311733074662668,-0.205308198412576,-0.175251035116358,-0.206251830752839,-0.255342355344996,-0.31981490737906,-0.151980928804596,-0.196080080412256,-0.20190310169236,-0.24461083466928,-0.202289279304228,-0.291374624670846,-0.451587667653866,-0.217365980196339,-0.212240682043565,-0.563362149747607,-0.398824337607341,-0.085130590864622,2.0684389219988,-0.148045176787255,-0.327751892123341,-0.240359170716474,"GBM"
"VU394Platelet-hiseq",-0.722031724498042,3.38543735407633,-0.723764341984852,-0.634219682655038,-0.690830429846577,-0.741119219153059,-0.722057990493407,-0.813623970705357,-0.687358669393825,-0.719416063528201,-0.720206003850005,2.22452268590803,-0.684422852751023,-0.714931041346051,-0.573130215737852,-0.70250456536153,-0.642565256738366,-0.460862303024399,-0.702931447769797,-0.724930772175196,-0.712195782229385,-0.737700861718875,-0.7848938916381,-0.828446821202591,-0.698710394945806,-0.584540750377111,-0.503715579924255,-0.714033746419729,-0.681360563511899,-0.76171932387158,-0.703455845339612,-0.776495549726525,-0.734075390837253,"GBM"
"VU398-GBM",0.315215828628365,0.337005940224928,0.233438363088166,0.170983431581325,0.104197604579484,1.62934920148194,0.422567775678759,-0.180475000536619,0.326476101749774,0.357800737684125,0.445591918626839,2.20811897744324,0.350200577559722,0.431088003488259,0.160394935264974,0.304590555946436,-0.0117111163915849,0.0880944240437253,0.281655727120455,0.338315795299934,0.329790778230596,0.466046084870964,0.275508475599955,0.0299861415642653,0.249136674885307,0.115313174119035,-0.272450574958512,-0.0958039300061813,0.449593044109181,0.298818438297306,0.360855640401279,0.169999251496195,0.265017651043812,"GBM"
"VU402-2-GBM",-0.715936090901929,-0.70105647342023,-0.714216929151763,-0.62496273916509,1.14694820771432,-0.733677422049214,-0.714326124529334,0.7898082747794,-0.679540114588508,1.55619229003929,-0.714422874310469,1.17864172785256,-0.674812670818923,-0.707293485861079,-0.0111720388580945,-0.693180001096789,-0.633795760419996,-0.453979587598945,-0.695306870039939,-0.718314492621286,-0.702737865392876,2.59758170240693,-0.776388846257156,-0.817965183147926,-0.690787178878375,-0.577170340616637,-0.849688542677427,0.183818366901368,-0.674068818194765,2.05404681219859,-0.697195399243294,-0.766938855942135,-0.726065520490324,"GBM"
"VU406-2-GBM",-0.727939458095283,-0.719148454198494,-0.733147502507862,0.286332607474544,0.482179463174874,-0.748366419340888,-0.72959901001678,0.160211089497382,-0.694999279951267,2.03158250925847,-0.725805240852761,-0.736229882225211,-0.693879511927198,-0.722379924265769,-0.580450080266905,-0.711664319447577,-0.651208943781956,-0.467647521043988,-0.710370127664649,-0.731356553305383,-0.721485701982341,-0.744901398416513,-0.793197899827721,0.409170772179289,-0.70645314770421,-0.591767012027561,-0.879212378404691,-0.725504488163567,-0.68846860116437,0.503065524456284,-0.709529148769938,-0.785870392819505,-0.741894951675803,"GBM"
"VU408-GBM",0.259323656972395,-0.661393390498074,-0.672920513150789,0.520120896730046,-0.645393673973977,-0.700708627464656,-0.677894394264862,-0.284003208763637,-0.645220057469047,-0.673111570940673,-0.687349823392864,0.604639954836657,-0.633385385906383,-0.673104013202477,-0.533414156177824,-0.65280197907491,-0.596126023289033,-0.397611686858196,-0.661690513789821,-0.688788117146919,-0.661773673552385,1.04430795178179,-0.73896434115917,-0.772682192709407,-0.656004292164392,-0.54487218085927,-0.789339454443951,-0.654330949671435,-0.632227867821527,0.226936916288968,-0.668722089336002,-0.725397261453462,-0.690808573291525,"GBM"
"VU417-GBM-vIII",-0.702929667944849,-0.681938963293479,-0.694278628550428,-0.605759000870055,-0.664566463049097,-0.717917287859433,-0.697989993161908,-0.775059535248465,-0.663070651578833,-0.692675087673281,-0.702063828877462,-0.69224113924534,-0.654782548588438,-0.691156195652847,-0.55010894381216,-0.673693715741862,-0.615558592456324,-0.431164168466206,-0.679204779391086,-0.704243273362187,-0.682970355354445,1.37461995678688,-0.758448102866319,-0.796092966509811,-0.67409647229034,-0.561721442446808,-0.0250929885754803,-0.678945492671396,-0.658618324879337,2.24916654293275,-0.683857550937173,-0.746923670623828,-0.70916610845998,"GBM"
"VU418-GBM",-0.620302942630524,-0.619770339386205,-0.637945967741662,-0.551184437691427,-0.615442576692535,-0.663888483116132,-0.635107632549676,-0.707377692562486,-0.596043708137741,-0.631443200542165,-0.620412208142924,-0.630963968213977,-0.5877069975616,-0.630525351134531,-0.504684521140731,-0.613248508657329,-0.566178844347861,-0.34848349917018,-0.587108618002964,-0.644074280697617,-0.619796677338936,-0.655992322953377,-0.705253331767413,-0.736407462981257,-0.599200140672729,-0.480344733148609,-0.74413677723202,-0.617297917056019,-0.522803877442941,-0.697728768545252,-0.564582390842177,-0.691849127673935,-0.654011981389736,"GBM"
"VU419-GBM",-0.550542412720948,-0.588816087905878,-0.606493865472979,2.04678879878429,1.96972264909561,-0.619857432334245,-0.55623802649031,2.62112832445036,-0.527252495425666,2.38005901365224,-0.540921539378281,2.32326491003327,-0.556855392779527,-0.589319994324143,1.97259908031093,-0.582082085538673,-0.530219001358812,-0.315928399041901,-0.522325886812232,-0.570818612949482,-0.58821371028165,-0.626653249154037,-0.674634755883183,-0.711177503116889,0.39061584091055,-0.435927226485545,0.443258481357441,-0.592237326493589,-0.450293387419726,-0.623417420269807,-0.495573569810049,-0.662557892321752,-0.585481027088441,"GBM"
"VU421-GBM",-0.588818131061254,2.69874279532623,-0.623737589027747,-0.538762683374281,-0.606078298112219,-0.651228632049481,-0.599511648853162,-0.695010878379138,-0.564996375603594,-0.617864306630258,-0.58453592207092,2.43047760593927,-0.573762664268554,-0.61774300068999,-0.483914204872291,1.64486828891701,-0.553142562249549,-0.333790503080756,-0.557870421459353,-0.611012019008672,-0.605526948295616,-0.642761065685692,-0.691446061363682,1.38194048620211,-0.570649431049709,-0.460297912554274,-0.730554864590888,-0.60603143287685,-0.490077934590505,-0.664190049717523,-0.533436845795004,0.237488458016851,-0.623082110506649,"GBM"
"VU422-GBM",-0.698453192766906,1.41651899552557,-0.687546665003571,-0.599312586939287,-0.0145023506781614,-0.712529485238122,-0.692417037455678,-0.318034996018669,-0.657467257566747,-0.686525948004298,-0.69780412976236,1.48432560871699,-0.648031630092948,-0.685650971615239,-0.544848629235222,-0.667110613118142,-0.609422671959023,-0.420405364175184,-0.673713813806768,-0.699414560040806,-0.676291524178185,-0.709274822139884,-0.752336357167674,-0.109390094032487,-0.668417477126744,-0.556488037947098,-0.810149305349062,-0.671119661304629,-0.650493385988584,-0.739363910980298,-0.679273322200151,-0.740148238047316,-0.703408149467014,"GBM"
"VU425-GBM",-0.71053017654764,-0.693051019849136,-0.70585986679285,0.00776263567203732,-0.674911554548939,-0.72710759621937,0.794302659681545,0.257627671790491,-0.672660155360517,-0.703215947137181,-0.70928922243911,1.02626996854795,-0.666410643600612,-0.70056029719819,-0.559154686292129,0.10508387105312,-0.626139581593787,1.18332091604315,-0.688587128478484,-0.712458460508747,-0.694454937479928,1.29225175197252,-0.768898427701646,0.242063768928993,-0.683814948972624,1.07950749631403,-0.462093089841957,0.210914780245266,-0.667637469891468,-0.75083739658499,-0.691648401880093,-0.758559019604246,-0.719010386086201,"GBM"
"VU429-1-GBM-vIII",-0.498634921991077,-0.565860408328684,-0.58317651424974,1.10689261569253,1.70203188825211,-0.560878832453815,-0.497552644502774,-0.659168270840348,-0.476066255287016,2.20296390861009,-0.481774036379649,-0.573819518061852,-0.528614261323339,-0.5281403067885,-0.41964021906895,-0.558988347371081,-0.499131288938816,-0.29170476484202,-0.474122281950017,-0.516310456267222,-0.56481138017634,2.00232475690063,-0.621300543407976,-0.691852623774687,-0.488870487911607,-0.402876999969973,-0.691585411915487,-0.0210989844847805,-0.396339703386947,-0.568123751676229,-0.444225411436673,-0.617443017652892,-0.534488440310263,"GBM"
"VU430-GBM",-0.752331580905537,-0.757365888341629,-0.773353832307757,-0.203438327703853,0.280307935509155,-0.778666825031999,-0.761252111636791,0.307144505665707,-0.727240064171261,0.899313120918702,-0.7488636814819,-0.229835684777976,-0.734532644923938,-0.753644100828754,-0.611784261100376,0.247268101019869,-0.68856428837949,0.421103452068708,-0.741620970070545,-0.758032356826876,-0.761225808978998,1.75643157250667,-0.828156187402635,-0.883010223848918,-0.739125084441761,-0.208703685598899,-0.947030870719826,-0.42452676482728,-0.718262125785603,0.926383972647566,-0.734666710483837,-0.825843935498329,-0.774802704571906,"GBM"
"VU431-1-GBM-vIII",-0.705278972676183,1.0671758478852,1.36683308554458,0.425685362039228,1.68244886489571,0.1724611001981,-0.700924765419979,-0.069770653894969,-0.66602449133051,1.66313483298073,-0.704298138152309,0.0425988966424285,-0.658354187233877,0.837776916479658,0.0344296793772178,-0.677173430823013,0.744023464455779,-0.436926252750146,0.128833410460867,-0.706780327344168,-0.686500528843217,-0.717453622135459,-0.761668332816069,0.584659312127152,-0.677090090592623,0.38352925793306,-0.825146835385281,-0.683109336326584,-0.661421426199146,0.727792007060387,-0.686264694264682,-0.750502238567531,-0.712199738956068,"GBM"
"VU436-1-GBM-vIII",0.0107269045417825,1.23842825502541,-0.0809782541895905,0.825094049489655,1.44037271151215,0.0178709190565884,0.0783197958643644,0.962953210898377,0.0262180278436545,2.70477311903281,0.0986331406696823,2.22977438720891,0.0214064042310618,0.0722084473445152,1.90616891357899,-0.0268221717199182,-0.194071387981977,-0.0540012197887071,-0.00110623218844586,0.0185713856059267,-0.0101856751413714,0.0704721838364186,-0.0600179254029743,-0.255047451688105,0.983013367435697,0.630603147228964,1.1838254111391,-0.275155451941282,0.133101166527607,1.1609085359042,0.0596477554296663,0.953034372547641,2.13378290593013,"GBM"
"GBM-438",-0.336992921120203,-0.389447256562572,-0.440035292710834,-0.356162104567654,-0.416828678476484,-0.377217115056488,-0.31480401934382,0.349164208651401,-0.316670257585568,-0.37487420574521,-0.297586347921186,-0.448534012178985,-0.354069495168183,-0.337624314455633,-0.304437225337462,-0.405288404053337,-0.40232290988972,-0.216271399726979,-0.324014329715076,-0.346569877672258,1.8451028753308,0.993553164879817,-0.443181884524695,-0.580549706493729,-0.342292071216975,-0.299957273585717,-0.621928991756818,-0.479971046224612,-0.228325774784694,-0.395937057592541,-0.284325193880494,0.543719038524063,1.41869904500949,"GBM"
"VU439-1-GBM-vIII",-0.691218034737323,-0.665130742874073,-0.676800551789414,0.797408944665603,1.345379291777,-0.703859795971049,-0.682945328585756,-0.752888758600512,-0.648478687002344,-0.67667734720008,-0.690912896119996,-0.672732486606962,2.83056114411133,-0.676804495325669,0.982681435782838,0.214176751502202,1.11496949967926,-0.403585172505134,-0.664892473897357,-0.691625186683094,1.45941188430749,-0.700649001025166,-0.742524089739867,-0.776934036783683,-0.659307194435143,-0.548072844917958,-0.794805042589661,-0.658757084225635,-0.63773446123616,-0.732467390158888,-0.671870776451793,-0.729314465008464,-0.694162903843081,"GBM"
"GBM-440",1.42259139079009,-0.656416545656135,-0.667757080009499,2.02191451375215,1.02745939486398,0.931456483494673,-0.671228083070616,1.67506153010916,-0.639729187526802,0.296129087088815,0.406765045234034,-0.662700359106476,-0.626990436272813,0.369468701544002,1.72225064949396,2.15819079186625,1.52861575574332,3.43356598792323,-0.657415622425429,0.289937065001494,-0.656646294477421,0.39474977763894,-0.734213312547161,-0.767024549958369,-0.651597853979869,-0.536633239203453,-0.782124590476225,1.59673664386945,-0.614693482766195,-0.726568527378614,-0.652034472967613,0.613215572185671,0.211405073025229,"GBM"
"VU443-1-GBM-WT",-0.378224847254397,-0.435372835698757,-0.482611563022971,1.79366827592779,0.372684861686884,0.781452379729243,-0.3614198603572,0.310758937802631,-0.357329269277486,-0.421193116921277,-0.344569267734295,1.7142036467631,-0.398592681384924,-0.386221469161283,0.898603276617046,2.42124812103317,-0.427016961637525,-0.235513075292239,-0.362304130418863,-0.389867603268927,-0.444468917151443,-0.434830799626105,-0.488616705589969,-0.61914711721401,-0.379681551781801,-0.326210218570101,0.129319085265214,-0.504257672500652,-0.271183063461657,2.76159199084585,-0.325112822860579,-0.500940105531866,-0.416200673002677,"GBM"
"VU445-1-GBM-WT",-0.234572406415667,0.912079382840849,-0.334275413694389,-0.273381066813416,0.527964425272573,-0.260844343586152,-0.199009806518652,-0.523314917275081,-0.215672868055193,2.64488948930304,-0.18088030770567,-0.346829859657714,-0.243473457676201,-0.216908498708162,0.559195497002031,-0.29381156709104,-0.340982639684567,-0.168474886201078,-0.228902083848805,-0.239017896551764,-0.28407409326388,-0.248206092056918,-0.330321336999795,-0.484673354286288,-0.249416229532543,-0.234744697072601,0.612038444554227,-0.419642824944509,-0.121867843354355,-0.2868351550034,-0.183008317726788,-0.361949014233165,-0.275080201711057,"GBM"
"VU454-1-GBM-WT",-0.732791851829109,1.30490458676663,1.90742158919253,-0.65099149670937,1.96430828248547,-0.754345106655483,-0.735828604264172,-0.0152819767764031,-0.701322584734643,-0.734856381976922,-0.730400062653753,-0.109652465971785,1.61597340084546,-0.728533274040839,-0.586537537949355,2.70118826708105,-0.245394968092411,1.91465431012031,-0.0389407510241143,-0.736644502012781,-0.0145491359579205,1.03302611350833,0.392687809478098,-0.847334751582062,-0.712860931822588,-0.597765580861709,0.425098971036827,-0.73517105063091,-0.694337672985762,0.453123663598658,-0.714521865098239,-0.793656397405883,-0.748360337250079,"GBM"
