"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,0.71236199403967,-0.644579436713602,-0.48551402693301,-0.455326700619484,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,-0.44670420852186,0.495662450859111,-0.534409221752732,0.985570727404211,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,4.45213832643602,-0.624231067142604,-0.539511579136432,-0.46119392711915,0.98781462963819,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU284-GBM-vIII",-0.504092867637063,2.0752781082097,-0.50884989360878,0.221993663573043,0.215311740881944,-0.502737008274873,-0.443851632888024,-0.644579436713602,-0.48551402693301,-0.455326700619484,-0.450589165201014,1.10178787309123,-0.439765002258775,-0.454763048708803,-0.44670420852186,2.36606478484936,-0.534409221752732,1.14123419444722,-0.539840567297763,-0.49084846686413,0.618396522698112,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,1.02963587549205,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU306-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.443851632888024,1.97009804327825,-0.48551402693301,-0.455326700619484,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,3.52267074088972,3.75193734767632,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU360-GBM-WT",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.443851632888024,1.5947959773629,-0.48551402693301,-0.455326700619484,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU372-GBM-vIII",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,1.89918568503205,-0.502737008274873,-0.443851632888024,0.733648001083366,-0.48551402693301,-0.455326700619484,-0.450589165201014,2.6762545918244,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,1.72959737334322,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU378-GBM",-0.504092867637063,0.630561868163548,-0.50884989360878,3.84485901012734,0.315380923211621,-0.502737008274873,-0.443851632888024,1.19105657440387,-0.48551402693301,0.866810946546539,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,1.79361084685906,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,0.310649620664909,0.159458914053778,1.07958938866065,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,3.51053810749426,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU383Platelet-hiseq",-0.504092867637063,-0.449675359086114,-0.50884989360878,3.5318113138241,-0.517190536167296,-0.502737008274873,-0.443851632888024,2.80795166868922,-0.48551402693301,-0.455326700619484,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,5.48663542745129,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU393-GBM-vIII",-0.504092867637063,3.50453243778684,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.443851632888024,-0.644579436713602,-0.48551402693301,-0.455326700619484,-0.450589165201014,-0.490986750038817,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,2.08794269172126,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU394Platelet-hiseq",-0.504092867637063,4.31441048930853,-0.50884989360878,-0.458221166086452,-0.517190536167296,-0.502737008274873,-0.443851632888024,-0.644579436713602,-0.48551402693301,-0.455326700619484,-0.450589165201014,2.19592765851528,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.37760976723734,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
"VU398-GBM",-0.504092867637063,-0.449675359086114,-0.50884989360878,-0.458221166086452,-0.517190536167296,1.96143202377685,-0.443851632888024,-0.644579436713602,-0.48551402693301,-0.455326700619484,-0.450589165201014,1.94419764292762,-0.439765002258775,-0.454763048708803,-0.44670420852186,-0.445044818954859,-0.534409221752732,-0.321813678624422,-0.539840567297763,-0.49084846686413,-0.449673180451552,-0.409470243074914,-0.554620084119104,-0.624231067142604,-0.539511579136432,-0.46119392711915,-0.682025256037862,-0.592767931218722,-0.427419269955464,-0.518588722594602,-0.504866704114067,-0.64512693066382,-0.578189275152201,"GBM"
