"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.624209078605594,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,0.713633740767569,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,0.497084348193553,-0.534776723349047,0.989406083248274,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,4.44371025480668,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,0.991298560534572,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,0.31483035927251,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU284-GBM-vIII",-0.624209078605594,-0.504199158802513,1.692578882715,-0.733629729022112,2.07708673291292,-0.509007746483544,0.223297470869209,0.216407282987623,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,1.10382332014318,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,2.36720894332195,-0.534776723349047,1.14545049368982,-0.539968773308945,-0.49097363589531,0.61999523919934,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,1.03037472293621,-0.63676711901622,-0.504940112708961,0.108061154183699,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU306-GBM-vIII",0.954449969843025,-0.504199158802513,2.47377443331333,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,1.97212268258556,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,3.51980980636352,3.75135226438294,-0.554915624009196,-0.62450063710455,2.82157508775786,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU360-GBM-WT",-0.624209078605594,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,1.5978566245468,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU372-GBM-vIII",1.24834959904047,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,1.90145100904772,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,0.736853764640642,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,2.67539517644083,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,1.28461135332942,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,1.73019392343955,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU378-GBM",4.81743290635919,-0.504199158802513,1.46030404948142,0.401905708301185,0.632136421730935,-0.509007746483544,3.84040060812253,0.316664104948452,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,1.19455176189646,-0.485615337411217,0.86858320816265,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,1.79675551793261,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,0.311275074267537,0.160357579778702,1.08169018590173,-0.554915624009196,-0.62450063710455,-0.0581745619551509,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,3.50800078352506,0.0964690294636832,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU383Platelet-hiseq",1.04618347251599,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.449923050943037,-0.509007746483544,3.52932578364962,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,2.80540595211056,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,5.47639510218247,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU393-GBM-vIII",-0.624209078605594,-0.504199158802513,4.66029581669023,-0.733629729022112,3.50207088927543,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.491195230546261,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,2.08826332391575,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU394Platelet-hiseq",-0.624209078605594,-0.504199158802513,-0.470652812104852,-0.733629729022112,4.30710919458455,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.502861327644112,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,2.19670664298994,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.376968969092414,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
"VU398-GBM",1.56047584301835,-0.504199158802513,1.47834634837228,-0.733629729022112,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,1.96212780472046,-0.444045139577054,-0.492461898611735,-0.695334545115003,-0.645637629311048,-0.485615337411217,-0.455608707943101,-0.450672281864098,-0.677899615801423,1.94555462470834,-0.608120355543699,-0.528332214166096,-0.440006424941422,-0.454939538219349,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.539968773308945,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.554915624009196,-0.62450063710455,-0.581298017683855,-0.569368039261339,-0.71915931498025,-0.539644491494582,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.64539099472072,-0.578334879178989,"GBM"
