"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161"
"VU280-GBM",-0.774494323147262,0.758775268659025,-1.3882340915912,-1.40414710100059,-0.567796273714185,0.50974867164832,-1.16678223306448,-1.44618472426207,-1.3132139452722,-1.38989967720706,-1.1421107403994,-0.419924615984422,-1.44310301583577,-0.786257095287297,-0.985505375430104,-1.33120551032272,-1.00722538685694,8.44612831693897,-0.0158284066390915,-1.32275047809333,-0.814535900258184,-0.387841709070458,-0.974401351354867,-0.701329914360955,-0.630127367967567,-0.898526042548574,-1.48134337684987,-0.350598349564519,-1.47348343069874,-1.52922640903168,-1.0335556004202,-0.0742580450109755,-1.29660714091534,-1.29641342401179,-1.26110773641653,5.75289641933653,-1.32110054783191,-0.490970339205662,-1.50678224460598,0.289206929500381,4.1199072994491,-1.53835159761295,4.21707604245938,-1.32774735596186,-0.778453470711728,-0.940416450675884,0.0418382514020698,0.177720473558277,-1.0763311085479,-1.41305839462647,0.404420497806915,-1.41819696790425,-1.43566910555655,-1.50787723110133,-1.16145980655588,0.591359796442422,-0.982615735051426,0.537625292927884,-0.983149535065576,-0.298368203983084,0.155714131088761,-1.24390900289567,-0.815461171706968,-0.9580948079163,-1.37334571500363,-0.781802562124045,-1.38559110050764,3.08405338291695,-0.83423999238035,-1.65579534095025,-0.182844162715119,-1.15608986965017,-1.04195378290277,-1.30230163950709,-0.966076983554629,-1.49189919398764,-0.286745172964062,-0.899800847092493,-0.374452513808667,-1.23760018718487,-1.36070336729371
"VU284-GBM-vIII",-0.925366507310139,1.41408029131724,-1.46342391962678,0.278399022202615,-0.681965407924047,4.19654752310909,-1.3564026108418,0.189907378453685,-1.37430663082387,-0.899196095012228,-0.669363260940874,2.63052931634782,-1.49575289157202,2.57630103242287,-0.400678769638101,-1.39726104560135,-1.62483333225344,3.73154744534318,-0.169075104672853,-1.38630298284185,-0.060343752032715,-0.40957711928798,-1.17183203010787,-0.898604481592616,-0.785417727248614,-0.309941751426245,-1.56673901410068,-0.482712554342189,-1.52455024115796,-1.59599313116094,-1.09155142297147,4.23750293013851,0.246640707789903,-1.33166744924385,-1.3216091933885,1.89136843403109,-1.37413193602008,-0.595646310966753,-1.56944099001228,0.0807154264658541,-0.691197340026069,-1.59157837122806,-0.572049039144024,-1.42343157592121,0.365316270719813,-1.0599256133347,0.318507807260693,1.903769382579,-1.1459385494595,-1.51269573635124,0.193127725264929,-1.48727666439551,-0.682668992131235,-1.54460307378515,-1.22098065333313,-1.38333087602117,-1.05334996332799,2.30057088405585,-1.07067779565971,5.58197683358253,-0.05290680654192,-1.28222062095601,-0.896342283732542,-1.00484080112032,-1.46918928295312,-0.871070722536539,-1.45084491204962,-0.671983289815476,-0.977113211986318,-1.7619580425933,-0.297675195524876,-1.20869133474211,-1.08496389303826,-0.741792072561247,-1.00342243635165,-1.58297555860419,-0.481233227101242,-0.99147173019194,-0.543953528738606,-1.3004731662285,-1.44016394704302
"VU306-GBM-vIII",1.72253785263317,6.68249158734321,-1.46784550837715,0.500096496284583,-0.704004633981481,2.24532101825149,-1.37916798424875,-1.51009319677815,-1.38429383613483,-1.47561194147399,-1.23285938033901,5.20532456742349,-1.5013037862411,3.96725827599505,4.15572683395563,-1.40593621862961,-1.63061170449156,0.0262514266898197,-0.199077730562714,-1.39672378300925,-0.893661571365851,-0.413216060975256,-1.21170315696884,3.8976411217834,3.30106151262326,2.65715519135193,-1.57386779823409,-0.50830394192986,-1.53186219672015,-1.5994527571941,-1.10228100482464,-0.32806410346699,-1.38420352711809,-1.33697175273068,-1.3286807811524,-0.981330349414453,-1.38252419637195,-0.615663104019161,-1.57871063745468,0.0393404251771139,-0.720673251753896,-1.59711263177461,-0.605314384971396,-1.43441258322752,-1.47105727653098,-1.07770393801118,-1.44875857166876,-0.121560532698366,-1.15911489786002,-1.51983786855102,0.150972488604341,-1.49220539824682,0.632868544655264,-0.0552655989663109,-1.2297661248871,-1.39056345148548,-1.06670449978219,0.198754719223308,2.84893807935343,3.7738521121076,-0.0949638861770867,-1.28829494765584,-0.911632819143185,-1.01328812712971,-1.47723668356291,-0.888077238156834,-1.45855287041231,-0.716198473042962,-1.00564373309815,-1.76767564878309,-0.319584738594327,-1.21793274119378,-1.09270781902814,-1.36161590904242,-1.01005946874899,-1.58749289825591,-0.96842095414988,-1.0073254855735,-0.578005135127708,-1.31095073294334,-1.44759533850344
"VU360-GBM-WT",-0.24070855893251,5.85212553334382,-1.11172379833546,-1.00535005647712,-0.113236032441488,4.27592503701692,-0.670127645259982,-1.07307775860059,-0.925413986105708,-0.973281864101147,-0.716998853279039,3.81598150574865,-1.11695303365177,2.92676574389111,1.24500330038609,-0.950105600699362,-1.22603484422439,1.99500707263457,0.401930087264808,-0.922529736467822,-0.436317169096863,-0.264726259305692,5.11318324338388,-0.114079780746099,2.62866541855862,2.32411147019436,-1.13476170034643,0.0865032016489701,-1.1068442786001,-1.27192474936981,-0.636462800558988,5.04085886229512,-0.880555877511178,-0.973781218160449,-0.912164350297108,-0.0497079097313327,-0.949072666775323,-0.0757660116868896,-1.11343778595278,0.812744664456769,-0.0644198443644643,-1.2087866374015,0.0803130630755965,-0.922112920314104,-1.02844799205536,-0.474371292167908,-0.830301103554335,0.765624870162707,-0.653481661855415,-1.07917514914388,0.934501427304899,-1.12013180301287,-1.0588731058884,-1.19688883342736,-0.782434811420923,-0.972314578789523,-0.572208786406594,1.2067258884163,-0.521025599283748,2.30376784564351,0.667064787397174,-0.906936397858729,-0.397001201362877,-0.597413000695932,-1.01923651791152,-0.349649263816465,-0.996434343236137,0.108908438996913,-0.2846589256947,-1.35372074501527,0.199435086022543,-0.774591683474638,-0.682079125955059,-1.03595753070646,-0.634362083519313,-1.21912010350021,-0.523996740323114,-0.444806622526248,0.121217315175991,-0.828128753685731,-1.01022979049901
"VU372-GBM-vIII",2.07814524158665,5.01965616156665,-1.41716666978121,-1.42281949658369,-0.597213136003309,4.376265476288,-1.21874954873252,-1.46218595893825,-1.33206519571121,-1.41093796624878,1.0327345304838,3.48840652005612,-1.46746070122333,1.91668778063045,-1.01977449114653,-1.35917575218265,-1.58471276566458,5.12750475718167,-0.0550279259266371,-1.34207947614903,-0.832079565443983,-0.393930202246065,-1.02773175768376,2.32459586714839,1.58515693088985,-0.0880809490357498,-1.51760785487922,-0.38455767682723,-1.48803973664384,-1.55614909714912,-1.04886262308759,2.97474589060589,0.970735215178473,-1.30833643199336,-1.2917244508356,1.81160041163665,-1.33774870255459,-0.518089065783289,-1.52387962571317,0.236313879271607,-0.580882519387466,-1.56099197638971,-0.448197846917801,-1.37019080313982,-1.42102874337805,-0.989180957160766,-1.28591020395472,0.115859871323886,-1.09445614064172,-1.447994175832,0.350935553582412,-1.44938493413653,-1.45237856631753,-1.51846684801412,-1.18568484385732,-1.35111465128004,-1.0010643113506,0.467652835329246,1.01075047799295,5.6982481160264,0.103207434871379,-1.25720983425189,-0.836545245078167,-0.97060568231285,-1.41039783307142,-0.804970582360237,-1.41944607010277,-0.511299013832436,-0.870331489961252,-1.68740283289276,-0.212643693225296,-1.17182121179011,-1.05348906441245,-0.353730509117039,-0.976171225046487,-1.52044135880618,-0.917153284795131,-0.929346801949072,-0.41715782368588,-1.25872991726734,-1.39737507323548
"VU378-GBM",3.95933615026974,7.11218318633071,-1.48107926277798,0.15869717703106,0.769412681753765,6.35250478637744,5.1564574925087,-0.708154301460162,-1.41562044055688,1.270949627957,-0.549405742475984,6.5201371135747,-1.51818461488494,0.8587420382406,3.91898563967854,-1.43278215348198,-1.64827187040307,2.69579576229664,0.167710186320311,-1.4294614152485,-0.278767397507337,-0.4237886316,5.80103124231463,2.2019447191635,2.26935155889847,6.08594839752296,-1.59579865076871,0.208130790532644,-0.605812617885906,-1.60977236416344,-1.13552731806595,1.29427874725246,-1.42522323901301,-1.35298990882095,-1.35024127884876,1.01547162490416,-1.40854304322544,-0.679324938785312,-1.60790369835835,-0.0962468584557574,0.0734594536267549,-1.61402520025881,-0.715573123561202,0.566169789973639,-1.49899653112184,-1.1340426943152,-1.49946309904669,0.92083832519446,-1.20062314499332,-1.54168834828217,0.0118886244669332,-1.20127280104789,-1.14178791801387,-0.763775473720971,-1.2567485538064,-1.41274998920971,-1.10870082620034,3.98053221125517,-0.668507737215942,3.85117906757603,-0.235117656941119,-1.30670874214784,-0.959791760577103,-1.03904147982602,-1.50199253916339,-0.941962099637727,-1.48191150717244,-0.866705500032781,-1.09956340518599,-1.7845239337901,0.727082574806088,-1.24648979546897,-1.11625608574611,0.521299059082918,-0.726448126744211,-1.6010558700319,-0.999885081010188,-1.05715411477396,-0.690880298582295,-1.34360841820098,-1.47037991476778
"VU383Platelet-hiseq",1.85221232328549,5.83080768155442,-1.4771763782555,-1.50126965658006,-0.752992683700331,0.123540224631094,-1.43041008103531,-1.52804971853604,-1.40614330312224,1.12963279232072,-1.25970237348351,-0.826948944207467,-1.5131630837466,6.1032229047714,-1.21180398207101,-1.42472000532821,-1.64300445382103,5.74272953024054,-0.266424034863921,-1.41954879906062,-0.920678689956725,-0.420719871017316,-1.30469185397133,-1.03448954984556,4.8223470635894,-1.17022606737231,-1.58923395953086,-0.565254355984444,-1.54769489305547,-1.60673446790223,-1.12553501089708,-0.426860541269824,-1.41269729969823,-1.34824292175884,-1.34381852246564,-1.09950646733567,-1.40072152457615,-0.659908519640537,-1.59905338825392,-0.054202132133415,-0.787569414144514,-1.60898105607277,-0.681152712001258,-1.45840864933353,-1.49055271058899,-1.11689775040537,-1.4840354231186,-0.239684111338149,-1.18803406057609,-1.53516731414194,0.0552007243743589,-1.50266181600344,-1.52151372482861,0.401386538461027,-1.24867836629726,-1.40611887342054,-1.09597551187842,0.064442082425721,-1.12456559686062,2.48220273690006,-0.19121271097089,-1.30124044419176,-0.945185258216611,-1.03136943754287,-1.49458218711636,-0.925564265268273,-1.47497776110486,-0.819006289084955,-1.07036350203129,-1.77950369043698,-0.367977834680418,-1.23792010351213,-1.10925089154429,-1.3695919374639,-1.02414469114457,-1.59704916073709,-0.990465799431324,-1.04205909994698,-0.655639635944484,-1.33376188956386,-1.46357200060613
"VU393-GBM-vIII",-0.510717068743135,1.12753873386583,-1.23868806895432,1.23577663222808,-0.359946300313292,5.11796283591023,-0.89817480671514,0.494580006583726,-1.11775648171257,-1.17827195406901,-0.912196001436276,-0.120901470624018,-1.26671018776265,1.3957536049965,-0.69274844403384,-1.12509392206898,-1.37512747312482,4.48813962015264,0.19635411992765,-1.11573225404227,-0.645383467849875,-0.347809028961309,-0.634905051621581,-0.409241301567726,-0.366224768215476,-0.588347086850115,-1.29390040454802,-0.166164628368867,-1.27628560987508,-1.39006905844179,-0.828392688182638,5.42348931510344,-1.09080970730211,-1.12258973440833,-1.0723874724973,-0.362954480174335,-1.12841957503943,-0.319947115054296,-1.29972593569487,0.571206589739159,-0.337297626010627,-1.3601118351079,-0.187514355970807,-1.10836667475313,-1.21438927714467,-0.68836362832549,-1.01968537972306,0.498736909594844,-0.861449743280733,-1.23248315889434,0.689427236269806,-1.25699334914823,-1.2427875547045,-1.34374694758291,-0.956470401514192,-1.13816535871544,-0.783178140453569,3.03251585837933,-0.74224027206795,5.47276899981503,0.432643536908926,-1.06293359184711,-0.616893874574842,-0.773721353294457,-1.18183160758743,-0.576828942761937,-1.17512209934682,-0.188351049804786,-0.543012063025429,-1.49242328767214,-0.0175098762349517,-0.958026539485634,-0.850684138981835,-0.20320135666058,-0.795872190850634,-1.34437113070801,-0.713906343622089,-0.653724739742297,-0.149972336713471,-1.01614432909649,-1.17115552503492
"VU394Platelet-hiseq",-0.989422054622885,5.87907554087799,-1.47248986926033,-1.48989659671002,-0.727939956091542,1.54772355001846,3.05706303959154,0.822215933843477,-1.39503252040754,-1.48868607268764,-1.24605931254605,-0.765868830212648,-1.50718146342482,-0.354823446056941,-1.17955181049816,-1.41520204093074,-1.63674558109275,-0.0418793783396296,-0.231861179571022,-1.40793714763327,-0.906965984357167,-0.416980624553952,-1.25633339276356,-0.985132961508895,-0.850695336957771,-1.13290254796336,-1.5814599034463,-0.536120407142639,-1.53967236118283,-1.60308044821788,-1.11374771778069,-0.375707386565556,0.818894161800331,-1.34256845287865,-1.33617809332918,-1.03784706681065,-1.39149623520104,-0.637325127380631,-1.58869801752585,-0.00608091987331472,1.69573830559244,-1.60298714194186,-0.642021762933456,-1.44621090066297,-1.48064363367377,-1.09691247360087,-1.46604747366043,3.07911491483556,-1.17331116925058,-1.52742315833987,0.104559162306035,-1.49740044371831,-1.5118191294232,-1.55428522024456,-1.23911434015591,-1.39825496495322,-1.0810802437175,3.88224562657586,-1.10562337397876,-0.578786468236765,-0.141477285741081,-1.29471642485959,-0.928104052590973,-1.02224335101142,-1.48580679568387,-0.906449827891738,-1.46670134638586,-0.0767890123375752,-1.03703039206776,-1.77353289588963,1.18947941819411,-1.22779603316755,-1.10090690053977,-1.36559331367962,-1.01705645138752,-1.59224545583654,-0.979312878584178,-1.02438640640579,-0.615580661711279,-1.32218118801773,-1.45549625156528
"VU398-GBM",2.24183712778623,5.12578328733375,-1.0056377530758,-0.0795668668176298,0.0929047701315382,3.83082053129974,-0.479580955442867,-0.92318297181553,-0.76470062482031,-0.802000700856459,-0.553900263470826,1.61031795937505,-0.396682812888297,0.946375335036085,-0.220071067735377,-0.803892663073342,-1.10145926638413,2.34504860043851,0.636626724177775,-0.76109777672216,-0.261630095925219,-0.0924958072757519,-0.105839025676263,1.28223882311916,0.128780463071142,1.83062992975224,-1.00179204129036,0.308892443623292,-0.965266174375362,-1.17320829584875,-0.476094197282828,5.48298281557385,0.813361107786856,-0.849443032994283,-0.778288596823125,0.212027850159784,-0.799217875860153,0.128261526589216,-0.957783183374052,1.0226513588471,0.16358544053156,-1.08234561825054,0.316963577339236,-0.766487057015019,-0.87308321510295,-0.295568227745307,-0.672059506960491,0.998769406865993,-0.479712213245097,-0.951077375008054,1.13442224237292,-1.00577600742682,-0.905201868729241,-1.07418032284313,-0.637017936284052,-0.833736589408651,-0.395931599661558,1.45350681961997,-0.336187851823806,1.57678766623568,0.896536219463288,-0.776591653615597,-0.213268061567507,-0.45009710007086,-0.883378847416671,-0.159827406177215,-0.847130312348497,0.363257174462221,-0.0687898273550656,-1.23782668957585,0.414011480849692,-0.621321174046055,-0.541199814352043,-0.933771847677535,-0.499410978986305,-1.11446557292701,-0.365316202305469,-0.270243363662051,0.358763496590352,-0.671030786318021,-0.875766963483131
