"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161"
"VU280-GBM",-0.766532935975895,0.85340224514399,-1.40009356397153,-1.30370296166764,-0.568769380607781,0.570209578311149,-1.1709849957294,-1.45931755412103,-1.32476646004515,-1.35299245360008,-1.17839541069751,-0.380949280463364,-1.45312970280596,-0.786007923975259,-0.982425450888418,-1.3391988682231,-1.00791069381082,8.08436769234119,-0.000158205431068037,-0.997828737985651,-0.823230891666922,-0.891481257430687,-0.896610706791774,-0.679420167127377,-0.620581016132105,-0.922403001471599,-1.4923415195726,-0.343752283982671,-1.48607248698989,-1.54715141183572,-1.04597731214399,-0.0418143370395916,-1.30519285793581,-1.308509109688,-1.27245154459108,5.85912235638708,-1.33311900070484,-0.492211136183688,-1.5193231783463,0.333863664758973,4.10479735419694,-1.54897547970522,4.67826210965179,-1.33769986542048,-0.779108509064725,-0.951540704810965,0.019550876000029,0.229215308129278,-1.08554586450681,-1.42528714374389,0.451261567502706,-1.4332815939163,-1.44757454770477,-1.52146196771842,-1.17201826626513,0.618066481030973,-0.99070533398899,0.645383226587524,-0.834722245621938,-0.271700453153488,0.193971037333524,-1.25752675614434,-0.822470474339062,-0.9722544061545,-1.38583675560255,-0.78836681788173,-1.23587122848196,3.06947451909515,-0.830092943795693,-1.66689050010689,-0.180013217295025,-1.16765647551513,-1.05542826909882,-1.31689010410267,-0.980988224248927,-1.50262317025916,-0.289278059744211,-0.911217232834777,-0.356699375992875,-1.24712553828892,-1.37252068674016
"VU284-GBM-vIII",-0.91599017890867,1.48300328857095,-1.47966271351244,0.635864108170304,-0.68339994237186,4.17740147946283,-1.36283435740005,0.205411371081853,-1.38828762282748,-0.840374710808309,-0.699681706761401,2.61977178716178,-1.51057860958072,2.57509470945804,-0.399237418494245,-1.41054453819017,-1.63993799230416,3.7093492202091,-0.15017485427422,-1.11692373077849,-0.060076451759841,-0.963475245428219,-1.09797346865299,-0.872489346497994,-0.774528754629322,-0.331937986572676,-1.58274515616589,-0.474678088780533,-1.54025760924481,-1.61670639755991,-1.10607630814845,4.21690241661097,0.255525190755384,-1.34675311879796,-1.33765485250781,1.88617877665729,-1.38862538547397,-0.597561890203256,-1.58440781785787,0.135648602836814,-0.68041327967261,-1.60707891657299,-0.527278022434293,-1.43810016519597,0.382687919570425,-1.0741348498995,0.298453791238226,1.91209231695276,-1.15718749615514,-1.52978633719989,0.250670966372759,-1.5062490292603,-0.680536181044078,-1.56039578039991,-1.23636049197468,-1.39815072886251,-1.06339278283767,2.32466992829598,-0.933004296464057,5.65428825004056,-0.00591925823377593,-1.29809748691591,-0.905056537809635,-1.02103528901562,-1.48662406640427,-0.879111307119597,-1.37499199784551,-0.635924287626908,-0.97260841787678,-1.77719406617175,-0.294574713078078,-1.22274159736463,-1.10048769397385,-0.74328281646336,-1.02024849667692,-1.59845906077235,-0.486498357316728,-1.006093257671,-0.522813425755044,-1.31515166798273,-1.45696753272056
"VU306-GBM-vIII",1.7195018209508,6.63779652033237,-1.48438000803506,0.910569169124306,-0.705543154827582,2.25535524538371,-1.38592980115197,-1.52611077461677,-1.39869578360569,-1.45006721109397,-1.27126585029341,5.22742563795072,-1.51647284863587,3.96469174094952,4.15693064003333,-1.41965062753734,-1.64604692135439,0.125020362459214,-0.179460998457152,-1.13132404225581,-0.90467887652579,-0.97695274179127,-1.13814438357987,3.90552620948578,3.30617406813335,2.63844715123408,-1.59026062054153,-0.500011245050827,-1.54796303759381,-1.62037483652846,-1.11723771950615,-0.286132979244652,-1.39530046384507,-1.35238938653975,-1.34511304019071,-0.939460674765802,-1.397434179231,-0.617725101940408,-1.59409631287266,0.0966147761556821,-0.70945707074846,-1.61295176609366,-0.558777618880081,-1.44951884610821,-1.48632194839199,-1.0923002512915,-1.48423608065172,-0.0548851389149005,-1.17077747027896,-1.53731739665004,0.210957125717974,-1.51147261451723,0.655650299066612,-0.0326804309533175,-1.24557115089723,-1.40578020537125,-1.07715714603228,0.357936187983105,3.81457212219347,3.76766573864479,-0.0459713383607689,-1.30452554457882,-0.920708411310283,-1.02988654126481,-1.4950811858382,-0.896435824150987,-1.38718777805623,-0.678648794739958,-1.00105771509632,-1.78362383791862,-0.316428195983279,-1.23240529446156,-1.10863481537588,-1.38008226736378,-1.02725521488392,-1.60328235250497,-0.983045716235944,-1.02234326850903,-0.556085212175511,-1.32607068819963,-1.46479699759827
"VU360-GBM-WT",-0.23644175945124,5.81648719944266,-1.11738268176228,-0.880226340313201,-0.113770813105217,4.25663668451991,-0.672515180140172,-1.07781563564379,-0.929591222003791,-0.903037060976294,-0.749169031840486,3.80001956165285,-1.12106625911708,2.92449376065058,1.24428644285367,-0.952984463426254,-1.23098040702787,2.01349205091078,0.409999963956732,-0.572833549604383,-0.439356295724846,-0.475771502530541,5.29015373502452,-0.100729509833071,2.62888160035169,2.30065974360528,-1.14008476469398,0.0900389521424687,-1.11171997842943,-1.28364993316901,-0.64193594889223,5.018451751884,-0.883200574229342,-0.978491447633206,-0.917865126884607,-0.0274039791430735,-0.95308815681113,-0.0758815393072889,-1.1178947251018,0.839750867224202,-0.060486103517784,-1.21353204455037,0.113172352807797,-0.927469145551452,-1.03264390995157,-0.482595198069335,-0.858363269113591,0.796523779625463,-0.656856492958665,-1.08557245845552,0.962673809682724,-1.12908948382951,-1.06287011077584,-1.20117078216797,-0.787839501793357,-0.976509162227508,-0.574494330456879,1.26503769818198,-0.352513277860813,2.30118028650163,0.690350262195971,-0.912606367980566,-0.399691417262378,-0.604160780990325,-1.0261578606211,-0.352691304820361,-0.841759215460499,0.12631954546203,-0.282081989614597,-1.35871131612681,0.201130517112845,-0.778955425541399,-0.68762060545951,-1.04433799759731,-0.641280737670092,-1.22363873283154,-0.529440221446309,-0.452968058329412,0.131461299679485,-0.833147815805587,-1.01642533792595
"VU372-GBM-vIII",2.07448251629205,4.99431931707166,-1.4296749390747,-1.34801332102069,-0.598293517832771,4.35535438377189,-1.22314224725552,-1.47578943507283,-1.34407456060459,-1.37931989135228,0.907127651908221,3.47243186053894,-1.48053012712824,1.91621216626894,-1.01662229490235,-1.37047722755626,-1.59620627096011,5.08128744634866,-0.0385943700802924,-1.04229799218026,-0.841248542299047,-0.910354791708189,-0.952164538847519,2.31759134785461,1.58527841396017,-0.112092737219716,-1.52919980786083,-0.377427656393544,-1.50179785202719,-1.57472281630296,-1.06180349748387,2.96225841196108,0.987221499251135,-1.32174449835269,-1.30587900183479,1.80759344133566,-1.35025793497006,-0.519491001277048,-1.53687214533546,0.283357460520996,-0.571570182515826,-1.57471105132902,-0.408317329245961,-1.38062424352881,-1.43387719581197,-1.00060868843248,-1.31887110192236,0.170180235157952,-1.10422288327955,-1.46083309604344,0.400265203221364,-1.46511065136745,-1.46474266774964,-1.53250798524607,-1.19948040066908,-1.36401420629442,-1.0096301202057,0.583917301470135,1.30189346600738,5.76858405971842,0.143486925662935,-1.27131759401865,-0.843967562590109,-0.985278126488669,-1.42347165747119,-0.811888778129469,-1.27710903014968,-0.480093771331222,-0.866101161496871,-1.69913674393402,-0.209746363057057,-1.18431004428572,-1.06748292501171,-0.349329340269999,-0.991573430943142,-1.53181462984148,-0.929801470222347,-0.942572726379338,-0.398623147555821,-1.27135364055581,-1.40978062524501
"VU378-GBM",3.94716472021341,7.06367592835733,-1.49853875940539,0.464266098472207,0.769504133388295,6.2623056104977,5.17073376341039,-0.70617034187343,-1.43143668500805,1.31681815602597,-0.577037042646141,6.65926125048368,-1.5344533297673,0.858646986582708,3.91754313093386,-1.44791491089705,-1.66477717674981,2.69642138850774,0.181868846445201,-1.1763560830985,-0.280931401720112,-1.01908579673498,5.94258694804211,2.19507375631705,2.26922423477028,6.01430175968436,-1.6134563066362,0.211609664090387,-0.601019445636193,-1.63134829829376,-1.15191611112238,1.30075156785255,-1.43767248521542,-1.36945978001094,-1.36792106870933,1.01930325290245,-1.42482705683679,-0.68189523254791,-1.62470335808121,-0.0304755529497114,0.0774446353352032,-1.63095703549196,-0.661376258299085,0.577820856257892,-1.51566388438457,-1.14999266535422,-1.53592404557003,0.953222003532728,-1.2136897521518,-1.56043157918991,0.0807942224316496,-1.21190852786086,-1.14806135361689,-0.757505426809192,-1.27394266875838,-1.42925616258369,-1.1205381015492,3.96529108661634,-0.527948985372225,3.84557262369496,-0.178736445401739,-1.32406921407928,-0.970097324133099,-1.05694623707613,-1.52118117270801,-0.951416624755176,-1.42524275628208,-0.823508347143906,-1.09468277169861,-1.80151998496915,0.727793615368808,-1.26235246895648,-1.1334790827734,0.513163018215461,-0.735911437621394,-1.61780641506745,-1.01588620955456,-1.07353518459628,-0.666095677432734,-1.36020321130433,-1.48887827538534
"VU383Platelet-hiseq",1.84890456987802,5.79493965035291,-1.49435672246263,-1.44176517314033,-0.75478177944188,0.216551149895389,-1.4379750368156,-1.545011735112,-1.42151610174846,1.18245908653151,-1.29778536518289,-0.773216688780172,-1.5290957326496,6.10061010547008,-1.20818828218603,-1.43941288611862,-1.65918090995806,5.68668107720471,-0.245082582051611,-1.16275304763213,-0.932607250083363,-1.00635986018853,-1.23153190005744,-1.00481459092956,4.8345893229051,-1.18537821257538,-1.60650074225389,-0.556350060666406,-1.56468901493794,-1.62811301031391,-1.14147788546108,-0.380491127804307,-1.42471679433411,-1.36439297725684,-1.36111552780152,-1.05363660563985,-1.41657891216242,-0.662316558362803,-1.61540861633195,0.00879145659666047,-0.775303452879153,-1.62557761606798,-0.629679216645656,-1.47452782137752,-1.50678138571306,-1.1324143943196,-1.52017918598982,-0.165827775353285,-1.200657939068,-1.55352142585363,0.121176348199021,-1.52258053447059,-1.53716938629485,0.434446613106617,-1.26544342383814,-1.42222796103009,-1.10737720133369,0.252659152862819,-0.993157324134492,2.47701461081706,-0.137270955167866,-1.31825610380037,-0.955102356949767,-1.04887286005944,-1.51335481020077,-0.934670384816389,-1.41376206641278,-0.777700619736643,-1.06557922489288,-1.79617810602763,-0.364691279654722,-1.25335162655888,-1.12607702220417,-1.38860750189278,-1.04215652155084,-1.6135090136539,-1.00604081300978,-1.05800746329092,-0.631798434151904,-1.34989565832842,-1.48167051499704
"VU393-GBM-vIII",-0.505387574767094,1.19992002890993,-1.24719405526697,5.81291236249074,-0.360546352851215,5.09092385977158,-0.901395833430235,0.516301652151414,-1.12389666556632,-1.10964151523674,-0.946255416872647,-0.0894708032536033,-1.27353867680083,1.39532900644829,-0.690696713917711,-1.13032118977435,-1.38279483702524,4.4525630493714,0.208511293698666,-0.767977113607057,-0.649912532449126,-0.68347798060763,-0.559557646061297,-0.393402494669092,-0.359036288532495,-0.613073124782914,-1.30182927491503,-0.160643834528869,-1.28361011909685,-1.40464099159216,-0.8358391984972,5.41890381079137,-1.09490698844725,-1.1300245108721,-1.08067934029191,-0.33700490938346,-1.13469680882206,-0.320239106206295,-1.30629253858995,0.605183186588289,-0.332149406306498,-1.36755644117176,-0.152219829234809,-1.11583335984653,-1.22070286790239,-0.697919277048098,-1.04978381473016,0.53772151987108,-0.866348613387827,-1.24155807016026,0.725045544617663,-1.26876431810217,-1.2489481716891,-1.35077149799213,-0.964241530246227,-1.14486782558236,-0.786893521998332,3.0376690461821,-0.57481231277271,5.54827382849295,0.461843754536092,-1.07124958627736,-0.620715104079261,-0.782792013285841,-1.19131036912493,-0.580737232580994,-1.02272225913685,-0.164634124097459,-0.539960041861171,-1.50021688126596,-0.0150116807799739,-0.964564548750877,-0.858688603454429,-0.197974715471333,-0.805363919259069,-1.35173904763338,-0.721373301538418,-0.663380739599673,-0.135655165336127,-1.02323252827211,-1.17993240198721
"VU394Platelet-hiseq",-0.979344072496501,5.84266560570463,-1.48934208321365,-1.42796539748574,-0.729597450531128,1.57490248443136,3.05599160723369,0.847887590241901,-1.40990286263626,-1.46480431051812,-1.28432729334277,-0.714741188840663,-1.52272377241041,-0.355024557032632,-1.17602195023493,-1.42939118104741,-1.65254208029472,0.0620971947049189,-0.211425800288767,-1.14678326081405,-0.918423798176526,-0.991418498636481,-1.18301910078568,-0.956820562796612,-0.839133441202672,-1.14890438610325,-1.59827749094131,-0.527535549683427,-1.55620665215465,-1.62422702534504,-1.12918191213767,-0.331695125076326,0.834417132709117,-1.35834510371718,-1.35303218649807,-0.994124166595173,-1.40686560094827,-0.639552563842655,-1.60455085505778,0.0538940047498255,1.69105286185806,-1.61919575254308,-0.593265170120749,-1.46180526982649,-1.49637400534955,-1.11194798098909,-1.50184879850463,3.06820585767085,-1.18543620843536,-1.54532853282655,0.167366874111122,-1.51698686779667,-1.52698877152203,-1.57075755999841,-1.25538610667175,-1.4139062091324,-1.09199003361575,3.86882035578385,-0.972042677722428,-0.544226370273401,-0.090158286001305,-1.31133104509159,-0.937584159412393,-1.03928296704535,-1.50410202950167,-0.915166535512928,-1.4002670350954,-0.0533542629856224,-1.03235075084899,-1.78983525985555,1.18962155986803,-1.2427338405632,-1.11727296445253,-1.38433055969531,-1.03465214495896,-1.60836432996343,-0.994399093110285,-1.03985026961642,-0.592756687759132,-1.33779102521191,-1.47313429487104
"VU398-GBM",2.23811570429119,5.09998751241156,-1.00891771616439,0.0549802094730056,0.0924245279215462,3.81713518984223,-0.481272059334314,-0.926031857068546,-0.767237703336703,-0.730407002309493,-0.584491874553073,1.61632917071328,-0.387736739085605,0.945904042674007,-0.218816811113446,-0.804809296618578,-1.10413060579427,2.35445869269592,0.643315460364112,-0.409779732479208,-0.263424292571852,-0.30222063875913,-0.0342991277402144,1.28430188659637,0.134050299222424,1.80251519043919,-1.00493780288988,0.311706819279698,-0.968095751285453,-1.18255485470852,-0.479918486709196,5.47834018441764,0.82193886813125,-0.851876744719237,-0.781824365745649,0.231285635957466,-0.8013435472224,0.128293444530545,-0.960477375550577,1.04160472627383,0.166504413535209,-1.08483568744594,0.348331309581364,-0.770079870083594,-0.875509693944105,-0.30267938493,-0.698420250759495,1.02143006440589,-0.481813620967488,-0.955237391885175,1.15771582735822,-1.01238302209772,-0.907391049653741,-1.07617066810091,-0.640445329534256,-0.835835690128141,-0.3970224311804,1.50156520869515,-0.166769482666354,1.58103897190557,0.913088452749012,-0.780050716265808,-0.215013249705292,-0.454903979043435,-0.888163317695874,-0.162145645826892,-0.690554049249565,0.378106216784346,-0.066609852542047,-1.24047517209452,0.415372194746546,-0.623868189191921,-0.544683326417858,-0.939770551785809,-0.504179679683067,-1.11660345646911,-0.369068950676749,-0.277156004122045,0.367464789807241,-0.674320963876293,-0.879805659698936
