"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161"
"VU280-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,9.84872603652516,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,6.77351667116402,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,7.22264088141227,3.51266192128151,6.97270045055596,3.51266192128151,3.92609614333484,3.51266192128151,4.09537974846136,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.40614703718747,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.13611196171859,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU284-GBM-vIII",3.51266192128151,3.97571070251831,3.51266192128151,4.48088534494787,3.51266192128151,5.58437354884117,3.51266192128151,4.57884609145947,3.51266192128151,3.84078640232013,3.84078640232013,4.78623268291772,3.51266192128151,4.92604037950175,3.84078640232013,3.51266192128151,3.51266192128151,5.16146924925841,3.51266192128151,3.51266192128151,3.97571070251831,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.84078640232013,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.88671525725044,4.3080222247437,3.51266192128151,3.51266192128151,4.48088534494787,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.74812480059494,3.51266192128151,4.16476093189013,4.3080222247437,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.97571070251831,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.36999902383676,3.51266192128151,6.72511503853348,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.97571070251831,3.51266192128151,3.51266192128151,3.84078640232013,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU306-GBM-vIII",4.57355022797371,7.67243484593966,3.51266192128151,4.83146508127052,3.51266192128151,4.38516496824478,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,6.67580174923941,3.51266192128151,5.38411374012992,5.5529786927402,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.76332748523687,5.30105193348269,4.92466052466193,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.23482387944422,4.98260428551568,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.23482387944422,5.60463134197572,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU360-GBM-WT",3.51266192128151,6.84402578580661,3.51266192128151,3.51266192128151,3.51266192128151,5.68239574798261,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.59614349668554,3.51266192128151,5.1766806592978,4.50769097843616,3.51266192128151,3.51266192128151,4.22308279083825,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,6.10736562594054,3.51266192128151,5.04435240882714,4.8944749979717,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,6.652524190945,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.72006985349837,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU372-GBM-vIII",4.77156441121944,6.05098136688228,3.51266192128151,3.51266192128151,3.51266192128151,5.73323976313207,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.59507793337781,5.31269493161647,3.51266192128151,4.65757395448469,3.51266192128151,3.51266192128151,3.51266192128151,6.24421368354948,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.77156441121944,4.45534345778421,3.90319951792963,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.96741030935116,5.09424038079508,3.51266192128151,3.51266192128151,4.45534345778421,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.45534345778421,6.78133331146668,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.18505779524195,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU378-GBM",7.19547810561937,8.13161507871707,3.51266192128151,4.37677122016771,4.15510984024281,7.64746762121266,5.56379456384692,3.96880174589539,3.51266192128151,5.58839724506815,3.88561240429811,7.41666772359195,3.51266192128151,4.20565133676318,7.13734288820211,3.51266192128151,3.51266192128151,4.57860795840878,3.77674381887784,3.51266192128151,3.88561240429811,3.51266192128151,6.28377040422261,4.69146133957219,4.76820228273731,6.1304045987598,3.51266192128151,3.88561240429811,4.03864544676547,3.51266192128151,3.51266192128151,4.15510984024281,3.51266192128151,3.51266192128151,3.51266192128151,4.15510984024281,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.88561240429811,3.51266192128151,3.51266192128151,4.48371181426975,3.51266192128151,3.51266192128151,3.51266192128151,3.96880174589539,3.51266192128151,3.51266192128151,3.51266192128151,3.77674381887784,3.77674381887784,4.03864544676547,3.51266192128151,3.51266192128151,3.51266192128151,5.30260906076598,3.77674381887784,5.65951343830809,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.03864544676547,3.51266192128151,3.51266192128151,4.71770818551656,3.77674381887784,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU383Platelet-hiseq",4.63533198656713,6.80001228608841,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.43738816909541,3.51266192128151,3.51266192128151,3.51266192128151,6.12291963762763,3.51266192128151,3.51266192128151,3.51266192128151,6.81115504322767,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.87412798849817,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.59535517352869,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.7535560932557,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU393-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,5.81679390280859,3.51266192128151,6.40005470802283,3.51266192128151,5.18236150712591,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.46188170574462,3.51266192128151,3.51266192128151,3.51266192128151,5.72237963303992,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,7.01541691078653,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.72439070132466,3.51266192128151,6.71758237113409,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.29223304820068,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU394Platelet-hiseq",3.51266192128151,6.84806148985872,3.51266192128151,3.51266192128151,3.51266192128151,4.10152124211548,4.88248106976179,5.52433975325643,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.80862043912635,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.85438662503455,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.51915505978857,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.88248106976179,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.23597565911856,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.80862043912635,3.51266192128151,3.51266192128151,4.23142448262221,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU398-GBM",4.98211096794429,6.18259382893716,3.51266192128151,4.38485659919711,3.51266192128151,5.36327226002029,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.38485659919711,4.38485659919711,4.38485659919711,3.51266192128151,3.51266192128151,3.51266192128151,4.38485659919711,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.38485659919711,3.51266192128151,4.72868393070427,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,7.10838258239432,4.72868393070427,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.38485659919711,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU402-2-GBM",4.95152076235435,8.28330828725225,3.51266192128151,4.12022397568102,3.51266192128151,5.69018013654167,4.8031626430445,3.51266192128151,3.51266192128151,3.51266192128151,4.25409496996471,6.57615029213158,3.51266192128151,4.41592869720112,3.51266192128151,3.94384822741358,3.51266192128151,6.1131244132149,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,6.70406823368969,6.50339124857292,4.4631336125516,5.106554140655,3.51266192128151,3.51266192128151,4.19070988357898,3.51266192128151,3.51266192128151,5.30609555097835,4.19070988357898,3.51266192128151,3.51266192128151,3.94384822741358,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.81812186933195,3.51266192128151,3.51266192128151,3.51266192128151,4.19070988357898,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.4631336125516,3.51266192128151,3.51266192128151,3.51266192128151,4.03978587540425,4.86501297815109,5.83301722164049,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.03978587540425,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.25409496996471,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU406-2-GBM",4.63274738359531,6.40989151675607,3.51266192128151,3.51266192128151,3.51266192128151,5.86052621084856,4.26376519375644,3.51266192128151,3.51266192128151,3.91736489825795,4.00751709350311,5.48474379466534,3.51266192128151,3.79929766973769,4.63274738359531,3.51266192128151,3.51266192128151,5.58935614611881,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.43713220338084,4.40622386352888,4.08315256354357,4.40622386352888,3.51266192128151,3.51266192128151,4.36167953696968,3.51266192128151,3.51266192128151,4.36167953696968,3.51266192128151,3.51266192128151,3.51266192128151,4.4885207713955,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.00751709350311,4.3143690412297,4.26376519375644,4.786562856899,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.79929766973769,3.51266192128151,3.51266192128151,3.91736489825795,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
