"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865"
"3-Breast-Her2-ampl",-1.51884247557382,-0.410795241547507,-1.48749562031419,-0.92937625328633,-1.20647496433554,-1.35121157832403,-0.673477099728017,-0.399953405138027,-1.24216501076019,-1.28917516805014,-1.68533802528183,-1.14678394193358,-1.49666264741067,0.0496162858893916,-1.63639564312258,-0.48511415053712,-1.33365494556136,-0.630263303304808,-1.1513365998422,-1.49448326871662,-1.48276120405807,-1.62391000435394,-1.62964563648486,-1.03212082603457,-1.61528905948128,-0.998811628214444,-1.58606351992362,-1.44516364583376,-0.971580162085976,-1.30235764786833,-1.33989265742797,-1.11699740228978,-1.48005611150014,-1.2380680084567,-0.57594858029348,-1.29458596889694,-1.60478428874223,-0.917168579975337,-1.1061961723062,-1.40262028532287,-1.58961112156921,-1.43854860412143,-0.990929199025703,-1.46311075611185,-1.00146983499675,-1.42872670768928,-1.57183274380863,-1.04586662693395,-1.46223522163,-1.48286839380102,-1.28005009504411,-0.0752839757412646,-1.43584311015232,-1.39017169973766,-1.74172828596286,-0.750821552315779,-1.56486467253562,1.03116130209615,-1.27394910601169,-1.36486429824918,-1.45916810247264,-0.895622205873103,-1.20802900136176,-1.43363902526564,-1.50534473961149,-1.52546338133876,-1.52962094832276,-1.45684876274526,-1.44165945819797,-1.38809635941415,-1.30782018239991,-0.729849875783843,-1.36443055435424,-1.14513895911336,-1.34456575897773,-1.68361993191993,-1.4432721610867,-1.54169177491995,-1.43308362286564,-1.04421098898828,0.27445556379862,-1.657608595366,-1.25127799718081,-1.61526249733577,-1.10849171609468,-1.11929224665198,-1.60585931653498,-1.10843559473623,-1.39375115459939,-1.41595682147878,-1.12125673587203,-1.56168512350954,-1.28507974022084,-1.20340700161591,-1.03908313463928,-1.36884027321624,-1.81254587664111,-1.22419690858208,-1.69253536728431,-0.688535452961718,-1.76853087754086,-1.17788081449295,-1.45679094850186,-1.4699740351175,-1.10010408356674,-1.35293587925415,-0.486995448119006,-1.09992700327432,-1.36892123936041,-1.2623482000632,-1.70898485052416,-1.16848964915232,-1.44665326688599,-0.907461011138499,-1.52960714400615,-1.55961163445505,-0.500922572719593,-1.15207916409132,-1.7853353075678,-1.90533930592926,-1.39185044423455,-1.38846472566502,-1.31121968629291,-1.41947133080134,-1.42197671364636,-0.800195276388744,-1.64431899666871,-1.79502480214008,-1.4550343715191,-0.35987653319205,-1.41894171645832,-1.57241296001659,-1.724061485338,-1.65733506091626,0.492497077269694
"8-Breast-WT",-1.51510040192272,-0.954304001493942,-1.48342906481295,-1.32372517649116,-1.2012389359028,-1.34721324220228,-1.12068266490413,-0.057606109466958,-1.2367139140689,-1.28545987250099,-1.68090924467839,-1.13365815586922,-1.49228937853857,-0.0569628460389644,-1.63288752065384,-1.02099884240922,-1.32920291868682,0.585321044923622,-1.14610402762542,-1.49036961444624,-1.48037374866241,-1.61990859039155,-1.62619374416859,-1.01644245044304,-1.61225217984899,-0.988362171705806,-1.0920847430963,-1.44021105860492,-0.963001926812441,-1.29723150197143,-1.33564869301941,-0.0205137684566703,-0.679436766768434,-1.23381516803257,-0.546345848686998,-1.2590507889163,-1.59862868394843,-0.893694105971627,-1.09909360275868,-1.39602435711394,-1.58538530713394,-1.43448083362617,-0.97799606043304,-1.45737001103799,-0.989658028876593,-1.42540201582258,-1.56876318651528,-1.03814962962154,-1.45822766699672,-1.48004732903076,-1.27601947704107,-0.62035769523096,-1.42725833039954,-1.38529339939131,-1.73726313289705,-0.318644785532056,-1.5600502497707,0.184091691193819,-1.26810780207129,-1.35985473353775,-1.45637419819904,-1.42990530514476,-1.20122902810679,-1.43041138859526,-1.50020664227475,-1.51874874459307,-1.52614657942604,-1.18831265575835,-1.43772916089455,-1.38443706490031,-1.30226578527433,-0.704992726432488,-1.36043630626967,-1.1331234591992,-1.07339079199766,-1.67966839224769,-1.44062876194544,-1.53779805780308,-1.42755839337563,-1.03596713746885,-0.65865252903283,-1.64927052747984,-1.2466099865097,-1.61322152022979,0.262568700101746,-1.11409272916224,-1.60284339434813,-1.05468527859097,-1.39022966343151,-1.41043830588419,-1.11461891089942,-1.55653073806955,-1.28085598040257,-1.19578624407784,-1.03103324661004,-1.36386161545756,-1.807945360119,-1.21839984291558,-1.68916267713522,-1.09800586247582,-1.76428584945216,-1.17287480810711,-1.45134758215073,-1.45224032551546,-1.09498657428655,-0.787466822763545,-1.24247365244688,-1.09413752120903,-1.36635474813328,-1.25940543789247,-1.70564208095345,-1.16101622993429,-1.44227516077814,-0.897195173072972,-1.52640993209687,-1.54981269224123,-0.43626547764087,-1.61939208426771,-1.7817920305576,-1.90056882321696,-1.38608391243611,-1.14858128628604,-1.3051955442706,-1.4171096751008,-1.41808145885922,-1.34408446613393,-1.64172050491909,-1.79062897175443,-1.45089135890949,-0.906102639446339,-1.41334387386228,-1.56995616764457,-1.71961096843352,-1.65258528714152,-0.949629525276496
"10-Breast-Her2-ampl",-1.51364190130454,0.282786687679887,-1.48184957498462,-1.32212460646956,-1.19920132318109,-1.34565292015803,-1.11803651718152,-1.70408476628419,-0.958071707277818,-1.28400797323196,-1.67919600873563,-1.12866974358628,-1.49058679624992,0.311651474693801,-1.63152061244937,-1.01635877021091,-1.32746791790261,-0.0997429338417993,-1.14406684636178,-1.4887666563111,-1.47943845005553,-1.61835142382753,-1.62485202005736,-1.01048720781387,-1.61106445008619,-0.984349704458486,-1.57908627219159,-1.43828610785745,0.443699524268151,-1.29523764353008,-1.33400143745321,-1.10274877816753,-1.47273652125122,-1.23215723651043,-0.535200435881105,-1.24593167582696,-1.59626256938573,-0.884793035206466,-1.0963434627558,-1.393474944147,-1.58374590909152,-1.43289480892353,-0.973053961060802,-0.800592082435334,-0.985136617542489,-1.42410238595421,-1.56756317763902,-0.335828346623427,-1.45666570196302,-1.47894261580448,-1.27444592743797,0.392361144334712,-1.42397922579742,-1.3833983797269,-1.73553274425737,-1.00847648962194,-1.55817967140071,-1.06886486241332,-1.26584832202165,-1.3579148594645,-1.45527983431717,-1.42623522577549,-1.19859736801263,-1.4291490722431,-1.49821844000516,-1.51617417118384,-1.52479337308701,-1.45049271540826,-1.43619945224912,-1.38301021657587,-1.30010801924392,-0.695616285003211,-1.35887774995547,-1.12853606147896,-1.33799376734921,-1.67813012058436,-1.43959262204152,-1.53628121175464,-1.42541639735547,-1.03278781955189,-0.64747500403333,-1.64608191438662,-1.24479104152259,-1.61242131622714,-1.08878902785352,-1.11206913919143,-1.60166734292987,-1.56536511029708,-1.38885354806072,-1.4082962003154,-1.11204507542641,-1.55453553845085,-1.27920815861034,-1.19284739640294,-1.02792334423359,-1.36192594518908,-1.80616102171607,-1.21614781096842,-1.68785026831643,-1.09594229718494,-1.76263615136143,-1.17092497518909,-1.44924590040391,-1.44553744500267,-1.0929927655869,-1.34826882904229,-1.24090004223065,-1.09188611860584,-1.36534798680104,-1.25825206830572,-1.70434282267888,-1.15812923621393,-1.44057984495139,-0.893240564133575,-1.52516020384208,-1.54608777155784,-0.412589848112295,-1.61734105352738,-1.78041151440286,-1.89872620234227,-1.38384795324875,-1.38352008078899,-1.30285844850303,-1.41618271952903,-1.16099988438401,-1.34238218888634,-1.64070472897857,-1.78892160644847,-1.44927663981766,-1.17764726738233,-1.41117403420262,-1.56899315088481,-1.71788184899662,-1.65073824529897,-0.941530428926523
"Breast-100",-1.36069133741254,0.737371682583184,-1.34680786087941,-1.17181154647721,0.485297536065859,-1.19484861883071,-0.968738443439052,-1.55620548665665,-1.11086066404761,-1.14349535969614,-1.52319390877153,-0.979195900369624,-1.32098868096973,-0.865004352937358,-1.47517063440089,-0.850094738839274,-1.17085090518467,-0.991902211388223,-0.99419286895587,-1.3238581776977,-1.36305521755474,-1.44993379235755,-1.4889950726094,-0.824089516705004,-1.45843907464147,-0.832676275083321,-1.42071150545067,-1.2652656516457,-0.800764797415239,-1.13231613186813,-1.22635384629616,-0.905084383367848,-1.30609818570897,-1.09866004676786,-0.252464501388939,-0.881762998019225,-1.43569982208578,-0.557838665434338,-0.939165201898077,-1.2114410683122,-1.43275382527579,-1.27335934407445,-0.803876080038427,-1.33708097265024,-0.827048870955066,-1.28051416149092,-1.41763877949063,-0.898422489653013,-1.29961798063261,-1.34023064147935,-1.12948558963279,-0.43714937024959,-1.27680121453193,-1.2279245042923,-1.55745622843807,-0.860263604742804,-1.37526472881897,-0.75530713045844,-1.13448846758035,-1.23171117210134,-0.625102569318135,-1.25726477447678,-1.03647798032739,-1.2856041927298,-1.34374121334881,-1.37581463737255,-1.38876076367875,-1.30997252077635,-1.29817950894411,-1.25115227978103,-1.12994072655979,-0.454523849327338,-1.20724771003013,-0.953769268327062,-1.17770124629173,-1.50192238110066,-1.30781222717585,-1.3767585720708,-1.25284561946581,-0.894720957061441,0.434744505093676,-1.43779280271992,-1.09335653892961,-1.16821347595806,-0.903736649555791,-0.974460763011879,-1.46831117166771,-1.38012408522439,-1.24286952600253,-1.22805487098687,-0.953900577978886,-1.38606235750284,-1.13084119928372,-1.03876209468837,-0.8766131824704,-1.19790709947875,-1.60903848449241,-1.05136347414902,-1.53861576260804,-0.950313721087429,-1.57407380349991,-1.02151637523863,-1.31162986805238,-1.13862663463668,-0.950071037858787,-1.2087595151973,-1.09923694004757,-0.94047565802787,-1.24074392273064,-1.1343947895429,-1.56149790841297,-0.998742068376399,-1.32628699363319,1.07404105003366,-1.37507339105258,-1.36391792033524,1.79908482902307,-1.42878756664654,-1.6049266192227,-1.70322437328106,-1.20742504108391,-1.24786517879803,-1.12592704817538,-1.29246996769837,-1.28266776786211,-1.1971818043384,-1.50728494696054,-1.59532188739147,-1.28717282472214,-1.02950058614868,-1.2394692208345,-1.43267484970051,-1.52859392974518,-1.46208534926373,-0.693608412118562
"15-Breast-Her2-ampl",-1.50382369026693,-0.916501760306472,-1.47129395222941,-1.31132585086286,-1.18552877448029,-1.33512142165404,-1.10046952689093,-1.68986194038687,-1.22056250352979,-1.27417886954871,-1.66697719179116,0.714197185140041,-1.47915323312117,-0.972173015966056,-1.6222746197774,-0.986301610498102,-1.31579119309292,-1.10757833299089,-1.13038408853771,-1.47798154251847,-1.4730729270838,-1.60790359907832,-1.61587198952511,1.10550802871535,-1.60301109414229,-0.958147977420675,-1.56621125043923,-1.42540355186701,-0.937758689122351,-1.28187302814658,-1.32300894535537,-1.07682117976893,-1.45914378451434,-1.220990715925,-0.465045316957551,1.96449671223235,-1.58078704276891,4.45559927587277,-1.07808014301249,-1.37660852694709,-1.57281728227113,-1.42220999068384,-0.941088620247452,-1.4406848443239,-0.955794055031896,-1.41529888871379,-1.55943312529083,-1.01547522604079,-1.4461511561377,-1.47143108567216,-1.26381592784354,1.30850231839019,-1.40280158568337,-1.37073033919481,-1.72242212169983,-0.987839328194456,-1.54567097982531,-0.0524229098455206,-1.25087627891786,-1.34503225063991,-1.44783444166288,-1.40260369638644,-1.18113947114135,-1.42058931193859,-1.48503478996668,-1.49942109286913,-1.51569737878448,-1.43865792277813,-1.42593208738777,-1.37339595496507,-1.28568207718252,-0.63641250618489,-1.34836063395463,-1.09892096678412,-1.32563035422977,-1.6637170556045,-1.43253260707917,-1.52608115776111,-1.41115762335774,-1.01184566405743,-0.57708250004323,-1.62527706917044,-1.23255228256373,-1.60696586207051,-1.05400667913429,-1.09848750111511,-1.593742235904,-1.55205948942992,-1.37953837481123,-1.39399945923574,-1.09490275523722,-1.5412960289616,-1.26809262297548,-1.17349287999011,-1.00736559536782,-1.34896301472271,-1.77851857728195,-1.20109127635618,-1.67820757009604,-1.0820770466507,-1.73707637539434,-1.15781684446561,-1.43537352395479,-1.40309320723289,-1.07958097441657,-1.33936968794259,-1.23026459442645,-1.07680077733499,-1.08257141975182,-1.25039471340961,-1.69452097559398,-0.486629831471557,-1.42932276920391,-0.867248127713486,-1.51669595952274,-1.5222576448694,1.31992055056759,-1.60371568871711,-1.75515448935839,-1.88255099370229,-1.36895789078291,-1.37414741882725,-1.28727740585764,-1.40984810814555,-1.40638572725449,-1.33095061292637,-1.63364816611037,-1.76037189942259,-1.43840771338065,-1.16266794699944,-1.3967340599941,-1.56243118722096,-1.69657119723094,-1.63836781399997,-0.89029359832086
"16-Breast-WT",-1.50865237203437,-0.932311375962708,-1.47646880040584,-1.31664200102521,-0.877677962257503,-1.34030692113469,-1.10905687913499,0.0453850467477701,-0.391353553563815,-1.27902488835992,-1.67338815121799,-1.11210542063496,-1.48477036350841,-0.982332505499011,-1.62684615552152,-1.00083784151796,-1.32153331944147,-1.11966590071815,-1.13710682316879,-1.48328453302762,-1.47621861523053,-1.61303446513931,-1.62027726106968,-0.990721984691427,-1.60698424432608,-0.97086436593339,-1.57249631562622,-1.43172306748723,-0.948461212477443,-1.28843356372615,-1.32839452392993,-1.08942195699986,-1.46579302332501,-1.22648382615758,-0.498558331180881,-1.2037308638648,-1.58830226503357,-0.855305744138725,-1.08700917321521,-1.3848407778811,-1.57816910493246,-1.42746661962481,-0.956537645557135,0.00748352761578852,-0.969996182631985,-1.41964036639269,-1.56344276396724,-1.02508229758066,-1.45132226370172,-1.47514155512625,-1.26905193249589,-0.59374206179802,-1.03095033548849,-1.37694163286676,-1.72965411874223,-0.997909248833958,-1.55180489694082,-1.03964475303218,-1.25818901596423,-0.335870146495613,-1.45151315974953,-1.41400114916079,-0.014498887363584,-1.42481253211544,-1.4914759199381,-1.50753829635609,-1.52016800025789,-1.44445221123596,-1.43097520959791,-1.37812633782225,-1.29275559616441,-0.664730095494865,-1.35353851865955,-1.11322179567654,-1.33170379057948,-1.67287562827298,-1.43602324101471,-1.53109527009634,-1.4181359428526,-1.02204800531109,-0.61071547515164,-1.63541860443594,-1.23857019509207,-1.60966383882866,-1.07074764984374,-1.10515847463073,-1.59764166195757,-1.55857432812687,-1.10094600610198,-1.40100432137696,-1.10329437463931,-1.54776647164281,-1.27356429795422,-1.18292085855777,-1.01739627149048,-1.35532385321855,-1.80009317365906,-1.20847411789502,-1.6833693653723,-1.08889060020669,-1.75701280831972,-1.1642598292303,-1.4421374682484,-1.42341625569727,-1.08617497031859,-1.34376065692591,-1.23550437751383,-0.347218086754208,-1.3618765212653,-1.25427928080357,-1.69991308324521,-1.1483577656992,-1.43482588604033,-0.879899083877045,-1.5208698474382,-1.53371790707221,2.05411758410482,-1.61037795750888,-1.77569104833427,-1.8915633453772,-1.37624641309892,-1.37876308866815,-1.29490792215121,-1.41298411085111,-1.41138622789796,-1.3365668620329,-1.63721717180186,-1.78310569260354,-1.13593951705461,-0.16086893958005,-1.40380017861543,-1.56567560293915,-1.71198959926425,-1.64443775974203,-0.914819276705016
"21-Breast-WT",-1.51362944756292,-0.949192272464665,-1.48183610121143,-1.32211093559853,-1.19918393208119,-1.3456395923303,-1.11801396471236,-1.70406625559876,-1.23458404782522,-1.28399556663215,-1.67918141057629,-1.12862744468021,-1.4905722629978,-0.992996507799409,-1.63150894177741,-1.01631935723337,-1.32745310369151,-1.13252153453341,-1.1440494567498,-1.48875296998519,-1.47943045228928,-1.61833813339477,-1.62484057222477,-1.01043671736715,-1.61105429861951,-0.984315584357115,-1.57906969905338,-1.43826968401127,-0.959658656584655,-1.29522062826597,-1.33398738833136,-1.10271510740985,-1.4727190956232,-1.23214307898839,-0.535106160885229,-1.24582128814861,-1.59624244382871,-0.88471760348516,-1.09632002297085,-1.39345322607103,-1.5837319289268,-1.43288126490326,-0.973011991687737,0.192142450951482,-0.985098202661078,-1.42409127961965,-1.56755292238761,-1.03514361397426,-1.45665236478941,-1.47893317048304,-1.27443248510296,-0.614183617431396,-1.42395138303086,-1.3833822137421,-1.73551799260665,-1.0084499003283,-1.5581637130987,6.37760321791437,-1.26582906971975,0.39654129764825,-1.45527047678999,-1.42620407658766,-1.19857494119847,-1.4291382832795,-1.49820149749102,-1.51615228769176,-1.52478182069966,-1.45047756927018,-1.43618639561062,-1.38299803161692,-1.30008961156917,-0.695536934498248,-1.35886443761998,-1.1284971140185,-1.33797804928987,-1.67811699021555,-1.43958376060745,-1.53626826164038,-1.42539813477403,-1.03276075181812,-0.647380449580617,-1.64605483108931,-1.24477551108366,-1.61241447211645,-1.08874298821554,-1.11205186730064,-1.60165729956712,-1.56534808432316,-1.13965822557167,-1.40827793036655,-1.11202312966934,-1.55451853466358,-1.27919408450113,-1.19282237644219,-1.02789685473723,-1.3619094284601,-1.80614580664211,-0.255095849850247,-1.68783906709269,-1.09592468148444,-1.76262207664067,-1.17090832914409,0.377171960682464,-1.44548069199626,-1.09297574279199,-1.34825761380803,-1.24088659854658,-0.0469979554106147,-1.36533937476458,-0.861635457627589,-1.70433173729869,-1.1581046459559,-1.44056539549273,-0.893206906194239,-1.52514952413448,-1.5460561850577,3.70947456567538,-1.6173235712148,-1.78039972780515,-1.89871050837123,-1.38382888854825,-1.38350822326294,-1.30283851848946,-1.41617478885023,-1.16090170081794,-1.34236765832213,-1.64069604834383,-1.78890704200347,-1.44926285229974,-1.17762812905175,-1.4111555349509,-1.56898491478056,-1.71786709772204,-1.65072248419959,-0.941461866982281
"33-Breast-Her2-ampl",-1.51041007638017,-0.938202174327509,-1.47836037801061,-1.31857464598137,-1.19469243175321,-0.675359676075255,-1.11220758469906,-1.69932621303554,0.0296296121188303,-1.2807831615794,-1.67542488615152,1.21397001593748,-1.48681794524106,0.137595817568062,-1.62849256005664,-1.00624509925433,-1.32362380744548,-1.12415828793912,-1.13955710113601,-1.48521548342776,-1.4773564527403,-1.61490574174363,-1.62188617843373,-0.997581463929209,-1.60842458475592,-0.975573463408576,-1.57480650166588,-1.43403120369792,-0.952395892251992,-1.29082754631842,-1.33036477456066,-1.09407999772889,-1.46823046311358,-1.2284827443209,-0.511217145971565,-0.602696594956616,-1.59108329617122,-0.865530091383711,-1.09028462429073,-1.38786724803865,-1.58012818587638,-1.42937927293033,-0.962289152612684,-1.45032169837469,-0.975273715028336,-1.4212150501954,-1.56489696253544,-1.02861659391003,-1.45320463455599,-1.4764844314733,-1.27095403593225,-0.60088465895937,-1.41684044701594,-1.37921165535049,-1.73171787603063,-1.00161255033572,-1.55404630872517,6.31570050668994,-1.2608750066843,-0.182159234758163,-1.45284410375575,-1.41825585582092,-1.19280214061506,-1.42634339434532,-1.49384088454941,-1.51055086850842,-1.52179673199905,-1.44657386797208,-0.38194354328237,-1.37984729171458,-1.29534059062192,-0.675410126365938,-1.35542071680381,-1.11855176901083,-1.33391793859093,-1.67472527217258,-1.43728501971719,-1.53292160596318,-1.42069245389961,-1.02580780672332,0.485303676878896,-1.63913294139706,-1.24076136527143,-1.61063876434434,-1.07701297951651,-1.10759087041252,-1.59906024705683,-1.56095963320292,-1.38579716919266,-1.40356676743297,-1.10636761741475,-1.55014123739426,-1.27555368262833,-1.18639575728531,-1.02108537965383,-1.35764616778606,-1.80222438179817,-1.21117208464025,-1.68494634195284,-1.09137342336183,-1.75899022983616,-1.16660691470678,-1.4446274786161,-1.43107189122623,-0.798568362978781,-1.34535217672733,-1.23740732774389,-1.08690721032306,-1.36310426812728,-1.25568359068559,-1.70147095675724,-1.15178187840588,-1.43684491328767,-0.884566742033591,-1.52238388728799,-1.5380117102513,1.89158603829194,-1.61282158973008,-1.77735355299724,-1.89467570918652,-1.37891597194836,-1.38044032141459,-1.29770094258721,-1.41411576646238,-1.13578383031293,-1.33861405714425,-1.63844797717199,-1.78515012122583,-1.44569877071206,-1.17269277201745,-1.40638927293253,-1.56684836837265,-1.71406126135877,-1.64665403686011,-0.1274961894464
"42-Breast-Her2-ampl",-1.50916267609135,-0.934013882614313,-1.47701753294912,-1.31720323297529,-1.19295434553295,-1.34085425745022,-1.10997021409435,-1.69751329664696,-1.22815951840931,-1.27953567460584,-1.67397844185749,-1.11376544627017,-1.48536466725562,-0.0693573236203767,-1.62732411217107,-1.00240111682381,-1.32214022290949,0.17567986722142,-1.13781802319715,-1.48384510245405,-1.23727043954118,-1.61357754425145,-1.62074407190077,0.6745315843522,-1.60740273999777,-0.972226994772321,-1.573165769015,-1.43239274434822,-0.949601360529638,-0.152821846708546,-1.32896598752103,-1.09077027875286,-1.46649971969114,-1.22706419475118,-0.502206838854267,1.7486692623899,-1.58910711376104,2.04002899068302,-1.08795870392898,-1.38571776399337,-1.57873726338025,-1.42802195541799,-0.958200175312606,-1.44847371587464,-0.971522260969317,-1.42009784864955,-1.56386524988861,-0.264281833561904,-1.15284153418912,-1.47553185408334,-0.983687013664749,-0.595807385998556,-1.41413040985413,-1.06424924458069,-1.73025248467261,-0.998982284929348,-1.55245515660273,-1.04255673405806,-1.25896747639378,-1.35200027330483,-1.45190001489048,-1.41523038608059,-1.19057836338404,-1.42525733462146,-0.358575119673642,-1.5084096634647,-1.52064078425039,-1.44506748418556,-1.43150889743936,-1.37862602513098,-1.29350551712703,-0.66780926878077,-1.3540851113056,-1.11476215050451,-1.33234642546702,-1.6734124675176,-1.4363900538955,-1.53162543699991,-1.08421572061899,0.0301494220999502,-0.614376397964172,-1.63649236253846,-1.23920631214144,-1.60994727803356,-1.07255684102224,-0.264543221743746,-1.59805355883419,-1.55926607038595,-1.38461488299237,-0.819861464705554,-1.10418557016419,-1.54845483712826,-1.27414199555513,-1.18392728741576,-1.01846518198439,-1.35599769373189,-1.80071120765193,-1.20925681561122,-1.68382702746246,-1.08961127704626,-1.75758650427806,-0.306469686605564,-1.44285881898448,-1.42562407486059,-1.08687205680501,-1.34422309185452,-1.23605709275513,-1.0849890441843,-1.36223350611282,-1.2546875212199,-1.70036507949025,0.204850383088121,-1.43541117618633,-0.51341172657042,-1.52130970383723,-0.517008357347633,2.87108898029264,-1.61108637199356,-1.7761736658677,-1.8925609134954,-1.37702053257733,-1.37925019155053,-1.29571794306512,-1.41331320174232,-1.41191534424489,-1.33716105536346,-1.63757475144635,-1.78369874918495,-1.14014595398401,-1.17078682620162,-1.40455090932063,-1.56601653958126,-1.37398070396772,-1.64508083154477,-0.917484241109498
"Breast-454",-1.34985245385507,1.02185371623847,-1.33453334639419,-1.16063003374333,-1.03108539004305,-1.18384522919736,-0.953939774286955,-1.54155438830849,-1.09667803185093,-0.32232771092486,-1.51072275888367,-0.959714123972568,-1.30992200292793,-0.848459407898162,-1.46471724644405,-0.831531663457718,-1.15932259760843,-0.974111064594624,-0.981452092403594,-1.31305822493484,-1.35353981458658,-1.43916432395512,-1.47755569831695,-0.803952311431096,-1.44899168169358,-0.814944174040236,-1.40762610994998,-1.25341236393586,-0.784767696362843,-1.12000773705446,-1.21313710706382,-0.888586291728606,-1.29324806215365,-1.08655694679539,-0.238223213016879,-0.857161517108791,-1.42120187188034,-0.537892307503211,-0.924379249670654,-1.19760713014449,-1.42064279037114,-1.26248605953417,-0.784919544089888,-1.32216434812421,-0.808543804088755,-1.27037305817412,-1.40818935610245,-0.882479638103645,-1.28863146565536,-1.33097246354726,-1.1182765756,-0.416877705496823,0.0347420256872608,-1.21541573547352,-1.54585979177166,-0.844336587371538,-1.3639312697972,-0.734203235661321,-1.12002148842757,-1.21797089583368,-1.30960601411094,-1.24008285793652,-1.02202181891442,-1.27570191398461,-1.33052663788401,-1.36035029777141,-1.3775323994399,-1.2971522669344,-1.28637528873911,-1.23970628597501,-1.11729767235082,-0.4363609863624,-1.19626352345223,-0.935363097887307,-1.16582413228728,-1.49167992482195,-1.29870893755395,-1.36592188199268,-1.24001768968398,-0.878342982010868,-0.313406426398735,-1.42239327813755,-1.08137245113762,-1.48610171451104,-0.884250219204096,-0.961304245402714,-1.4577590204305,-1.36823282549203,-1.23251381755442,-1.21571100627526,-0.939661072795358,-1.3732734195741,-1.11942578299195,-1.02318029609773,-0.860777718816843,-1.1857200145209,-1.59830950069964,-1.03829920999345,-1.52785109433927,-0.937388966088366,-1.56375488094535,-0.542532421810555,-1.29754341087422,-0.407215642819665,-0.937307234058874,-1.19851299707972,-1.08793768584119,-0.927106512941507,-1.23159118255376,-1.12445935449545,-1.55041031660211,-0.983524509876032,-1.31292217459799,-0.713204697516478,-1.36541404602212,-1.34691685078669,0.13479848196149,-1.41663676177393,-1.59541640266936,-1.6914957403853,-1.19453374639789,-1.2368194722795,-1.11289881392797,-1.28374810359897,-1.27078955941214,-1.1851480631087,-1.49773650455193,-1.58487335107707,-1.27624843435273,-1.01582481789119,-1.22652511913092,-1.42412792209557,-1.51796008272076,-1.45045395807934,0.858567948297441
