"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU280-GBM",-1.3882340915912,-1.44618472426207,-1.3132139452722,-1.38989967720706,-1.00722538685694,-1.47348343069874,-1.52922640903168,-1.50678224460598,-1.53835159761295,-1.32774735596186,-0.778453470711728,-0.940416450675884,0.0418382514020698,-1.43566910555655,-1.38559110050764,-1.65579534095025,-1.49189919398764
"VU284-GBM-vIII",-1.46342391962678,0.189907378453685,-1.37430663082387,-0.899196095012228,-1.62483333225344,-1.52455024115796,-1.59599313116094,-1.56944099001228,-1.59157837122806,-1.42343157592121,0.365316270719813,-1.0599256133347,0.318507807260693,-0.682668992131235,-1.45084491204962,-1.7619580425933,-1.58297555860419
"VU306-GBM-vIII",-1.46784550837715,-1.51009319677815,-1.38429383613483,-1.47561194147399,-1.63061170449156,-1.53186219672015,-1.5994527571941,-1.57871063745468,-1.59711263177461,-1.43441258322752,-1.47105727653098,-1.07770393801118,-1.44875857166876,0.632868544655264,-1.45855287041231,-1.76767564878309,-1.58749289825591
"VU360-GBM-WT",-1.11172379833546,-1.07307775860059,-0.925413986105708,-0.973281864101147,-1.22603484422439,-1.1068442786001,-1.27192474936981,-1.11343778595278,-1.2087866374015,-0.922112920314104,-1.02844799205536,-0.474371292167908,-0.830301103554335,-1.0588731058884,-0.996434343236137,-1.35372074501527,-1.21912010350021
"VU372-GBM-vIII",-1.41716666978121,-1.46218595893825,-1.33206519571121,-1.41093796624878,-1.58471276566458,-1.48803973664384,-1.55614909714912,-1.52387962571317,-1.56099197638971,-1.37019080313982,-1.42102874337805,-0.989180957160766,-1.28591020395472,-1.45237856631753,-1.41944607010277,-1.68740283289276,-1.52044135880618
"VU378-GBM",-1.48107926277798,-0.708154301460162,-1.41562044055688,1.270949627957,-1.64827187040307,-0.605812617885906,-1.60977236416344,-1.60790369835835,-1.61402520025881,0.566169789973639,-1.49899653112184,-1.1340426943152,-1.49946309904669,-1.14178791801387,-1.48191150717244,-1.7845239337901,-1.6010558700319
"VU383Platelet-hiseq",-1.4771763782555,-1.52804971853604,-1.40614330312224,1.12963279232072,-1.64300445382103,-1.54769489305547,-1.60673446790223,-1.59905338825392,-1.60898105607277,-1.45840864933353,-1.49055271058899,-1.11689775040537,-1.4840354231186,-1.52151372482861,-1.47497776110486,-1.77950369043698,-1.59704916073709
"VU393-GBM-vIII",-1.23868806895432,0.494580006583726,-1.11775648171257,-1.17827195406901,-1.37512747312482,-1.27628560987508,-1.39006905844179,-1.29972593569487,-1.3601118351079,-1.10836667475313,-1.21438927714467,-0.68836362832549,-1.01968537972306,-1.2427875547045,-1.17512209934682,-1.49242328767214,-1.34437113070801
"VU394Platelet-hiseq",-1.47248986926033,0.822215933843477,-1.39503252040754,-1.48868607268764,-1.63674558109275,-1.53967236118283,-1.60308044821788,-1.58869801752585,-1.60298714194186,-1.44621090066297,-1.48064363367377,-1.09691247360087,-1.46604747366043,-1.5118191294232,-1.46670134638586,-1.77353289588963,-1.59224545583654
"VU398-GBM",-1.0056377530758,-0.92318297181553,-0.76470062482031,-0.802000700856459,-1.10145926638413,-0.965266174375362,-1.17320829584875,-0.957783183374052,-1.08234561825054,-0.766487057015019,-0.87308321510295,-0.295568227745307,-0.672059506960491,-0.905201868729241,-0.847130312348497,-1.23782668957585,-1.11446557292701
"VU402-2-GBM",-1.46984815786715,-1.51388150373592,-1.38889225108481,-1.48119672208311,-1.63324840856016,-0.322834953918541,-1.60101780873898,-1.5829847767118,-1.59963787757765,-0.926544928470102,-1.47516329705794,-1.08591696712665,-1.45615053572695,-1.5064567056672,-1.46205995008909,-1.77019411692303,-1.58954123892165
