"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865"
"292-Liver-KRAS",-1.18438057412264,-0.487560609353846,-0.861435662921817,1.17475773173471,-0.983535217342697,-0.958490455797752,-0.583137374511651,-1.04676980378956,-0.697086802412199,-1.19842741887491,-1.00636717097032,-1.00875792710706,-0.255382102792173,-0.198758806309618,0.675607247925179,-0.522928808383613,-1.33592605519847,-0.358807891418809,-0.663607707584391,-1.08644923595613,-1.26636127917931,-0.85129044110449,-1.02597853766239,-1.07424268198392,-1.12597068277846,-1.09212258024682,-1.02837106041903,0.416873474173446,-0.504798607356662,-1.15493122075965,-1.21416835979661,-0.860452990292244,0.313796437776601,-1.094640363126,-0.905308242587171,-0.396908215550396,-1.09751253905509,-0.857472617760164,-1.29497525866902,-1.15415470701151,-0.857377718660774,-0.805922484816508,-0.969505149954595,-1.07858947744808,-0.889904083232734,-0.861997330103988,-1.10238527140207,-1.23270787381267,-0.930121259541263,-0.434116212709062,-0.854993768614551,-1.03965677656593,-0.710844887844961,-1.1590112172336,-1.28805621495504,-0.936587536705776,-1.14227316718616,-0.82996489246623,-1.12757214806571,-0.961256714600779,-0.901353556512056,-0.590926049606686,-0.458559003118414,-1.01623880840939,-1.0001438031582,-1.11318003339155,-1.09366294829974,-1.17425575357555,-1.02670736846127,-0.817264113922158,-0.872433466181844,0.491192845795725,-0.646385929100437,-0.545929904357281,-0.945239225147279,-1.13023167082581,-0.848394397926228,-1.00325371180777,-1.09794840981425,-1.03900571650803,-1.29607573549227,-0.997351971504948,-0.676676736046739,-0.896895238149541,-0.62991077209087,-0.986904176397004,-0.78339706165825,-0.766311924309006,-0.970450216512707,-1.0593206064309,-1.03699891201206,-1.09059108834941,-0.247183262900791,-1.02131381813514,-1.25624370452323,-0.0269944119037533,-1.10210934726509,-0.80993249215909,-1.04558097653142,-0.723404985016024,-1.10790603079011,-0.664645682712229,-1.16265501886166,0.127786429242167,-0.65852614491941,-1.11655007494008,-0.679840221630283,-0.928654898464444,-0.0464279937689596
"316-Liver-KRAS",-1.19409064051371,-0.514061895780741,-0.513165786868958,-0.79992126742499,-0.994252662551997,-0.971562401912134,-0.60227000785389,-1.06172882207173,-0.715358975257621,-1.20784019893592,-1.01926059923523,-1.0199216897928,1.02137641681529,-0.556678251903013,0.887053511765162,-0.545807256121159,-1.34758835047096,-1.31735307361075,-0.681905690373025,-1.09800543190119,-1.27754803170577,-0.863871767487956,-1.05248491729511,-1.08370356499024,-0.733090820102684,-1.10765913922098,-1.0456213486098,-0.718769845351159,-0.530169685479145,-1.16313266266274,-1.22061833644424,-0.878166802741545,-0.787032277375146,-1.10565910641452,-0.91622140614532,-0.1672266184264,-1.10759961089687,-0.869133102787337,-1.30436059433987,-1.16399087216246,-0.514886111615168,-0.821656756935865,-0.983992845850475,-1.08773171506602,-0.90524065435756,-0.876704963046614,-1.11342974753132,-1.24823337378036,-0.941707167552916,-0.461871481354694,-0.870306333152428,-1.05223320934097,-0.73758100903268,-1.17068377215233,-1.29608892495952,-0.948742889701954,-1.15275507390224,-0.842518120077565,-1.14014340833425,-0.35457703549394,-0.916090065155923,-0.611725908703565,-0.501588786658444,-1.03937503517545,-1.01131187516855,-1.12287513006349,-1.10216593241853,-1.18284023113891,-1.04154333716697,-0.830944189731329,-0.887210008412579,-0.46828785701021,-0.664272032106418,-0.961760950156035,-0.959778815360139,-1.13959350800866,-0.859136947250349,-1.02181747213484,-1.1096248847795,-1.05075656516924,-1.309353388735,-1.01011423755641,1.30415030223193,-0.909122653440565,-0.249673673986328,-0.996488943964615,-0.796905960304462,-0.779239551375009,-0.979982834857617,-1.06777351228261,-1.0532566472628,-1.09977807350961,-0.966968478642585,-1.03300901401681,-1.26445611964591,-0.818078191745651,-1.11525179116925,-0.821590408175598,-1.05902654393248,-0.738745872062094,-1.1182958294598,0.256076615793506,-1.1684751547003,-1.00079862494664,-1.05042477465206,-1.126179309173,-0.686569348950784,-0.943112855067344,-0.693396202633071
"341-Liver-WT",-1.18065841404296,-0.477627229687993,-0.855767590357665,-0.770330138011343,-0.979425909719663,-0.953508543525647,-0.575889645112969,-1.0411017020922,-0.690167284331688,-1.19481680404293,-1.00145978537577,-1.0044841273346,-0.236496608011423,-0.915628907758105,0.879764628737032,-0.514309580249895,-1.33112876068709,-1.30632775649447,0.496206268147972,-1.08203535201801,-1.2621156985589,-0.846479433836833,1.23587560127426,-1.07060721736881,-1.11960110218676,-1.08624654272356,-1.02186511609587,-0.694190164425796,-0.495283796054205,-1.15177137548054,-1.21167043094351,-0.853762937536117,-0.765711224903973,-1.0904261374865,-0.901121023934844,-1.29492555104649,-1.09364491187413,-0.85300417077908,-1.2913802133192,-1.15039312504198,-0.851916899846326,-0.79994424022728,-0.964016126676994,-1.07507338394871,-0.884088138535627,-0.856412117386537,-1.09816201774685,-1.22690171131794,-0.925699146902822,-0.423721838430113,-0.84918884824659,-1.03486217780268,-0.700912515413507,-1.15458138126782,-1.28496597624277,-0.931940750074593,-1.13826133072543,-0.825162842082543,-1.1227879432923,-0.956049237201344,-0.89577066084852,-0.583071395789631,-0.442788543926021,-1.00766594107214,-0.995867938681039,-1.10945928674762,-1.09038707710178,-1.17095317900656,-1.02108057579063,-0.406483917856098,-0.86681361988325,-0.438402027291349,-0.63960581759998,-0.943118730312433,-0.939717109946371,-1.12663645308266,-0.844267351866778,-0.996317291961738,-1.09349073468563,-1.0345162399693,-1.2910971451167,-0.992485262915785,0.85615287226143,-0.892218955646993,-0.62146901694886,-0.983217708481066,-0.378545260547115,-0.761366229577684,-0.966782515798759,-1.05606193162101,-1.03085379600876,-1.0870589702225,-0.946832321342978,-1.01684369493245,-1.25309439347095,-0.788167872809673,-1.09711130562003,-0.805461691395603,-1.04046641334689,-0.717563423770814,-1.10393181173802,-1.23816305303841,-1.16039425769399,0.0253606418260303,-1.03456616731375,-1.11285407555316,-0.677209433507824,-0.923157571357591,-0.633326874648581
"376-Liver-WT",-1.19253373448854,-0.509752467968288,-0.87393904697677,-0.796415994962374,-0.992534454054128,-0.969458876639999,-0.599179424403503,-1.05931298039105,-0.712406845467698,-1.20633158340812,-1.01718410799846,-1.0181302182384,-0.298448840900713,-0.935075112945308,0.34093253013792,0.360203283378655,-1.34570079936807,-1.31607687731944,-0.298454408360473,-1.0961483686798,-1.2757432435276,-0.861851359915831,-1.04815025563915,-1.08218886680487,-1.14017788793121,-1.10514715814481,-1.0428273930495,-0.715891513001784,-0.526045452859658,-1.16182174403391,-1.21959064392183,-0.875300162965479,-0.784543842875248,-1.10388987244634,-0.914472546111889,-0.621995501116464,-1.10598248682471,-0.0969742750840755,-1.30285509246958,-0.828108636489059,-0.869409551840975,-0.819119951449062,-0.981652956693048,-1.08626882064565,-0.902765038669688,-0.874332913417645,-1.1116561722904,-1.2457056698129,-0.939844471758398,-0.457355615647808,-0.867834072502545,-1.05020984786697,-0.733209303246296,-1.16880055826367,-1.2948038152608,-0.94679056222529,-1.15107280499133,-0.840502683908606,-1.13811869587235,-0.97273251214906,-0.913709866772358,-0.608359437305865,-0.494491589135364,-1.03558619987391,-1.0095198175671,-1.12132172751701,-1.10080677005423,-1.18146685267615,-1.03914876905523,-0.828744500474899,-0.884829085632021,-0.464779478878002,-0.661384056243324,-0.959588095760531,-0.957434087958279,-1.13809411271319,-0.857416780598774,-1.01879333314566,-1.10774793661236,-1.0488685348691,-1.30719524535429,-1.00806129720669,-0.692580282775615,-0.907159248150243,-0.648705150921165,-0.994955271161501,-0.794735065961601,-0.777164099081381,-0.978457834578847,-1.06642288567725,-1.05062706276511,-1.09830771647327,-0.964615950813034,-1.03113041769502,0.0760811130884558,-0.814539364325217,-1.11313415345575,-0.819721621532801,-1.05686037373647,-0.736275824246142,-1.11662771313234,-0.265550618505699,-1.16754951164043,0.151274414694037,-1.04857757013788,-0.792339891235238,-0.685503399827747,-0.940782928527041,6.04240436818137
"379-Liver-WT",-1.11415173242861,-0.420322020619436,-0.818113149414176,-0.724023741532662,-0.934035495714107,-0.0773381980407207,-0.533316001114277,-0.980611875041046,0.236830132470838,-1.127656017728,-0.129100299634538,-0.954740141477756,-0.131538847476094,-0.867772872345651,-0.318046914929071,-0.464155529311169,-1.28425494744216,-1.24631666085338,-0.615942031548122,-1.02198285989881,-1.21034353391537,-0.814141652097424,1.49787713597338,-1.01720369771577,-1.06572094886231,-1.01639605484173,-0.958754320872883,-0.654482810056528,-0.44034693224887,-1.0932349476717,-1.15312577577973,-0.814202378860189,-0.73095116825015,-1.03054645079796,-0.86489025029176,-1.23280376496951,-1.03606323534452,-0.821769301905266,-1.21360672323866,-1.10510286671013,-0.815613425088928,-0.764652915404737,-0.92899297377236,-1.02204198604629,-0.848701253780983,-0.822824615970575,-1.03728570886057,-1.18550028209389,-0.897341128932808,-0.363838042655129,-0.814567949911447,-0.978241047899473,-0.644502280029424,-1.11995330191943,-1.21373803385998,-0.889213616944159,-1.0741607609772,-0.795944586474313,-1.05742778545002,-0.907230230894111,-0.0204620409546826,0.0044721211217094,-0.355087416061638,-0.955322498545467,-0.94738558374122,-1.05092121052832,-1.03745495203715,-1.10889807423071,-0.961117681420814,-0.780986338305204,-0.827678613678474,-0.390425288692732,-0.599735250573585,-0.896171443672594,-0.896875413122745,-1.06759437513938,-0.815659147327243,-0.952811403635188,-1.0315612274093,-0.979665743181054,-1.25337275044603,-0.940651289817946,0.497773765766633,-0.854724310531637,-0.572454531510881,-0.939794786616573,-0.747484881129476,-0.731804837236514,-0.925725683501112,-1.00710362893734,-0.966810083111198,-0.597438055872007,-0.897396907585535,-0.964330549251632,-1.20540229109845,-0.741204832216022,-1.03131312400309,-0.778620663718978,-0.980990945936568,-0.682939615966182,-1.0548805026763,0.0951927701398314,-1.10931620072858,-0.945366263616621,-1.0027623463481,-1.05409933187006,-0.660833492280166,-0.877160674890835,-0.523270894041672
"Chol-410",-1.1882849811168,0.671657421587006,-0.867407946447237,1.1422439804736,-0.380007746767368,-0.963733285950866,-0.192955787955003,-1.0527542223674,-0.300512930208689,-1.20221339416908,-1.01153540832094,-1.01324425662721,1.29100935089702,-0.928072508082928,0.277225531444322,-0.112084931999643,-1.34058430789333,-0.396321554511887,-0.67092750505792,-1.09108862354558,-1.270839804334,-0.493514776558762,0.677861767590329,-1.07805090862027,-0.694766807714173,-1.09833299137088,-1.03525793164333,-0.708076753254798,0.21837887061845,-1.15823630122501,-1.21677346403471,-0.450983862757273,-0.777776381781459,-1.09906657071848,-0.562146072181609,-1.29987540492108,-1.10156895821064,-0.862160586338482,-1.29874790400203,-1.15810570467428,-0.8631272601586,-0.812224564021835,-0.975300745596614,-1.08227084421216,-0.896041695270978,-0.867886847560257,-1.1068214436575,-1.238883144554,-0.934771085672577,0.536981583373757,-0.861120865743101,-1.04470160608204,-0.72144693430729,-1.16368415360341,-1.29129122111046,-0.311745523812696,-1.14648508363833,-0.215805900380295,-1.13261103358192,-0.966740200800654,-0.907248480110452,-0.59923439126817,-0.475517363491126,-1.02540314211207,-1.00463205270689,-1.11708038774309,-1.09708947003353,-1.17771298980278,-1.03264502899489,-0.82275386947209,-0.878354519141696,-0.455266154469203,-0.65354248258047,-0.953674847584311,-0.951061820201842,-1.13399903857569,-0.852718064596992,-1.01063445212235,-1.10263509855074,-1.04372381126273,-1.30136315344818,-0.350446814548205,1.01526617752829,-0.901806818312473,-0.638857598668447,-0.990763806393818,-0.422634628211418,-0.156064620309507,-0.974289432354633,-0.735769532626553,-1.0434958538763,-1.09428993493533,-0.958221253177465,-1.02601044165173,0.0670147915671568,-0.804980888204813,-1.10737553700278,-0.467408009520978,-1.05096918519265,-0.729555395108159,-1.11207982968736,-0.693246161815092,-1.16500877436378,-0.655337821630508,-1.04354891337242,-1.12042417523546,-0.407245463184579,-0.934447686039396,5.73652618600714
"Chol-442",-1.14907183284685,-0.445194742501605,-0.836967361938562,1.24655798881836,-0.965666908311266,-0.936943309767423,-0.551949484861326,-1.02215179515706,0.156333298636716,-1.16204393787522,-0.985167212025325,-0.990200295060892,0.439552347078138,-0.895627914279113,-0.845922380393778,-0.486011179167223,-1.31142364252829,-0.212691844555021,-0.633771045097641,-1.06008793526831,-1.2439027088821,-0.830420042180619,0.347008526804221,-1.05240116769549,-1.09691304222242,-1.05921642959398,-0.47239167193308,-0.671866346477134,-0.464200751732366,-1.12596499305741,-1.18234236390054,-0.831743707728268,-0.746214468974441,-1.06785854091719,-0.887089496011249,-1.26167642722186,-0.637222417068938,-0.838051312748317,-1.24735378779797,-0.699954468448428,0.201010096508254,-0.780133670633041,-0.945886557209173,-0.637928182879691,-0.864858065309166,-0.837915451352681,-1.07458548166683,-1.20375135620592,0.0334461773680726,-0.389814417017321,0.380833493159859,-1.01794595220038,-0.668805422901376,-0.678555001758706,-1.24548872203317,-0.916435332725589,-1.11043383173498,-0.809126283062008,-1.09683224089538,-0.938755228247441,-0.8773318989719,0.27917813900389,1.46728526938751,0.193667430639165,-0.981575531389572,-1.08623159865797,-1.07103048808709,-1.14211517513001,-0.501460037045424,-0.794659364405788,-0.848170794719226,-0.411388933069347,-0.617194216701662,-0.452201307061613,-0.437550976347862,-1.10235622637325,-0.830416441185273,-0.973761505970464,-1.06973522741158,-1.01830085149889,-1.26943059982154,-0.976292829970744,0.167221987601832,-0.118183697173754,-0.593790994118143,-0.97082957195217,-0.308251821263304,-0.301485427718473,-0.954452270726971,-1.04080678716695,-0.49150322704356,-1.06743387493757,-0.928460919900546,-1.00193130450186,-1.23910853336119,0.114695688089241,-1.07133175742139,-0.790487663042821,-1.02170180943282,-0.698156557748026,-1.08933216378641,-1.20513613363429,-1.1375697273861,-0.257475341074931,-0.571358712334768,-1.08928931530661,-0.668196250058897,-0.904926914430964,-0.581644634195183
"Chol-460",-1.17996455020997,-0.475788499590411,-0.426810652987536,-0.768839619118337,-0.978659806540344,-0.952581555538975,-0.574543600164778,-1.04004899383888,-0.688882343441802,-1.19414358902586,-1.00054705218367,-1.00368775728024,-0.233025611998442,-0.914504553715394,0.478548380198447,-0.512711575131297,-1.32997872377731,-1.30558768916894,-0.65538718603777,-1.08121349078907,-1.26132679505385,-0.845583279044918,-1.01431734119737,-1.06992897775159,-1.11842147037266,-1.08515586368734,-1.02065857735057,-0.692935391206936,-0.493522261271967,-1.15118136576063,-1.21120322923636,-0.852521685559564,-0.764618602317675,-1.08964111624005,-0.900340219209218,-1.29446564497119,-1.09292386972875,-0.852171252319424,-1.29071020884522,-1.14969244105649,-0.850901071172393,-0.7988329351556,-0.962996696638695,-1.07441722892221,-0.883007671061636,-0.855374052032899,-1.09737536396822,-1.22582785482255,-0.92487592658965,0.829575970313712,-0.848110538706472,-1.03396995917269,-0.699079151233687,-1.15375824129493,-1.28438924569611,-0.931075270197249,-1.13751383705866,-0.824268247271194,-1.12189816541402,-0.955080609202431,-0.894733814804612,-0.581614075370495,-0.439889403041389,-1.00608488278111,-0.995071158450018,-1.1087654227429,-1.08977541025134,-1.17033681285676,-1.0200352244318,-0.81107205181476,-0.865768619386079,-0.436880627451864,-0.638346357282582,-0.942161932539227,-0.938690738352866,-1.12596585600961,-0.843497446329883,-0.995034699603115,-1.09266084883818,-1.03368022606581,-1.29017560177686,-0.991579547106742,0.864381000938758,-0.891347862866575,0.167198288981971,-0.982529744690547,-0.777276365526324,-0.760444844840448,-0.966097975613482,-1.05545334737731,-1.02971338140174,-1.08639989676822,-0.945801687681595,-1.01601116960114,-1.25250723893529,-0.786659153068496,-1.09618196701542,-0.80462813104652,-1.03951533003669,-0.716476760620125,-1.10319146358206,-1.2376652629271,-1.15997099929619,-0.344975146290121,-1.03375162338299,-1.11216479479451,-0.676715863517039,-0.92213543864077,1.6120097972999
"Chol-611",-1.20287386536375,0.478672103580011,-0.56917595206174,-0.456392495506366,-1.00394464292707,-0.98348621417897,-0.290630445837818,-1.07548795236271,-0.732183755480802,-1.2163464046878,-1.03104376799394,-1.03003946137248,0.108370933207367,-0.95234125569188,-0.0184628167157938,-0.56703715931505,-1.35836905072,-0.546185448638856,-0.698741926839202,-1.10851283511486,-1.28781253444205,-0.875293694812563,-0.0863400749858855,-1.09223238609782,-1.15873849144111,-1.12198742800565,-1.06159599505444,-0.73516299228527,-0.553872816821254,-1.1704984335076,-1.22636924233169,-0.298964135857099,-0.801160813439501,-1.11565873092754,-0.643937785861494,0.202925677895481,-1.11672101703619,-0.879686698597684,-1.312858501716,-1.17291863264915,-0.884816490903223,-0.836073787839349,-0.673426761534236,-1.0959631016388,-0.167435420415914,-0.890191292821915,-1.12345543924904,-1.26278581880335,-0.952253306775124,-0.487858884230795,-0.884382514426058,-1.06369914828071,-0.762907716077308,-1.18139490733312,-1.30331794950229,-0.959782135872404,-1.16225741795027,-0.853908599738637,-1.15163310774295,-0.987431014484959,-0.929648997938016,-0.630958753985117,-0.543225555837899,-1.06136695222287,-1.02143220018212,-1.13163063263958,-1.10980317178357,-1.19056587452369,-1.05517072719441,-0.539191337015887,-0.900729772110675,-0.488317992979998,0.482642482021798,-0.658887578451685,-0.648411203686642,-1.14804012866277,-0.868825096897497,-0.424081161883947,-1.12024889595677,-1.06143697549757,-1.3217495273981,-1.02174553769522,0.460428011408778,-0.920220965283148,-0.31397588410708,-1.00511848277654,-0.809190207599398,-0.499263084829281,-0.98856121724258,-1.07535899195351,-1.06826369610969,-1.10805363500929,-0.980336984022974,-1.04363245419783,0.128159196415691,-0.468400906626691,-1.12727584693311,-0.33636098070225,-1.0713240354477,-0.441546456796801,-1.12772307146286,0.301463811090269,-1.1736430159222,0.356361853116816,-1.06089268864279,-1.13487355774258,-0.692490282387928,-0.956345365727167,6.08218197811814
"Chol-ALK-28",-1.09025714000849,-0.402765869692374,-0.788322206992084,1.27807508133905,-0.908299874597596,-0.881743130832771,-0.520028087129605,-0.951410043165908,-0.636888120655757,-1.10412557748722,-0.931391308440132,-0.450297314416055,1.59033774018337,-0.837453587308016,-0.816633753767201,0.781737387026157,-1.25606182258069,0.150264131126186,-0.603227596060177,-0.995908901514183,-1.18323653092735,-0.786172142113081,-0.892737999202808,-0.993119311092831,-0.469652184326052,-0.987095583487762,-0.927866014812449,-0.642079499401623,1.2239670976184,-1.07083893262545,-1.13313389555339,-0.787245089670298,-0.708934363685172,-1.00501510423642,-0.838646417196583,-1.21304722107815,-1.0114260041921,-0.794615302051269,-1.19051479786152,-1.07960453779943,-0.786246639257624,0.160336976329596,-0.904758920263981,-0.998309451656887,-0.822577415594185,-0.804318140113467,-1.01176279060162,-0.598557173513296,-0.883140940685886,-0.34551513147063,-0.259114920690225,-0.451507230148434,-0.00749905418512414,-1.09178087543497,-1.19201215839369,-0.861980508370606,-1.04934037869873,-0.767892856787676,-1.03046470713333,-0.878817368623097,-0.848537151644449,0.0477060807279103,1.31727651964315,-0.938009612321574,-0.921299189742556,-1.02675955800015,-1.01448039756589,-1.08616878428422,-0.932086068855032,-0.753568410733496,-0.79804321100163,0.545453750645563,-0.587277799894805,-0.867860061235118,-0.867372259800268,-1.04380806705167,0.010939176399942,-0.937922431049195,-1.00544010633075,-0.953229101954221,-1.23466374350284,-0.913159029994182,1.05739972368309,-0.827243633635213,-0.557342526841277,-0.462453192844938,-0.724486729392622,-0.711536281341084,-0.449377419215029,-0.984041747112195,-0.936761797393263,-1.00898780400886,-0.868230186543115,-0.937868088480381,-1.18165174812554,-0.125765854656982,-1.00392978537325,-0.752910774748068,-0.953133938692511,0.21743215544735,-1.0292089208011,-1.15478943476122,-1.08998330947608,-0.463866577692544,-0.48298864889095,-1.03002006802442,-0.232218263140752,0.0366781706926825,-0.481967990045717
