"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865"
"3-Breast-Her2-ampl",-1.5350623535118,-0.415044093109374,-1.502482484121,-0.93134091030978,-1.22023483904396,-1.36697907949201,-0.67913671655896,-0.398962796315738,-1.25658824548749,-1.30412624411869,-1.69787910405881,-1.15448547245884,-1.50888273077623,0.0497349050399456,-1.65418923329271,-0.48897966568807,-1.35023275717857,-0.633102561185754,-1.16722831121805,-1.50728118350391,-1.49605993115641,-1.64430401895641,-1.64448313122325,-1.03691681262043,-1.62581665040249,-1.01049349649313,-1.60100454763975,-1.46569891727022,-0.990387661373018,-1.32357357672538,-1.35496503583752,-1.13403992890662,-1.4969078960931,-1.25636886525508,-0.556591818225914,-1.1138257965594,-1.62231701780672,-0.901328423469068,-1.12314807886684,-1.41950483360302,-1.60338862250838,-1.45448776537487,-0.999942098518128,-1.47803697421938,-1.01069144245402,-1.45271038553715,-1.5908312504589,-1.05917565874169,-1.48270565661192,-1.49898591472415,-1.29470718329003,-0.0786548734711185,-1.44891905143982,-1.41049314895418,-1.75764602970987,-0.759552517651022,-1.57845563403965,1.02772973041975,-1.2892164151062,-1.3799741465992,-1.47398322887084,-0.899672572537188,-1.22775262217947,-1.4477388832573,-1.52158057188698,-1.54080496050085,-1.54530251770441,-1.47211929948895,-1.45751598541337,-1.40530406155517,-1.32167264615226,-0.722525238051561,-1.38038371468916,-1.15436763285316,-1.36711438423147,-1.69818238014536,-1.457059292233,-1.55659984441837,-1.4479959971804,-1.05674643603169,0.0468981745835961,-1.67041533834634,-1.27240241779506,-1.62776089295835,-1.11566210830567,-1.13512025486137,-1.62122178354711,-1.10981828813135,-1.4067920315372,-1.42942506295353,-1.14360793643677,-1.57729147529585,-1.29867109240927,-1.21688341917403,-1.05390540686573,-1.38925622988221,-1.82457852565216,-1.23910870684285,-1.7063808893456,-0.692823181089487,-1.78158912661429,-1.19324514255079,-1.47238370553999,-1.51332394935152,-1.11628464887603,-1.36628704229324,-0.481691401601712,-1.11531056353265,-1.38259181148955,-1.27777913203261,-1.72312640300535,-1.18334366492366,-1.46203811810203,-0.920335179803069,-1.54218188583937,-1.5684454056666,-0.411693389254044,-1.15514759318287,-1.796828625569,-1.91377693818328,-1.40958082252386,-1.40099991294726,-1.32718240492061,-1.43238397047143,-1.43531305088224,-0.803000047751919,-1.65719501384682,-1.80479685269417,-1.46661788324225,-0.358911594539426,-1.43286157562414,-1.58531021713824,-1.73324743561661,-1.70240803721994,0.48666077408623
"8-Breast-WT",-1.53118992866387,-0.962070790544483,-1.49826900828725,-1.33695113115171,-1.21482144481824,-1.36282812634619,-1.13498392991907,-0.0616460676274475,-1.2509835007957,-1.30026830828857,-1.69329109416071,-1.14146161760395,-1.50433638671941,-0.0575497452412809,-1.65055841187299,-1.02993968370043,-1.34561763568202,0.586133415545953,-1.16182419357155,-1.50300718683171,-1.49356621884595,-1.64017477245041,-1.64089787456392,-1.02146673791493,-1.62265240131513,-1.00000974353141,-1.09534700960584,-1.46061500698033,-0.981730937270654,-1.31831135242633,-1.35057155360314,-0.0271848181337794,-0.681226551903339,-1.25199628740296,-0.528375225726874,-1.07481642685436,-1.6159740997767,-0.877836665878802,-1.11590859303283,-1.41275850170026,-1.59901794429826,-1.45026355038245,-0.987086170986305,-1.47213164392625,-0.99888886760302,-1.44928799172589,-1.58765406121699,-1.0513308817088,-1.47859187486346,-1.49603742983639,-1.29052859187886,-0.625439926064258,-1.44020944674635,-1.40550969221611,-1.7530321081392,-0.321870112326255,-1.57347201249593,0.180921702325202,-1.28322719854637,-1.3747967310909,-1.47106577199062,-1.44204587192381,-1.22084235435964,-1.44437827783077,-1.51627629251347,-1.53392631383133,-1.54170854861259,-1.19598428040135,-1.45345059810789,-1.40152902251441,-1.31593346014213,-0.698700209793036,-1.37623880207235,-1.14236589806027,-1.08920979829484,-1.6940996308503,-1.45429164822998,-1.55255802469612,-1.44230993749435,-1.04838789116837,-0.833481235210237,-1.66192782644516,-1.26759659340212,-1.62562383505785,0.259410112865531,-1.1297769907385,-1.61808479219627,-1.05510299375782,-1.40312466150711,-1.42372656582835,-1.13686682454514,-1.5719670267543,-1.29428133437218,-1.2091303560889,-1.04573543931553,-1.38416225071951,-1.81981057032853,-1.23313443996309,-1.70286724334175,-1.11248852902933,-1.7771869553861,-1.18807023597524,-1.4667633582857,-1.49619522635291,-1.11100803924172,-0.785597439345776,-1.255761411295,-1.10934978137265,-1.37990461418087,-1.27471640805381,-1.71965477926545,-1.17573811765713,-1.4575081609243,-0.910010780536799,-1.5388447937511,-1.55851373173271,-0.353489454328218,-1.63352994775533,-1.7931326791802,-1.90883959687059,-1.40365133325478,-1.15409124484864,-1.32098016619589,-1.42990822818412,-1.43125834022873,-1.35968290077645,-1.65447945717915,-1.80023599477648,-1.46230865577783,-0.913528253809127,-1.42709966097006,-1.58274172798072,-1.72863109882665,-1.69676352584644,-0.950635978415947
"10-Breast-Her2-ampl",-1.52968128381932,0.279895078766218,-1.49663317501933,-1.33528689608943,-1.21271557183071,-1.36120892379808,-1.13228598030718,-1.72976031256273,-0.965431227124592,-1.29876126229162,-1.69151703008743,-1.13650950103984,-1.50256715446113,0.313143186490267,-1.64914437118772,-1.02530462943421,-1.34381984145868,-0.0997856811328905,-1.15972101176865,-1.50134243520956,-1.49258969396724,-1.6385686510744,-1.63950498451793,-1.0155941985572,-1.62141528882886,-0.995983727515859,-1.59380325308938,-1.45863988048893,0.435151835625996,-1.31626543574439,-1.34886693476042,-1.11969699649636,-1.4893785995482,-1.25029235213086,-0.51772814501711,-1.06033016177327,-1.61353678781152,-0.868919421100533,-1.11310622266395,-1.41015190509286,-1.59732308889872,-1.44861724616186,-0.982171865475595,-0.80172529933631,-0.994369826775028,-1.44795076517664,-1.58641250681864,-0.337810605580298,-1.47698919240637,-1.49488331914882,-1.28889790768822,0.389262275766199,-1.43688284385949,-1.40357464974743,-1.75124494726883,-1.02219931208788,-1.57153651360605,-1.0723118262384,-1.28091124370195,-1.37279261502138,-1.46992348164417,-1.4383339332364,-1.21816889662767,-1.44306448993259,-1.51422467895519,-1.53128955113423,-1.5403093945867,-1.46554023390422,-1.45186900315944,-1.40005767336489,-1.3137047458394,-0.689697931574176,-1.37462213376293,-1.13778258249331,-1.3603805776879,-1.69251094391495,-1.45320724756233,-1.55098418026079,-1.44010644710033,-1.04516464685006,-0.824306915410589,-1.65868279074249,-1.26572474855408,-1.62478630723007,-1.09613173586027,-1.12769816378614,-1.61686211263726,-1.57783932204305,-1.40169211160208,-1.42151544869249,-1.13425385165843,-1.56990691425295,-1.29256942542864,-1.20614105621795,-1.04257969378425,-1.38218255699958,-1.81796211446412,-1.23081440445209,-1.70150064344983,-1.11036104909715,-1.77547694927081,-1.1860553747816,-1.4645941656129,-1.4897204697858,-1.10895298525719,-1.36142288032046,-1.25412543072645,-1.10703255167428,-1.37885091476603,-1.27351647650318,-1.71830609708141,-1.17280076143185,-1.45575476202729,-0.906033557760564,-1.53754092941849,-1.55473860097672,-0.332058487073709,-1.63141498628739,-1.79169332640651,-1.90693330771678,-1.4013531384189,-1.39586673814155,-1.31857489516154,-1.42893686621596,-1.16635893537696,-1.35792429236723,-1.65341839048716,-1.79846523929061,-1.46062982291573,-1.19166623188902,-1.42486705330754,-1.5817353247952,-1.72683825386594,-1.69457837383777,-0.942737026750468
"Breast-100",-1.37204757436797,0.734894285444905,-1.35672322510558,-1.17957279301691,0.502125965162041,-1.20523150323117,-0.979093488690349,-1.57290015502181,-1.12043658093149,-1.15340345972544,-1.5302934045496,-0.985763597975439,-1.32731807861721,-0.874262093897952,-1.48804593535699,-0.85690118054918,-1.18185668919927,-0.998046390219903,-1.00466730657985,-1.33104503251025,-1.37188465268896,-1.46524326868969,-1.49889928095614,-0.829521729879631,-1.46378007326664,-0.841880336451477,-1.43023425136317,-1.28107472444783,-0.816736198169362,-1.14884392069224,-1.23641646178004,-0.919042066600773,-1.31790882281989,-1.11300746736014,-0.244037857178026,-0.640219842888173,-1.44637992804798,-0.538368918760259,-0.951868321840648,-1.22351334834687,-1.44156287017479,-1.28369977860786,-0.811900491303834,-1.3463623871573,-0.834076974632555,-1.30032322676123,-1.43194739248366,-0.907615430422256,-1.31599045940263,-1.35100891994116,-1.13908395809424,-0.443123617371572,-1.28503655360931,-1.24468027283831,-1.56794803874813,-0.87036681256971,-1.38312878453639,-0.759668044951118,-1.14510825501503,-1.24121553444269,-0.616849225409887,-1.26493230823065,-1.05266541636077,-1.29459834948998,-1.35441373240327,-1.38547236183308,-1.40009378697836,-1.31978705697382,-1.30933201316892,-1.26429758951075,-1.13802925523509,-0.455710887085293,-1.21785669224894,-0.960991058150757,-1.1959991474026,-1.51139937409608,-1.31640735999407,-1.38624449416104,-1.26258980920342,-0.90337459926427,0.170457401964495,-1.44570045391327,-1.10970461907861,-1.16742860721437,-0.910174586013197,-0.985859707634333,-1.4788838209487,-1.38720133865354,-1.25059719912445,-1.23583824244902,-0.972864463587277,-1.39596525462976,-1.13885129424186,-1.04806058722872,-0.887563521999639,-1.21428435762517,-1.61508801766994,-1.06080295759075,-1.54701437046714,-0.959842894762561,-1.58130281683843,-1.03150078810747,-1.32124110324481,-1.18512472734639,-0.961262294430673,-1.21686865577424,-1.10721039999036,-0.95061492023518,-1.2494049879959,-1.14520993011639,-1.57075143167306,-1.00948546549307,-1.33654156631428,1.0719569653589,-1.38220650784808,-1.36860833789546,1.80153346463266,-1.43748909790308,-1.61046556323879,-1.70599842311672,-1.21983132159813,-1.25561476778226,-1.13631575815675,-1.30043859970051,-1.2904250167684,-1.20799118081642,-1.51518339462677,-1.59920290500635,-1.2930580236114,-1.03902525097587,-1.24819872956867,-1.44061037039949,-1.53203226996817,-1.48487248655212,-0.697664240642307
"15-Breast-Her2-ampl",-1.51953487603709,-0.924519675529417,-1.48571106403853,-1.3240681034215,-1.19859563147991,-1.3502896577175,-1.11438415094662,-1.71506516777514,-1.23439166261841,-1.28856738127303,-1.67865814822826,0.709645493528629,-1.49069628510876,-0.984828761113001,-1.63935214006002,-0.995263229205511,-1.33173133501692,-1.11605928955487,-1.14560597525908,-1.49015126562383,-1.48594944842809,-1.62767136811311,-1.63000222781498,1.09732983464226,-1.61303339052215,-0.969688338560294,-1.58053067242212,-1.44543355060205,-0.956269705127358,-1.30256400691015,-1.33750093971035,-1.09360569534397,-1.47541308237378,-1.23882553200969,-0.450433945618146,4.12784856205754,-1.59760605926308,4.50578849493432,-1.09450661961607,-1.39291990959811,-1.5860350353685,-1.43753652175136,-0.950364257210433,-1.45498205069571,-0.965027373484916,-1.43890115368948,-1.57800864978613,-1.02829050338183,-1.46621022377304,-1.48704319909893,-1.27789098683203,1.30495845987665,-1.41540043130965,-1.39065051858996,-1.737465386356,-1.00127062389167,-1.55860506309813,-0.0552187140088401,-1.26557498240985,-1.35949367524531,-1.46215887321445,-1.41443213562541,-1.20044571731466,-1.43416339270943,-1.5006327086033,-1.51414070812335,-1.53091352605129,-1.45330481775747,-1.44126311285514,-1.39015252202178,-1.29881606111805,-0.632677262198029,-1.36372252443036,-1.10817863422512,-1.34772816398337,-1.67707323356145,-1.44582485120516,-1.54041068072932,-1.42545001682862,-1.02393704648828,-0.766668793012249,-1.63722588610736,-1.25314133874362,-1.61907525779842,-1.06160729339208,-1.11375566922447,-1.60863109687904,-1.5641079116861,-1.39200314170166,-1.40676983009906,-1.11686331404059,-1.55624914559071,-1.28103116753007,-1.18646173906252,-1.02172610943519,-1.36893609628277,-1.78847013289566,-1.21531474240102,-1.69127744209556,-1.09607655165431,-1.74818911354224,-1.17252072666407,-1.45028718089681,-1.44871149248368,-1.09513962671341,-1.35215835372638,-1.24307745480984,-1.09151706954994,-1.08685738396116,-1.26534857795242,-1.70790983825664,-0.490278929315516,-1.44412184218391,-0.879891501009763,-1.52871782499288,-1.53058995312027,1.33224779228268,-1.61737726852902,-1.7645111515989,-1.89007213160177,-1.38606163538491,-1.38614744362812,-1.30255191866281,-1.42230431030256,-1.41909831176682,-1.34612454542598,-1.64590509798721,-1.76814352692978,-1.44933878312521,-1.17630107401296,-1.41002069455714,-1.57488355124229,-1.70390822229979,-1.67251391298738,-0.892659651983651
"16-Breast-WT",-1.5245229576292,-0.940231982921903,-1.49106342551115,-1.32958899345089,-0.882553992608106,-1.35566401219733,-1.12313325934482,0.0320719689853368,-0.389937075929918,-1.29359140456851,-1.68550608076052,-1.12005628637503,-1.49652605230824,-0.995120407269491,-1.64431154208652,-1.0097954233306,-1.33767363535893,-1.12821922541093,-1.1525387422446,-1.49565182782869,-1.48922963307572,-1.63308780636962,-1.63475854425908,-0.996088129301792,-1.61716726693966,-0.982451309092476,-1.58700730133434,-1.45190932110112,-0.967062383142632,-1.30928728513702,-1.34306751752879,-1.10628483720982,-1.48224204107493,-1.24446431923204,-0.482637967853558,-1.01342503096961,-1.60534011721448,-0.839343113644418,-1.10359781314165,-1.40132788357358,-1.59156067187084,-1.44298573674181,-0.965741745219228,0.0174407346789685,-0.979232721213684,-1.44336216208941,-1.5821516750873,-1.03805098913891,-1.47150930157713,-1.49091440874709,-1.28331070703815,-0.599215641767877,-1.03690779527156,-1.39698492380882,-1.74517703780224,-1.01148148047516,-1.56494385586685,-1.04361723685212,-1.27306347979693,-0.33155039727454,-1.46599383586251,-1.42596012966691,-0.0222013338397289,-1.43855336490887,-1.50727073340228,-1.52244778602974,-1.53552960392323,-1.45929292730973,-1.44647042216926,-1.39502410155767,-1.3061140011316,-0.659988215833496,-1.36908664906541,-1.12247733440231,-1.35394111660433,-1.68708697816918,-1.449473483273,-1.54560625721586,-1.43262045426425,-1.03427763449666,-0.794175863412895,-1.64783359371621,-1.25932629957319,-1.62190168795934,-1.07823131224963,-1.12060177383759,-1.61267925257642,-1.57082878482754,-1.10512918726625,-1.41399212224963,-1.12537378937245,-1.56292133367519,-1.28670887079711,-1.1960463570284,-1.03189960958168,-1.37543364703886,-1.81167959266355,-1.22291240528745,-1.6968374466406,-1.10309394514837,-1.76965116087784,-1.1791710743032,-1.45726068818288,-1.46834951288273,-1.1019288255823,-1.3567279228333,-1.24851854174442,-0.346822830242033,-1.37521935315139,-1.26938523676239,-1.71371057120246,-1.16286153576005,-1.44980658779904,-0.89261551497596,-1.53306699415505,-1.54220286143322,2.04691043501454,-1.62423852495983,-1.7867743621974,-1.89939160989272,-1.39354388124556,-1.39093209540669,-1.31039617904851,-1.42558661931407,-1.42429471954919,-1.35191950434681,-1.6497773155586,-1.79243630422044,-1.13819886954726,-0.157950696476483,-1.41728325797091,-1.57826999883101,-1.7207317205846,-1.68716418538142,-0.916652769923723
"21-Breast-WT",-1.52966840348941,-0.956996773798793,-1.49661922232906,-1.33527268303572,-1.21269759994056,-1.36119509465035,-1.13226298792908,-1.72974119694357,-1.24879430507858,-1.29874838588654,-1.69150191544243,-1.13646750422442,-1.50255205402791,-1.00592464942442,-1.64913229971385,-1.02526525607007,-1.34380449291868,-1.14114994292663,-1.15970306064216,-1.50132822292071,-1.49258134463865,-1.63855494469956,-1.63949310173079,-1.01554440000938,-1.62140471633069,-0.995949491299303,-1.59378615513824,-1.45862303059813,-0.978357706004639,-1.31624797829477,-1.34885239799288,-1.11966310674591,-1.48936068235004,-1.25027780338213,-0.517638031733319,-1.06020807807249,-1.61351605854601,-0.868843830464945,-1.11308233956186,-1.41012970211483,-1.59730863757878,-1.4486031890954,-0.982130128137994,0.205783028862459,-0.994331429300452,-1.44793933897711,-1.5864018977967,-1.0482755540122,-1.47697550919376,-1.4948734526808,-1.28888397878823,-0.619360148098904,-1.43685459818714,-1.40355814430094,-1.75122971372029,-1.02217234025952,-1.57152000340107,6.34698009726756,-1.28089151194295,0.416327823297286,-1.46991371544313,-1.43830242868226,-1.21814611571215,-1.44305326232172,-1.5142071981943,-1.53126714066365,-1.54029745145816,-1.46552456303018,-1.45185550530295,-1.40004510988771,-1.31368573490263,-0.689621712961972,-1.37460832668715,-1.13774366694225,-1.36036447959751,-1.69249738479137,-1.45319797444566,-1.55097074518534,-1.44008766224594,-1.04513720584965,-0.824229329826324,-1.65865522989052,-1.26570876835855,-1.62477914472624,-1.09608607610121,-1.12768042211619,-1.61685167246968,-1.57782173855849,-1.14483650418585,-1.42149659216523,-1.13423157435544,-1.5698893594245,-1.29255480556047,-1.20611560806398,-1.0425528150865,-1.38216566655841,-1.81794635461677,-0.251202027032666,-1.70148898128584,-1.11034288952238,-1.77546236183087,-1.18603817538654,0.396139357637387,-1.48966564685078,-1.10893544132692,-1.36141119603989,-1.25411145570848,-0.0428506204445872,-1.37884190220497,-0.865675557706728,-1.71829459158385,-1.17277574379991,-1.45573981921871,-0.905999707208495,-1.53752978838177,-1.55470658925186,3.68072543028667,-1.63139696119545,-1.7916810390163,-1.906917073315,-1.40133354532348,-1.3958544332996,-1.31855438594569,-1.4289285565138,-1.16625821144609,-1.35790928268058,-1.65340932393771,-1.79845013578879,-1.46061548954786,-1.19164658945804,-1.42484802088283,-1.58172671858933,-1.72682296060625,-1.69455975074007,-0.94267013873368
"33-Breast-Her2-ampl",-1.52633964520612,-0.946083718362671,-1.49302091815111,-1.33159704488575,-1.20805711799299,-0.674737942051615,-1.12634422640897,-1.72484698746708,0.0334970129506157,-1.29541514264704,-1.6876134952964,1.21237366771755,-1.49865219721791,0.13831127349014,-1.6460132361652,-1.01519947476886,-1.33983810754444,-1.13273806865088,-1.15506669613806,-1.49765571365402,-1.49041672552339,-1.63501619064346,-1.63642735594872,-1.00286030212709,-1.61866652591079,-0.987177117664677,-1.58938909320969,-1.45427575253955,-0.971031031466074,-1.31174188984555,-1.34510493399056,-1.1109724065011,-1.48474661547575,-1.24651722602617,-0.494775291343411,-0.40143428471503,-1.60820318021328,-0.849604312936114,-1.10693381717224,-1.40442024222042,-1.59358442721526,-1.44496950846796,-0.971464392171985,-1.46488468714343,-0.984509892896554,-1.44498108058865,-1.58365503882567,-1.04164232109296,-1.47343924524025,-1.49231621283162,-1.28528047796682,-0.60625705412788,-1.42964096947611,-1.39930110789254,-1.7473066206631,-1.01523723329626,-1.56726129116203,6.27708473231653,-1.27581504169731,-0.177127369660262,-1.46738201611321,-1.43026346884956,-1.21228332839854,-1.44014546515652,-1.50970922716434,-1.52553171588227,-1.53721224973115,-1.46148666087124,-0.380629177005413,-1.39679734383437,-1.30878218866937,-0.670270956761648,-1.37103753663929,-1.12780496775348,-1.3562072961747,-1.68899580082965,-1.45079304262685,-1.54749969796721,-1.43524853541722,-1.03808876467107,0.236104065631075,-1.65161220058497,-1.26157944746,-1.62292130574781,-1.08444947380022,-1.12309903310259,-1.61415279908169,-1.57329068961754,-1.39851152185272,-1.41663529731578,-1.12849182127377,-1.56537141236446,-1.28877414598249,-1.19957973480348,-1.0356419654965,-1.37780702442735,-1.81388561470304,-1.22569004751262,-1.69847810130719,-1.10565208668495,-1.77169922582514,-1.1815947867365,-1.4598289585717,-1.47574600564705,-0.80677317790792,-1.35838498349597,-1.25049552556026,-1.10190959966243,-1.37650341216214,-1.27084521728539,-1.71532627363176,-1.16634396601843,-1.4518932553941,-0.897310010644791,-1.53464541917768,-1.54655410069597,1.88801370389025,-1.62675639714759,-1.78850630623056,-1.90274435462392,-1.39628571584153,-1.39267155460293,-1.31326871347162,-1.42677164324533,-1.14050019424019,-1.3540328763467,-1.65106195123203,-1.7945551070316,-1.45691120250448,-1.18658220456581,-1.41994548085625,-1.57949470761521,-1.72287822206371,-1.68976537182369,-0.130608256725762
"42-Breast-Her2-ampl",-1.52505033261002,-0.941923358312781,-1.49163122222361,-1.33017206899573,-1.20626191709111,-1.35623151508252,-1.1240640117213,-1.72297548758252,-1.24219314873232,-1.29412115988423,-1.68611679628069,-1.12170582058339,-1.49714310021466,-0.0699965730036426,-1.64480549492974,-1.01135786741463,-1.3383019560174,0.17633770412316,-1.15327242527003,-1.49623351565479,-1.24280155069146,-1.63364739589893,-1.63524267905863,0.669855226730822,-1.61760284559226,-0.983818803374034,-1.58769743806284,-1.45259584320655,-0.968212327664136,-0.157936920331278,-1.34365840935103,-1.10764167419115,-1.48296813187537,-1.24506030860212,-0.486137727039864,2.66177851837057,-1.60616864713201,2.08272267805409,-1.10456483779896,-1.40222389000627,-1.59214752822072,-1.44356166359842,-0.96739605828187,-1.46298522752536,-0.980758782613825,-1.44383244677393,-1.582588401178,-0.26551793211221,-1.16588232520262,-1.49132179309282,-0.989924582257474,-0.601251991871668,-1.42689189793805,-1.07754387083334,-1.74579442033902,-1.012569679218,-1.56561610612761,-1.04647899464434,-1.27386088736483,-1.36668469683179,-1.46639728834247,-1.42720342197753,-1.21002549584376,-1.43901591667553,-0.356047886018828,-1.52333974245579,-1.53601798675178,-1.45992904048141,-1.44702171902977,-1.39553891997052,-1.30688799097021,-0.662953858275555,-1.36965313424554,-1.12401709993925,-1.35459878797101,-1.68764094046454,-1.44985705676567,-1.54615584791427,-1.09061976636777,0.0311434908869436,-0.797173668756085,-1.64892587951704,-1.25998034508893,-1.62219809140191,-1.0800270755388,-0.264754871020891,-1.61310706051612,-1.57154267604187,-1.39728160170427,-0.819559225881989,-1.12627790241405,-1.56363145883441,-1.28730855165373,-1.19706968086473,-1.03298390778229,-1.37612223969112,-1.81231925750343,-1.2237181518674,-1.69731353613541,-1.10383642628326,-1.77024529181035,-0.30330786474358,-1.45800464812187,-1.47048265504046,-1.10264679742364,-1.35720935679091,-1.24909270883129,-1.0999364930994,-1.37559267693015,-1.26980962293948,-1.71417929301362,0.204985763884581,-1.45041142997155,-0.520896921611876,-1.53352551115327,-0.514701547635936,2.84910114740191,-1.62496839154107,-1.7872770854691,-1.90042359848768,-1.39433888531717,-1.39143722450661,-1.31122918882336,-1.42593119845418,-1.42484479002636,-1.35253284773659,-1.65015049538431,-1.7930508794259,-1.14250794220605,-1.18462694051752,-1.418055128571,-1.57862600276572,-1.37381456722313,-1.68791819073264,-0.919257424893671
"Breast-454",-1.36096147130339,1.01730174723958,-1.34420310401905,-1.16814373114465,-1.03906170422826,-1.19398067977799,-0.964070989484753,-1.55802329369316,-1.10602259060093,-0.316659871745429,-1.51757747989513,-0.966161315075666,-1.31600391188701,-0.857522363570869,-1.47734623621016,-0.838190958625482,-1.17008095569851,-0.980088103353551,-0.991683134296134,-1.3199979261177,-1.36212753319525,-1.45422670229444,-1.48721240537244,-0.809284905417936,-1.45409142870708,-0.823979656177129,-1.41690762355675,-1.26897454262476,-0.800533977795318,-1.13629005213625,-1.2229594329915,-0.902348262322365,-1.30481594130479,-1.10065815543898,-0.230094669514589,-0.615702223146765,-1.43165429515757,-0.518316698415087,-0.936858369778708,-1.20944442248602,-1.4292056488787,-1.27257922117817,-0.792807840473909,-1.33122353622002,-0.815423182762655,-1.28993696613336,-1.42225670334529,-0.891466496903507,-1.30475652782244,-1.34151087781753,-1.12762738792718,-0.422756811472193,0.0368341723310437,-1.23192690511396,-1.55610425430038,-0.854233434317907,-1.37154777384277,-0.738498183597874,-1.13041321564589,-1.2272393734943,-1.31906876175046,-1.24756902007792,-1.03798106371292,-1.28445204885021,-1.34095885132328,-1.36979392361239,-1.38861786341493,-1.30672386646124,-1.29728079276609,-1.25260409898377,-1.12514227364617,-0.438709692989733,-1.20662509152926,-0.942433500093504,-1.18387519410381,-1.50091134494863,-1.3070654448663,-1.37516058813325,-1.24951898835373,-0.886798571337269,-0.575615433112451,-1.43008581046117,-1.09747396474065,-1.4938834106062,-0.890567791958134,-0.972462460122099,-1.46808507152428,-1.37506327319524,-1.23999550015328,-1.22324904775755,-0.958394235610591,-1.38293319629403,-1.12718836151542,-1.0322665788533,-0.871520103080013,-1.20185134336006,-1.60411201527582,-1.04749731554311,-1.53600261329065,-0.946675843084333,-1.57073803401881,-0.543113856906793,-1.30692224119035,-0.448578365702066,-0.948255225443375,-1.2063765489567,-1.0956635869909,-0.937006661194447,-1.24001321676446,-1.13503030242368,-1.55941633640979,-0.994050007587847,-1.32293759874594,-0.72308696999421,-1.37230452115828,-1.35142193580611,0.177878013469888,-1.42509223833803,-1.60071366498537,-1.69402264454357,-1.20669752081531,-1.24432158905966,-1.12304590167927,-1.29148155621286,-1.27829997159405,-1.19571101443498,-1.50539301627753,-1.58850807256483,-1.28188628941285,-1.02511299946539,-1.23501245420375,-1.43183003247734,-1.52115161562948,-1.472993794548,0.853042007399021
