"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU280-GBM",-1.40009356397153,-1.45931755412103,-1.32476646004515,-1.35299245360008,-1.00791069381082,-1.48607248698989,-1.54715141183572,-1.5193231783463,-1.54897547970522,-1.33769986542048,-0.779108509064725,-0.951540704810965,0.019550876000029,-1.44757454770477,-1.23587122848196,-1.66689050010689,-1.50262317025916
"VU284-GBM-vIII",-1.47966271351244,0.205411371081853,-1.38828762282748,-0.840374710808309,-1.63993799230416,-1.54025760924481,-1.61670639755991,-1.58440781785787,-1.60707891657299,-1.43810016519597,0.382687919570425,-1.0741348498995,0.298453791238226,-0.680536181044078,-1.37499199784551,-1.77719406617175,-1.59845906077235
"VU306-GBM-vIII",-1.48438000803506,-1.52611077461677,-1.39869578360569,-1.45006721109397,-1.64604692135439,-1.54796303759381,-1.62037483652846,-1.59409631287266,-1.61295176609366,-1.44951884610821,-1.48632194839199,-1.0923002512915,-1.48423608065172,0.655650299066612,-1.38718777805623,-1.78362383791862,-1.60328235250497
"VU360-GBM-WT",-1.11738268176228,-1.07781563564379,-0.929591222003791,-0.903037060976294,-1.23098040702787,-1.11171997842943,-1.28364993316901,-1.1178947251018,-1.21353204455037,-0.927469145551452,-1.03264390995157,-0.482595198069335,-0.858363269113591,-1.06287011077584,-0.841759215460499,-1.35871131612681,-1.22363873283154
"VU372-GBM-vIII",-1.4296749390747,-1.47578943507283,-1.34407456060459,-1.37931989135228,-1.59620627096011,-1.50179785202719,-1.57472281630296,-1.53687214533546,-1.57471105132902,-1.38062424352881,-1.43387719581197,-1.00060868843248,-1.31887110192236,-1.46474266774964,-1.27710903014968,-1.69913674393402,-1.53181462984148
"VU378-GBM",-1.49853875940539,-0.70617034187343,-1.43143668500805,1.31681815602597,-1.66477717674981,-0.601019445636193,-1.63134829829376,-1.62470335808121,-1.63095703549196,0.577820856257892,-1.51566388438457,-1.14999266535422,-1.53592404557003,-1.14806135361689,-1.42524275628208,-1.80151998496915,-1.61780641506745
"VU383Platelet-hiseq",-1.49435672246263,-1.545011735112,-1.42151610174846,1.18245908653151,-1.65918090995806,-1.56468901493794,-1.62811301031391,-1.61540861633195,-1.62557761606798,-1.47452782137752,-1.50678138571306,-1.1324143943196,-1.52017918598982,-1.53716938629485,-1.41376206641278,-1.79617810602763,-1.6135090136539
"VU393-GBM-vIII",-1.24719405526697,0.516301652151414,-1.12389666556632,-1.10964151523674,-1.38279483702524,-1.28361011909685,-1.40464099159216,-1.30629253858995,-1.36755644117176,-1.11583335984653,-1.22070286790239,-0.697919277048098,-1.04978381473016,-1.2489481716891,-1.02272225913685,-1.50021688126596,-1.35173904763338
"VU394Platelet-hiseq",-1.48934208321365,0.847887590241901,-1.40990286263626,-1.46480431051812,-1.65254208029472,-1.55620665215465,-1.62422702534504,-1.60455085505778,-1.61919575254308,-1.46180526982649,-1.49637400534955,-1.11194798098909,-1.50184879850463,-1.52698877152203,-1.4002670350954,-1.78983525985555,-1.60836432996343
"VU398-GBM",-1.00891771616439,-0.926031857068546,-0.767237703336703,-0.730407002309493,-1.10413060579427,-0.968095751285453,-1.18255485470852,-0.960477375550577,-1.08483568744594,-0.770079870083594,-0.875509693944105,-0.30267938493,-0.698420250759495,-0.907391049653741,-0.690554049249565,-1.24047517209452,-1.11660345646911
