"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865"
"292-Liver-KRAS",-1.20214566139805,-0.507771156077615,-0.881990835323867,1.18974096320017,-1.00223046589478,-0.98523210593735,-0.603583352216257,-1.07273261416779,-0.718337427475088,-1.21676899919165,-1.02910019420069,-1.02850113808462,-0.263775158950412,-0.198867440281079,0.687632282940558,-0.543468546089374,-1.35616431185904,-0.353875842917449,-0.684563291934205,-1.10737583240408,-1.28672821900668,-0.871593547095151,-1.04828745933278,-1.09371181755502,-1.14720129190958,-1.11470279751145,-1.05257045308779,0.421238516719831,-0.524280752414561,-1.17353665575441,-1.22964347862703,-0.884199124798879,0.317955108954236,-1.11534132918072,-0.924273577368057,-0.411017307431008,-1.11621147906943,-0.877526686047215,-1.31395165614235,-1.17548327121093,-0.878593035882457,-0.827112712206289,-0.993264606743137,-1.09748144033539,-0.914032491355961,-0.882192981758961,-1.12310397476611,-1.25392523974637,-0.948046829102585,-0.45347254901186,-0.875803059480732,-1.05924367468098,-0.729186302883378,-1.17881105680081,-1.30863895635884,-0.957534507928314,-1.16211924021079,-0.850511426382999,-1.15339130404327,-0.9827649504255,-0.921931987589108,-0.611667090164749,-0.470303201403168,-1.03631643358443,-1.02043955463453,-1.13203904102434,-1.1139709215933,-1.19333015795223,-1.04980479256035,-0.836702971746128,-0.89472662347639,0.491431577389841,-0.669042703737979,-0.553281585560838,-0.969518714006861,-1.15140207905025,-0.868768871803922,-1.0232068504775,-1.11904868733565,-1.06107694223129,-1.31645753338815,-1.01832630563811,-0.69683421828841,-0.916602310639626,-0.651645486010465,-1.00649453937138,-0.804396078727061,-0.786458896784585,-0.988765192917799,-1.07732428770417,-1.05926320301145,-1.10929081828368,-0.247698761038255,-1.04253480068192,-1.28017688009141,-0.0290919380080352,-1.1230121785672,-0.830839034443829,-1.06772409748798,-0.743956800716289,-1.13047937032778,-0.663277709012065,-1.17914280276167,0.128429189037494,-0.663858599356304,-1.13571872553923,-0.694347729845916,-0.948681692479728,-0.0589770791813391
"316-Liver-KRAS",-1.21243678106499,-0.535020034439687,-0.52248313607551,-0.819741337192101,-1.01356690657236,-0.998898567546726,-0.623480655742306,-1.08835845450782,-0.7373795045279,-1.22673729714486,-1.0426100836263,-1.040287997576,1.01950871488221,-0.565232100961474,0.906054053760359,-0.567104552427307,-1.36845521896345,-1.33705321576034,-0.703643120964098,-1.11957329221289,-1.29850603334777,-0.884821847496481,-1.07556528721819,-1.10373430903128,-0.74200600709124,-1.1309848248008,-1.07055909749658,-0.740457195598185,-0.550393024144327,-1.18226253543168,-1.23651455637315,-0.902600281156191,-0.80939432872668,-1.12696696373034,-0.93579560794662,-0.184947692302279,-1.12689675697354,-0.889821888520293,-1.32388105748728,-1.18582246973645,-0.524949732302679,-0.843569382989369,-1.00839068047712,-1.10715558483155,-0.930025193838957,-0.897590253998715,-1.13475688249283,-1.27020641808508,-0.960271056131184,-0.481947733511822,-0.89183821296486,-1.07249974320619,-0.756652582304209,-1.19114111914323,-1.31710936918639,-0.970347482236636,-1.1731848964978,-0.863726510355606,-1.16654841480694,-0.357471029573076,-0.937394983485145,-0.633245085688014,-0.513537788716553,-1.06023328910673,-1.03224802040452,-1.14230412025681,-1.12298669987,-1.20242787373813,-1.06536527871739,-0.851084778822911,-0.910215285691345,-0.488494487767822,-0.687645485830206,-0.982615057024475,-0.984697764308808,-1.16129276363619,-0.880102430253046,-1.04253845324134,-1.13136993453166,-1.07346441326864,-1.33043840765415,-1.03174811170701,1.32189515235084,-0.929496981600861,-0.261285837834494,-1.01662756321794,-0.818577908457,-0.800053992679295,-0.998871799319309,-1.08627650893747,-1.0762952556781,-1.11904215682279,-0.988859116849802,-1.05486127783182,-1.28880087688003,-0.8390754563309,-1.13685574543552,-0.843118403781741,-1.08185576608951,-0.760020451880322,-1.14140016917509,0.274907597180022,-1.18533908795022,-1.02529897325075,-1.06941026471997,-1.14590024128014,-0.701339998182992,-0.963864046659462,-0.716617891972376
"341-Liver-WT",-1.19820704140993,-0.497568510722618,-0.876058672317479,-0.789075609128845,-0.997890564956055,-0.980032338713477,-0.596056163424383,-1.06682194966386,-0.71113675238744,-1.21295135698747,-1.0239665751065,-1.02399593021478,-0.244927437251689,-0.935488891315096,0.891978924860912,-0.53457477897264,-1.35071235134843,-1.32519643827091,0.501499343009637,-1.10272469211883,-1.28226603991558,-0.866542874593148,1.2490473692862,-1.08986659148976,-1.1405516915549,-1.10855515367747,-1.04579719903074,-0.714837493987521,-0.514498541919248,-1.17018001071146,-1.22698621548518,-0.87726014384452,-0.787090822698356,-1.11090220137617,-0.919859445199323,-1.32383775364136,-1.11212098299446,-0.87282222906638,-1.31015437255052,-1.17153578965332,-0.872876075443452,-0.820869480109802,-0.987543143953732,-1.09376647108683,-0.907977433408912,-0.876354799128401,-1.11865531900822,-1.24784651119731,-0.943388278155582,-0.442818989949015,-0.869733583099811,-1.05419809216293,-0.718992628292544,-1.17413962064557,-1.30538532640366,-0.952644123778393,-1.15789078041522,-0.845463972619363,-1.14839270851281,-0.977299197199847,-0.916083053955837,-0.603529360858524,-0.454457465925339,-1.02746531403805,-1.01592577370245,-1.12810575220074,-1.11050289662751,-1.18983558686719,-1.04391308749188,-0.412645159292764,-0.888845285058132,-0.457579336483676,-0.662001085367339,-0.963051330881106,-0.963763075268401,-1.14760980828723,-0.864421385963958,-1.01599381976717,-1.11435265061204,-1.05635203712158,-1.31122418151725,-1.01321631045634,0.865988620109834,-0.911678502445274,-0.642922902497831,-1.00260314301206,-0.386634955565187,-0.781265667178824,-0.984882533810858,-1.07387823397911,-1.05283602598287,-1.10554759801218,-0.967717586187135,-1.0378310098538,-1.27687534064904,-0.808090709063167,-1.1177562881243,-0.826137096659555,-1.06235746327107,-0.737849089204427,-1.12630887967612,-1.25687754690749,-1.17673920122176,0.0251587895024593,-1.05267606037836,-1.13181686696698,-0.691615502072481,-0.942917963018906,-0.655740976090658
"376-Liver-WT",-1.2107850882665,-0.530586047207416,-0.895094553210832,-0.816104684633001,-1.011747717948,-0.996697087638653,-0.620263830752674,-1.08583224423178,-0.734300215548063,-1.22513808338578,-1.04043210518149,-1.03839468671328,-0.306740841779928,-0.955842009301764,0.349070840622991,0.358316184917231,-1.36646374126496,-1.33570303220174,-0.308474267586735,-1.11761117947856,-1.29660385268165,-0.882695530329427,-1.07110075828151,-1.10212814252931,-1.16205425217818,-1.12834956428271,-1.06764256357494,-0.737453181586339,-0.546145422891323,-1.18086644797881,-1.23541882173951,-0.899619556480147,-0.806787667502583,-1.12509841078072,-0.933947444825323,-0.636375454190595,-1.12518205204157,-0.0947176767874329,-1.32228668760253,-0.83859411781391,-0.8912064821207,-0.84091359995605,-1.00594518887611,-1.10560611547639,-0.927441094872393,-0.895104622003445,-1.13288371720685,-1.26755295303912,-0.958303857020357,-0.477311879108419,-0.88924680188116,-1.07036491372659,-0.752158720661825,-1.18914973299169,-1.31575295302422,-0.968287500570042,-1.17140717657814,-0.861602788200709,-1.16442709706929,-0.994827103725186,-0.934895005514473,-0.629749781579313,-0.506406842758316,-1.05631355681022,-1.03035131886835,-1.14065779259349,-1.12154418756451,-1.20097098726547,-1.0628511582454,-0.848770083461284,-0.90771715886384,-0.484861346084385,-0.684639089680149,-0.980331599709538,-0.982247447657503,-1.15970711296528,-0.878285923391493,-1.0393864168273,-1.12938731014113,-1.07147206490965,-1.32816355475724,-1.02958692684182,-0.713380320491618,-0.927424439092028,-0.671087486430819,-1.015004637522,-0.81629671847954,-0.797869347771204,-0.997253464024384,-1.08484479480906,-1.07353759984795,-1.11747996768959,-0.986385566846778,-1.0528792956379,0.0661707447238045,-0.835405153940373,-1.1346228254142,-0.841148136519651,-1.07957671608661,-0.757431645955978,-1.13964502215229,-0.255017737997061,-1.18435280039219,0.152055376613119,-1.06745828222463,-0.799888076356468,-0.700232012518109,-0.961415001662479,6.03556387507313
"379-Liver-WT",-1.12730169704655,-0.438816023823465,-0.834222310088786,-0.74123232819958,-0.948305316341898,-0.082558432196329,-0.551945673038087,-1.00214721848564,0.237801963451421,-1.14156717868602,-0.129792017117205,-0.970074509783415,-0.140109964338291,-0.883134939470826,-0.322228060524884,-0.482931392207891,-1.29957289951502,-1.26190797203746,-0.635038078504445,-1.0381577097084,-1.22636326257546,-0.830437400254896,1.50296204639523,-1.03235561140324,-1.08150831569595,-1.0338025854988,-0.978150063214158,-0.67359819118398,-0.458120489760717,-1.10733866957911,-1.1648119941085,-0.8358630770855,-0.750867876825438,-1.04679698525735,-0.879802450819134,-1.26003535350179,-1.05016321630151,-0.837676123151256,-1.22805747298452,-1.12314120881056,-0.832534196189813,-0.784113233456726,-0.950721964879591,-1.03696989840529,-0.870785515955438,-0.840960887571076,-1.05352907522686,-1.20439766265854,-0.913318505158578,-0.381542275159966,-0.83322831473921,-0.993052166292881,-0.661191092934769,-1.13471858750733,-1.23072177072195,-0.905652241685361,-1.08964302233079,-0.812255486160393,-1.07919799040777,-0.923994192197211,-0.0175604076201934,-0.0014725599934647,-0.366332836235833,-0.973151564499564,-0.962987556819507,-1.06540249990818,-1.05366081482835,-1.12380331324033,-0.97924261390944,-0.797638580594731,-0.845454538942509,-0.408096333776935,-0.620697705053132,-0.912081458740793,-0.917359434536797,-1.08469722374096,-0.832232103922036,-0.970505439716113,-1.047869624166,-0.997140187314822,-1.27152415747372,-0.957194101046435,0.503028123020327,-0.869940277381562,-0.592391616435405,-0.955525766536488,-0.76684121733615,-0.75030952437109,-0.939816919870824,-1.02142666209452,-0.983783490376698,-0.599072888369707,-0.913615297579339,-0.981106813907214,-1.22655865668899,-0.759596259381344,-1.04712502425408,-0.797266966847201,-0.998358745277569,-0.701743645488812,-1.07385992996995,0.11151740086633,-1.12247805620767,-0.966151506149637,-1.01663994715548,-1.06911969846543,-0.674626187434779,-0.892481120035657,-0.542466161523552
"Chol-410",-1.20628083255168,0.672123385084324,-0.888246774665263,1.1569064264629,-0.379162140647049,-0.990709346009324,-0.202404091731325,-1.07897908945063,-0.310145728109622,-1.22077563662279,-1.0345116445973,-1.0332345911158,1.2896190610248,-0.948506384726798,0.284426084274959,-0.122280992855375,-1.36106981398205,-0.391824320233197,-0.692191032465443,-1.11226912675853,-1.2914397861648,-0.501971077024812,0.681139790940168,-1.09774334217063,-0.702718072011157,-1.12120636550345,-1.05974686416937,-0.729302487569969,0.213999071131306,-1.17705068595622,-1.23241696884215,-0.463248001150175,-0.799703514659795,-1.12000800691639,-0.569142705909601,-1.32914419068992,-1.12050548231445,-0.882466518765915,-1.3179401724087,-1.17963335079157,-0.884617503205044,-0.833699723277619,-0.9993111837213,-1.10137439341125,-0.920428162762202,-0.888354509559287,-1.12778119424361,-1.2603963282735,-0.9529495132922,0.535117023588596,-0.882214920282689,-1.06455737633544,-0.740073112592247,-1.18374353255959,-1.31204795898661,-0.313237176230023,-1.16656259804598,-0.217600111540098,-1.1586610463814,-0.988525624064403,-0.928113235680357,-0.620281193673063,-0.487342348595969,-1.04578469312006,-1.0251818271531,-1.1361658601369,-1.11760162645557,-1.19699160315772,-1.05602782360727,-0.84247049408428,-0.90092869090664,-0.475015072774946,-0.676481268585057,-0.974121685196057,-0.975593047776742,-1.15537950143677,-0.873327381536993,-1.03088798744731,-1.12399058113736,-1.06604705490846,-1.32202078256755,-0.35214095685892,1.0268089486652,-0.921778389955018,-0.660896676620658,-1.01057223017965,-0.431871821816762,-0.157886936549548,-0.992832893350155,-0.742130293334508,-1.06606461368485,-1.11321420088301,-0.979666737486795,-1.04748142780527,0.0580360968890421,-0.825497512222981,-1.12855523513736,-0.476600322132032,-1.07338312263538,-0.750392773913114,-1.13486333589744,-0.692609628474765,-1.18164720681046,-0.668076078194674,-1.06214816196975,-1.13981222026825,-0.413814429996413,-0.954760526481305,5.73122795400257
"Chol-442",-1.16318462524768,-0.46429562876162,-0.856416847823706,1.26212937747877,-0.983385630049715,-0.962775812118485,-0.571230535052403,-1.04578513433825,0.156025429546806,-1.17691520205916,-1.00695464437543,-1.008966192809,0.435660538574554,-0.914611174612358,-0.864987268195767,-0.50541422041216,-1.33017521320808,-0.206447518827091,-0.653534285279657,-1.07723437542174,-1.262875237966,-0.849713094947951,0.348013544908563,-1.06851718585738,-1.11650999329277,-1.07758391460293,-0.480993634277405,-0.691631071990317,-0.482579446948554,-1.14101800920763,-1.19494331109324,-0.854460743001651,-0.766753373131518,-1.08507969036247,-0.90509353251869,-1.2898185068284,-0.64003867146806,-0.857107502406856,-1.26276087953315,-0.707354231788118,0.205647441876492,-0.800216294202676,-0.968680957396027,-0.641926853101563,-0.88799290966853,-0.857053732606278,-1.09179944157015,-1.22330479389048,0.0415010487695181,-0.408102788132872,0.388367695969261,-1.03372820152025,-0.686075137088756,-0.682341283591191,-1.26341371335205,-0.936355773007507,-1.12688422057529,-0.828637729725359,-1.11957391025938,-0.959180918255217,-0.896799782414624,0.278188595672775,1.46809081761755,0.197955455229347,-1.00086616295298,-1.10167748414293,-1.08819159704466,-1.15797324885429,-0.508495015902174,-0.813006161340066,-0.869370130804854,-0.429697346905027,-0.638762722947573,-0.457296657425565,-0.447425062150856,-1.12042113036627,-0.84985642543413,-0.992575121002809,-1.08701526158513,-1.03674709298738,-1.28821312917812,-0.996245668843046,0.167383266835292,-0.115110884758166,-0.614365384547036,-0.989549650781901,-0.314634426643409,-0.306979079442194,-0.971852743331845,-1.05608588539926,-0.497378929385521,-1.08260568705938,-0.948486523757252,-1.02075145400495,-1.26189737669405,0.114834908259985,-1.08811431851745,-0.810416752016053,-1.04003879236785,-0.717592156315915,-1.11065561558137,-1.22066188092619,-1.15163406002847,-0.261583842426114,-0.574387029897717,-1.10527375320602,-0.68226088186721,-0.923837796721342,-0.603429177575933
"Chol-460",-1.19747320315535,-0.49568056736468,-0.433906045960554,-0.787532967111171,-0.997081876386738,-0.979065332391751,-0.594658815323394,-1.06572478643551,-0.709800210770761,-1.21223990515463,-1.02301226237921,-1.0231568667399,-0.24146295799305,-0.934313781636227,0.488453877621616,-0.532926504433891,-1.34951290793085,-1.32433453860657,-0.676004361029377,-1.10185911179966,-1.28143734584212,-0.865602538072203,-1.03630349300469,-1.08914958232054,-1.13932082909891,-1.10741466773547,-1.0445417397849,-0.713531594183978,-0.512688110059366,-1.16955357239484,-1.22648944134327,-0.875973330453799,-0.785949668670891,-1.11007571656474,-0.919036729057197,-1.32315465594402,-1.11135878143825,-0.871945750579141,-1.30767118721651,-1.17080086460171,-0.871813125731124,-0.819709475878183,-0.986481100263122,-1.09307354627883,-0.906853116046108,-0.875270243249305,-1.11782711371271,-1.24672282504727,-0.942521470869395,0.830873351351406,-0.868606681929917,-1.05325965106479,-0.717111597015094,-1.17327205629656,-1.30462691802721,-0.951733738403678,-1.1571033321489,-0.844524124745635,-1.1474635657918,-0.976283053062423,-0.914997340527074,-0.602020147499751,-0.451544467120557,-1.02583356512551,-1.01508509421649,-1.12737262516924,-1.10985567797864,-1.18918371725854,-1.04281910269676,-0.830203618237734,-0.8877522130914,-0.456007502379228,-0.660693644931843,-0.962048874314887,-0.962693851426267,-1.14690281937926,-0.863610754452881,-1.0146606741411,-1.11347885341016,-1.05547264770562,-1.30988902092822,-1.01226580660064,0.874306932260383,-0.910761758064563,0.16346710307867,-1.00187729371014,-0.797980766067748,-0.780298632803618,-0.984158228628909,-1.07323496449715,-1.0516438891479,-1.10484948826531,-0.966637308548174,-1.03695542055974,-1.27626014186627,-0.806529937365571,-1.11677952572192,-0.825260872535102,-1.06136003410194,-0.736713452416924,-1.12553237767192,-1.25634819440422,-1.17628940072098,-0.350554232470971,-1.0518179756161,-1.13108956291769,-0.691102990474187,-0.941846831660895,1.61116668215357
"Chol-611",-1.22176666436984,0.476910137049915,-0.580064987454863,-0.466484509314731,-1.02384133431708,-1.01139477673586,-0.302467081959563,-1.10276658729784,-0.754950259156705,-1.23576581181588,-1.05498574286822,-1.05099461696589,0.103592860229469,-0.973961704614651,-0.016056540455944,-0.589077165621166,-1.3798462091492,-0.543797764264836,-0.721235462000229,-1.130689950382,-1.30933981260746,-0.896857489539449,-0.0897460823030595,-1.11278952587331,-1.18150473533885,-1.14603736399575,-1.08725770349495,-0.757586845489566,-0.574828085135778,-1.1901165843846,-1.2426529839997,-0.307795476614229,-0.824212790794214,-1.13754181754237,-0.653440125547549,0.153928181247128,-1.13658091724783,-0.900974338970184,-1.33289232680177,-1.19522875325372,-0.907394369946057,-0.858681601080167,-0.687709087911761,-1.11588477461998,-0.172743163200849,-0.911740247207868,-1.14535951834097,-1.28550439050298,-0.971422899527172,-0.508648467059745,-0.906611757047247,-1.08461325454076,-0.782709510963777,-1.20248333055045,-1.32474883195941,-0.982010547484259,-1.18323943649418,-0.875744024005679,-1.17860323106481,-1.01031262949658,-0.951654869904093,-0.653236389933806,-0.555372672426339,-1.08300989792641,-1.0429732420927,-1.15159511382434,-1.13110231899851,-1.2106334534673,-1.07969290222388,-0.549106165224775,-0.924419176598075,-0.50925812983412,0.48408188716827,-0.669328823101736,-0.663173761991478,-1.17023667832679,-0.890345678496406,-0.428115739538203,-1.14260723608173,-1.08475004835524,-1.34352370054245,-1.04400879132203,0.46537503162981,-0.941227012434156,-0.327030088481388,-1.02577044109744,-0.831502372614053,-0.510165761866709,-1.00798622015984,-1.09432686057033,-1.09205494233743,-1.12784558397556,-1.0029340407571,-1.06608410440845,0.110461098522222,-0.479487985086025,-1.14955178866239,-0.341856810757313,-1.09481174864181,-0.452899914854703,-1.15133242192397,0.320926223408691,-1.190851346401,0.357350622554495,-1.08048638468147,-1.15511361810079,-0.707496852737277,-0.977791067651752,6.07481827748568
"Chol-ALK-28",-1.10274827555184,-0.420849797433579,-0.80377660615256,1.29384237094161,-0.921905222262257,-0.904128143690293,-0.538212273787301,-0.972287332606929,-0.653916012847696,-1.11737977368884,-0.949596778516373,-0.45239607639345,1.5897363501141,-0.852164387542624,-0.834181109862522,0.784900573014813,-1.27071756493358,0.153071575765348,-0.621867216535616,-1.01141892633794,-1.19859167231925,-0.801805013080189,-0.909847139892029,-1.00761152211076,-0.472659428796154,-1.003844566993,-0.946614826038099,-0.658099217651827,1.23069505368587,-1.08429308598217,-1.14419419720044,-0.806594103482426,-0.725659744898838,-1.02060148111302,-0.852893696041606,-1.23965579269864,-1.02486412042584,-0.809857593808923,-1.20431115653246,-1.09697878056647,-0.802510214009812,0.162698361104455,-0.924109854816946,-1.01257933405334,-0.842308479418546,-0.819774331514417,-1.02734201406182,-0.601191533507261,-0.896205207746577,-0.362824485084176,-0.263018474225964,-0.452935745972725,-0.0116733204965035,-1.10588388564828,-1.20835182804675,-0.877754710103568,-1.06416018457743,-0.783541113983724,-1.0515701732799,-0.89491986589027,-0.866163619075514,0.0425373101019608,1.31786554619053,-0.955413008702697,-0.936236328941608,-1.04058080830494,-1.03003261911515,-1.1004220321232,-0.949552114744483,-0.767944922917738,-0.815163443531886,0.546301860164306,-0.60782703152955,-0.883108256836263,-0.887199831637814,-1.06025261509886,0.0141226729633476,-0.955171227526519,-1.02108364589122,-0.970038579451926,-1.24866250551797,-0.929037848024721,1.0693038582344,-0.841795585427871,-0.576848315969,-0.465245640176464,-0.740774824567995,-0.726943534353245,-0.450205706200284,-0.997710578677064,-0.95308208134913,-1.02253977272704,-0.883790346434674,-0.95397938570878,-1.20214999253249,-0.12993196728936,-1.01907749666163,-0.76925666213724,-0.969838559901651,0.220390435926897,-1.04752396566647,-1.16876126017675,-1.10252763167986,-0.472224526030712,-0.483904266958806,-1.04438075464757,-0.23458652490942,0.0417976997728424,-0.500699383708955
