"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU280-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,3.51266192128151,4.09537974846136,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU284-GBM-vIII",3.51266192128151,4.57884609145947,3.51266192128151,3.84078640232013,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.74812480059494,3.51266192128151,4.16476093189013,3.97571070251831,3.51266192128151,3.51266192128151,3.51266192128151
"VU306-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.23482387944422,3.51266192128151,3.51266192128151,3.51266192128151
"VU360-GBM-WT",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU372-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU378-GBM",3.51266192128151,3.96880174589539,3.51266192128151,5.58839724506815,3.51266192128151,4.03864544676547,3.51266192128151,3.51266192128151,3.51266192128151,4.48371181426975,3.51266192128151,3.51266192128151,3.51266192128151,3.77674381887784,3.51266192128151,3.51266192128151,3.51266192128151
"VU383Platelet-hiseq",3.51266192128151,3.51266192128151,3.51266192128151,5.43738816909541,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU393-GBM-vIII",3.51266192128151,5.18236150712591,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU394Platelet-hiseq",3.51266192128151,5.52433975325643,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU398-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU402-2-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.19070988357898,3.51266192128151,3.51266192128151,3.51266192128151,3.81812186933195,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU406-2-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.91736489825795,3.51266192128151,4.36167953696968,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
