"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865"
"292-Liver-KRAS",3.47048602073424,3.47048602073424,3.47048602073424,4.82726608732548,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.99944111445512,4.57191973481411,3.47048602073424,3.47048602073424,4.21446729224283,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.21446729224283,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.21446729224283,3.47048602073424,3.47048602073424,4.21446729224283,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.11654397123945,3.47048602073424,3.84555510421768,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.99944111445512,3.47048602073424,3.47048602073424,3.99944111445512,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.99944111445512,3.47048602073424,4.3000538767985,3.84555510421768,3.47048602073424,3.47048602073424,3.47048602073424,3.84555510421768
"316-Liver-KRAS",3.47048602073424,3.47048602073424,3.81211830474621,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.14907532196628,3.81211830474621,5.23416408019604,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.81211830474621,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.36221059825551,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.81211830474621,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95251145639585,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,5.35865914952482,3.47048602073424,3.81211830474621,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.5787494818821,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424
"341-Liver-WT",3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.91564229278312,3.47048602073424,3.47048602073424,3.47048602073424,4.23922926534899,3.47048602073424,3.47048602073424,3.47048602073424,5.44340428576695,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.85825283803046,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.47885983001424,3.47048602073424,3.47048602073424,3.47048602073424,3.85825283803046,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.23922926534899,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424
"376-Liver-WT",3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.31067152548345,4.06872283427692,3.47048602073424,3.47048602073424,3.81752080881889,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.06872283427692,3.47048602073424,4.06872283427692,3.47048602073424,3.81752080881889,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.54550986969055,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.23922484635116,3.47048602073424,4.31067152548345,3.47048602073424,3.81752080881889,3.47048602073424,3.47048602073424,5.85992109480648
"379-Liver-WT",3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.1235478468847,3.47048602073424,3.47048602073424,4.1235478468847,3.47048602073424,4.1235478468847,3.47048602073424,3.47048602073424,3.47048602073424,3.93422419243667,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.74585371692997,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.1235478468847,3.93422419243667,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.26701121271947,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.93422419243667,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.49052619807943,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424
"Chol-410",3.47048602073424,4.18833479766797,3.47048602073424,4.78175176229934,3.98067169233011,3.47048602073424,3.83217653513697,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.47048602073424,4.2710589987468,3.47048602073424,4.2710589987468,3.83217653513697,3.47048602073424,4.18833479766797,3.47048602073424,3.47048602073424,3.47048602073424,3.83217653513697,4.34530094633813,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.47048602073424,3.98067169233011,3.47048602073424,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.09373648087093,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.98067169233011,3.47048602073424,3.98067169233011,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.98067169233011,4.58902329880384,3.47048602073424,3.47048602073424,3.47048602073424,3.83217653513697,3.98067169233011,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.5341465724888,3.47048602073424,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.47048602073424,3.98067169233011,3.47048602073424,3.83217653513697,3.47048602073424,3.47048602073424,3.83217653513697,3.47048602073424,5.76076901875779
"Chol-442",3.47048602073424,3.47048602073424,3.47048602073424,4.95996609856559,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.07653701992637,3.47048602073424,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.32149580103327,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.21008797168537,3.47048602073424,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.90059218708354,4.21008797168537,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.21008797168537,3.47048602073424,4.32149580103327,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.07653701992637,4.50558748322708,4.21008797168537,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.90059218708354,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.07653701992637,4.07653701992637,3.47048602073424,3.47048602073424,3.90059218708354,3.90059218708354,3.47048602073424,3.47048602073424,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.07653701992637,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.07653701992637,3.90059218708354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424
"Chol-460",3.47048602073424,3.47048602073424,3.86061541050354,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.41221000270945,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.243832084318,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.48479891564902,3.47048602073424,4.02055689417519,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.02055689417519,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.48479891564902
"Chol-611",3.47048602073424,4.08838089909001,3.78119933573827,3.78119933573827,3.47048602073424,3.47048602073424,3.78119933573827,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.78119933573827,3.47048602073424,4.08838089909001,3.47048602073424,3.47048602073424,4.08838089909001,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.0066078322832,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.90906003131394,3.47048602073424,3.47048602073424,3.78119933573827,4.64361224860974,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.78119933573827,3.47048602073424,4.0066078322832,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.78119933573827,3.47048602073424,3.47048602073424,4.22443788495396,3.78119933573827,3.78119933573827,3.47048602073424,3.47048602073424,3.90906003131394,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.22443788495396,3.47048602073424,3.78119933573827,3.47048602073424,3.47048602073424,3.78119933573827,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.64361224860974,3.78119933573827,3.47048602073424,3.90906003131394,3.47048602073424,3.78119933573827,3.47048602073424,4.60579516175256,3.47048602073424,4.43678401897119,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,5.86429885094997
"Chol-ALK-28",3.47048602073424,3.47048602073424,3.47048602073424,5.02168463438341,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,4.43362250034417,3.47048602073424,3.47048602073424,4.3083383419447,3.47048602073424,4.63983706412469,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,3.47048602073424,3.47048602073424,3.47048602073424,4.54257499565821,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.15772773622188,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,3.47048602073424,3.47048602073424,3.95871392912672,3.95871392912672,3.95871392912672,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,4.43362250034417,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.15772773622188,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.15772773622188,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,4.63983706412469,3.47048602073424,3.47048602073424,3.95871392912672,3.47048602073424,3.47048602073424,3.95871392912672,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,3.47048602073424,3.47048602073424,3.47048602073424,4.15772773622188,3.47048602073424,3.47048602073424,3.47048602073424,3.95871392912672,3.95871392912672,3.47048602073424,3.95871392912672,4.15772773622188,3.47048602073424
