"","ENSG00000009694","ENSG00000012174","ENSG00000023839","ENSG00000037757","ENSG00000038945","ENSG00000049768","ENSG00000065717","ENSG00000070915","ENSG00000073712","ENSG00000080493","ENSG00000091129","ENSG00000091137","ENSG00000092295","ENSG00000094963","ENSG00000099725","ENSG00000100162","ENSG00000102349","ENSG00000103599","ENSG00000104643","ENSG00000104722","ENSG00000105649","ENSG00000106333","ENSG00000106686","ENSG00000107611","ENSG00000107779","ENSG00000111537","ENSG00000111879","ENSG00000112796","ENSG00000112877","ENSG00000113249","ENSG00000113966","ENSG00000114739","ENSG00000115423","ENSG00000116771","ENSG00000117322","ENSG00000118113","ENSG00000118200","ENSG00000124469","ENSG00000124608","ENSG00000128596","ENSG00000129467","ENSG00000129646","ENSG00000130653","ENSG00000130707","ENSG00000133740","ENSG00000134121","ENSG00000134193","ENSG00000134470","ENSG00000135378","ENSG00000135960","ENSG00000142528","ENSG00000142632","ENSG00000142731","ENSG00000143502","ENSG00000147166","ENSG00000149970","ENSG00000150938","ENSG00000152583","ENSG00000153253","ENSG00000157554","ENSG00000159231","ENSG00000159899","ENSG00000160191","ENSG00000160223","ENSG00000162398","ENSG00000163751","ENSG00000164037","ENSG00000164440","ENSG00000165259","ENSG00000166261","ENSG00000167700","ENSG00000168026","ENSG00000168152","ENSG00000168280","ENSG00000168389","ENSG00000169031","ENSG00000169902","ENSG00000170629","ENSG00000171132","ENSG00000172878","ENSG00000173930","ENSG00000174080","ENSG00000174292","ENSG00000176728","ENSG00000178038","ENSG00000178789","ENSG00000179397","ENSG00000183378","ENSG00000183426","ENSG00000183850","ENSG00000185272","ENSG00000186281","ENSG00000187626","ENSG00000189233","ENSG00000189350","ENSG00000196155","ENSG00000196581","ENSG00000196922","ENSG00000197580","ENSG00000203326","ENSG00000204282","ENSG00000205189","ENSG00000211630","ENSG00000211638","ENSG00000211650","ENSG00000211666","ENSG00000211807","ENSG00000211809","ENSG00000211820","ENSG00000211962","ENSG00000213071","ENSG00000214826","ENSG00000215580","ENSG00000221968","ENSG00000225157","ENSG00000228314","ENSG00000229391","ENSG00000230063","ENSG00000231398","ENSG00000235281","ENSG00000235532","ENSG00000239650","ENSG00000241316","ENSG00000243364","ENSG00000244575","ENSG00000247708","ENSG00000251369","ENSG00000253784","ENSG00000254977","ENSG00000256553","ENSG00000257242","ENSG00000261372","ENSG00000266897","ENSG00000267759","ENSG00000272865"
"3-Breast-Her2-ampl",3.64601647248351,4.00281676533791,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,4.00281676533791,4.77602238427491,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.30937213298152,3.64601647248351,4.00281676533791,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.89863301198139,3.64601647248351,4.50928746186997,3.64601647248351,3.64601647248351,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.08245422532962,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.20804539226603,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.00281676533791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.08245422532962,3.64601647248351,3.64601647248351,3.64601647248351,4.20804539226603,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.30937213298152
"8-Breast-WT",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.35385098643879,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.25148319051312,3.64601647248351,3.64601647248351,3.64601647248351,4.91303614989159,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.03062373313757,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.25148319051312,4.18834650171812,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.11637244963925,3.64601647248351,4.18834650171812,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.91837629243147,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.91837629243147,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.36036359690538,3.64601647248351,3.64601647248351,4.03062373313757,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.11637244963925,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.91837629243147,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.91837629243147,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"10-Breast-Her2-ampl",3.64601647248351,4.32629322075791,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.92587932520398,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.47545160840602,3.64601647248351,3.64601647248351,3.64601647248351,4.26796316236386,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.47545160840602,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.12925138781093,3.64601647248351,3.64601647248351,3.64601647248351,4.12925138781093,3.64601647248351,3.64601647248351,3.64601647248351,4.20315179164564,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.92587932520398,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"Breast-100",3.64601647248351,4.63071044747035,3.64601647248351,3.64601647248351,4.74189488224626,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.34892159037123,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.14547806473842,3.64601647248351,3.64601647248351,4.14547806473842,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.84109811169629,3.64601647248351,3.64601647248351,4.50279005724857,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"15-Breast-Her2-ampl",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.84272187458728,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.95725395856263,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.42213656838217,3.64601647248351,5.3222802562014,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.6653295159527,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.10941335634748,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.9743886733641,3.64601647248351,3.64601647248351,4.10941335634748,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.29860165404525,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"16-Breast-WT",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.95090422531113,3.64601647248351,3.64601647248351,5.55314751699383,4.25245273302379,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.10970599097392,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.95090422531113,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.38608529224078,3.64601647248351,3.64601647248351,4.38608529224078,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.95090422531113,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.17216017970277,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.59476287569804,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.95090422531113,4.3228124674851,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"21-Breast-WT",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.36033973170843,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,6.15087855580561,3.64601647248351,5.74955991615679,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.92594298250525,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.26810291473945,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.72247093164045,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.32644562646952,3.64601647248351,4.04127626764683,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,5.5622726821979,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.92594298250525,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351
"33-Breast-Her2-ampl",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.15722698424013,3.64601647248351,3.64601647248351,4.56845238023208,3.64601647248351,3.64601647248351,5.57576292845653,3.64601647248351,4.36529285526948,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.94219017003586,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,6.20437238210509,3.64601647248351,4.52255439173987,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.42162107470272,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.15722698424013,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.94219017003586,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.52255439173987,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.94219017003586,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.06414033084352
"42-Breast-Her2-ampl",3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.24749452739645,3.64601647248351,3.64601647248351,3.64601647248351,4.43750874017372,3.64601647248351,3.64601647248351,3.94838457839421,3.64601647248351,3.64601647248351,4.54039115651566,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.3800763605668,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.98554120669252,3.64601647248351,4.75215281991198,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.1678432175341,3.94838457839421,3.64601647248351,3.94838457839421,3.64601647248351,3.64601647248351,3.94838457839421,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.43750874017372,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.94838457839421,4.31729828602301,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.24749452739645,3.64601647248351,3.64601647248351,3.64601647248351,4.07285413303638,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.24749452739645,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.49069244425,3.64601647248351,3.94838457839421,3.64601647248351,4.24749452739645,5.01491338914138,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.94838457839421,3.64601647248351,3.64601647248351,3.64601647248351,3.94838457839421,3.64601647248351,3.64601647248351
"Breast-454",3.64601647248351,4.87167493739538,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.36757997418675,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.65635736818365,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.15886897105397,3.64601647248351,4.15886897105397,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,3.64601647248351,4.52531454323937
