"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU280-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,4.0391138070991,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU284-GBM-vIII",3.44218796603894,4.53355680532959,3.44218796603894,3.77838928493458,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.70640016293494,3.44218796603894,4.11013145322826,3.91658482572392,3.44218796603894,3.44218796603894,3.44218796603894
"VU306-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.20236898325357,3.44218796603894,3.44218796603894,3.44218796603894
"VU360-GBM-WT",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU372-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU378-GBM",3.44218796603894,3.90950946130188,3.44218796603894,5.56170143254202,3.44218796603894,3.98102913094108,3.44218796603894,3.44218796603894,3.44218796603894,4.43634975891547,3.44218796603894,3.44218796603894,3.44218796603894,3.71278047651513,3.44218796603894,3.44218796603894,3.44218796603894
"VU383Platelet-hiseq",3.44218796603894,3.44218796603894,3.44218796603894,5.40833463810811,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU393-GBM-vIII",3.44218796603894,5.1489811359643,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU394Platelet-hiseq",3.44218796603894,5.49666230699209,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU398-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU402-2-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.13668791239631,3.44218796603894,3.44218796603894,3.44218796603894,3.75517131978009,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU406-2-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.85682976731503,3.44218796603894,4.31159131569029,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU408-GBM",3.79772362369221,3.44218796603894,3.44218796603894,3.94373514483975,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU417-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU418-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU419-GBM",3.44218796603894,3.44218796603894,3.44218796603894,5.15742960441986,3.44218796603894,4.52043919435758,3.44218796603894,3.44218796603894,3.44218796603894,5.44477375225732,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU421-GBM",3.44218796603894,5.02346035494828,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.238062240158,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
