"","ENSG00000009694","ENSG00000049883","ENSG00000053524","ENSG00000062282","ENSG00000074657","ENSG00000080007","ENSG00000081386","ENSG00000081985","ENSG00000089091","ENSG00000092295","ENSG00000094804","ENSG00000099194","ENSG00000104549","ENSG00000104885","ENSG00000110195","ENSG00000111537","ENSG00000111879","ENSG00000112053","ENSG00000112877","ENSG00000113249","ENSG00000115423","ENSG00000116128","ENSG00000118113","ENSG00000119673","ENSG00000125851","ENSG00000128596","ENSG00000133131","ENSG00000133597","ENSG00000134061","ENSG00000134121","ENSG00000135686","ENSG00000137842","ENSG00000138336","ENSG00000139625","ENSG00000140543","ENSG00000143195","ENSG00000144749","ENSG00000146215","ENSG00000147324","ENSG00000148835","ENSG00000151623","ENSG00000152022","ENSG00000153253","ENSG00000155666","ENSG00000156510","ENSG00000157992","ENSG00000159788","ENSG00000159899","ENSG00000160284","ENSG00000162927","ENSG00000163482","ENSG00000163596","ENSG00000164169","ENSG00000164440","ENSG00000166707","ENSG00000167094","ENSG00000167637","ENSG00000167840","ENSG00000168096","ENSG00000169981","ENSG00000170899","ENSG00000172292","ENSG00000173208","ENSG00000173482","ENSG00000174292","ENSG00000178053","ENSG00000182931","ENSG00000183426","ENSG00000184206","ENSG00000184305","ENSG00000185272","ENSG00000185298","ENSG00000186073","ENSG00000186174","ENSG00000188001","ENSG00000189013","ENSG00000189164","ENSG00000189195","ENSG00000196081","ENSG00000196155","ENSG00000196533","ENSG00000196922","ENSG00000198075","ENSG00000203326","ENSG00000203780","ENSG00000211728","ENSG00000211777","ENSG00000211795","ENSG00000211807","ENSG00000211812","ENSG00000213160","ENSG00000213468","ENSG00000214787","ENSG00000223960","ENSG00000224525","ENSG00000224691","ENSG00000235532","ENSG00000240403","ENSG00000241316","ENSG00000247287","ENSG00000247708","ENSG00000253350","ENSG00000254093","ENSG00000257252","ENSG00000259092","ENSG00000259363","ENSG00000264290","ENSG00000267254","ENSG00000272865"
"292-Liver-KRAS",3.38774819424984,3.38774819424984,3.38774819424984,4.78122066893362,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.93191307425669,4.51969248575396,3.38774819424984,3.38774819424984,4.15288479625111,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.15288479625111,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.15288479625111,3.38774819424984,3.38774819424984,4.15288479625111,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.0522788112933,3.38774819424984,3.77366426968987,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.93191307425669,3.38774819424984,3.38774819424984,3.93191307425669,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.93191307425669,3.38774819424984,4.24077744010504,3.77366426968987,3.38774819424984,3.38774819424984,3.38774819424984,3.77366426968987
"316-Liver-KRAS",3.38774819424984,3.38774819424984,3.73927030391896,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.08570631414559,3.73927030391896,5.19697347372405,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.73927030391896,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.30458435395616,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.73927030391896,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.88366107658485,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,5.32392057801457,3.38774819424984,3.73927030391896,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.52669340115835,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984
"341-Liver-WT",3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.8716273674912,3.38774819424984,3.38774819424984,3.38774819424984,4.17831783143188,3.38774819424984,3.38774819424984,3.38774819424984,5.41026507141017,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.78672472175064,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.42427024991862,3.38774819424984,3.38774819424984,3.38774819424984,3.78672472175064,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.17831783143188,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984
"376-Liver-WT",3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.25167848390098,4.00313194824055,3.38774819424984,3.38774819424984,3.74482765255195,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.00313194824055,3.38774819424984,4.00313194824055,3.38774819424984,3.74482765255195,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.49261785741755,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.17831329295232,3.38774819424984,4.25167848390098,3.38774819424984,3.74482765255195,3.38774819424984,3.38774819424984,5.8338327893871
"379-Liver-WT",3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.05947602460653,3.38774819424984,3.38774819424984,4.05947602460653,3.38774819424984,4.05947602460653,3.38774819424984,3.38774819424984,3.38774819424984,3.8648564787756,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.6978871265298,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.05947602460653,3.8648564787756,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.20684897367657,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.8648564787756,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.43623578486633,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984
"Chol-410",3.38774819424984,4.12604081114021,3.38774819424984,4.7346381997329,3.91261572098203,3.38774819424984,3.75990306813153,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.38774819424984,4.21100558236396,3.38774819424984,4.21100558236396,3.75990306813153,3.38774819424984,4.12604081114021,3.38774819424984,3.38774819424984,3.38774819424984,3.75990306813153,4.28722789977729,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.38774819424984,3.91261572098203,3.38774819424984,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.02884025140689,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.91261572098203,3.38774819424984,3.91261572098203,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.91261572098203,4.53722412228647,3.38774819424984,3.38774819424984,3.38774819424984,3.75990306813153,3.91261572098203,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.48096714082335,3.38774819424984,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.38774819424984,3.91261572098203,3.38774819424984,3.75990306813153,3.38774819424984,3.38774819424984,3.75990306813153,3.38774819424984,5.73312227261999
"Chol-442",3.38774819424984,3.38774819424984,3.38774819424984,4.91694752961485,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.01116342294779,3.38774819424984,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.26279103766986,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.14838647599833,3.38774819424984,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.83027022889372,4.14838647599833,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.14838647599833,3.38774819424984,4.26279103766986,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.01116342294779,4.45168203381097,4.14838647599833,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.83027022889372,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.01116342294779,4.01116342294779,3.38774819424984,3.38774819424984,3.83027022889372,3.83027022889372,3.38774819424984,3.38774819424984,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.01116342294779,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.01116342294779,3.83027022889372,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984
"Chol-460",3.38774819424984,3.38774819424984,3.78915473385166,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.35589527609716,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.18304504839258,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.43036174073686,3.38774819424984,3.95362122970123,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.95362122970123,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.43036174073686
"Chol-611",3.38774819424984,4.02333616017898,3.70746380777065,3.70746380777065,3.38774819424984,3.38774819424984,3.70746380777065,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.70746380777065,3.38774819424984,4.02333616017898,3.38774819424984,3.38774819424984,4.02333616017898,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.93928103195395,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.83897866604436,3.38774819424984,3.38774819424984,3.70746380777065,4.59316627193258,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.70746380777065,3.38774819424984,3.93928103195395,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.70746380777065,3.38774819424984,3.38774819424984,4.16312596634763,3.70746380777065,3.70746380777065,3.38774819424984,3.38774819424984,3.83897866604436,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.16312596634763,3.38774819424984,3.70746380777065,3.38774819424984,3.38774819424984,3.70746380777065,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.59316627193258,3.70746380777065,3.38774819424984,3.83897866604436,3.38774819424984,3.70746380777065,3.38774819424984,4.5544138713605,3.38774819424984,4.38110849162197,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,5.83827766651669
"Chol-ALK-28",3.38774819424984,3.38774819424984,3.38774819424984,4.98002857447642,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,4.37786494099676,3.38774819424984,3.38774819424984,4.24928307790112,3.38774819424984,4.5892981527338,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,3.38774819424984,3.38774819424984,3.38774819424984,4.48960882953433,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.09459627138747,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,3.38774819424984,3.38774819424984,3.89003875812465,3.89003875812465,3.89003875812465,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,4.37786494099676,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.09459627138747,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.09459627138747,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,4.5892981527338,3.38774819424984,3.38774819424984,3.89003875812465,3.38774819424984,3.38774819424984,3.89003875812465,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,3.38774819424984,3.38774819424984,3.38774819424984,4.09459627138747,3.38774819424984,3.38774819424984,3.38774819424984,3.89003875812465,3.89003875812465,3.38774819424984,3.89003875812465,4.09459627138747,3.38774819424984
