"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161"
"VU280-GBM",-1.40009356397153,-1.45931755412103,-1.32476646004515,-1.35299245360008,-1.17839541069751,-1.45312970280596,-1.00791069381082,-0.620581016132105,-1.4923415195726,-1.48607248698989,-1.54715141183572,-1.30519285793581,-1.5193231783463,-1.54897547970522,-1.33769986542048,-0.779108509064725,-0.951540704810965,0.019550876000029,-1.42528714374389,-1.4332815939163,-1.44757454770477,-1.52146196771842,0.618066481030973,-0.99070533398899,-1.38583675560255,-1.23587122848196,3.06947451909515,-0.830092943795693,-1.66689050010689,-1.31689010410267,-1.50262317025916,-1.24712553828892,-1.37252068674016
"VU284-GBM-vIII",-1.47966271351244,0.205411371081853,-1.38828762282748,-0.840374710808309,-0.699681706761401,-1.51057860958072,-1.63993799230416,-0.774528754629322,-1.58274515616589,-1.54025760924481,-1.61670639755991,0.255525190755384,-1.58440781785787,-1.60707891657299,-1.43810016519597,0.382687919570425,-1.0741348498995,0.298453791238226,-1.52978633719989,-1.5062490292603,-0.680536181044078,-1.56039578039991,-1.39815072886251,-1.06339278283767,-1.48662406640427,-1.37499199784551,-0.635924287626908,-0.97260841787678,-1.77719406617175,-0.74328281646336,-1.59845906077235,-1.31515166798273,-1.45696753272056
"VU306-GBM-vIII",-1.48438000803506,-1.52611077461677,-1.39869578360569,-1.45006721109397,-1.27126585029341,-1.51647284863587,-1.64604692135439,3.30617406813335,-1.59026062054153,-1.54796303759381,-1.62037483652846,-1.39530046384507,-1.59409631287266,-1.61295176609366,-1.44951884610821,-1.48632194839199,-1.0923002512915,-1.48423608065172,-1.53731739665004,-1.51147261451723,0.655650299066612,-0.0326804309533175,-1.40578020537125,-1.07715714603228,-1.4950811858382,-1.38718777805623,-0.678648794739958,-1.00105771509632,-1.78362383791862,-1.38008226736378,-1.60328235250497,-1.32607068819963,-1.46479699759827
"VU360-GBM-WT",-1.11738268176228,-1.07781563564379,-0.929591222003791,-0.903037060976294,-0.749169031840486,-1.12106625911708,-1.23098040702787,2.62888160035169,-1.14008476469398,-1.11171997842943,-1.28364993316901,-0.883200574229342,-1.1178947251018,-1.21353204455037,-0.927469145551452,-1.03264390995157,-0.482595198069335,-0.858363269113591,-1.08557245845552,-1.12908948382951,-1.06287011077584,-1.20117078216797,-0.976509162227508,-0.574494330456879,-1.0261578606211,-0.841759215460499,0.12631954546203,-0.282081989614597,-1.35871131612681,-1.04433799759731,-1.22363873283154,-0.833147815805587,-1.01642533792595
"VU372-GBM-vIII",-1.4296749390747,-1.47578943507283,-1.34407456060459,-1.37931989135228,0.907127651908221,-1.48053012712824,-1.59620627096011,1.58527841396017,-1.52919980786083,-1.50179785202719,-1.57472281630296,0.987221499251135,-1.53687214533546,-1.57471105132902,-1.38062424352881,-1.43387719581197,-1.00060868843248,-1.31887110192236,-1.46083309604344,-1.46511065136745,-1.46474266774964,-1.53250798524607,-1.36401420629442,-1.0096301202057,-1.42347165747119,-1.27710903014968,-0.480093771331222,-0.866101161496871,-1.69913674393402,-0.349329340269999,-1.53181462984148,-1.27135364055581,-1.40978062524501
"VU378-GBM",-1.49853875940539,-0.70617034187343,-1.43143668500805,1.31681815602597,-0.577037042646141,-1.5344533297673,-1.66477717674981,2.26922423477028,-1.6134563066362,-0.601019445636193,-1.63134829829376,-1.43767248521542,-1.62470335808121,-1.63095703549196,0.577820856257892,-1.51566388438457,-1.14999266535422,-1.53592404557003,-1.56043157918991,-1.21190852786086,-1.14806135361689,-0.757505426809192,-1.42925616258369,-1.1205381015492,-1.52118117270801,-1.42524275628208,-0.823508347143906,-1.09468277169861,-1.80151998496915,0.513163018215461,-1.61780641506745,-1.36020321130433,-1.48887827538534
"VU383Platelet-hiseq",-1.49435672246263,-1.545011735112,-1.42151610174846,1.18245908653151,-1.29778536518289,-1.5290957326496,-1.65918090995806,4.8345893229051,-1.60650074225389,-1.56468901493794,-1.62811301031391,-1.42471679433411,-1.61540861633195,-1.62557761606798,-1.47452782137752,-1.50678138571306,-1.1324143943196,-1.52017918598982,-1.55352142585363,-1.52258053447059,-1.53716938629485,0.434446613106617,-1.42222796103009,-1.10737720133369,-1.51335481020077,-1.41376206641278,-0.777700619736643,-1.06557922489288,-1.79617810602763,-1.38860750189278,-1.6135090136539,-1.34989565832842,-1.48167051499704
"VU393-GBM-vIII",-1.24719405526697,0.516301652151414,-1.12389666556632,-1.10964151523674,-0.946255416872647,-1.27353867680083,-1.38279483702524,-0.359036288532495,-1.30182927491503,-1.28361011909685,-1.40464099159216,-1.09490698844725,-1.30629253858995,-1.36755644117176,-1.11583335984653,-1.22070286790239,-0.697919277048098,-1.04978381473016,-1.24155807016026,-1.26876431810217,-1.2489481716891,-1.35077149799213,-1.14486782558236,-0.786893521998332,-1.19131036912493,-1.02272225913685,-0.164634124097459,-0.539960041861171,-1.50021688126596,-0.197974715471333,-1.35173904763338,-1.02323252827211,-1.17993240198721
"VU394Platelet-hiseq",-1.48934208321365,0.847887590241901,-1.40990286263626,-1.46480431051812,-1.28432729334277,-1.52272377241041,-1.65254208029472,-0.839133441202672,-1.59827749094131,-1.55620665215465,-1.62422702534504,0.834417132709117,-1.60455085505778,-1.61919575254308,-1.46180526982649,-1.49637400534955,-1.11194798098909,-1.50184879850463,-1.54532853282655,-1.51698686779667,-1.52698877152203,-1.57075755999841,-1.4139062091324,-1.09199003361575,-1.50410202950167,-1.4002670350954,-0.0533542629856224,-1.03235075084899,-1.78983525985555,-1.38433055969531,-1.60836432996343,-1.33779102521191,-1.47313429487104
"VU398-GBM",-1.00891771616439,-0.926031857068546,-0.767237703336703,-0.730407002309493,-0.584491874553073,-0.387736739085605,-1.10413060579427,0.134050299222424,-1.00493780288988,-0.968095751285453,-1.18255485470852,0.82193886813125,-0.960477375550577,-1.08483568744594,-0.770079870083594,-0.875509693944105,-0.30267938493,-0.698420250759495,-0.955237391885175,-1.01238302209772,-0.907391049653741,-1.07617066810091,-0.835835690128141,-0.3970224311804,-0.888163317695874,-0.690554049249565,0.378106216784346,-0.066609852542047,-1.24047517209452,-0.939770551785809,-1.11660345646911,-0.674320963876293,-0.879805659698936
"VU402-2-GBM",-1.48651875439176,-1.53009304562607,-1.40349273701004,-1.45636137946003,0.333405071766425,-1.51916061875522,-1.64883759963448,1.6254274499936,-1.59370173658642,-0.313829001401452,-1.62203603895919,0.0388178120079181,-1.59856832737247,-1.61563455112629,-0.931870142163169,-1.4906255025032,-1.10069834732605,-1.49177556360987,-1.54075890619871,-1.5138468622615,-1.52136479905646,-0.200380636788667,-1.40926974645614,-1.08350434028337,-1.49895329227046,-1.39279279606505,-0.698820102138557,0.370189992811109,-1.7862932986112,-0.204007651473095,-1.60547171583492,-1.33109201302177,-1.46837749521212
"VU406-2-GBM",-1.49207838195506,-1.54062099006238,-1.41620270938794,-0.625201094902636,-0.251767642386875,-1.5261937525078,-1.65615512287883,0.657702992397824,-1.60274910467336,-0.0542877746263479,-1.62634834252466,-1.41782076666968,-1.61043781180134,-1.62266898065375,-1.46870801366629,-1.50202090432955,-1.12303622473858,-1.51177934055068,-1.54978674558637,-1.52003646510467,-1.53251284767972,-1.57371606475339,-1.41843307786855,-0.0900432667626111,-1.50913349640349,-1.40759509535617,-0.753901364128117,-1.05026927263787,-1.79328798520366,-0.854153528538439,-1.61117047557015,-1.34436256444686,-1.47777807594597
"VU408-GBM",-1.03480542359729,-1.50701261356642,-1.37576635509834,-0.411971057307996,-1.24433090365885,-1.5033750659792,-1.63138248067472,-0.0250780791985761,-1.57361616390262,-1.53092652579634,-1.6117791900371,-0.39782406121425,-1.57277902591412,-1.59969285371922,-1.42435242020325,-1.46573284608166,-1.05237507680724,-1.40927802163884,-1.52061166629978,-1.49983400478358,-1.49700621238588,-0.838578589243723,-1.38886805389691,-1.04684427169196,-1.47635035650434,-1.36003964201904,-0.586229584750279,-0.939088615907627,-1.76596908016921,-0.969902104977486,-1.59231573665131,-1.30197235572648,-1.44743954901002
"VU417-GBM-vIII",-1.48049453915221,-1.51896833314479,-1.39010617733547,-1.43884632833558,-1.26120804042729,-1.51161462160413,-1.64101065553134,-0.779857846810852,-1.58406309888857,-1.54160730745221,-1.6173537125301,-1.38435862763394,-1.58609918145716,-1.60811013564207,-1.44009585944892,-1.47861239779962,-1.07730345083549,-1.45838393516966,-1.5311084645874,-1.50716883331787,-1.50961042078366,-0.702862367180013,-1.39948948269619,-1.06579709625124,-1.48810718360781,-1.37712626442985,0.839589885320246,-0.977539156850634,-1.7787882300509,-0.122216665680111,-1.59930901626677,-1.31706185013696,-1.45834148789863
"VU418-GBM",-1.442224126182,-1.48279165209481,-1.35228447223522,-1.38907079768198,-1.21796599852151,-1.4857454759636,-1.610882548055,-0.675827244334392,-1.54483605041447,-1.50817750923325,-1.58641932169743,-1.3377452197967,-1.54434332877292,-1.57983948676434,-1.39725993638953,-1.44134851767521,-1.01395841294207,-1.33737620034531,-1.47591261160882,-1.47861336366564,-1.47204538063269,-1.53718574297823,-1.37049074609628,-1.01747708398879,-1.43943735966274,-1.29460317594976,-0.501897029551813,-0.881239069936976,-1.71281643752104,-1.35750677010782,-1.54419840466451,-1.27845592188274,-1.42558725824542
"VU419-GBM",-1.40991297892905,-1.46477899534669,-1.3311675549849,0.980448790521895,1.05766468378026,-1.46466328340365,-1.57309465420308,4.44026405215894,-1.50457647572537,0.135964392532687,-1.55630362536471,0.909530123182359,-1.52513759665993,-1.56062645776033,0.938856265144873,-1.42213472205737,-0.96782861876452,-1.28973000980229,-1.43708647540011,-1.4438471177207,-1.45326516293977,-1.52513111524881,-1.35379925558342,-0.997051488191577,-0.79622602312316,-1.24955994596378,1.71337167495228,-0.842091755137015,-1.67759450720107,-1.32635667366096,-1.51231315437432,-1.25792347131819,-1.38488896901895
"VU421-GBM",-1.42764123261504,0.448291645063636,-1.34274497770478,-1.3777413544987,-1.20972295105885,-1.47968390320465,-1.59382785080615,-0.656818791267043,-1.526665816837,-1.50076405678584,-1.57282729443585,0.991086582716672,-1.53566270643213,-1.5738793959208,-1.37767321151182,-0.0492415548510534,-0.997235286252703,-1.31587218750044,-1.45838932753861,-1.46292241774012,-1.46356015448638,-1.53174937910918,-1.3629638146079,0.697488742373171,-1.42088427460707,-1.27427394951731,-0.476557880011205,-0.863639620245159,-1.69691982892779,-1.34344789013278,-1.52980772990148,-0.627012655439832,-1.40721902094636
"VU422-GBM",-1.47842115970919,-0.297850034206426,-1.3855863421926,-1.43296678197684,-0.688979300531733,-1.50903492635906,-1.63834054889343,-0.0773867515247378,-1.5807837518492,-1.53825015960024,-1.61573989034175,0.271350860909791,-1.58189660162195,-1.60554318713596,-1.43513530261112,-1.47455397929385,-1.06943220540996,-1.44263782972857,-1.52781757249663,-1.50487718490227,-1.50563897936725,-1.55907807320581,-1.39615770966626,-0.509858229070708,-1.48441680667175,-1.37181913532244,-0.625053566168439,-0.965314373746539,-1.77484154549019,-1.37495953785499,-1.59719089167804,-1.31231243507276,-1.45492202463799
"VU425-GBM",-1.48401488443887,-1.52543457448259,-1.39788181177581,-0.879274922763491,-1.27031446325606,-1.51601496743029,-0.926025515131338,0.807437475753567,-1.58967528870918,-1.54736213261672,-1.62009111255162,-0.0770910467040568,-1.59333789981122,-1.61249503337706,-1.44862613250687,-0.998503617672183,-1.09087689305699,0.904504326954809,-1.53673157366183,-1.5110676608844,-1.51643951166792,-0.736705223044129,-1.40518640010034,-0.225329256975169,-1.49442253362463,0.287223180239104,0.0242989018016289,0.412517479886122,-1.78316927473921,-1.37976903453971,-1.60290874784562,-1.32521794955951,-1.46418768196002
"VU429-1-GBM-vIII",-1.38587086544915,-1.45142080521547,-1.31551230332409,0.123202693662499,0.822025853941654,-1.43642416174937,-1.54497739717589,-0.601726791572418,-1.47462008774103,0.0392785985043613,-1.53389510538585,-1.29427556354882,-1.50755693564905,-1.53209989708795,-1.31706186306371,-1.40789765790937,-0.927948862453513,-1.25427738068476,-1.40819668187441,-1.41797821174422,-1.43934940723822,-0.444955531364643,-1.32472450354705,-0.981406509904029,-1.36774192866059,-1.21604413055968,-0.403854365053582,0.0500872385402585,-1.65138653510076,-1.30317847612367,-1.48858794276821,-1.22629903067147,-1.35460614184599
