"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161"
"VU280-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.92609614333484,3.51266192128151,4.09537974846136,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.40614703718747,3.51266192128151,3.51266192128151,3.51266192128151,5.13611196171859,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU284-GBM-vIII",3.51266192128151,4.57884609145947,3.51266192128151,3.84078640232013,3.84078640232013,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.3080222247437,3.51266192128151,3.51266192128151,3.51266192128151,4.74812480059494,3.51266192128151,4.16476093189013,3.51266192128151,3.51266192128151,3.97571070251831,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.97571070251831,3.51266192128151,3.51266192128151,3.51266192128151
"VU306-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.30105193348269,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.23482387944422,4.98260428551568,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU360-GBM-WT",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.04435240882714,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU372-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.59507793337781,3.51266192128151,3.51266192128151,4.45534345778421,3.51266192128151,3.51266192128151,3.51266192128151,5.09424038079508,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.18505779524195,3.51266192128151,3.51266192128151,3.51266192128151
"VU378-GBM",3.51266192128151,3.96880174589539,3.51266192128151,5.58839724506815,3.88561240429811,3.51266192128151,3.51266192128151,4.76820228273731,3.51266192128151,4.03864544676547,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.48371181426975,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.77674381887784,3.77674381887784,4.03864544676547,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.71770818551656,3.51266192128151,3.51266192128151,3.51266192128151
"VU383Platelet-hiseq",3.51266192128151,3.51266192128151,3.51266192128151,5.43738816909541,3.51266192128151,3.51266192128151,3.51266192128151,5.87412798849817,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,5.59535517352869,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU393-GBM-vIII",3.51266192128151,5.18236150712591,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.29223304820068,3.51266192128151,3.51266192128151,3.51266192128151
"VU394Platelet-hiseq",3.51266192128151,5.52433975325643,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.85438662503455,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.80862043912635,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU398-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.38485659919711,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.72868393070427,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU402-2-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.25409496996471,3.51266192128151,3.51266192128151,4.4631336125516,3.51266192128151,4.19070988357898,3.51266192128151,4.19070988357898,3.51266192128151,3.51266192128151,3.81812186933195,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.4631336125516,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.03978587540425,3.51266192128151,4.25409496996471,3.51266192128151,3.51266192128151,3.51266192128151
"VU406-2-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.91736489825795,4.00751709350311,3.51266192128151,3.51266192128151,4.08315256354357,3.51266192128151,4.36167953696968,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.00751709350311,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.91736489825795,3.51266192128151,3.51266192128151,3.51266192128151
"VU408-GBM",3.85966063739265,3.51266192128151,3.51266192128151,4.00222367063415,3.51266192128151,3.51266192128151,3.51266192128151,3.85966063739265,3.51266192128151,3.51266192128151,3.51266192128151,4.00222367063415,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.00222367063415,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.85966063739265,3.51266192128151,3.51266192128151,3.51266192128151
"VU417-GBM-vIII",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.07392265149017,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,4.07392265149017,3.51266192128151,3.51266192128151,4.30155402939091,3.51266192128151,3.51266192128151,3.51266192128151
"VU418-GBM",3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
"VU419-GBM",3.51266192128151,3.51266192128151,3.51266192128151,5.19066232815778,4.76053382512828,3.51266192128151,3.51266192128151,5.75568278105309,3.51266192128151,4.56600543534494,3.51266192128151,4.97253591580416,3.51266192128151,3.51266192128151,5.47325358097339,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.91835249021531,3.51266192128151,4.4083509341528,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151,3.51266192128151
