"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161"
"VU280-GBM",-0.774494323147262,-1.3882340915912,-1.40414710100059,-0.567796273714185,-1.44618472426207,-1.3132139452722,-1.38989967720706,-1.1421107403994,-1.44310301583577,-1.00722538685694,-1.32275047809333,-0.387841709070458,-0.630127367967567,-1.48134337684987,-1.47348343069874,-1.52922640903168,-1.0335556004202,-1.29660714091534,-1.26110773641653,-1.32110054783191,-1.50678224460598,-1.53835159761295,-1.32774735596186,-0.778453470711728,-0.940416450675884,0.0418382514020698,-1.41305839462647,-1.41819696790425,-1.43566910555655,-1.50787723110133,0.591359796442422,-0.982615735051426,-0.983149535065576,-1.24390900289567,-0.815461171706968,-1.37334571500363,-1.38559110050764,3.08405338291695,-0.83423999238035,-1.65579534095025,-1.15608986965017,-1.04195378290277,-1.30230163950709,-0.966076983554629,-1.49189919398764,-0.286745172964062,-0.899800847092493,-1.23760018718487,-1.36070336729371
"VU284-GBM-vIII",-0.925366507310139,-1.46342391962678,0.278399022202615,-0.681965407924047,0.189907378453685,-1.37430663082387,-0.899196095012228,-0.669363260940874,-1.49575289157202,-1.62483333225344,-1.38630298284185,-0.40957711928798,-0.785417727248614,-1.56673901410068,-1.52455024115796,-1.59599313116094,-1.09155142297147,0.246640707789903,-1.3216091933885,-1.37413193602008,-1.56944099001228,-1.59157837122806,-1.42343157592121,0.365316270719813,-1.0599256133347,0.318507807260693,-1.51269573635124,-1.48727666439551,-0.682668992131235,-1.54460307378515,-1.38333087602117,-1.05334996332799,-1.07067779565971,-1.28222062095601,-0.896342283732542,-1.46918928295312,-1.45084491204962,-0.671983289815476,-0.977113211986318,-1.7619580425933,-1.20869133474211,-1.08496389303826,-0.741792072561247,-1.00342243635165,-1.58297555860419,-0.481233227101242,-0.99147173019194,-1.3004731662285,-1.44016394704302
"VU306-GBM-vIII",1.72253785263317,-1.46784550837715,0.500096496284583,-0.704004633981481,-1.51009319677815,-1.38429383613483,-1.47561194147399,-1.23285938033901,-1.5013037862411,-1.63061170449156,-1.39672378300925,-0.413216060975256,3.30106151262326,-1.57386779823409,-1.53186219672015,-1.5994527571941,-1.10228100482464,-1.38420352711809,-1.3286807811524,-1.38252419637195,-1.57871063745468,-1.59711263177461,-1.43441258322752,-1.47105727653098,-1.07770393801118,-1.44875857166876,-1.51983786855102,-1.49220539824682,0.632868544655264,-0.0552655989663109,-1.39056345148548,-1.06670449978219,2.84893807935343,-1.28829494765584,-0.911632819143185,-1.47723668356291,-1.45855287041231,-0.716198473042962,-1.00564373309815,-1.76767564878309,-1.21793274119378,-1.09270781902814,-1.36161590904242,-1.01005946874899,-1.58749289825591,-0.96842095414988,-1.0073254855735,-1.31095073294334,-1.44759533850344
"VU360-GBM-WT",-0.24070855893251,-1.11172379833546,-1.00535005647712,-0.113236032441488,-1.07307775860059,-0.925413986105708,-0.973281864101147,-0.716998853279039,-1.11695303365177,-1.22603484422439,-0.922529736467822,-0.264726259305692,2.62866541855862,-1.13476170034643,-1.1068442786001,-1.27192474936981,-0.636462800558988,-0.880555877511178,-0.912164350297108,-0.949072666775323,-1.11343778595278,-1.2087866374015,-0.922112920314104,-1.02844799205536,-0.474371292167908,-0.830301103554335,-1.07917514914388,-1.12013180301287,-1.0588731058884,-1.19688883342736,-0.972314578789523,-0.572208786406594,-0.521025599283748,-0.906936397858729,-0.397001201362877,-1.01923651791152,-0.996434343236137,0.108908438996913,-0.2846589256947,-1.35372074501527,-0.774591683474638,-0.682079125955059,-1.03595753070646,-0.634362083519313,-1.21912010350021,-0.523996740323114,-0.444806622526248,-0.828128753685731,-1.01022979049901
"VU372-GBM-vIII",2.07814524158665,-1.41716666978121,-1.42281949658369,-0.597213136003309,-1.46218595893825,-1.33206519571121,-1.41093796624878,1.0327345304838,-1.46746070122333,-1.58471276566458,-1.34207947614903,-0.393930202246065,1.58515693088985,-1.51760785487922,-1.48803973664384,-1.55614909714912,-1.04886262308759,0.970735215178473,-1.2917244508356,-1.33774870255459,-1.52387962571317,-1.56099197638971,-1.37019080313982,-1.42102874337805,-0.989180957160766,-1.28591020395472,-1.447994175832,-1.44938493413653,-1.45237856631753,-1.51846684801412,-1.35111465128004,-1.0010643113506,1.01075047799295,-1.25720983425189,-0.836545245078167,-1.41039783307142,-1.41944607010277,-0.511299013832436,-0.870331489961252,-1.68740283289276,-1.17182121179011,-1.05348906441245,-0.353730509117039,-0.976171225046487,-1.52044135880618,-0.917153284795131,-0.929346801949072,-1.25872991726734,-1.39737507323548
"VU378-GBM",3.95933615026974,-1.48107926277798,0.15869717703106,0.769412681753765,-0.708154301460162,-1.41562044055688,1.270949627957,-0.549405742475984,-1.51818461488494,-1.64827187040307,-1.4294614152485,-0.4237886316,2.26935155889847,-1.59579865076871,-0.605812617885906,-1.60977236416344,-1.13552731806595,-1.42522323901301,-1.35024127884876,-1.40854304322544,-1.60790369835835,-1.61402520025881,0.566169789973639,-1.49899653112184,-1.1340426943152,-1.49946309904669,-1.54168834828217,-1.20127280104789,-1.14178791801387,-0.763775473720971,-1.41274998920971,-1.10870082620034,-0.668507737215942,-1.30670874214784,-0.959791760577103,-1.50199253916339,-1.48191150717244,-0.866705500032781,-1.09956340518599,-1.7845239337901,-1.24648979546897,-1.11625608574611,0.521299059082918,-0.726448126744211,-1.6010558700319,-0.999885081010188,-1.05715411477396,-1.34360841820098,-1.47037991476778
"VU383Platelet-hiseq",1.85221232328549,-1.4771763782555,-1.50126965658006,-0.752992683700331,-1.52804971853604,-1.40614330312224,1.12963279232072,-1.25970237348351,-1.5131630837466,-1.64300445382103,-1.41954879906062,-0.420719871017316,4.8223470635894,-1.58923395953086,-1.54769489305547,-1.60673446790223,-1.12553501089708,-1.41269729969823,-1.34381852246564,-1.40072152457615,-1.59905338825392,-1.60898105607277,-1.45840864933353,-1.49055271058899,-1.11689775040537,-1.4840354231186,-1.53516731414194,-1.50266181600344,-1.52151372482861,0.401386538461027,-1.40611887342054,-1.09597551187842,-1.12456559686062,-1.30124044419176,-0.945185258216611,-1.49458218711636,-1.47497776110486,-0.819006289084955,-1.07036350203129,-1.77950369043698,-1.23792010351213,-1.10925089154429,-1.3695919374639,-1.02414469114457,-1.59704916073709,-0.990465799431324,-1.04205909994698,-1.33376188956386,-1.46357200060613
"VU393-GBM-vIII",-0.510717068743135,-1.23868806895432,1.23577663222808,-0.359946300313292,0.494580006583726,-1.11775648171257,-1.17827195406901,-0.912196001436276,-1.26671018776265,-1.37512747312482,-1.11573225404227,-0.347809028961309,-0.366224768215476,-1.29390040454802,-1.27628560987508,-1.39006905844179,-0.828392688182638,-1.09080970730211,-1.0723874724973,-1.12841957503943,-1.29972593569487,-1.3601118351079,-1.10836667475313,-1.21438927714467,-0.68836362832549,-1.01968537972306,-1.23248315889434,-1.25699334914823,-1.2427875547045,-1.34374694758291,-1.13816535871544,-0.783178140453569,-0.74224027206795,-1.06293359184711,-0.616893874574842,-1.18183160758743,-1.17512209934682,-0.188351049804786,-0.543012063025429,-1.49242328767214,-0.958026539485634,-0.850684138981835,-0.20320135666058,-0.795872190850634,-1.34437113070801,-0.713906343622089,-0.653724739742297,-1.01614432909649,-1.17115552503492
"VU394Platelet-hiseq",-0.989422054622885,-1.47248986926033,-1.48989659671002,-0.727939956091542,0.822215933843477,-1.39503252040754,-1.48868607268764,-1.24605931254605,-1.50718146342482,-1.63674558109275,-1.40793714763327,-0.416980624553952,-0.850695336957771,-1.5814599034463,-1.53967236118283,-1.60308044821788,-1.11374771778069,0.818894161800331,-1.33617809332918,-1.39149623520104,-1.58869801752585,-1.60298714194186,-1.44621090066297,-1.48064363367377,-1.09691247360087,-1.46604747366043,-1.52742315833987,-1.49740044371831,-1.5118191294232,-1.55428522024456,-1.39825496495322,-1.0810802437175,-1.10562337397876,-1.29471642485959,-0.928104052590973,-1.48580679568387,-1.46670134638586,-0.0767890123375752,-1.03703039206776,-1.77353289588963,-1.22779603316755,-1.10090690053977,-1.36559331367962,-1.01705645138752,-1.59224545583654,-0.979312878584178,-1.02438640640579,-1.32218118801773,-1.45549625156528
"VU398-GBM",2.24183712778623,-1.0056377530758,-0.0795668668176298,0.0929047701315382,-0.92318297181553,-0.76470062482031,-0.802000700856459,-0.553900263470826,-0.396682812888297,-1.10145926638413,-0.76109777672216,-0.0924958072757519,0.128780463071142,-1.00179204129036,-0.965266174375362,-1.17320829584875,-0.476094197282828,0.813361107786856,-0.778288596823125,-0.799217875860153,-0.957783183374052,-1.08234561825054,-0.766487057015019,-0.87308321510295,-0.295568227745307,-0.672059506960491,-0.951077375008054,-1.00577600742682,-0.905201868729241,-1.07418032284313,-0.833736589408651,-0.395931599661558,-0.336187851823806,-0.776591653615597,-0.213268061567507,-0.883378847416671,-0.847130312348497,0.363257174462221,-0.0687898273550656,-1.23782668957585,-0.621321174046055,-0.541199814352043,-0.933771847677535,-0.499410978986305,-1.11446557292701,-0.365316202305469,-0.270243363662051,-0.671030786318021,-0.875766963483131
