"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161"
"VU280-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,4.0391138070991,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.37658678149454,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.10190061260451,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.86577245501766,3.44218796603894,3.44218796603894,3.44218796603894
"VU284-GBM-vIII",3.44218796603894,3.44218796603894,4.43346098298596,3.44218796603894,4.53355680532959,3.44218796603894,3.77838928493458,3.77838928493458,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.25671300898034,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.70640016293494,3.44218796603894,4.11013145322826,3.44218796603894,3.44218796603894,3.91658482572392,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.91658482572392,3.44218796603894,3.44218796603894,3.77838928493458,3.44218796603894,3.44218796603894,3.44218796603894
"VU306-GBM-vIII",4.52814682599719,3.44218796603894,4.79143376607783,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.26973922569043,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.20236898325357,4.94553450487069,3.44218796603894,3.44218796603894,5.20236898325357,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU360-GBM-WT",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.00845082479861,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU372-GBM-vIII",4.73032025070157,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.55013745866681,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.40735421024837,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.05926457377752,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.40735421024837,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.13090371838305,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU378-GBM",7.18549107642278,3.44218796603894,4.32702403716473,4.1002537662973,3.90950946130188,3.44218796603894,5.56170143254202,3.82430679915445,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.72688940513365,3.44218796603894,3.98102913094108,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.43634975891547,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.71278047651513,3.71278047651513,3.98102913094108,3.44218796603894,3.44218796603894,3.71278047651513,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.67535519576647,3.71278047651513,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU383Platelet-hiseq",4.5912502618408,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.40833463810811,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.85148381168103,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.56876435134736,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU393-GBM-vIII",3.44218796603894,3.44218796603894,5.79337898235282,3.44218796603894,5.1489811359643,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.24056209493228,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU394Platelet-hiseq",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.49666230699209,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.81481362485526,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.7454375925754,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU398-GBM",4.94503175563759,3.44218796603894,4.33529168787317,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.33529168787317,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.68655830871037,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU402-2-GBM",4.9138536650101,3.44218796603894,4.06454598901196,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.20154582587858,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.41531700203087,3.44218796603894,4.13668791239631,3.44218796603894,3.44218796603894,4.13668791239631,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.75517131978009,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.41531700203087,3.44218796603894,3.44218796603894,4.8256513519305,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.98219680506599,3.44218796603894,3.44218796603894,3.44218796603894,4.20154582587858,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU406-2-GBM",4.58861079261151,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.85682976731503,3.94915557679471,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.02659648434822,3.44218796603894,4.31159131569029,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.94915557679471,4.21143930591594,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.85682976731503,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU408-GBM",3.94373514483975,3.79772362369221,3.79772362369221,4.30247183838477,3.44218796603894,3.44218796603894,3.94373514483975,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.94373514483975,3.79772362369221,3.44218796603894,3.44218796603894,3.44218796603894,3.79772362369221,3.94373514483975,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.94373514483975,3.44218796603894,3.44218796603894,4.30247183838477,3.79772362369221,3.79772362369221,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.94373514483975,3.94373514483975,3.79772362369221,3.44218796603894,3.44218796603894,4.14799998987986,4.14799998987986,3.44218796603894,3.44218796603894
"VU417-GBM-vIII",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.01714722639459,3.44218796603894,3.44218796603894,6.18170852360436,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.01714722639459,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.25009675618751,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU418-GBM",3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.11464880426553,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU419-GBM",5.11624871108051,3.44218796603894,4.15727071708004,3.44218796603894,3.44218796603894,3.44218796603894,5.15742960441986,4.71906396226403,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.73142320349134,3.44218796603894,4.52043919435758,3.44218796603894,3.44218796603894,4.93527333127335,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.44477375225732,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.47646733943911,3.44218796603894,3.44218796603894,3.85784128491366,3.44218796603894,4.35931389939305,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU421-GBM",3.44218796603894,3.44218796603894,3.44218796603894,4.00847688890026,5.02346035494828,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.06505491826646,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.238062240158,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.32928720442182,4.00847688890026,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.84389138058021,3.44218796603894
"VU422-GBM",3.44218796603894,3.44218796603894,3.92241664528953,3.44218796603894,4.11827025637233,3.44218796603894,3.44218796603894,3.78254099148132,3.44218796603894,3.44218796603894,3.92241664528953,3.44218796603894,3.78254099148132,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.26655303904054,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.78254099148132,4.11827025637233,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.78254099148132,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU425-GBM",3.44218796603894,3.44218796603894,3.76371351575062,4.22186935575215,3.44218796603894,3.44218796603894,3.76371351575062,3.44218796603894,3.44218796603894,3.895962543418,3.99681800492598,3.44218796603894,4.08133108640452,3.44218796603894,3.44218796603894,3.44218796603894,3.76371351575062,4.08133108640452,3.44218796603894,3.76371351575062,3.44218796603894,3.44218796603894,3.44218796603894,3.76371351575062,3.44218796603894,4.28268914974825,3.44218796603894,3.44218796603894,3.44218796603894,3.99681800492598,3.44218796603894,3.895962543418,4.28268914974825,3.76371351575062,3.895962543418,3.44218796603894,4.1553465302178,3.76371351575062,3.99681800492598,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU429-1-GBM-vIII",4.77605511813522,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.19065629454026,4.48944740016323,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.4015549513195,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.19065629454026,3.44218796603894,3.44218796603894,4.19065629454026,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.87752533630513,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.87752533630513,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
"VU430-GBM",3.69483430124136,3.44218796603894,4.23223807176859,3.44218796603894,3.44218796603894,3.44218796603894,3.69483430124136,3.87867693739723,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.10562071445721,3.44218796603894,3.94556919268459,3.44218796603894,3.44218796603894,3.69483430124136,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.79903023660618,3.44218796603894,3.94556919268459,3.44218796603894,3.44218796603894,3.44218796603894,4.10562071445721,3.44218796603894,3.44218796603894,3.94556919268459,3.44218796603894,3.44218796603894,3.44218796603894,3.69483430124136,3.44218796603894,3.69483430124136,3.44218796603894,3.69483430124136,3.44218796603894,3.94556919268459,3.44218796603894,3.44218796603894,3.69483430124136,3.44218796603894,3.44218796603894,3.44218796603894
"VU431-1-GBM-vIII",3.77193982355384,3.44218796603894,3.44218796603894,4.09748059240664,4.01088976868496,4.17329336045173,3.90752352030331,4.4656308160518,3.77193982355384,3.44218796603894,3.44218796603894,4.17329336045173,3.90752352030331,3.44218796603894,4.17329336045173,3.44218796603894,3.44218796603894,3.77193982355384,3.44218796603894,3.44218796603894,3.44218796603894,3.90752352030331,3.77193982355384,3.44218796603894,4.17329336045173,3.44218796603894,3.77193982355384,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.01088976868496,3.77193982355384,3.77193982355384,4.30367334105073,3.44218796603894,3.90752352030331,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.90752352030331,3.90752352030331,3.77193982355384,3.44218796603894,3.90752352030331,4.09748059240664,3.44218796603894,3.44218796603894
"VU436-1-GBM-vIII",4.40079616239359,3.44218796603894,3.44218796603894,3.44218796603894,4.12614176179315,3.44218796603894,4.12614176179315,4.40079616239359,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.60613077658257,3.44218796603894,4.92040130794242,3.44218796603894,3.44218796603894,4.77503327156947,4.12614176179315,3.44218796603894,3.44218796603894,3.44218796603894,5.0489245472234,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12614176179315,4.12614176179315,5.16461781494037,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12614176179315,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12614176179315,4.40079616239359
"GBM-438",4.30440644972482,3.44218796603894,5.37705700085552,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.14960219928717,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.30440644972482,3.94488476926208,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.94488476926208,4.14960219928717
"VU439-1-GBM-vIII",3.79368108462921,3.44218796603894,3.44218796603894,3.93806014676743,3.44218796603894,3.44218796603894,4.04803716662432,4.29291828301772,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,5.13933002348167,3.44218796603894,4.14008934110984,3.79368108462921,4.35895059572792,3.44218796603894,3.44218796603894,3.44218796603894,4.14008934110984,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.93806014676743,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.79368108462921,3.44218796603894,3.44218796603894,3.44218796603894
"GBM-440",6.50584144890529,4.06414742037909,3.44218796603894,3.80312163982069,3.44218796603894,3.44218796603894,5.11901717255921,4.15855711110439,3.95131151260902,3.44218796603894,3.95131151260902,4.50370703353458,5.11901717255921,3.44218796603894,3.80312163982069,3.80312163982069,3.80312163982069,3.44218796603894,3.80312163982069,3.44218796603894,3.44218796603894,3.80312163982069,4.94999966542064,4.50370703353458,4.55848334228385,5.0206013654363,3.44218796603894,3.80312163982069,3.44218796603894,3.80312163982069,3.44218796603894,3.44218796603894,3.80312163982069,4.24111879510507,4.15855711110439,3.44218796603894,3.44218796603894,3.44218796603894,4.91297174070083,3.44218796603894,3.80312163982069,4.06414742037909,3.44218796603894,3.44218796603894,3.44218796603894,3.95131151260902,4.06414742037909,3.95131151260902,3.80312163982069
"VU443-1-GBM-WT",4.12436961281234,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.60321478862706,3.92678831530174,3.92678831530174,3.44218796603894,3.44218796603894,4.27392539403256,4.12436961281234,3.44218796603894,3.44218796603894,3.44218796603894,4.60321478862706,4.39835502535017,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12436961281234,4.77174536359927,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.12436961281234,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,4.39835502535017,4.12436961281234,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894,3.44218796603894
