class,ENSG00000005381,ENSG00000012223,ENSG00000049768,ENSG00000073712,ENSG00000075131,ENSG00000078018,ENSG00000086548,ENSG00000094963,ENSG00000096696,ENSG00000100448,ENSG00000100985,ENSG00000101425,ENSG00000103037,ENSG00000103175,ENSG00000112077,ENSG00000114739,ENSG00000115423,ENSG00000115590,ENSG00000117318,ENSG00000117519,ENSG00000117560,ENSG00000117643,ENSG00000118113,ENSG00000118520,ENSG00000124107,ENSG00000124469,ENSG00000128596,ENSG00000132386,ENSG00000133063,ENSG00000134121,ENSG00000137103,ENSG00000147174,ENSG00000152583,ENSG00000154016,ENSG00000155275,ENSG00000155659,ENSG00000156042,ENSG00000159713,ENSG00000159899,ENSG00000160185,ENSG00000163687,ENSG00000165138,ENSG00000166428,ENSG00000172232,ENSG00000175445,ENSG00000178038,ENSG00000179593,ENSG00000179639,ENSG00000181007,ENSG00000184206,ENSG00000186854,ENSG00000196081,ENSG00000196533,ENSG00000196634,ENSG00000197353,ENSG00000197457,ENSG00000198178,ENSG00000198502,ENSG00000198610,ENSG00000198722,ENSG00000204219,ENSG00000211786,ENSG00000211793,ENSG00000211800,ENSG00000213160,ENSG00000225113,ENSG00000228486,ENSG00000229391,ENSG00000229807,ENSG00000230063,ENSG00000231027,ENSG00000232021,ENSG00000237702,ENSG00000239219,ENSG00000239961,ENSG00000254977,ENSG00000256862,ENSG00000266088,ENSG00000266371,ENSG00000268632,ENSG00000269161
1,-0.692164274,-1.205037867,-0.531086942,-0.602246087,-0.738620439,-1.253387072,-0.397874226,-0.579207759,-0.597077557,-0.591511625,-0.560112314,-0.73423345,-0.599521505,-0.591404973,-0.614138546,-0.610855633,0.617717798,2.504847427,-1.028825671,-0.594208016,-0.790177979,-0.696605451,-0.533524563,-0.681783477,-0.672776933,-0.529689781,-0.509340849,-0.852189782,-0.591962981,-0.514863338,-0.708068722,-0.935356814,-0.587878754,-0.716727171,-0.645448531,2.510165732,-0.664579872,-0.815399773,-0.547336352,-1.074461503,3.025098559,-0.568319081,2.510080267,-0.440898892,0.459809131,-0.517535465,0.558080331,-1.050327769,-0.660384667,-0.505087925,-1.1773412,-0.548980131,-0.578101157,-0.616183694,-0.640416398,2.935906907,-0.703471514,-1.109345956,-0.655381544,-0.824124997,-1.003320473,-0.687653457,-0.750842332,-0.761701505,-0.519328853,-0.736248364,-0.47608267,1.177887871,-0.584815881,-0.430236407,-0.994851275,-0.685758962,-0.722806972,-0.600935916,-0.743839625,-0.477588412,0.124648246,-0.53600957,-0.802480591,-0.651817101,-0.568427393
1,-0.802001723,-0.895568501,-0.696662452,2.085437732,-0.834160858,1.043433924,-0.519068555,2.283136632,-0.689459361,0.124316724,-0.039831483,0.794187067,-0.71166734,1.640169175,-0.181628764,-0.717188527,-0.691343382,0.460421617,-1.153205769,-0.686683618,0.230424977,-0.735151861,-0.636631088,-0.798090702,-0.773728407,-0.193138186,-0.657633309,-0.961069641,-0.687214739,-0.692275229,-0.788912936,1.719483857,1.463258736,-0.79688867,-0.754456637,0.618193836,-0.759656714,-0.915150866,-0.649647833,-1.202963245,-0.957830897,-0.684617013,-0.943245189,-0.542917194,2.3466441,-0.610864523,0.743735269,-0.082659276,-0.745532086,-0.673986539,-1.314100982,-0.696323906,0.709190744,-0.707759406,-0.729007534,-0.752622564,-0.791840941,-0.276555413,-0.743921464,2.793371594,-1.130843865,-0.763492228,-0.843344197,-0.837115311,-0.668944365,-0.829704719,-0.559513297,-0.82011018,-0.676199224,-0.652443182,-1.108119779,-0.76790902,-0.793559595,0.7577107,-0.80988922,-0.679309893,-0.150411969,-0.61079225,-0.917575578,-0.74282599,-0.704518006
1,1.125716511,1.592451351,-0.706399232,2.439575253,-0.852603994,-0.172151245,-0.533618859,-0.691015681,-0.704561595,-0.716546923,-0.65998546,2.084280271,-0.723490914,2.563283099,3.188070867,-0.731153386,-0.703591027,-1.146338988,-1.177556894,-0.701846982,-0.897254,-0.7416053,-0.657453451,2.02963324,1.882818365,1.503443296,-0.670012688,-0.982160384,-0.700853277,-0.701468114,-0.80386961,-1.091630469,-0.704303495,-0.808949731,-0.767197824,-0.789297029,-0.774702701,-0.934225893,-0.664783651,-1.228464331,-0.982232877,-0.696709105,-0.967232048,-0.554625119,-0.682753951,-0.624748264,-0.442162217,-1.218112586,-0.761650077,-0.686093408,-1.341386066,-0.706836666,2.958168913,3.005896439,-0.742083875,-0.76613231,-0.808524982,-1.269423618,3.220997651,1.681041454,-1.156552029,-0.775516504,-0.86083163,-0.85074311,-0.681506669,-0.847509129,-0.569368351,-0.843630145,-0.694447672,-0.664410575,-1.129731195,-0.782341737,-0.806298532,-0.744710682,-0.821627551,-0.689315172,-0.83943095,-0.623725324,-0.940697382,-0.75799231,-0.717245608
1,-0.303559396,1.200308993,0.077816338,0.034788672,-0.358229747,1.092884937,-0.080441467,0.073543164,-0.010662681,0.016241919,-0.092256692,1.388154223,0.095187866,1.872756379,1.035438975,0.002619924,0.153936578,-0.292609894,-0.689759034,-0.011844593,-0.278357277,-0.478267791,2.645665706,-0.335558242,1.445705738,1.313009407,0.092510146,-0.491959362,0.091906314,0.168836154,-0.154534794,2.214126768,-0.034903193,0.016882146,-0.016742058,-0.332844692,0.002406927,-0.41973031,0.094930806,-0.751784032,-0.438945789,0.151764452,-0.472842221,-0.008412362,0.047402343,-0.153583828,-0.027155648,-0.720733075,-0.143133367,0.060888814,-0.834244977,0.086778982,0.066050723,0.159264383,-0.076273633,0.015115769,-0.190743408,-0.793272305,-0.187916342,0.776668533,-0.690747965,-0.02060806,-0.272259302,-0.179825161,0.033449283,-0.283819728,0.021475887,-0.404720159,-0.233297552,0.202029168,-0.617773775,-0.089956205,-0.130804862,0.044668626,-0.157164863,0.126579336,-0.210891473,-0.164837325,-0.465909669,-0.059105564,0.031821991
1,1.38460458,0.807173339,-0.594799369,-0.632073201,-0.76323742,1.155395543,-0.431088715,-0.607201932,-0.62558363,-0.62220185,1.833407175,1.224023789,-0.651404115,1.202414399,-0.639482345,-0.655880728,-0.606305169,1.065763054,-1.0606413,-0.622333748,-0.813918768,-0.707403018,-0.561375923,1.102212483,0.767339609,-0.06627852,-0.572315362,-0.880176831,-0.619113957,-0.586402046,-0.729406193,0.941978154,2.425655925,-0.74383801,-0.700611997,0.579111157,-0.694427365,-0.841242596,-0.575253578,-1.107061628,-0.866505478,-0.617787216,-0.853939007,-0.486152001,-0.600223716,-0.555617445,-0.332885273,-1.085008452,-0.682556143,-0.564308744,-1.211959466,-0.615502611,-0.606666828,-0.642588853,-0.676473068,-0.692445801,-0.726519622,-1.142399954,1.361564128,2.864899874,-1.035416159,-0.713982773,-0.774955701,-0.781884896,-0.577168641,-0.760503358,-0.519368131,-0.734635277,-0.607900415,-0.496393341,-1.024245317,-0.710327302,-0.741782776,1.698352148,-0.761692416,-0.540805338,-0.766924203,-0.560112378,-0.831478453,-0.68240247,-0.631234321
1,2.754142722,1.795374238,-0.735541281,1.894227097,0.380399207,2.386563318,3.643573253,0.711977033,-0.751932376,3.290080913,0.092187407,2.743063035,-0.759447592,0.500304791,3.012988404,-0.774368628,-0.741022925,0.011279364,-0.879859667,-0.749483693,-0.065154629,-0.760355102,3.004888585,1.029901009,1.21212225,3.464021994,-0.708096367,-0.391721883,1.026449629,-0.728889274,-0.850213846,-0.092720323,-0.758822974,-0.845372221,-0.80604431,0.189044506,-0.821350354,-0.994892515,-0.712451144,-1.312032256,-0.324800794,-0.733662251,-1.046737031,1.578391344,-0.728844314,-0.668745251,-0.476186726,-0.633716323,-0.81242511,-0.723132893,-1.431408449,-0.086290988,-0.075696355,1.239230467,-0.782244662,-0.807574597,-0.860991679,0.517034538,-0.337103091,1.728611792,-1.242223604,-0.811967055,-0.915909902,-0.892290164,-0.720151516,-0.903922107,-0.599233667,-0.92369133,-0.754519767,-0.699675343,-0.097306089,-0.826940564,-0.845035974,3.819379214,-0.320029291,-0.719355269,-0.883929979,-0.664374201,-1.017342148,-0.80526444,-0.756268315
1,1.220121673,1.190241587,-0.72694674,-0.75738877,-0.893598777,-1.493989206,-0.566369831,-0.72243063,-0.737601445,3.083930804,-0.689527436,-0.938171732,-0.748751578,3.980823931,-0.781498171,-0.761390585,-0.729858285,1.332548467,-1.232217387,-0.73505979,-0.933814644,-0.754912844,-0.706016023,-0.878204502,2.871778784,-0.685047439,-0.696696555,-1.029095179,-0.730385024,-0.720817006,-0.836284908,-1.152461485,-0.742174693,-0.834578401,-0.794472151,-0.847197915,-0.807327616,-0.976389615,-0.698000035,-1.286118391,-1.03761365,-0.722641039,-1.021917282,-0.580209672,-0.714914853,-0.65535614,-0.465834217,-1.284335776,-0.797025491,-0.712078868,-1.403374583,-0.729139718,-0.724856889,4.144556353,-0.770232953,-0.79518832,-0.845093736,-1.332871006,-0.798432105,0.886438896,-1.215385897,-0.801142427,-0.899204782,-0.879913106,-0.70858367,-0.886754935,-0.590368487,-0.89831806,-0.735843175,-0.689167584,-1.177465796,-0.813556893,-0.833512268,-0.764044168,-0.846538836,-0.710480965,-0.870608495,-0.652060087,-0.993412948,-0.79101155,-0.744608531
1,-0.500130064,-1.030888438,-0.201771666,3.614743986,-0.564684868,1.617461996,-0.226195964,2.81616163,-0.301514957,-0.282793431,-0.307080333,-0.584408827,-0.223799422,0.856694505,-0.397629524,-0.279067516,-0.162075181,0.788509439,-0.856611301,-0.292974649,-0.561274148,-0.625609961,-0.356225453,-0.509576707,-0.501218592,-0.35232993,-0.183839684,-0.70019161,-0.224142104,-0.145095766,-0.422078564,2.449720275,-0.314352481,-0.321482444,-0.305423025,-0.486321168,-0.319133545,-0.652422986,-0.20924727,-0.900653712,-0.664850864,-0.178873802,-0.665966273,-0.206995699,-0.259338171,-0.320698237,-0.154239114,-0.870357497,-0.397530674,-0.198988759,-0.992869868,-0.205140321,-0.248360359,-0.206925619,-0.335309106,-0.294677303,-0.454310869,0.069205032,-0.411687832,2.726188637,-0.834042272,-0.329408267,-0.523745488,-0.464257749,-0.220367933,-0.521657997,-0.206986347,-0.562845314,-0.39854317,-0.088286019,-0.831766724,-0.376434613,-0.408163996,2.063227139,-0.442813484,-0.150834269,-0.479476485,-0.335267195,-0.65005352,-0.331258861,-0.243792433
1,-0.848635223,1.213036199,-0.716626579,-0.739221548,-0.872633845,-0.60674412,2.301762285,3.389360936,-0.720800184,-0.735619198,-0.674512606,-0.90756773,-0.736010545,-0.305082434,-0.757646008,-0.746069043,-0.716592187,-1.175883157,-1.204165028,-0.718163612,-0.915258063,-0.748281521,-0.68076122,-0.849105324,-0.816164209,-0.663705908,-0.683196639,-1.005084889,-0.715421093,-0.71110758,-0.81985382,-1.120965426,2.223843314,-0.82167565,-0.780706058,-0.816987632,-0.79078814,-0.954868745,-0.681091409,-1.256459343,1.018221799,-0.709544626,-0.993700875,-0.567204459,-0.698568212,-0.639748909,-0.453763674,0.576270395,-0.77901569,-0.698951489,-1.371427209,-0.717917456,-0.708283486,-0.731901792,-0.755997807,-0.780499306,-0.826484834,0.470605346,-0.779270946,-0.996633941,-1.184984202,-0.788227973,-0.879669401,-0.865190284,-0.694884945,-0.866743706,-0.57978663,-0.50350065,-0.714522937,-0.676670248,0.35879883,-0.797745681,-0.81978621,-0.754351708,-0.834002494,-0.699841426,-0.854835162,-0.637643171,-0.966212007,-0.774248438,-0.73077735
1,1.503774985,0.857292128,0.311428404,1.513626288,-0.185724465,0.815591433,0.041344907,0.335784209,0.232361342,0.266103376,0.087240975,0.283013319,1.62938532,0.558462953,-0.048059947,0.237986192,0.417982813,-0.14081826,-0.499271466,0.223055947,-0.041963748,-0.172827702,-0.079925135,0.487669731,-0.17942458,1.030837419,0.32341653,-0.30868074,0.35598318,0.431144564,0.069013612,2.486351657,2.216489308,0.299605475,0.224467708,-0.204606154,0.271072725,-0.225302022,0.34908931,-0.62241005,-0.250188938,0.428031977,-0.302199101,0.157515587,0.303701914,-0.013950003,0.079029992,-0.590026106,0.069430405,0.278031667,-0.704845724,0.330694567,0.3287595,0.465237466,0.140165597,0.27396593,0.029482562,-0.676696487,-0.000942225,0.32944166,-0.550479324,0.237412504,-0.062127942,0.057834837,0.245528355,-0.085091998,0.212369394,-0.269421087,-0.095225211,0.444604422,-0.406117163,0.149413195,0.100944855,0.292361512,0.081511203,0.358374567,0.013526952,-0.022433239,-0.304610488,0.168294373,0.2621139
