"","GBM_ge$X","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"1","VU280-GBM",-0.743839625,-1.074461503,-0.73423345,-0.994851275,-0.824124997,-0.716727171,-0.852189782,-0.681783477,-0.640416398,-0.935356814,2.504847427,-1.1773412,-0.591404973,-0.815399773,-1.253387072,-1.028825671,"GBM"
"2","VU284-GBM-vIII",-0.80988922,-1.202963245,0.794187067,-1.108119779,2.793371594,-0.79688867,-0.961069641,-0.798090702,-0.729007534,1.719483857,0.460421617,-1.314100982,1.640169175,-0.915150866,1.043433924,-1.153205769,"GBM"
"3","VU306-GBM-vIII",-0.821627551,-1.228464331,2.084280271,-1.129731195,1.681041454,-0.808949731,-0.982160384,2.02963324,-0.742083875,-1.091630469,-1.146338988,-1.341386066,2.563283099,-0.934225893,-0.172151245,-1.177556894,"GBM"
"4","VU360-GBM-WT",-0.157164863,-0.751784032,1.388154223,-0.617773775,0.776668533,0.016882146,-0.491959362,-0.335558242,-0.076273633,2.214126768,-0.292609894,-0.834244977,1.872756379,-0.41973031,1.092884937,-0.689759034,"GBM"
"5","VU372-GBM-vIII",-0.761692416,-1.107061628,1.224023789,-1.024245317,2.864899874,-0.74383801,-0.880176831,1.102212483,-0.676473068,0.941978154,1.065763054,-1.211959466,1.202414399,-0.841242596,1.155395543,-1.0606413,"GBM"
"6","VU378-GBM",-0.320029291,-1.312032256,2.743063035,-0.097306089,1.728611792,-0.845372221,-0.391721883,1.029901009,-0.782244662,-0.092720323,0.011279364,-1.431408449,0.500304791,-0.994892515,2.386563318,-0.879859667,"GBM"
"7","VU383Platelet-hiseq",-0.846538836,-1.286118391,-0.938171732,-1.177465796,0.886438896,-0.834578401,-1.029095179,-0.878204502,-0.770232953,-1.152461485,1.332548467,-1.403374583,3.980823931,-0.976389615,-1.493989206,-1.232217387,"GBM"
"8","VU393-GBM-vIII",-0.442813484,-0.900653712,-0.584408827,-0.831766724,2.726188637,-0.321482444,-0.70019161,-0.509576707,-0.335309106,2.449720275,0.788509439,-0.992869868,0.856694505,-0.652422986,1.617461996,-0.856611301,"GBM"
"9","VU394Platelet-hiseq",-0.834002494,-1.256459343,-0.90756773,0.35879883,-0.996633941,-0.82167565,-1.005084889,-0.849105324,-0.755997807,-1.120965426,-1.175883157,-1.371427209,-0.305082434,-0.954868745,-0.60674412,-1.204165028,"GBM"
"10","VU398-GBM",0.081511203,-0.62241005,0.283013319,-0.406117163,0.32944166,0.299605475,-0.30868074,0.487669731,0.140165597,2.486351657,-0.14081826,-0.704845724,0.558462953,-0.225302022,0.815591433,-0.499271466,"GBM"
"11","VU402-2-GBM",-0.82695783,-1.240375702,2.02561193,-1.139722155,1.863764659,-0.814429856,-0.991944419,3.031190011,-0.748060595,1.263154775,1.003293191,-1.354155825,0.849396987,-0.943047621,1.126531289,-1.188893899,"GBM"
"12","VU406-2-GBM",-0.840839214,-1.272462093,1.354642123,-0.71433104,0.922415838,-0.828710863,-1.01807622,0.664332515,-0.763743172,0.231682747,0.724824016,-1.388647759,-0.327680237,-0.966525642,1.254697775,-1.219318027,"GBM"
"13","VU408-GBM",-0.795451896,0.582491122,0.472614599,-0.183089506,-0.212243865,-0.782068495,-0.93593023,-0.770113109,-0.713080837,0.695239703,-1.089387776,0.278929472,-0.658506598,0.017783927,0.761913043,0.558328308,"GBM"
"14","VU417-GBM-vIII",-0.811957314,-1.207386365,1.614494059,0.507380841,0.465850332,-0.799012889,-0.964741525,-0.802243204,-0.731302953,1.760402387,-1.124501799,-1.318828689,-0.681925272,-0.918477599,1.302955553,-1.157437284,"GBM"
"15","VU418-GBM",1.100274343,-1.120737171,-0.77638567,-1.036447435,-0.86707395,-0.754915897,-0.89184985,-0.722770469,-0.684281262,-0.981561121,-1.037695612,-1.226492435,-0.62301853,-0.851980453,-1.305107567,0.596215078,"GBM"
"16","VU419-GBM",-0.749877644,-1.085336276,2.283812618,-1.004703676,0.879550324,-0.725747273,-0.283184104,2.609872007,-0.660010804,2.053740854,-0.35591828,-1.18888581,3.987653258,-0.182480524,1.278342802,-1.039457857,"GBM"
"17","VU421-GBM",-0.760497443,-1.104836298,-0.761776839,-1.022252455,-0.852256183,-0.741980333,0.895163289,-0.708581005,-0.67519281,0.53704574,-0.721688245,-0.798052865,-0.612164597,-0.83948941,0.762473649,-1.058475028,"GBM"
"18","VU422-GBM",-0.073293563,-0.836208657,-0.847945077,-1.10252429,-0.938565105,-0.793720156,0.257915409,1.291753231,-0.725589602,-0.397312681,0.396260152,-1.307107972,-0.674494874,-0.910213854,-0.09984992,-0.685005458,"GBM"
"19","VU425-GBM",-0.8207181,-0.3413331,-0.877412694,-1.128037894,1.599703343,0.053924338,-0.516731093,0.359252889,-0.74106658,1.623397304,1.393777737,-0.986090929,1.549045571,-0.932730956,1.859310929,-0.735480042,"GBM"
"20","VU429-1-GBM-vIII",0.253099643,-0.632597129,0.751795809,-0.980420714,1.258523927,-0.682955562,-0.838517978,1.075834141,-0.612035345,1.459382201,1.066123259,-1.160532912,0.722206976,-0.802725979,0.654138456,-1.013308173,"GBM"
"21","VU430-GBM",-0.869169229,-1.059974817,0.333204742,-1.223397661,1.927014709,-0.85789656,-1.074691037,0.544992469,-0.796305365,1.071800648,0.54003216,-0.96870526,1.283421667,-1.016987207,1.743295004,-1.286132443,"GBM"
"22","VU431-1-GBM-vIII",-0.110646331,1.021781097,0.698350501,1.090566966,-0.282997297,0.089153161,-0.969574791,0.492494191,-0.030605276,0.549229462,-0.150136882,-0.547719841,0.031841978,0.920220346,-0.302229472,0.351305204,"GBM"
"23","VU436-1-GBM-vIII",-0.228825752,-0.788871349,2.174477211,-0.681322254,2.030074776,-0.068003639,0.694459447,2.285668856,-0.141258061,-0.040727788,1.53203048,-0.304217891,-0.281725472,-0.478106101,2.129441677,-0.744211089,"GBM"
"24","GBM-438",-0.583223903,-0.973923527,-0.646086763,-0.901700405,1.408577996,-0.487805368,-0.764708415,-0.011640048,-0.462637848,1.865843589,0.435124013,-1.070669342,1.591153796,-0.733768794,1.241123216,-0.929687277,"GBM"
"25","VU439-1-GBM-vIII",-0.798484137,-1.179072289,0.80666398,-1.08760307,-0.922027672,-0.785179831,-0.941140627,-0.775849188,-0.716411918,-0.627866903,0.38491889,0.372849569,-0.662727952,-0.897052492,-1.370840955,-0.35032949,"GBM"
"26","GBM-440",-0.791393337,1.233635683,2.469490032,0.310272061,0.819741064,0.875112074,0.489369235,1.998878706,-0.708633704,-0.605921479,1.88272347,1.363588914,0.497534033,-0.886002582,0.520579105,1.506404945,"GBM"
"27","VU443-1-GBM-WT",1.096134711,0.237353395,1.125240582,-0.922177694,0.313391101,-0.537584623,-0.783784684,-0.614065041,-0.500746424,0.919436077,0.879049223,0.169322853,1.162589012,-0.75167476,0.986707575,-0.951285533,"GBM"
"28","VU445-1-GBM-WT",-0.478836295,0.088120515,0.548326713,-0.849897017,-0.683776425,-0.364153203,-0.716825419,0.414482308,-0.367975764,-0.238947429,0.524015686,0.016553507,-0.427041323,-0.681767585,-0.607371509,-0.875462831,"GBM"
"29","VU454-1-GBM-WT",-0.846461626,-0.0348518,0.50440358,0.592051945,1.26796678,-0.834498902,-0.61468013,1.865010945,-0.770144838,1.237782905,2.273702151,-0.557784044,1.242730934,-0.976255079,1.514210274,0.049068946,"GBM"
"30","VU456-1-GBM-WT",-0.74519181,0.076010921,-0.042480568,-0.997050027,1.731383933,-0.7187346,-0.854276841,0.664217499,-0.644773459,0.804073779,1.887275158,0.501140676,1.975928969,-0.81733165,1.067324632,-1.031195746,"GBM"
"31","VU468-1-GBM-WT",-0.734456282,-0.631453846,-0.719359464,0.372199429,-0.808831166,-0.68114472,-0.837846848,0.181088085,1.315223019,0.051910067,-0.976996687,0.248551935,0.303990252,-0.802103016,-1.234886139,-0.103935399,"GBM"
"32","GBM-471",0.533557454,-0.78753903,-0.419368115,-1.074219438,1.76866035,0.224365917,-0.41318662,1.032065814,-0.708103395,0.931338889,2.176190327,0.017116314,2.364574075,-0.88525259,1.657180753,-1.115445407,"GBM"
"33","GBM-475",-0.748542687,-1.082919092,0.273031195,-1.002517764,1.243944082,-0.72374041,-0.859471332,1.092575077,-0.655647559,1.426965747,-0.694690226,-1.186319484,1.533454319,-0.822136627,1.006017932,-1.03709623,"GBM"
"34","GBM-476",-0.742554984,0.440550359,-0.732171181,-0.99276638,-0.822008743,-0.714642268,-0.850211755,0.673630912,-0.636293145,0.814560762,1.486027311,-0.475335033,1.569217625,-0.813568126,1.359045651,-0.133133712,"GBM"
