"","Lung_ge$X","ENSG00000108854","ENSG00000112159","ENSG00000075336","ENSG00000167107","ENSG00000160223","ENSG00000196329","ENSG00000138326","ENSG00000186364","ENSG00000074621","ENSG00000186854","ENSG00000092295","ENSG00000116752","ENSG00000171817","ENSG00000211801","ENSG00000140386","ENSG00000135213","ENSG00000121058","ENSG00000072694","ENSG00000214826","ENSG00000149483","ENSG00000136492","ENSG00000136098","ENSG00000157992","ENSG00000111371","ENSG00000170074","ENSG00000257221","ENSG00000156482","ENSG00000167595","ENSG00000246223","ENSG00000135749","ENSG00000009790","ENSG00000126464","ENSG00000167554","ENSG00000108592","ENSG00000244575","ENSG00000185485","ENSG00000185900","ENSG00000116353","ENSG00000251562","ENSG00000256039","ENSG00000127946","ENSG00000198106","ENSG00000109475","ENSG00000129968","ENSG00000231621","ENSG00000162894","ENSG00000211637","ENSG00000214106","ENSG00000180071","ENSG00000116824","ENSG00000111364","ENSG00000213988","ENSG00000179119","ENSG00000270505","ENSG00000185942","ENSG00000139537","ENSG00000171163","ENSG00000243364","ENSG00000266371","ENSG00000167272","ENSG00000038219","ENSG00000120800","ENSG00000211734","ENSG00000198400","ENSG00000100483","ENSG00000169964","ENSG00000101104","ENSG00000084734","ENSG00000071082","ENSG00000087008","ENSG00000180822","ENSG00000241549","ENSG00000160654","ENSG00000205189","ENSG00000145649","ENSG00000236559","ENSG00000211710","ENSG00000257252","ENSG00000132465","ENSG00000148843","ENSG00000180329","ENSG00000196199","ENSG00000137103","ENSG00000267364","ENSG00000075914","ENSG00000118922","ENSG00000251606","ENSG00000198178","ENSG00000116251","ENSG00000107938","ENSG00000211964","ENSG00000089012","ENSG00000110195","ENSG00000083093","ENSG00000241106","ENSG00000115816","ENSG00000211778","ENSG00000248810","ENSG00000183091","ENSG00000211772","ENSG00000141101","ENSG00000204852","ENSG00000198625","ENSG00000116127","ENSG00000127804","ENSG00000163687","ENSG00000005801","ENSG00000133574","ENSG00000119596","ENSG00000132424","ENSG00000225885","ENSG00000100813","ENSG00000231486","ENSG00000136153","ENSG00000143507","ENSG00000171453","ENSG00000143303","ENSG00000122435","ENSG00000087076","ENSG00000147316","ENSG00000146904","ENSG00000247774","ENSG00000211663","ENSG00000152495","ENSG00000198865","ENSG00000100941","ENSG00000211746","ENSG00000205056","ENSG00000110651","ENSG00000186468","ENSG00000116771","ENSG00000172339","ENSG00000089123","ENSG00000166788","ENSG00000167286","ENSG00000171174","ENSG00000023445","ENSG00000152133","ENSG00000211752","ENSG00000170486","ENSG00000178338","ENSG00000128218","ENSG00000164180","ENSG00000117560","ENSG00000225113","ENSG00000100888","ENSG00000130921","ENSG00000125633","ENSG00000112077","ENSG00000211747","ENSG00000132326","ENSG00000163492","ENSG00000168421","ENSG00000226660","ENSG00000170469","ENSG00000180008","ENSG00000150045","ENSG00000101654","ENSG00000132485","ENSG00000204219","ENSG00000104341","ENSG00000229164","ENSG00000102886","ENSG00000117318","ENSG00000177455","ENSG00000069667","ENSG00000083535","ENSG00000132196","ENSG00000186265","ENSG00000224429","ENSG00000163682","class"
"1","HD-1",1.716696605,0.969830678,1.768022163,1.671734793,2.080259021,0.490883435,1.494340669,2.831878126,-0.359250194,0.526129404,-0.235856939,1.925862704,0.385875984,0.455280582,1.37118231,1.012809511,1.56895182,2.2609165,-0.353785244,1.951532665,-0.388439849,1.030595849,0.837345782,0.75553584,0.85796366,0.827401295,1.170162372,1.849563344,0.285880795,1.698288184,1.297098276,1.754384747,-0.185596572,1.091581321,2.713262739,1.009257287,1.437299917,1.625207768,2.307881821,1.30097246,1.831637242,-0.331988861,1.480713633,-0.436900768,-0.374540383,0.767075431,-0.54097458,1.326552801,1.999252626,1.314235849,1.586196165,0.968859409,1.594370606,1.081097031,2.589386177,2.020340429,1.332134839,0.879752651,-0.492516742,1.824528749,1.431796584,1.857042416,1.213135126,1.106495387,1.267548101,1.077540484,0.997132714,-0.648668332,1.650166686,1.469962183,1.683812342,1.009596457,1.108346028,-0.326066344,2.158607007,1.039189526,1.397771368,-0.681757722,1.74875246,0.926487496,1.849897787,1.54507922,1.619492097,1.337195369,1.724765695,1.691741773,3.247068279,1.137710975,1.351992671,1.834665679,1.558687695,0.907475631,-0.62416867,2.042653421,1.811238437,1.173096277,0.675628478,2.203688968,1.342084183,1.087088977,1.50707951,2.4011728,1.584137199,1.249338106,2.0826689,3.637516693,1.308489007,0.727464082,1.452705438,1.61293238,3.646229057,1.818369175,2.152272408,0.447226052,1.32977545,1.511751785,0.935629436,1.706587815,2.599806842,1.545328664,-0.537625376,1.31556191,2.257927747,0.077449902,1.803145826,2.050206334,0.856966441,-0.181150201,1.43597687,1.368907888,0.964522829,2.242062172,1.491134951,2.108922177,0.982687434,2.331136291,1.028751519,1.258035776,0.452925156,1.72576826,2.338936722,1.867580095,1.20669624,1.499325436,-0.44850533,1.266728441,0.423910088,0.828151778,-0.692062961,0.895794445,2.305257257,1.166704718,1.450586376,-0.407999711,2.762571635,2.219509247,2.286192121,2.176711926,1.77057716,1.429005553,0.287352518,0.960631423,-0.516091772,0.944051422,0.935915734,2.345356696,2.002525605,1.839501361,1.152015199,3.153052931,1.955373398,"HC"
"2","HD-2-1",0.289480092,1.030927012,1.054223173,1.45132674,4.415696619,-1.2167259,0.722468071,3.026807757,-0.210752519,-0.231710947,3.137062181,1.296658746,-0.322924354,1.304597455,0.310461762,0.14893561,0.674186898,1.695685261,2.466155803,1.513263351,-0.222056966,0.750076687,-0.203684127,1.066686102,1.433847606,-0.165089766,0.333504877,0.771358284,-0.701385499,2.215229173,0.748524199,-0.31659612,-0.048055486,1.119407492,1.30068509,0.836713692,1.241135166,-0.556053518,0.778480732,-0.513848852,1.732923714,0.895680439,0.497315302,-0.499275388,-0.227746904,0.326641947,-0.401334721,-0.477050537,-0.213026203,0.35560487,0.125853215,1.113448242,0.651004828,0.347866742,-0.028994836,0.193394326,-0.675676112,-0.093242541,0.712078849,0.7210989,0.227827481,1.572262994,-0.663648997,-0.369487,0.71099957,-0.639078059,1.623122252,-0.001339583,0.661440544,-0.026150936,0.991310604,-0.056744022,0.564359722,-0.186989727,0.757984183,-0.041084616,-0.467349497,0.548544434,1.371528313,0.82728596,0.984354125,0.740627265,2.307614914,0.059083561,0.919726771,-0.022656984,-0.225494034,0.727667465,0.551388975,-0.747021484,2.345431031,0.624295685,-0.528694938,0.867357986,-0.685881488,1.123891031,-0.318775592,1.505702304,1.968290877,0.228131119,1.100241708,1.917741229,1.04510315,0.933164626,1.229443598,-0.49650169,0.874342326,-1.501746565,0.280569699,0.798797873,2.150654223,0.272337104,1.54455087,-0.480271463,0.767675062,0.039789006,1.416862934,0.692225092,-0.070505905,0.720712058,-0.397195602,0.513990446,-0.393906102,-0.786024169,1.154211535,0.606853471,-0.482510951,1.410402516,0.557185813,0.123625284,-0.132868261,2.142428266,1.198466206,0.521892521,0.185797621,-0.287118821,1.017865107,0.419466955,-0.471006153,-0.320184628,-0.490090469,1.195333849,1.373934391,-0.403236672,2.066332025,1.076123953,-0.110518992,1.009803915,-0.601573113,-0.628090983,-0.396567253,0.859854331,0.779022783,-0.253407758,-0.185327191,0.14583955,-0.545631898,1.103464835,0.830483956,1.089672884,-0.778509651,0.159854523,-0.393909717,-0.019896493,0.702780135,-0.818843773,0.848931013,-0.718365268,0.484519671,-0.048425257,0.778823017,"HC"
"3","HD-3-1",0.168642035,0.76016024,-0.732837016,-0.471192443,0.916732484,0.15555376,0.718945858,-0.27584835,-0.349777943,0.944883414,-0.227133423,1.165968798,1.460126304,-0.493604499,0.682089893,-0.779219265,0.72883356,0.462888259,2.378748589,0.697585262,0.915918604,0.974747844,-0.346072566,1.030492132,-0.571451424,0.836267021,0.220899661,-0.439194161,0.55617479,1.334662265,0.385409793,-0.451518737,-0.176823211,0.213806469,-0.255635314,-0.878353555,-0.538094216,-0.649221349,0.991699536,-0.638930814,0.472651291,2.174005553,0.555839247,-0.608946459,-0.365176838,0.886188912,-0.532067344,-0.597218617,-0.341983475,-0.130760967,0.435541885,3.154227483,-0.177329986,0.199649034,-0.194947977,-0.691940765,-0.147365276,-0.22080986,1.783210812,-0.28045941,0.942407584,-0.215117931,-0.742889391,-0.443205421,0.148316298,1.837054211,0.011635249,-0.645067054,0.381203347,-0.741478318,0.960734965,-0.196549643,0.057576617,1.625993294,-0.047216287,3.511952303,1.746114912,-0.672373431,0.925822766,-0.32459311,0.814797649,0.77485084,1.228628538,-0.807372065,1.047046607,0.956629395,-0.351122859,2.339276444,0.311832088,1.383547294,2.075323223,-0.393840104,-0.618078668,0.419748332,0.815078074,0.61782579,-0.461753415,0.93789767,0.02198861,0.366830465,-1.247964606,-0.76646627,0.923619056,1.731525077,1.021471523,-0.58205892,0.272794532,-0.137104497,0.407911981,0.829108667,2.024233795,0.694850559,0.950094686,-0.565965434,2.257970077,0.598734676,-0.748909967,0.898978653,-0.210949854,1.222360343,-0.528667754,0.396551983,-0.510407334,-0.103461015,0.15533028,0.860288845,-0.603272215,-0.170043855,0.849625315,-0.051568107,-0.276744861,0.593813256,1.057391587,-0.162808416,-0.279342102,-0.424831203,0.829909803,0.372454107,0.465404308,-0.414170451,-0.602700597,0.077993756,0.30987303,-0.539446419,1.795826922,1.039252598,-0.010265029,0.539875704,-0.687479053,0.104191496,2.230812208,1.153134007,0.965115157,0.841510552,-0.328229416,0.504842704,-0.124625191,0.949931572,0.569810419,-0.653950629,-1.265356733,0.449887382,-0.508298121,0.230248239,1.041929482,0.465041139,-0.174094346,0.729274395,0.676611728,-0.17639128,0.439800626,"HC"
"4","HD-4",0.810676624,0.911784574,-0.695182804,1.627449326,-0.163570883,-0.247868363,0.636525809,-0.162769446,-0.254515534,-0.261601376,-0.139401045,1.531145546,-0.355486588,2.31157575,1.418448915,0.106968096,0.328806908,1.325678644,-0.244987327,-0.237768117,-0.271090842,0.912386009,1.755272938,0.766491085,1.647529554,3.847861643,0.62256823,0.732054981,0.387739722,1.447217802,1.15216643,1.932286778,-0.088589538,0.431601261,1.250155654,-0.182111326,0.535435629,1.40245451,1.955786463,-0.553222684,4.139898187,0.856099547,0.883604405,-0.792461043,-0.271007683,1.377582841,1.229024173,-0.514877557,-0.253619922,1.24382878,1.340738103,-0.106229133,1.144916755,0.300417463,-0.081234272,1.122251298,0.922288493,0.97585536,0.123906317,1.078113075,1.346051482,-0.152558495,0.792865506,-0.392692398,0.227888701,2.009568297,0.08712932,-0.599318544,0.958085338,0.292822261,1.087487954,-0.10075263,1.151610793,1.812623564,1.153931772,1.145888175,2.438752832,-0.577995635,0.609028409,0.694096116,0.758719755,1.050330208,0.722207238,0.763118565,0.798947927,1.372070386,2.378779428,-0.38359449,1.081958796,0.652822812,2.311023211,0.958460598,0.127453162,0.089807604,2.177993073,0.655192,-0.36378276,2.256081424,2.240608648,0.943561732,0.375938307,1.855688168,1.089309897,0.88828477,1.550068248,-0.523433759,1.123924352,0.328604458,1.528911482,1.35825614,-0.087703649,1.336997216,4.038868271,-0.507246576,1.519750556,0.688243407,0.212634147,1.450641104,-0.114715449,1.724192277,1.641654391,0.640592254,0.499425273,0.308504136,0.881748141,1.782245064,2.029403025,3.774977511,1.798234135,1.140482185,-0.178158349,-0.34785158,1.110131744,1.604629535,0.860565011,2.495342048,1.467449188,0.84916567,1.328101617,-0.349769885,2.366403927,2.483332682,0.00641297,-0.446113356,-0.359282764,0.769013718,1.206214007,0.39787578,-0.631416166,1.298616714,0.52814871,1.438154348,1.566917498,-0.298966787,-0.230310561,2.599711953,0.556324289,1.475530049,1.473032081,1.049237047,-0.13179056,0.960901828,2.162219238,1.063225171,0.723285958,0.464066063,1.792071599,-0.736150814,1.670763428,-0.088706947,1.363785168,"HC"
"5","HD-5",1.037719344,0.247608833,-0.110625029,-0.461304454,0.928174662,-1.285908172,0.43439562,2.865909521,1.685271099,0.442118121,-0.216270662,0.7116357,-0.417591126,0.480344111,0.271420602,1.041474069,1.072635304,-0.755918551,-0.331692803,0.264395259,1.715400296,1.263082157,-0.333992135,0.019058876,-0.561522276,3.146813905,0.500075088,2.920451604,-0.751337874,0.545357795,0.538447061,-0.440071718,-0.165898381,-1.027856299,1.153783049,0.351823555,0.43658026,0.693530388,1.065710767,-0.628318689,-0.587977252,-0.312753874,0.654153765,0.15706265,-0.353517094,0.274056534,1.98927247,0.359456526,-0.331042563,0.062553026,0.133738988,-0.18749936,0.891397439,-0.693487904,3.193985924,-0.686690205,-0.726452999,-0.209986874,-0.481378997,-0.546530058,0.250945284,0.427886336,0.002125944,-0.436951049,0.158040171,1.407740233,1.021174975,-0.640582648,0.62797662,-0.7367239,1.71400222,3.462326182,0.278998543,2.547487087,0.865245404,-0.17070076,-0.579549964,-0.660687854,0.054134037,-0.131465921,-0.199783529,0.550667672,-0.427461025,1.075092305,0.844704964,0.970055239,1.610289483,-0.463430545,0.519304107,1.180078958,0.542604714,0.676347752,-0.61049523,0.432044836,1.728077723,0.347552569,0.704770615,-0.58478786,1.01923568,0.403623552,-0.770254015,0.384677963,0.674573268,-0.081393752,-0.807917071,1.079149103,-0.084834804,-0.222478142,-0.85593615,0.733815416,0.935678121,0.633689489,1.375549087,0.7297616,0.641712027,-0.849715072,0.964690971,-0.461432823,-0.199034397,0.869136514,-0.517513476,0.458759157,-0.50052321,-0.09465792,-0.937011515,1.105164758,1.255970977,-0.156213929,-0.040513782,1.004193412,-0.264538173,1.248660735,1.468698427,-0.90375669,0.355339369,-0.413147496,0.734958566,0.912124215,0.481026984,-0.406196565,2.056545369,2.543929203,0.759352412,-0.527890198,0.504533352,0.526118313,0.730818987,0.611158274,0.012185292,-0.731454026,-0.504509402,0.363856365,0.790402003,0.861355329,-0.316105395,2.258356035,0.761562698,1.151615746,0.474352985,-0.649421966,-0.029532044,0.393097537,1.214280315,-0.769849222,0.646118952,1.012381141,0.614081134,0.970485896,-0.221140647,-0.165534467,0.698883774,"HC"
"6","HD-7",0.611660201,-0.073252368,1.240791726,-0.64313497,0.566075516,0.116097412,0.678125404,0.621708111,2.219250504,-0.277202556,-0.515781507,0.974006104,-0.640323809,-0.694829484,0.120589081,1.201634365,0.356536275,1.27748498,-0.613460512,1.072756664,0.457033347,1.456601825,1.821241877,0.312186381,0.029790948,1.782759376,0.670711842,2.924049256,0.003978782,0.964089339,0.30981698,1.5519208,-0.467120605,0.347524773,0.650389636,-1.009070363,-0.727831295,0.549079569,1.055497476,0.000352642,-0.720151014,2.215163794,0.854564317,-0.030951814,0.3968986,0.659174741,1.943154104,-0.759285424,-0.569340119,0.145927164,1.355868742,-0.50415652,1.422390195,0.654690364,-0.551573549,0.435111388,0.767208766,-0.508401028,-0.134845442,0.858594092,0.38742497,-0.854198358,1.741303842,-0.594845639,0.255794629,-0.140402035,0.335707357,-0.763280791,0.759082862,-0.864549007,0.785917713,-0.511731162,0.653580169,1.893392631,1.166525192,3.111016279,0.907611929,-0.797988059,0.759098425,0.358671854,-0.460268485,0.747932476,1.156128829,0.802999646,0.651677342,-0.9015378,-0.634343832,1.701320845,0.685628195,1.883687918,1.083827249,-0.606934929,0.861343885,0.10687941,0.985726528,-0.155524258,1.865098383,0.537635065,-0.211951765,0.551359825,0.431826226,0.806880116,0.89120595,0.775790823,-0.190121712,-0.705104301,0.660179872,-0.934664086,-0.031011892,0.895894526,-0.4593345,0.972053338,1.599527429,-0.696693106,0.823833117,0.894872578,1.622027219,0.670818158,2.8191273,0.913535051,0.157972392,0.77049374,1.78288108,0.326943271,0.711402931,0.882126238,-0.748111457,-0.537536215,1.164143053,0.990717959,-0.601104104,2.213538388,-0.574716785,1.279449549,0.653980443,-0.622449039,0.902938808,0.391337236,-0.789719161,-0.586497386,1.536528635,0.999054049,0.249093706,-0.705639342,-0.641032564,0.283240578,0.098526756,0.736146174,-0.824808055,1.460545814,0.580135923,0.575977458,1.0157314,-0.694872226,2.651696053,1.34180787,0.748881316,1.218924398,0.648377582,0.615820455,-0.355123059,0.305883574,1.043853385,-0.364546085,0.770760195,0.02493233,0.663571627,1.535995064,0.468034558,-0.464881294,0.864475213,"HC"
"7","HD-8",0.613167144,0.186293473,0.580948735,1.448352785,2.011475141,-0.245656774,0.624786898,-0.59864801,-0.661706608,0.159327104,0.562862697,1.28327844,-0.639727018,1.308780179,0.52341312,1.577063924,0.885865888,1.372636008,-0.612938437,1.031374543,1.601926474,1.49707048,-0.625139608,0.231100596,-0.730090959,1.220310641,0.589148432,-0.695981778,0.419876739,-0.706246171,0.673498225,1.554470587,-0.465736876,0.348849939,2.738454938,0.662271904,0.086783731,1.493844487,0.974674207,0.001801705,0.421291507,0.390860077,0.76500257,-0.029581504,-0.673525733,1.179511967,2.103220077,0.503136711,-0.568788567,0.289416437,0.76734842,0.669677547,0.501816774,-0.103703447,-0.551108251,0.63745136,0.51802965,-0.507030198,-0.133937825,1.081097219,0.560197953,0.273822209,0.836077853,-0.073311512,0.711734694,0.30865249,0.517312179,0.162927708,0.622290119,0.827699428,0.560635787,3.954336311,0.702915047,1.060418116,0.70601102,0.731061439,-0.760673788,-0.797572283,1.185077093,0.315248656,0.693845779,0.636329661,-0.658029134,-0.326492873,1.130347869,0.489391475,-0.632993833,0.229870134,0.558514166,0.374440036,1.599367735,-0.346036031,-0.731110288,0.361572332,1.622956089,0.354735964,0.295160765,0.539455142,0.898392206,0.733455972,0.308773447,1.034339479,0.767138309,-0.306658444,1.041678169,1.051999348,-0.328573845,0.428245524,0.559948702,1.152537736,-0.457975995,0.889157853,1.38583197,0.17708685,1.261019316,0.620899501,1.134307746,1.046577196,0.60088213,1.04967994,-0.710761741,0.709768381,1.784688716,0.549036642,0.362399329,0.892308516,1.057956441,-0.535784529,1.304718179,0.81774331,-0.599558016,0.238880734,-0.573757417,0.591938661,0.62761576,1.678028373,0.773923192,0.630053513,1.406709055,-0.586067219,-0.02197326,1.612734711,0.873745738,0.176826813,0.184348199,0.449899675,0.199241303,0.815989563,0.325376506,0.51332307,1.418955004,0.340107161,0.698340638,-0.69438133,2.414494236,0.430270639,0.384384419,0.585042455,0.670872023,-0.323308,-0.315254983,0.451117344,-0.669405289,0.966390008,1.288789724,1.158115626,0.821881611,0.625162096,1.095086982,-0.46350618,0.772849007,"HC"
"8","HD-9",-0.948076677,-0.918130894,-0.930761772,-0.702281587,-0.697444218,-0.228080457,0.01525482,-0.65577105,-0.722668323,0.278387049,-0.667555836,-0.104169674,1.952893909,1.171312603,-0.597909715,-0.428731023,-0.070564313,0.156934713,0.179589385,-1.111360982,-0.718543964,0.937643236,-0.676807529,-0.103583876,-0.785317707,1.689222436,0.13637508,-0.734696898,0.331268945,0.26083964,0.435135595,0.525114859,-0.637579444,-0.484210027,-0.707363957,-0.173427732,-0.774142873,-0.829009147,0.528599241,-0.83293245,-0.0081986,-0.700549464,0.222732593,-0.631713337,0.126983572,-0.920312334,1.975751934,-0.181807765,2.397882513,0.739332656,0.394672969,-0.687517042,0.248620473,0.086305508,-0.620250059,0.389486799,-0.933334349,-0.644371279,-0.697705579,1.039868192,0.037579589,-0.941009306,1.640196719,-0.651975989,0.057762738,-0.909000268,-0.857650303,-0.844091542,0.244960474,-0.945836069,1.061464425,-0.697244836,0.260893801,-0.663883218,0.981060743,-0.702363243,-0.80746605,-0.854699449,-0.545579745,-0.926378982,0.526646694,0.40461159,-0.705859585,1.145738696,-0.014130953,-0.980188987,-0.702180456,-0.710150357,0.249089108,-1.01729621,-0.788809453,-0.204650798,0.900005411,-0.4097586,-0.936166562,-0.46523602,0.944046268,-0.791378607,1.083826877,0.561185249,-0.621964815,-0.454931806,0.393850942,-0.451511387,-1.041917149,-0.765655703,0.834046011,0.267072735,-1.012145988,0.275585702,4.250726844,-0.017605323,-0.104880407,-0.758746444,-0.721621091,-1.078955748,2.098901952,1.342751383,-0.612242422,-1.060044303,0.973422267,0.889934673,-0.805719809,-0.487902743,-1.167390416,0.325185904,2.141968242,-0.740579979,0.641876065,0.460661866,-0.659611753,-0.697444204,1.329123392,1.305149239,0.620134668,2.794771239,-0.390262977,0.340187983,0.698378856,-0.647696686,-0.805681981,0.240015682,-1.152327249,1.373562833,-0.697679722,-0.098052531,0.6662267,1.633183038,-0.918872763,1.608596167,-0.753501781,-0.599063592,0.54755961,0.117454632,2.495634844,-1.055495884,0.953903453,0.321948741,0.190127789,-0.856450369,-0.637914753,0.769759025,-0.732025494,-0.975823773,-1.136897108,1.165986006,0.285198134,1.529639359,-1.040326386,-0.631169459,0.444735999,"HC"
"9","HD-10",-0.799094241,0.680578403,2.802236668,-0.568587614,-0.371903396,1.671884066,1.591647928,-0.417693196,-0.469273989,0.513831816,-0.337183886,1.941223893,4.650075939,2.125524244,0.888356707,1.95272534,1.139890725,1.892182132,-0.468077491,0.138976094,-0.511715018,1.445942766,-0.468459212,0.745389724,-0.669703386,1.626077117,1.31348994,2.329631269,1.559306594,-0.649321956,1.624163921,1.882937799,-0.287502493,1.725280828,4.080726186,0.55100562,-0.641510176,1.338115831,1.17141799,-0.731419658,1.124402079,-0.431498456,1.530623588,-0.701772648,3.095968132,1.332569828,2.25090924,0.760299993,2.683104734,1.548914497,0.714828706,-0.315334591,1.97732379,1.609738899,-0.337589111,0.647796783,2.732365607,-0.330457361,-0.550136357,2.362070992,1.102010871,1.232500016,1.308418746,-0.506568361,5.214916644,-0.801407445,0.527199592,-0.690445701,1.477436827,0.331095239,2.201907311,-0.316716289,1.688675262,1.401249242,1.240312436,-0.30445389,1.792078645,-0.736470075,3.461474472,-0.098740411,2.185945639,1.421773309,-0.550346512,1.301969508,2.092320364,-0.225190444,-0.459104172,-0.57880467,1.521035643,2.329104561,2.988533411,1.681851752,-0.674452423,1.996692009,-0.810895075,0.435903359,2.415259977,1.138525554,1.51907448,1.486523432,1.713694741,0.521787384,1.085525436,-0.74037915,2.286394804,0.32345827,1.886766315,1.731346433,0.441477651,0.954210882,-0.282990633,1.69633697,2.252493133,-0.008215325,-0.53276543,-0.906485972,1.573204049,1.217927644,-0.331665159,1.853034546,0.364715259,1.246109042,4.799534132,-0.899142814,-0.476435556,1.645059044,-0.68960308,-0.310154622,1.567137823,1.34062387,-0.400410621,2.12525502,-0.917711588,0.19143466,1.611409853,-0.543198655,1.275023888,1.155619692,2.778155604,-0.494953764,2.06648999,-0.8812654,0.440148208,2.337750058,-0.542233663,0.34966266,1.389129619,0.797011627,-0.740792404,1.643945702,0.292408962,0.871219022,0.900521408,2.543614566,-0.451057676,1.524592062,1.798905917,0.918604,1.534448417,2.173743763,-1.372111978,1.376201613,-0.596954244,1.328191995,0.831094739,-0.932890694,1.221318312,2.113946044,-0.881557739,-0.286381477,1.511502758,"HC"
"10","HD-11-1",-0.990314481,-0.231716204,-0.322700855,-0.154242167,-0.71190556,-0.675173653,-0.837914379,-0.672385073,0.521776693,-1.10111939,-0.682874565,-0.792577418,0.432395658,-0.75820816,-0.526089251,-0.524105202,-1.126376769,0.483511628,-0.692887359,-0.206858679,-0.739677669,-0.963214115,0.894808848,-0.063398973,0.757263868,-0.701138027,-1.00387222,-0.753857515,-0.566265375,-0.794839147,-0.414472037,-0.769911529,2.139939847,-1.32647815,-0.724718175,-1.139994514,-0.79774774,-0.867753113,-0.977285079,-0.858446499,-0.815735708,-0.720312771,-0.767565951,-1.302286375,-0.752745198,-1.015488976,-0.790818357,-0.831120739,-0.659505603,-0.191512093,-1.272296407,-0.701833651,-0.686417392,-0.905653667,1.621213069,-0.902701062,-0.170323092,-0.656062199,-0.737962118,-0.394434284,-0.595286419,-0.991841338,-0.517618682,-0.683494258,-0.767313099,0.580386177,-0.897090763,-0.110705988,-0.885869503,0.638069456,-1.204924964,-0.709790814,-0.20145994,-0.680441625,-0.877058101,-0.714862349,-0.831041778,-0.884162535,-0.656181098,-1.319298332,-1.128055752,-0.295905488,-0.730085549,-1.02462823,-1.334898661,0.687997838,-0.719962863,-0.738661426,-0.966549121,-1.063863262,-0.816275171,0.261452417,0.815190271,-0.947806211,-0.969240878,-0.048004731,-0.768487031,0.41245468,-0.889551092,-0.846840855,-1.571486907,0.591938117,-0.6614271,-0.93316601,-1.095537845,0.793576987,-0.98484609,-0.822466061,0.205821515,-0.659987545,-0.644436879,-0.971746741,-0.069383784,-0.111217096,-0.740428098,-1.131205473,-0.941972289,-1.20206023,-0.624781711,0.285842714,0.979927018,-0.301235144,-0.847881482,-0.116866108,-0.436375006,-0.294097724,-0.830831349,1.01078301,-0.272036485,-1.105884663,-0.674343327,-0.719193634,-0.575358658,-0.64775701,-0.949363246,1.465158845,-1.02464655,0.193558889,-0.85215146,-0.681776502,-0.843013955,-1.032694666,-1.202721025,-0.787129992,-0.72799883,0.036397768,-1.050899962,0.178471964,1.114120118,-0.929219627,-0.21228686,-0.986327665,-1.096420631,-0.024994285,-0.70264206,0.372171479,-0.294483388,0.409589338,-0.554300081,0.079666834,-0.144552865,-0.146839674,0.152126936,-0.60540778,-1.189326863,0.023235446,-0.726160525,-1.01869765,-1.086025251,-0.641924221,-1.080955693,"HC"
