"","GBM_ge$X","ENSG00000124107","ENSG00000103037","ENSG00000155275","ENSG00000155659","ENSG00000134121","ENSG00000128596","ENSG00000254977","ENSG00000075131","ENSG00000211786","ENSG00000086548","ENSG00000096696","ENSG00000073712","ENSG00000232021","ENSG00000112077","ENSG00000117643","ENSG00000175445","ENSG00000166428","ENSG00000117519","ENSG00000156042","ENSG00000117560","ENSG00000049768","ENSG00000198178","ENSG00000012223","ENSG00000204219","ENSG00000196081","ENSG00000137103","ENSG00000114739","ENSG00000181007","ENSG00000152583","ENSG00000239219","ENSG00000196634","ENSG00000184206","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"1","VU280-GBM",-0.672776933,-0.599521505,-0.645448531,2.510165732,-0.514863338,-0.509340849,-0.477588412,-0.738620439,-0.687653457,-0.397874226,-0.597077557,-0.602246087,-0.685758962,-0.614138546,-0.696605451,0.459809131,2.510080267,-0.594208016,-0.664579872,-0.790177979,-0.531086942,-0.703471514,-1.205037867,-1.003320473,-0.548980131,-0.708068722,-0.610855633,-0.660384667,-0.587878754,-0.600935916,-0.616183694,-0.505087925,-0.743839625,-1.074461503,-0.73423345,-0.994851275,-0.824124997,-0.716727171,-0.852189782,-0.681783477,-0.640416398,-0.935356814,2.504847427,-1.1773412,-0.591404973,-0.815399773,-1.253387072,-1.028825671,"GBM"
"2","VU284-GBM-vIII",-0.773728407,-0.71166734,-0.754456637,0.618193836,-0.692275229,-0.657633309,-0.679309893,-0.834160858,-0.763492228,-0.519068555,-0.689459361,2.085437732,-0.76790902,-0.181628764,-0.735151861,2.3466441,-0.943245189,-0.686683618,-0.759656714,0.230424977,-0.696662452,-0.791840941,-0.895568501,-1.130843865,-0.696323906,-0.788912936,-0.717188527,-0.745532086,1.463258736,0.7577107,-0.707759406,-0.673986539,-0.80988922,-1.202963245,0.794187067,-1.108119779,2.793371594,-0.79688867,-0.961069641,-0.798090702,-0.729007534,1.719483857,0.460421617,-1.314100982,1.640169175,-0.915150866,1.043433924,-1.153205769,"GBM"
"3","VU306-GBM-vIII",1.882818365,-0.723490914,-0.767197824,-0.789297029,-0.701468114,-0.670012688,-0.689315172,-0.852603994,-0.775516504,-0.533618859,-0.704561595,2.439575253,-0.782341737,3.188070867,-0.7416053,-0.682753951,-0.967232048,-0.701846982,-0.774702701,-0.897254,-0.706399232,-0.808524982,1.592451351,-1.156552029,-0.706836666,-0.80386961,-0.731153386,-0.761650077,-0.704303495,-0.744710682,3.005896439,-0.686093408,-0.821627551,-1.228464331,2.084280271,-1.129731195,1.681041454,-0.808949731,-0.982160384,2.02963324,-0.742083875,-1.091630469,-1.146338988,-1.341386066,2.563283099,-0.934225893,-0.172151245,-1.177556894,"GBM"
"4","VU360-GBM-WT",1.445705738,0.095187866,-0.016742058,-0.332844692,0.168836154,0.092510146,0.126579336,-0.358229747,-0.02060806,-0.080441467,-0.010662681,0.034788672,-0.089956205,1.035438975,-0.478267791,0.047402343,-0.472842221,-0.011844593,0.002406927,-0.278357277,0.077816338,-0.190743408,1.200308993,-0.690747965,0.086778982,-0.154534794,0.002619924,-0.143133367,-0.034903193,0.044668626,0.159264383,0.060888814,-0.157164863,-0.751784032,1.388154223,-0.617773775,0.776668533,0.016882146,-0.491959362,-0.335558242,-0.076273633,2.214126768,-0.292609894,-0.834244977,1.872756379,-0.41973031,1.092884937,-0.689759034,"GBM"
"5","VU372-GBM-vIII",0.767339609,-0.651404115,-0.700611997,0.579111157,-0.586402046,-0.572315362,-0.540805338,-0.76323742,-0.713982773,-0.431088715,-0.62558363,-0.632073201,-0.710327302,-0.639482345,-0.707403018,-0.600223716,-0.853939007,-0.622333748,-0.694427365,-0.813918768,-0.594799369,-0.726519622,0.807173339,-1.035416159,-0.615502611,-0.729406193,-0.655880728,-0.682556143,2.425655925,1.698352148,-0.642588853,-0.564308744,-0.761692416,-1.107061628,1.224023789,-1.024245317,2.864899874,-0.74383801,-0.880176831,1.102212483,-0.676473068,0.941978154,1.065763054,-1.211959466,1.202414399,-0.841242596,1.155395543,-1.0606413,"GBM"
"6","VU378-GBM",1.21212225,-0.759447592,-0.80604431,0.189044506,-0.728889274,-0.708096367,-0.719355269,0.380399207,-0.811967055,3.643573253,-0.751932376,1.894227097,-0.826940564,3.012988404,-0.760355102,-0.728844314,-1.046737031,-0.749483693,-0.821350354,-0.065154629,-0.735541281,-0.860991679,1.795374238,-1.242223604,-0.086290988,-0.850213846,-0.774368628,-0.81242511,-0.758822974,3.819379214,1.239230467,-0.723132893,-0.320029291,-1.312032256,2.743063035,-0.097306089,1.728611792,-0.845372221,-0.391721883,1.029901009,-0.782244662,-0.092720323,0.011279364,-1.431408449,0.500304791,-0.994892515,2.386563318,-0.879859667,"GBM"
"7","VU383Platelet-hiseq",2.871778784,-0.748751578,-0.794472151,-0.847197915,-0.720817006,-0.696696555,-0.710480965,-0.893598777,-0.801142427,-0.566369831,-0.737601445,-0.75738877,-0.813556893,-0.781498171,-0.754912844,-0.714914853,-1.021917282,-0.73505979,-0.807327616,-0.933814644,-0.72694674,-0.845093736,1.190241587,-1.215385897,-0.729139718,-0.836284908,-0.761390585,-0.797025491,-0.742174693,-0.764044168,4.144556353,-0.712078868,-0.846538836,-1.286118391,-0.938171732,-1.177465796,0.886438896,-0.834578401,-1.029095179,-0.878204502,-0.770232953,-1.152461485,1.332548467,-1.403374583,3.980823931,-0.976389615,-1.493989206,-1.232217387,"GBM"
"8","VU393-GBM-vIII",-0.501218592,-0.223799422,-0.305423025,-0.486321168,-0.145095766,-0.183839684,-0.150834269,-0.564684868,-0.329408267,-0.226195964,-0.301514957,3.614743986,-0.376434613,-0.397629524,-0.625609961,-0.259338171,-0.665966273,-0.292974649,-0.319133545,-0.561274148,-0.201771666,-0.454310869,-1.030888438,-0.834042272,-0.205140321,-0.422078564,-0.279067516,-0.397530674,-0.314352481,2.063227139,-0.206925619,-0.198988759,-0.442813484,-0.900653712,-0.584408827,-0.831766724,2.726188637,-0.321482444,-0.70019161,-0.509576707,-0.335309106,2.449720275,0.788509439,-0.992869868,0.856694505,-0.652422986,1.617461996,-0.856611301,"GBM"
"9","VU394Platelet-hiseq",-0.816164209,-0.736010545,-0.780706058,-0.816987632,-0.71110758,-0.683196639,-0.699841426,-0.872633845,-0.788227973,2.301762285,-0.720800184,-0.739221548,-0.797745681,-0.757646008,-0.748281521,-0.698568212,-0.993700875,-0.718163612,-0.79078814,-0.915258063,-0.716626579,-0.826484834,1.213036199,-1.184984202,-0.717917456,-0.81985382,-0.746069043,-0.77901569,2.223843314,-0.754351708,-0.731901792,-0.698951489,-0.834002494,-1.256459343,-0.90756773,0.35879883,-0.996633941,-0.82167565,-1.005084889,-0.849105324,-0.755997807,-1.120965426,-1.175883157,-1.371427209,-0.305082434,-0.954868745,-0.60674412,-1.204165028,"GBM"
"10","VU398-GBM",-0.17942458,1.62938532,0.224467708,-0.204606154,0.431144564,0.32341653,0.358374567,-0.185724465,0.237412504,0.041344907,0.232361342,1.513626288,0.149413195,-0.048059947,-0.172827702,0.303701914,-0.302199101,0.223055947,0.271072725,-0.041963748,0.311428404,0.029482562,0.857292128,-0.550479324,0.330694567,0.069013612,0.237986192,0.069430405,2.216489308,0.292361512,0.465237466,0.278031667,0.081511203,-0.62241005,0.283013319,-0.406117163,0.32944166,0.299605475,-0.30868074,0.487669731,0.140165597,2.486351657,-0.14081826,-0.704845724,0.558462953,-0.225302022,0.815591433,-0.499271466,"GBM"
