"","cancer_type","ENSG00000213553","ENSG00000211962","ENSG00000175899","ENSG00000211652","ENSG00000103175","ENSG00000157992","ENSG00000160223","ENSG00000188822","ENSG00000150687","ENSG00000099260","ENSG00000243364","ENSG00000167595","ENSG00000211964","ENSG00000211780","ENSG00000211967","ENSG00000156042","ENSG00000211706","ENSG00000249437","ENSG00000157554","ENSG00000171174","ENSG00000211750","ENSG00000211728","ENSG00000205643","ENSG00000250303","ENSG00000214900","ENSG00000131067","ENSG00000171469","ENSG00000152117","ENSG00000111537","ENSG00000103599","ENSG00000009694","ENSG00000176728","ENSG00000240382","ENSG00000161944","ENSG00000168026","ENSG00000211809","ENSG00000197635","ENSG00000171097","ENSG00000211707","ENSG00000211786","ENSG00000261372","ENSG00000211630","ENSG00000038945","ENSG00000163600","ENSG00000135069","ENSG00000073712","ENSG00000152583","ENSG00000211803","ENSG00000085563","ENSG00000205189","ENSG00000064545","ENSG00000272865","ENSG00000094963","ENSG00000159433","ENSG00000099381","ENSG00000168280","ENSG00000258511","ENSG00000237254","ENSG00000049768","ENSG00000134121","ENSG00000112077","ENSG00000104067","ENSG00000211650","ENSG00000099910","ENSG00000228302","ENSG00000080493","ENSG00000171291","ENSG00000128040","ENSG00000130653","ENSG00000077463","ENSG00000175066","ENSG00000107611","ENSG00000187626","ENSG00000211666","ENSG00000074621","ENSG00000196155","ENSG00000102349","ENSG00000188732","ENSG00000107779","ENSG00000173653","ENSG00000198133","ENSG00000198237","ENSG00000107742","ENSG00000225157","ENSG00000116771","ENSG00000130707","ENSG00000254977","ENSG00000245571","ENSG00000184206","ENSG00000144152","ENSG00000086288","ENSG00000070915","ENSG00000258733","ENSG00000154134","ENSG00000241657","ENSG00000142528","ENSG00000050438","ENSG00000197150","ENSG00000130347","ENSG00000177034","ENSG00000143502","ENSG00000211789","ENSG00000185798","ENSG00000267759","ENSG00000126464","ENSG00000198429","ENSG00000169902","ENSG00000117322","ENSG00000037757","ENSG00000142632","ENSG00000157800","ENSG00000236213","ENSG00000167633","ENSG00000165259","ENSG00000211777","ENSG00000149474","ENSG00000211638"
"1","Breast",-0.728791308433215,-0.741668625111895,1.2175463930433,-0.74734150102256,-0.157472330247334,-0.721938958852773,-0.72432017257179,-0.808765145626278,-0.806631718647939,-0.693287557349395,-0.688611817789502,-0.83287449148258,-0.859263024299127,-0.703026760181367,0.311435287137112,-0.740401942176593,-0.224508726802463,-0.961739122244582,-0.685787310920837,-0.774306137038035,-0.745990369436188,-0.69313385985971,-0.452556285977189,-0.740435938115546,-0.718251359732377,-0.716544263183931,-0.906310025507659,-0.901722308545118,-0.758975999512551,0.189615839859914,-0.713148339938234,-0.676571084027846,-0.747044646048903,0.659140856916528,-0.848178899532866,-0.715868354496665,1.61150148947672,0.531385327992486,-0.744710504164174,-0.228793309741935,-0.670493292185406,-0.668050659708603,-0.730252093486341,-0.703271538806465,-0.879265259628223,-0.727287604892115,1.07171121035385,-0.11864558196074,-1.10304100082424,-0.718543917811874,0.280889614235384,0.696314643042032,1.21181029365475,-0.788210720742951,-0.825793877817239,-0.74939316809855,-0.733850746172203,0.307048190628603,-0.679407972878328,-0.638158669651134,-0.863349775860164,1.09163296706734,-0.754500399259847,-0.877241989504328,-0.741234713650402,-0.710168945107317,-0.754840794794962,-0.702516323692063,-0.751339474917678,-0.74408263599437,-0.989894076610451,-0.769396932838048,-0.686748453646629,-0.698459982696674,-0.167136155532293,-0.648424079085831,-0.632968215615814,-0.772111380871925,-0.714338065378673,0.63273950346592,-0.762157176807517,-0.762526454007422,-0.602625397081603,-0.676590723992504,-0.731076396079994,-0.622793491334502,-0.693955915123417,-0.821450578053397,-0.135201603910276,-0.238883033812805,1.21285728535719,2.82995199396224,-0.832274920230453,-0.793320220854302,-0.728009070196175,-0.734928731980913,-0.72082859705648,-0.703055395657646,-0.906560458601778,-0.824038512288565,-0.64660539510351,0.17109792060914,-0.849665501190163,-0.616658984599947,0.506671353059344,-0.759684371008136,-0.631024601669072,-0.844972238678285,0.337914281767225,-0.167844554807231,-0.886332522242659,0.670409023262049,0.604382069720758,-0.686420208555886,-0.711634050316679,-1.00366041632037,-0.581053738792724
"2","Breast",-0.718655421963408,-0.732290565919551,1.79983336929262,-0.735538431429342,-0.157297295249451,-0.708529806388495,-0.714161606524975,-0.797814918588795,-0.796481310160471,0.336477011601024,-0.680364679062641,-0.819074383805585,-0.839831336778545,-0.691619371298744,-0.791035762219912,-0.723925002922765,-0.759708175128022,-0.936157529688933,-0.67285519170777,-0.756346427880872,-0.736024825654585,-0.682763370315277,-0.871918667471105,-0.729011027706322,-0.704499056518315,-0.704841718995921,-0.883892284824148,-0.879140444865982,-0.742021223324103,2.35494193597722,-0.701888581438167,-0.668195275415361,-0.721475692995436,-1.01331961762241,-0.823602720324725,-0.703982685867669,-1.03558413098203,-0.922413926392264,-0.733879297211309,-0.752846702402315,-0.661863011550945,-0.654270456971347,-0.718266994313634,-0.689981475437528,-0.857547823237775,-0.713906027511772,0.412310201088328,-0.777862674773851,0.873598355187769,-0.70711695135254,-0.852675059583068,-0.661398906698493,1.01235376538183,-0.77611069929095,-0.817472667065406,-0.730239165803986,-0.722692994991464,-0.774086443294649,-0.66912658183064,-0.629066920417686,1.00176316326364,-0.782448051777972,-0.742696468561119,-0.858437340479324,-0.727725281399108,-0.700018519946441,-0.742736463259867,-0.689185258531724,-0.732854768872884,-0.731880429258863,-0.960258148235384,-0.748161945631619,-0.676312598848462,0.938045350703808,-0.735249826075821,-0.637367993724414,-0.622937045771969,1.32941241036095,-0.704033516781363,-0.863605505795611,-0.749042226850761,-0.751034558615317,-1.09520115388271,-0.666825498140407,-0.719890437363627,-0.608337888086706,-0.682879890114893,-0.806712786776722,-0.669519674845126,-0.731977278111443,1.08763718558594,3.71959274001681,-0.815276484008308,-0.77631894988403,-0.716898026562048,-0.724033848567858,-0.705640092430796,-0.997294014979576,-0.879806933776633,-0.807361736488623,-0.63539230004124,-0.750355046884305,-0.833526880444537,-0.605517411755957,-0.812771132113504,-0.746932932629701,-0.622969382388847,-0.820591272291347,-0.698013989812703,-0.824108354845098,-0.861302595637032,-0.838515126331306,-0.954951578708474,-0.675268739408602,-0.699334986133435,0.0833248573654714,-0.56272642774313
"3","Breast",-0.71469200450297,-0.728614982359732,-0.562885004846397,-0.73094218545202,-0.15722739277558,-0.70333603454631,-0.710188630212903,-0.793530195620345,-0.792502408152755,1.77111761531675,-0.67712765717487,-0.81371136530862,-0.832381771960499,-0.687177171115131,-0.785767607930579,-0.717587986846079,-0.755339521101354,-0.926483457897156,-0.667847434703182,-0.749461340095757,-0.732123790212406,-0.678715752613146,-0.865704695315446,-0.724555834334302,-0.699179643426386,-0.700287408991983,-0.875354478965851,0.101626667692382,-0.735510790548431,1.13463426017292,-0.697500008079094,-0.66491137989419,-0.711884090025642,-1.00023495215387,-0.814332264503612,-0.699360610008343,0.335323318531499,-0.912261579679087,-0.729650289192353,-0.747945293215825,-0.658480102605496,-0.648949925761031,-0.71360296491445,-0.684837502289329,-0.849271219969958,-0.0298836256412853,-0.563053340916554,-0.774026490572205,-1.05856066378697,-0.702666162911969,-0.843532587154847,-0.653773880687879,1.70219361821964,-0.77139487162344,-0.814193632957347,-0.722926359255171,-0.718340767404465,-0.769190388749226,-0.665114342586922,-0.625512934264002,0.693652850260549,-0.775411679371898,-0.738097594689352,-0.851220625740271,-0.722487687116936,-0.696051838244688,-0.738024470385934,-0.684025874275847,-0.725791266577176,-0.727132820755382,0.39457872905939,-0.740096090830313,-0.672241243066681,-0.684953226711904,-0.729795970689858,-0.633069458505245,-0.619027795438117,-0.750808578756168,-0.700003386995806,-0.856440142225987,-0.743948172226114,-0.746551652876761,-1.08212836685445,-0.663008460356221,-0.715529692141212,1.04547551690494,-0.678563063030813,-0.801002288488156,-0.0311272086998322,-0.727049912836887,-0.850547569277379,-0.559028762579132,-0.808729964849368,-0.769781130257464,-0.712564152551947,-0.719780495990783,-0.699787116336838,-0.985929483802285,-0.869734992035003,0.0323592793149036,-0.631036472369048,-0.744940953176151,-0.827290509356226,-0.601184794622881,-0.806435652612158,-0.74197787776627,-0.619811957541122,-0.811411851331103,-0.693809399313143,0.395195915860751,-0.851858667958932,-0.832271358629865,-0.944233118965132,-0.670928482820634,-0.694557621740126,-0.967483083219896,-0.555799181338236
"4","Breast",-0.337082840764167,-0.333903882973736,-0.631007823727862,-0.373625662329972,-0.154373876420821,-0.371813464455914,-0.258399817488086,-0.373616713269246,-0.356089671718,-0.423612324179374,-0.245110311718464,-0.528253972520461,-0.594609261106956,-0.291876329746388,-0.442701251949098,-0.406375051995334,-0.415176055659872,-0.674540247550688,-0.342054431892958,-0.50881290698651,-0.325620579804039,-0.307836983284203,-0.648546304255177,-0.33298248859468,-0.3986745886371,-0.363478095395024,-0.643255445716586,-0.639760929999159,-0.489412914868045,-0.454573241864947,-0.23727752919584,1.15803893314833,-0.358197338310809,-0.698556552552668,-0.575964991525286,-0.38851854484629,-0.70176942287829,-0.656431456711501,-0.395290544887899,-0.436011045627893,-0.179617823386421,-0.30056682909379,3.14216026168485,-0.387600911573029,-0.621296266560907,-0.404956269489956,-0.318964446387796,-0.323007045651085,-0.760575542721896,-0.361618443676299,-0.606825879802456,-0.420363664896242,-0.499848020749371,-0.455032591735905,-0.69863254046479,-0.444329248776229,-0.352022280574715,-0.393707206610473,-0.277333539170908,-0.232854552062699,-0.51070513233498,-0.544042322452213,-0.408437582937986,-0.643153929790577,-0.387188919122251,-0.312162387463113,-0.417415887446164,-0.387197716307736,-0.483993548446034,-0.342366773988834,1.09827149805987,-0.487636736039558,-0.305663570330475,-0.281203925939756,-0.358220704122054,-0.26883346419673,-0.266143165744237,-0.479723036719669,-0.182124580825676,-0.642486039766328,-0.41359787503935,-0.390999781293935,-0.773026674423589,-0.204599175673897,-0.364401057090936,-0.305441558146894,-0.245191002851611,-0.529307939512798,-0.290950553817074,-0.412448494577743,-0.618134808459429,-0.174742295832041,-0.574104264391607,-0.512706362916943,-0.337835517265012,-0.32794828100209,-0.396503522484143,-0.707037612012237,-0.615141930950191,-0.572021809491732,-0.273669516426698,-0.432398085371464,-0.582279409600659,-0.158660564398578,-0.539658013275768,-0.450997075265052,-0.218238104804033,-0.578549039653158,-0.298947034359035,-0.603527198110171,-0.609642462213743,-0.584215824619179,-0.677647051025364,-0.279323212110892,-0.368037252249756,-0.708442337514087,-0.238615128351748
"5","Breast",-0.687825102768216,-0.703574991006067,0.160087486224536,-0.700057599066642,-0.152058156726124,-0.66882377734853,-0.683247899493036,-0.764443493069867,-0.76538720006689,0.120003675150395,-0.655006558469258,-0.777823697258839,-0.783882906690138,-0.657328557414674,1.69578869984019,-0.676083975362972,-0.725817353525584,-0.865089846541904,-0.634591165408012,-0.704647891170259,-0.70561841590871,-0.651386911237509,-0.82449611623645,-0.694531766882255,-0.663930804125857,-0.669723940429169,0.120679326297841,-0.815501386299401,-0.692997151938646,-0.660627659371172,-0.667957381318212,-0.642523162125244,0.00815639079908561,-0.920581089402188,-0.755797689300648,-0.668390764091451,-0.583764652046747,-0.848533549416217,-0.701073032685832,-0.715111393879911,-0.63542907534852,-0.613831187174433,-0.682306944614383,-0.650707232106515,-0.795997849204978,-0.674256877593713,0.228195501866337,-0.747862583685453,-0.98287541799433,-0.672744872650444,-0.785588970160747,-0.605536133019785,-0.700407821534046,-0.739649519179792,-0.283804084927239,-0.675716705408793,-0.688992835959372,-0.736306891809205,-0.638033464156355,-0.601438766642961,1.62821368381163,2.2449018188109,-0.707162261727041,-0.804129116957417,-0.687614811522847,-0.669198098073695,-0.706383307665529,-0.649796480246544,-0.680104759444899,-0.695288929487526,-0.446766273363561,2.12583421644198,-0.644777532798999,-0.659198516166422,-0.693559209434607,-0.604282730692826,-0.592718158707108,-0.711668080035696,-0.672677247094511,-0.809597872695351,-0.709900369529889,-0.716317152801545,-1.00188784405247,-0.637156167861697,-0.686159147795044,-0.566323454935776,-0.64950582561066,-0.0787598374509386,-0.630147021752747,-0.694097899091162,0.0341312435306339,-0.522068618297889,-0.765719216747958,-0.726959179140424,-0.683342132215139,-0.691047282827247,-0.661297894971662,-0.915240605724413,0.839722078900816,-0.758704875461239,-0.601918145768823,-0.708940416630659,-0.786040462580936,-0.572167399697176,-0.764647004462357,-0.708827256509671,-0.598298003119432,-0.753631724176477,-0.665441789887589,1.49822155580479,-0.792188362453369,-0.144626650012899,-0.877252183543704,-0.64179679286537,-0.662624194731252,-0.904454899371305,-0.511934205237568
"6","Breast",-0.701078861778172,-0.7159544157926,-0.869171707720725,-0.715235050352221,-0.156980825454111,-0.68570130854706,-0.69653993495988,-0.778801323722849,-0.778794488885075,2.28923095719095,-0.665957794652693,-0.795428139271448,-0.807390190922189,-0.671996585222653,-0.767812801497817,-0.696252237741341,-0.740361332139573,-0.894522054597077,1.97054628422428,-0.726365832073378,0.0990272444228511,-0.664845106578032,-0.84463178978848,-0.709305050494507,-0.681147634918167,-0.684735137272415,-0.84692568902511,-0.842009227414402,-0.713630140934792,-0.682159300409958,-0.68248670266363,-0.653595180964154,-0.680489586765317,0.782804087951336,-0.783795193752483,0.829425102665213,-0.974783534118971,-0.878941578652264,-0.715151231258007,-0.731225203828262,-0.646826138633854,-0.630954510804875,0.0223535747628717,-0.667386959018806,1.41062134655815,1.36131951314848,-0.540306958129609,-0.760804083857043,-1.01888293625517,-0.687451959523597,-0.813350032144632,-0.628626231905663,-0.719420704024311,-0.755262408985078,-0.802823213764385,-0.698513768483694,-0.703437294474768,-0.752463304957764,-0.651367547713795,-0.613311032687978,-0.77387380611347,2.4354659092942,-0.72237182294004,-0.826978356252884,-0.704683655311019,-0.68243773153506,-0.721928091506474,-0.666524266178943,-0.702185300025364,-0.71092535554862,-0.912932233208522,-0.713325826418224,-0.658296674047016,-0.67190627457958,-0.711279248147512,-0.61840821928613,-0.605656140954368,-0.73074994143349,-0.686158689927463,-0.832344152947557,-0.726593459800255,-0.731199169669238,-1.03980915614189,-0.649904449593508,-0.700607304358234,3.08026721429443,0.15911959324986,-0.781603333739511,-0.646866282465972,-0.710257700041496,-0.821336621081202,3.98723069191676,-0.786649922388234,-0.747769795743378,-0.697724135586401,-0.70520036312276,-0.680034630078755,1.1467605377444,-0.836629408024197,-0.779262121205406,-0.616195213898784,-0.726551152565713,-0.806173192755367,-0.58640570784648,-0.785017776520727,-0.725087435371443,-0.608934997487361,-0.781233220016985,-0.679406961148579,-0.792063374299221,-0.820738812708296,-0.811125848914607,-0.909151016735197,-0.656105690485766,-0.678281079383317,-0.934676093257293,-0.532937528233215
"7","Breast",-0.714658130945253,0.535331553518032,-0.907206034814544,-0.730902949013598,-0.153824492820433,-0.70329176348686,-0.710154673355147,-0.793493569090517,-0.792468378610074,-0.670010160764307,-0.677099962448562,1.55734606873895,-0.832318451885022,-0.687139249697612,-0.785722663660348,1.09618134976396,-0.755302199536523,-0.92640153156575,3.86125588760989,-0.749402818898901,-0.732090439639254,-0.678681177527567,-0.36266608669828,-0.724517787201726,-0.699134318573214,-0.700248537201514,-0.875282038511672,-0.870480608545694,-0.735455428943567,-0.705059101170703,-0.697462535240199,-0.664883292875921,-0.711803041212435,-1.00012483108861,-0.81425381092864,1.44576987352078,-1.02094133860832,-0.912175741495797,-0.729614160820556,-0.747903469037166,-0.658451170616036,3.97473453440612,-0.713563157251122,-0.684793664460591,-0.849200983395735,-0.708677543857258,5.23364684102129,-0.773993678116918,-1.05845817774669,-0.702628165797456,-0.843455175798719,-0.653709331930142,-0.739377752255494,-0.771354604846006,1.08341910319976,-0.722864272804142,-0.718303596661496,0.922056224722663,-0.665080071178882,-0.625482562724993,-0.815118051561892,1.92409457068173,-0.738058330297161,-0.851159266537188,-0.722443030635829,-0.69601794262018,-0.737984249544959,-0.683981906000531,-0.725731281793249,-0.00962813774408458,-0.315958337217824,-0.740027705940317,-0.672206469460594,-0.684920769072584,-0.729749483327154,-0.633032779871295,-0.618994416513903,-0.750758061410902,-0.699968941678769,-0.856379203880485,-0.743904717200005,-0.746513365214871,0.960564356300925,-0.662975841387035,-0.715492454567902,3.54525147984921,-0.678526203163929,-0.800953607570097,-0.664317843516791,-0.727007876656695,-0.850472834469984,-0.558980659789351,-0.808674250555308,-0.769725513123904,-0.712527138895539,-0.719744160949203,-0.699737296928574,-0.985833527743371,-0.86964980033556,-0.800882682332957,-0.630999313786864,-0.744894800163362,1.64658014605624,-0.601147823717493,-0.806381704954536,-0.741935603183243,-0.619784954129697,-0.811334205945666,-0.693773486848411,-0.816674821336522,-0.851778740155361,-0.832218169864527,1.26046819805645,-0.670891437098603,-0.694516867782989,-0.96739900259983,-0.555740528635287
"8","Breast",-0.705884039755516,-0.720429701403163,-0.882239641976209,-0.720765461444187,-0.157069023081282,-0.69189051684654,-0.701358124446177,-0.784002466776607,-0.783640446269128,2.85542406652066,-0.669909649622509,-0.801857913257714,-0.816109596525127,-0.677341557741301,-0.774126147014885,-0.703709114831861,-0.745643657376295,0.764590249217938,2.3673487909176,-0.734423157332086,-0.723446049901665,-0.66973561654231,-0.852023404488272,-0.714679266986337,-0.687471195359639,-0.690209002236988,-0.856808096186065,-0.851923654584546,-0.721270891788711,-0.690161610819439,-0.687775568755939,-0.657596102633896,-0.691311025376811,-0.972506129687554,-0.794354504030822,-0.68913903002659,-0.990533888071768,-0.890443363058929,-0.720264519910015,0.836273010839211,-0.650945857876216,-0.637258118806135,-0.703282258750172,-0.673508884633341,-0.831282610296855,2.39476638199699,5.18545869953646,-0.765479489638997,-1.03255469939357,-0.692809536991495,-0.0779858745285185,0.112611896360767,1.37645877249113,-0.76094551594829,-0.0080064760348439,-0.707010320620875,-0.708690032901663,-0.758352031185633,1.05848936385229,-0.617617185206835,-0.787972420927542,-0.760039761650859,-0.0589849533397928,-0.835442010168799,-0.710935873821489,-0.687241446472567,0.80822596918004,-0.672663945524189,-0.710405649360884,-0.716628963110034,-0.925411629412048,-0.722616390546294,-0.663211946337573,-0.676512239509651,-0.717777815896803,-0.623565373952906,-0.61036636414387,-0.737775409416465,-0.691045962309992,-0.840761215764858,-0.732694636826326,-0.736610437601024,-1.05432090957981,-0.654528772754372,-0.70586492369552,-0.590589736911866,-0.668997905638116,-0.78841352319766,-0.653003586565672,-0.716162070716488,-0.831464640788276,-0.546662948927907,1.86642501933738,-0.755462940529138,-0.702954398842863,-0.710341806733413,-0.686946253306714,-0.961607409594209,-0.848064845184387,-0.786845800169808,-0.621413010282026,-0.733006621211315,-0.813574844751239,-0.591604442380928,-0.792518716596176,-0.731027036426924,-0.612780010513563,-0.791659086859711,-0.684483890312584,-0.800662996309315,-0.831501800145696,0.753279916775033,-0.921245091907826,2.32032162743269,-0.68400333791814,-0.94603846784822,-0.540849421275912
"9","Breast",-0.70247498936355,-0.717255405327918,0.300143765747059,-0.716840346215597,-0.15700658396289,-0.687495633824865,-0.6979398929157,0.0656785052685962,-0.780203285115282,1.80245515885953,-0.66710701307303,-0.797293647320537,0.781874095467116,-0.673548047117652,-0.769644420553459,-0.698410649011619,-0.741895571973549,1.61442448407462,-0.652579015645077,-0.728696473118101,-0.720084314663861,-0.666265406441339,-0.846774256758985,0.059674083202992,-0.682980352930246,-0.686323795543406,-0.849780466966593,-0.844872402527355,-0.715841075730578,1.62524618642639,-0.684022188327176,-0.654758365267673,-0.683605841540372,0.505932589684172,-0.786839561930735,-0.685201080682667,0.782836141829733,-0.8822556559271,-0.716636367633299,-0.0357201110833683,-0.648023789250768,-0.632780652707998,-0.699303835793131,-0.669161485992205,-0.824463088351618,-0.692906343605268,-0.542573788627025,-0.762163419384403,-1.02281946221844,1.27058373468683,-0.816363621215861,-0.631135205996532,0.989158235230517,-0.756912356301797,-0.803997026570605,-0.700969260150305,-0.704962578996778,0.0483099105305405,-0.652774977835528,-0.61456207011487,1.15192975726528,2.06272774879199,-0.723979706800374,-0.82942724592459,0.456393646082529,-0.683833232241215,-0.723572733752286,-0.668303926913991,-0.704561472955115,-0.71258059458926,-0.916525030352181,1.5421143515302,-0.659724020425536,-0.673244592244065,-0.713163238723532,-0.619904614217571,-0.607023597157596,-0.732785131094052,-0.68757870306886,-0.312877824453528,-0.728363397772165,-0.732770519385891,-1.04398055901326,-0.651247900450347,-0.70213380864263,-0.58593638591197,0.147874008208979,1.39749691995674,0.558597288926913,-0.711970649884338,-0.824259562421759,-0.541951814039841,-0.78888645629801,-0.749996636084777,-0.699242881145815,0.0661497173106144,-0.682036107300455,-0.952513922119506,-0.0333998899431132,-0.78145815665362,0.102548862144667,-0.044338488021335,-0.808317953690708,-0.587914165232861,-0.787190645250344,-0.726810684426731,-0.610052784863264,-0.784238150241999,-0.680881279980939,-0.794550005849579,-0.0701440202389555,-0.813273707740619,-0.254529768109753,-0.657619927969284,-0.679941106114119,0.516435898081387,-0.53521924985015
"10","Breast",-0.306801295194315,-0.302241420100102,-0.617887543401855,-0.338588931456008,-0.154150641214557,-0.340149491504891,-0.227233684828194,-0.339737537712025,-0.321636515045836,-0.391591735340389,-0.214652686939314,-0.497930162043495,2.54533734231156,-0.262605023571486,-0.405355093977652,-0.372853563484931,-0.384446634866139,-0.661561929653678,-0.306584106435654,-0.478813184151595,-0.294016089759512,-0.279256983449074,-0.619731920576261,-0.30273619325412,-0.368067720137851,-0.335380258369619,-0.628808167038415,-0.627585168306897,-0.460641676451202,-0.422881788706491,-0.20466373731294,-0.146518104007205,-0.335205129041567,-0.684368060111353,-0.558007430549578,-0.361072008773201,-0.687268094277814,-0.643574167646991,0.748473374552871,-0.404797708040195,-0.149593966005096,-0.264906132524207,-0.32879104934636,-0.354483138326383,-0.607123559556324,-0.370140157990765,-0.302536127688191,-0.288932912622322,-0.746005867969802,0.731734850051734,1.33489203485731,1.04095801962364,-0.468885136756259,-0.4246228594598,-0.690872464226149,-0.414987828664219,-0.32234942956799,-0.359535983662963,-0.249039231682566,-0.205122548014352,-0.492034492484644,-0.513738757586259,-0.378996882929965,-0.617412189832514,-0.359212729225938,1.93132017082012,-0.388338860938797,-0.361463769216088,-0.456899893481639,-0.309240066356541,-0.662635230985885,-0.460362654367749,-0.277458929913603,-0.25154981603625,-0.327665440660682,-0.241769653400351,-0.240167938152805,-0.45118918784971,-0.150068282408606,-0.615762974550451,2.1273498985838,-0.360504089595682,-0.758166398540056,-0.175096693986027,-0.332567091286821,-0.267880439656111,-0.21598548688147,0.530023689609881,-0.264379616795887,-0.384255146843368,-0.606072505665781,-0.136669221413777,-0.54679737773987,-0.485804241663157,-0.308232017481928,-0.297649974149286,-0.366219075427384,-0.693283120136006,-0.601332167613478,-0.545840026382954,-0.244917286363234,-0.402118315264505,-0.551735737058779,-0.131376740304256,-0.511887936619706,-0.422789078156574,-0.190497687955424,-0.566819839195527,-0.269573947535515,-0.579120298147723,-0.597348333632175,-0.555842827383119,0.312839797704259,-0.245830988174233,-0.340703813387852,-0.695062416471971,0.517278424262899
