"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,0.909090909090909,0.818181818181818,0.636363636363636,0.873106060606061
"Specificity",0.727272727272727,0.727272727272727,1,1,1,1,0.909090909090909
"Pos Pred Value",0.7,0.727272727272727,1,1,1,1,0.904545454545454
"Neg Pred Value",1,1,0.916666666666667,0.666666666666667,0.857142857142857,0.636363636363636,0.846139971139971
"Precision",0.7,0.727272727272727,1,1,1,1,0.904545454545454
"Recall",1,1,0.875,0.909090909090909,0.818181818181818,0.636363636363636,0.873106060606061
"F1",0.823529411764706,0.842105263157895,0.933333333333333,0.952380952380952,0.9,0.777777777777778,0.871521123069111
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.769230769230769,0.391304347826087,0.388888888888889,0.454631096507527
"Detection Prevalence",0.555555555555556,0.578947368421053,0.368421052631579,0.769230769230769,0.391304347826087,0.388888888888889,0.508724663758989
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.9375,0.954545454545455,0.909090909090909,0.818181818181818,0.891098484848485
