"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,1,0.818181818181818,0.454545454545455,0.636363636363636,0.818181818181818
"Specificity",0.727272727272727,0.727272727272727,1,1,0.916666666666667,1,0.89520202020202
"Pos Pred Value",0.7,0.727272727272727,1,1,0.833333333333333,1,0.876767676767677
"Neg Pred Value",1,1,1,0.5,0.647058823529412,0.636363636363636,0.797237076648841
"Precision",0.7,0.727272727272727,1,1,0.833333333333333,1,0.876767676767677
"Recall",1,1,1,0.818181818181818,0.454545454545455,0.636363636363636,0.818181818181818
"F1",0.823529411764706,0.842105263157895,1,0.9,0.588235294117647,0.777777777777778,0.821941291136338
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.692307692307692,0.217391304347826,0.388888888888889,0.421597006265198
"Detection Prevalence",0.555555555555556,0.578947368421053,0.421052631578947,0.692307692307692,0.260869565217391,0.388888888888889,0.482936950328255
"Balanced Accuracy",0.863636363636364,0.863636363636364,1,0.909090909090909,0.685606060606061,0.818181818181818,0.856691919191919
