"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.818181818181818,0.272727272727273,0.727272727272727,0.761363636363636
"Specificity",0.727272727272727,0.727272727272727,1,1,1,1,0.909090909090909
"Pos Pred Value",0.7,0.727272727272727,1,1,1,1,0.904545454545454
"Neg Pred Value",1,1,0.846153846153846,0.5,0.6,0.7,0.774358974358974
"Precision",0.7,0.727272727272727,1,1,1,1,0.904545454545454
"Recall",1,1,0.75,0.818181818181818,0.272727272727273,0.727272727272727,0.761363636363636
"F1",0.823529411764706,0.842105263157895,0.857142857142857,0.9,0.428571428571429,0.842105263157895,0.782242370632464
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.692307692307692,0.130434782608696,0.444444444444444,0.398819652252146
"Detection Prevalence",0.555555555555556,0.578947368421053,0.315789473684211,0.692307692307692,0.130434782608696,0.444444444444444,0.452913219503609
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.875,0.909090909090909,0.636363636363636,0.863636363636364,0.835227272727273
