"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.818181818181818,0.363636363636364,0.818181818181818,0.791666666666667
"Specificity",0.636363636363636,0.545454545454545,0.727272727272727,1,1,1,0.818181818181818
"Pos Pred Value",0.636363636363636,0.615384615384615,0.666666666666667,1,1,1,0.81973581973582
"Neg Pred Value",1,1,0.8,0.5,0.631578947368421,0.777777777777778,0.784892787524366
"Precision",0.636363636363636,0.615384615384615,0.666666666666667,1,1,1,0.81973581973582
"Recall",1,1,0.75,0.818181818181818,0.363636363636364,0.818181818181818,0.791666666666667
"F1",0.777777777777778,0.761904761904762,0.705882352941177,0.9,0.533333333333333,0.9,0.763149704326175
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.692307692307692,0.173913043478261,0.5,0.415325288323
"Detection Prevalence",0.611111111111111,0.684210526315789,0.473684210526316,0.692307692307692,0.173913043478261,0.5,0.522537763956528
"Balanced Accuracy",0.818181818181818,0.772727272727273,0.738636363636364,0.909090909090909,0.681818181818182,0.909090909090909,0.804924242424243
