"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,0.545454545454545,0.545454545454545,0.363636363636364,0.721590909090909
"Specificity",0.727272727272727,0.545454545454545,1,1,1,1,0.878787878787879
"Pos Pred Value",0.7,0.615384615384615,1,1,1,1,0.885897435897436
"Neg Pred Value",1,1,0.916666666666667,0.285714285714286,0.705882352941177,0.5,0.734710550887022
"Precision",0.7,0.615384615384615,1,1,1,1,0.885897435897436
"Recall",1,1,0.875,0.545454545454545,0.545454545454545,0.363636363636364,0.721590909090909
"F1",0.823529411764706,0.761904761904762,0.933333333333333,0.705882352941176,0.705882352941176,0.533333333333333,0.743977591036414
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.461538461538462,0.260869565217391,0.222222222222222,0.353832137012915
"Detection Prevalence",0.555555555555556,0.684210526315789,0.368421052631579,0.461538461538462,0.260869565217391,0.222222222222222,0.4254695639135
"Balanced Accuracy",0.863636363636364,0.772727272727273,0.9375,0.772727272727273,0.772727272727273,0.681818181818182,0.800189393939394
