"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,1,1,1,0.909090909090909,0.964015151515151
"Specificity",0.909090909090909,0.909090909090909,0.818181818181818,1,0.916666666666667,1,0.92550505050505
"Pos Pred Value",0.875,0.875,0.8,1,0.916666666666667,1,0.911111111111111
"Neg Pred Value",1,0.909090909090909,1,1,1,0.875,0.964015151515151
"Precision",0.875,0.875,0.8,1,0.916666666666667,1,0.911111111111111
"Recall",1,0.875,1,1,1,0.909090909090909,0.964015151515151
"F1",0.933333333333333,0.875,0.888888888888889,1,0.956521739130435,0.952380952380952,0.934354152288935
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.421052631578947,0.846153846153846,0.478260869565217,0.555555555555556,0.509722140729006
"Detection Prevalence",0.444444444444444,0.421052631578947,0.526315789473684,0.846153846153846,0.521739130434783,0.555555555555556,0.552543566273543
"Balanced Accuracy",0.954545454545455,0.892045454545455,0.909090909090909,1,0.958333333333333,0.954545454545455,0.944760101010101
