"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.75,1,0.818181818181818,0.909090909090909,0.889069264069264
"Specificity",1,0.818181818181818,1,0,1,1,0.803030303030303
"Pos Pred Value",1,0.8,1,0.846153846153846,1,1,0.941025641025641
"Neg Pred Value",0.916666666666667,1,0.846153846153846,NA,0.857142857142857,0.875,NA
"Precision",1,0.8,1,0.846153846153846,1,1,0.941025641025641
"Recall",0.857142857142857,1,0.75,1,0.818181818181818,0.909090909090909,0.889069264069264
"F1",0.923076923076923,0.888888888888889,0.857142857142857,0.916666666666667,0.9,0.952380952380952,0.906359381359381
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.315789473684211,0.846153846153846,0.391304347826087,0.555555555555556,0.477198198021997
"Detection Prevalence",0.333333333333333,0.526315789473684,0.315789473684211,1,0.391304347826087,0.555555555555556,0.520383083312145
"Balanced Accuracy",0.928571428571429,0.909090909090909,0.875,0.5,0.909090909090909,0.954545454545455,0.846049783549784
