"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,1,0.909090909090909,1,0.964015151515151
"Specificity",1,0.909090909090909,0.909090909090909,1,0.916666666666667,1,0.955808080808081
"Pos Pred Value",1,0.888888888888889,0.875,1,0.909090909090909,1,0.945496632996633
"Neg Pred Value",1,1,0.909090909090909,1,0.916666666666667,1,0.970959595959596
"Precision",1,0.888888888888889,0.875,1,0.909090909090909,1,0.945496632996633
"Recall",1,1,0.875,1,0.909090909090909,1,0.964015151515151
"F1",1,0.941176470588235,0.875,1,0.909090909090909,1,0.954211229946524
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.846153846153846,0.434782608695652,0.611111111111111,0.511735023176671
"Detection Prevalence",0.388888888888889,0.473684210526316,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.536525259637388
"Balanced Accuracy",1,0.954545454545455,0.892045454545455,1,0.912878787878788,1,0.959911616161616
