"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.875,1,0.818181818181818,1,0.925054112554113
"Specificity",0.909090909090909,0.727272727272727,1,0,0.833333333333333,1,0.744949494949495
"Pos Pred Value",0.857142857142857,0.727272727272727,1,0.846153846153846,0.818181818181818,1,0.874791874791875
"Neg Pred Value",0.909090909090909,1,0.916666666666667,NA,0.833333333333333,1,NA
"Precision",0.857142857142857,0.727272727272727,1,0.846153846153846,0.818181818181818,1,0.874791874791875
"Recall",0.857142857142857,1,0.875,1,0.818181818181818,1,0.925054112554113
"F1",0.857142857142857,0.842105263157895,0.933333333333333,0.916666666666667,0.818181818181818,1,0.894571656413762
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.368421052631579,0.846153846153846,0.391304347826087,0.611111111111111,0.495229387105817
"Detection Prevalence",0.388888888888889,0.578947368421053,0.368421052631579,1,0.478260869565217,0.611111111111111,0.570938215102975
"Balanced Accuracy",0.883116883116883,0.863636363636364,0.9375,0.5,0.825757575757576,1,0.835001803751804
