"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,0.75,1,0.818181818181818,0.818181818181818,0.876893939393939
"Specificity",0.909090909090909,1,0.545454545454545,0.5,0.833333333333333,0.857142857142857,0.774170274170274
"Pos Pred Value",0.875,1,0.545454545454545,0.916666666666667,0.818181818181818,0.9,0.842550505050505
"Neg Pred Value",1,0.916666666666667,0.75,1,0.833333333333333,0.75,0.875
"Precision",0.875,1,0.545454545454545,0.916666666666667,0.818181818181818,0.9,0.842550505050505
"Recall",1,0.875,0.75,1,0.818181818181818,0.818181818181818,0.876893939393939
"F1",0.933333333333333,0.933333333333333,0.631578947368421,0.956521739130435,0.818181818181818,0.857142857142857,0.855015338081699
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.315789473684211,0.846153846153846,0.391304347826087,0.5,0.468426268197435
"Detection Prevalence",0.444444444444444,0.368421052631579,0.578947368421053,0.923076923076923,0.478260869565217,0.555555555555556,0.558117702282462
"Balanced Accuracy",0.954545454545455,0.9375,0.647727272727273,0.75,0.825757575757576,0.837662337662338,0.825532106782107
