"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.625,1,0.818181818181818,0.636363636363636,0.846590909090909
"Specificity",0.818181818181818,0.818181818181818,0.909090909090909,0,0.916666666666667,1,0.743686868686869
"Pos Pred Value",0.777777777777778,0.8,0.833333333333333,0.846153846153846,0.9,1,0.859544159544159
"Neg Pred Value",1,1,0.769230769230769,NA,0.846153846153846,0.636363636363636,NA
"Precision",0.777777777777778,0.8,0.833333333333333,0.846153846153846,0.9,1,0.859544159544159
"Recall",1,1,0.625,1,0.818181818181818,0.636363636363636,0.846590909090909
"F1",0.875,0.888888888888889,0.714285714285714,0.916666666666667,0.857142857142857,0.777777777777778,0.838293650793651
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.263157894736842,0.846153846153846,0.391304347826087,0.388888888888889,0.449907749678917
"Detection Prevalence",0.5,0.526315789473684,0.315789473684211,1,0.434782608695652,0.388888888888889,0.527629460123739
"Balanced Accuracy",0.909090909090909,0.909090909090909,0.767045454545455,0.5,0.867424242424242,0.818181818181818,0.795138888888889
