"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.714285714285714,1,1,0.909090909090909,0.818181818181818,0.818181818181818,0.876623376623376
"Specificity",0.727272727272727,0.909090909090909,1,0,0.916666666666667,0.857142857142857,0.73502886002886
"Pos Pred Value",0.625,0.888888888888889,1,0.833333333333333,0.9,0.9,0.85787037037037
"Neg Pred Value",0.8,1,1,0,0.846153846153846,0.75,0.732692307692308
"Precision",0.625,0.888888888888889,1,0.833333333333333,0.9,0.9,0.85787037037037
"Recall",0.714285714285714,1,1,0.909090909090909,0.818181818181818,0.818181818181818,0.876623376623376
"F1",0.666666666666667,0.941176470588235,1,0.869565217391304,0.857142857142857,0.857142857142857,0.865282344821987
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.277777777777778,0.421052631578947,0.421052631578947,0.769230769230769,0.391304347826087,0.5,0.463403026332088
"Detection Prevalence",0.444444444444444,0.473684210526316,0.421052631578947,0.923076923076923,0.434782608695652,0.555555555555556,0.542099395646306
"Balanced Accuracy",0.720779220779221,0.954545454545455,1,0.454545454545455,0.867424242424242,0.837662337662338,0.805826118326119
