"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,0.875,0.75,1,0.727272727272727,0.727272727272727,0.822781385281385
"Specificity",0.909090909090909,0.909090909090909,0.909090909090909,1,0.666666666666667,0.857142857142857,0.875180375180375
"Pos Pred Value",0.857142857142857,0.875,0.857142857142857,1,0.666666666666667,0.888888888888889,0.857473544973545
"Neg Pred Value",0.909090909090909,0.909090909090909,0.833333333333333,1,0.727272727272727,0.666666666666667,0.840909090909091
"Precision",0.857142857142857,0.875,0.857142857142857,1,0.666666666666667,0.888888888888889,0.857473544973545
"Recall",0.857142857142857,0.875,0.75,1,0.727272727272727,0.727272727272727,0.822781385281385
"F1",0.857142857142857,0.875,0.8,1,0.695652173913043,0.8,0.837965838509317
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.368421052631579,0.315789473684211,0.846153846153846,0.347826086956522,0.444444444444444,0.442661372867322
"Detection Prevalence",0.388888888888889,0.421052631578947,0.368421052631579,0.846153846153846,0.521739130434783,0.5,0.507709258281341
"Balanced Accuracy",0.883116883116883,0.892045454545455,0.829545454545455,1,0.696969696969697,0.792207792207792,0.84898088023088
