"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,1,1,0.909090909090909,0.909090909090909,0.948863636363636
"Specificity",1,0.909090909090909,1,1,0.75,0.857142857142857,0.919372294372294
"Pos Pred Value",1,0.875,1,1,0.769230769230769,0.909090909090909,0.925553613053613
"Neg Pred Value",1,0.909090909090909,1,1,0.9,0.857142857142857,0.944372294372294
"Precision",1,0.875,1,1,0.769230769230769,0.909090909090909,0.925553613053613
"Recall",1,0.875,1,1,0.909090909090909,0.909090909090909,0.948863636363636
"F1",1,0.875,1,1,0.833333333333333,0.909090909090909,0.936237373737374
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.421052631578947,0.846153846153846,0.434782608695652,0.555555555555556,0.502475763917411
"Detection Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.565217391304348,0.611111111111111,0.542246083436015
"Balanced Accuracy",1,0.892045454545455,1,1,0.829545454545455,0.883116883116883,0.934117965367966
