"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,0.875,1,0.818181818181818,0.909090909090909,0.912878787878788
"Specificity",0.909090909090909,0.818181818181818,1,0.5,1,1,0.871212121212121
"Pos Pred Value",0.875,0.777777777777778,1,0.916666666666667,1,1,0.928240740740741
"Neg Pred Value",1,0.9,0.916666666666667,1,0.857142857142857,0.875,0.924801587301587
"Precision",0.875,0.777777777777778,1,0.916666666666667,1,1,0.928240740740741
"Recall",1,0.875,0.875,1,0.818181818181818,0.909090909090909,0.912878787878788
"F1",0.933333333333333,0.823529411764706,0.933333333333333,0.956521739130435,0.9,0.952380952380952,0.916516461657127
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.368421052631579,0.846153846153846,0.391304347826087,0.555555555555556,0.486457457281256
"Detection Prevalence",0.444444444444444,0.473684210526316,0.368421052631579,0.923076923076923,0.391304347826087,0.555555555555556,0.526081089010151
"Balanced Accuracy",0.954545454545455,0.846590909090909,0.9375,0.75,0.909090909090909,0.954545454545455,0.892045454545455
