"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.75,0.75,1,0.818181818181818,1,0.886363636363636
"Specificity",1,0.909090909090909,1,1,1,1,0.984848484848485
"Pos Pred Value",1,0.857142857142857,1,1,1,1,0.976190476190476
"Neg Pred Value",1,0.833333333333333,0.846153846153846,1,0.857142857142857,1,0.922771672771673
"Precision",1,0.857142857142857,1,1,1,1,0.976190476190476
"Recall",1,0.75,0.75,1,0.818181818181818,1,0.886363636363636
"F1",1,0.8,0.857142857142857,1,0.9,1,0.926190476190476
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.315789473684211,0.315789473684211,0.846153846153846,0.391304347826087,0.611111111111111,0.478172856891392
"Detection Prevalence",0.388888888888889,0.368421052631579,0.315789473684211,0.846153846153846,0.391304347826087,0.611111111111111,0.486944786715954
"Balanced Accuracy",1,0.829545454545455,0.875,1,0.909090909090909,1,0.935606060606061
