"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.625,0.909090909090909,0.909090909090909,0.909090909090909,0.868235930735931
"Specificity",1,0.909090909090909,1,1,0.833333333333333,1,0.957070707070707
"Pos Pred Value",1,0.888888888888889,1,1,0.833333333333333,1,0.953703703703704
"Neg Pred Value",0.916666666666667,1,0.785714285714286,0.666666666666667,0.909090909090909,0.875,0.858856421356421
"Precision",1,0.888888888888889,1,1,0.833333333333333,1,0.953703703703704
"Recall",0.857142857142857,1,0.625,0.909090909090909,0.909090909090909,0.909090909090909,0.868235930735931
"F1",0.923076923076923,0.941176470588235,0.769230769230769,0.952380952380952,0.869565217391304,0.952380952380952,0.901301880841523
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.263157894736842,0.769230769230769,0.434782608695652,0.555555555555556,0.462852132188517
"Detection Prevalence",0.333333333333333,0.473684210526316,0.263157894736842,0.769230769230769,0.521739130434783,0.555555555555556,0.486116815636267
"Balanced Accuracy",0.928571428571429,0.954545454545455,0.8125,0.954545454545455,0.871212121212121,0.954545454545455,0.912653318903319
