"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.625,0.818181818181818,0.818181818181818,0.909090909090909,0.8379329004329
"Specificity",0.909090909090909,0.909090909090909,1,1,0.833333333333333,1,0.941919191919192
"Pos Pred Value",0.857142857142857,0.888888888888889,1,1,0.818181818181818,1,0.927368927368927
"Neg Pred Value",0.909090909090909,1,0.785714285714286,0.5,0.833333333333333,0.875,0.817189754689755
"Precision",0.857142857142857,0.888888888888889,1,1,0.818181818181818,1,0.927368927368927
"Recall",0.857142857142857,1,0.625,0.818181818181818,0.818181818181818,0.909090909090909,0.8379329004329
"F1",0.857142857142857,0.941176470588235,0.769230769230769,0.9,0.818181818181818,0.952380952380952,0.873018811254105
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.263157894736842,0.692307692307692,0.391304347826087,0.555555555555556,0.442785242556409
"Detection Prevalence",0.388888888888889,0.473684210526316,0.263157894736842,0.692307692307692,0.478260869565217,0.555555555555556,0.475309185263419
"Balanced Accuracy",0.883116883116883,0.954545454545455,0.8125,0.909090909090909,0.825757575757576,0.954545454545455,0.889926046176046
