"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,1,1,0.909090909090909,1,0.964015151515151
"Specificity",0.818181818181818,0.909090909090909,1,1,0.833333333333333,1,0.926767676767677
"Pos Pred Value",0.777777777777778,0.875,1,1,0.833333333333333,1,0.914351851851852
"Neg Pred Value",1,0.909090909090909,1,1,0.909090909090909,1,0.96969696969697
"Precision",0.777777777777778,0.875,1,1,0.833333333333333,1,0.914351851851852
"Recall",1,0.875,1,1,0.909090909090909,1,0.964015151515151
"F1",0.875,0.875,1,1,0.869565217391304,1,0.936594202898551
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.421052631578947,0.846153846153846,0.434782608695652,0.611111111111111,0.511735023176671
"Detection Prevalence",0.5,0.421052631578947,0.421052631578947,0.846153846153846,0.521739130434783,0.611111111111111,0.553518225142939
"Balanced Accuracy",0.909090909090909,0.892045454545455,1,1,0.871212121212121,1,0.945391414141414
