"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.75,0.909090909090909,1,0.909090909090909,0.904220779220779
"Specificity",0.818181818181818,0.909090909090909,1,0.5,0.75,0.857142857142857,0.805735930735931
"Pos Pred Value",0.75,0.888888888888889,1,0.909090909090909,0.785714285714286,0.909090909090909,0.873797498797499
"Neg Pred Value",0.9,1,0.846153846153846,0.5,1,0.857142857142857,0.850549450549451
"Precision",0.75,0.888888888888889,1,0.909090909090909,0.785714285714286,0.909090909090909,0.873797498797499
"Recall",0.857142857142857,1,0.75,0.909090909090909,1,0.909090909090909,0.904220779220779
"F1",0.8,0.941176470588235,0.857142857142857,0.909090909090909,0.88,0.909090909090909,0.882750190985485
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.315789473684211,0.769230769230769,0.478260869565217,0.555555555555556,0.478870438824672
"Detection Prevalence",0.444444444444444,0.473684210526316,0.315789473684211,0.846153846153846,0.608695652173913,0.611111111111111,0.549979789682307
"Balanced Accuracy",0.837662337662338,0.954545454545455,0.875,0.704545454545455,0.875,0.883116883116883,0.854978354978355
