"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.875,0.75,1,0.909090909090909,1,0.922348484848485
"Specificity",0.909090909090909,0.909090909090909,0.818181818181818,1,1,1,0.939393939393939
"Pos Pred Value",0.875,0.875,0.75,1,1,1,0.916666666666667
"Neg Pred Value",1,0.909090909090909,0.818181818181818,1,0.923076923076923,1,0.941724941724942
"Precision",0.875,0.875,0.75,1,1,1,0.916666666666667
"Recall",1,0.875,0.75,1,0.909090909090909,1,0.922348484848485
"F1",0.933333333333333,0.875,0.75,1,0.952380952380952,1,0.918452380952381
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.368421052631579,0.315789473684211,0.846153846153846,0.434782608695652,0.611111111111111,0.494191163527548
"Detection Prevalence",0.444444444444444,0.421052631578947,0.421052631578947,0.846153846153846,0.434782608695652,0.611111111111111,0.529766212260491
"Balanced Accuracy",0.954545454545455,0.892045454545455,0.784090909090909,1,0.954545454545455,1,0.930871212121212
